date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2007-03-16,13.2166666667,Dallas Mavericks,Boston Celtics,2,31-30,-2,free throw,True,15,True,True
2007-03-16,13.2166666667,Dallas Mavericks,Boston Celtics,2,31-31,-1,free throw,True,15,True,True
2007-03-23,41.95,Dallas Mavericks,Boston Celtics,4,98-77,18,three point jumper,False,26,False,False
2007-03-23,43.8166666667,Dallas Mavericks,Boston Celtics,4,102-82,18,layup,False,0,True,False
2007-03-23,44.4333333333,Dallas Mavericks,Boston Celtics,4,104-82,20,layup,False,0,True,False
2007-03-23,44.4333333333,Dallas Mavericks,Boston Celtics,4,105-82,22,free throw,False,15,True,False
2007-03-23,45.75,Dallas Mavericks,Boston Celtics,4,105-86,17,two point jumper,False,18,False,False
2007-12-15,20.6,Dallas Mavericks,Philadelphia 76ers,2,28-44,14,two point jumper,True,19,False,True
2007-12-15,23.3666666667,Dallas Mavericks,Philadelphia 76ers,2,32-49,14,three point jumper,True,25,True,True
2007-12-15,24.0,Dallas Mavericks,Philadelphia 76ers,2,34-49,13,layup,True,0,False,True
2007-03-12,41.75,Dallas Mavericks,Golden State Warriors,4,78-104,-28,two point jumper,False,13,True,False
2007-03-12,42.1,Dallas Mavericks,Golden State Warriors,4,81-104,-26,three point jumper,False,25,True,False
2007-03-12,42.8166666667,Dallas Mavericks,Golden State Warriors,4,81-106,-27,two point jumper,False,13,False,False
2007-03-12,45.75,Dallas Mavericks,Golden State Warriors,4,93-115,-24,two point jumper,False,4,True,False
2007-03-12,45.75,Dallas Mavericks,Golden State Warriors,4,93-115,-23,free throw,False,15,False,False
2007-03-12,47.5333333333,Dallas Mavericks,Golden State Warriors,4,100-117,-19,two point shot,False,2,True,False
2007-04-17,0.433333333333,Dallas Mavericks,Golden State Warriors,1,0-0,-2,two point jumper,False,17,False,True
2007-04-17,2.61666666667,Dallas Mavericks,Golden State Warriors,1,4-4,-3,three point jumper,False,26,False,True
2007-04-17,4.98333333333,Dallas Mavericks,Golden State Warriors,1,12-9,1,layup,False,0,True,True
2007-04-17,17.5333333333,Dallas Mavericks,Golden State Warriors,2,22-41,-20,free throw,False,15,True,True
2007-04-17,17.5333333333,Dallas Mavericks,Golden State Warriors,2,23-41,-19,free throw,False,15,True,True
2007-04-17,18.2833333333,Dallas Mavericks,Golden State Warriors,2,23-41,-19,free throw,False,15,False,True
2007-04-17,18.2833333333,Dallas Mavericks,Golden State Warriors,2,24-41,-18,free throw,False,15,True,True
2007-04-17,19.2333333333,Dallas Mavericks,Golden State Warriors,2,26-43,-19,two point shot,False,1,True,True
2007-04-17,21.0,Dallas Mavericks,Golden State Warriors,2,28-48,-23,three point jumper,False,27,False,True
2007-04-17,27.45,Dallas Mavericks,Golden State Warriors,3,40-62,-24,layup,False,0,True,True
2007-04-17,37.0,Dallas Mavericks,Golden State Warriors,4,61-83,-24,two point jumper,False,1,False,True
2007-04-17,37.5166666667,Dallas Mavericks,Golden State Warriors,4,61-85,-26,layup,False,0,False,True
2007-04-17,40.6666666667,Dallas Mavericks,Golden State Warriors,4,68-98,-32,two point jumper,False,4,True,True
2007-04-17,41.4166666667,Dallas Mavericks,Golden State Warriors,4,70-98,-29,free throw,False,15,False,True
2007-04-17,41.4166666667,Dallas Mavericks,Golden State Warriors,4,70-98,-29,free throw,False,15,False,True
2007-04-17,45.1166666667,Dallas Mavericks,Golden State Warriors,4,76-108,-34,two point shot,False,4,True,True
2007-04-17,47.0833333333,Dallas Mavericks,Golden State Warriors,4,79-110,-33,two point jumper,False,19,False,True
2007-12-22,43.5666666667,Dallas Mavericks,Los Angeles Clippers,4,72-110,36,layup,True,0,True,False
2007-12-22,44.3,Dallas Mavericks,Los Angeles Clippers,4,72-110,36,two point jumper,True,22,False,False
2007-04-01,46.4,Dallas Mavericks,Phoenix Suns,4,100-118,-20,two point jumper,False,15,False,False
2007-12-18,47.4333333333,Dallas Mavericks,Sacramento Kings,4,109-87,20,two point jumper,False,14,True,False
2007-11-04,45.6166666667,Dallas Mavericks,Houston Rockets,4,74-100,-29,three point jumper,False,25,False,True
2007-11-04,46.65,Dallas Mavericks,Houston Rockets,4,74-103,-31,two point jumper,False,15,False,True
2007-11-04,47.8666666667,Dallas Mavericks,Houston Rockets,4,76-107,-33,two point jumper,False,15,True,True
2007-11-18,24.0,Dallas Mavericks,Memphis Grizzlies,2,46-41,-8,three point jumper,True,29,False,True
2007-11-21,44.7,Dallas Mavericks,Washington Wizards,4,76-102,24,layup,True,0,False,False
2007-11-21,47.0,Dallas Mavericks,Washington Wizards,4,80-107,24,three point jumper,True,24,False,False
2007-11-25,45.4333333333,Dallas Mavericks,New Orleans Pelicans,4,65-84,17,layup,True,0,False,True
2007-11-25,47.7833333333,Dallas Mavericks,New Orleans Pelicans,4,70-85,13,two point jumper,True,18,False,True
2007-12-11,47.8833333333,Dallas Mavericks,Utah Jazz,4,79-101,-25,three point jumper,False,23,False,True
2007-12-30,47.2666666667,Dallas Mavericks,New Orleans Pelicans,4,77-94,15,two point jumper,True,19,False,True
2007-12-31,22.3833333333,Dallas Mavericks,Denver Nuggets,2,37-45,-11,three point jumper,False,24,False,True
2007-02-07,46.7833333333,Dallas Mavericks,Memphis Grizzlies,4,95-110,14,free throw,True,15,False,False
2007-02-07,46.7833333333,Dallas Mavericks,Memphis Grizzlies,4,95-111,15,free throw,True,15,True,False
2007-02-09,42.7,Dallas Mavericks,Houston Rockets,4,61-89,26,two point jumper,True,21,True,True
2007-02-26,6.63333333333,Dallas Mavericks,Atlanta Hawks,1,13-13,-2,two point shot,True,1,False,False
2007-02-26,9.35,Dallas Mavericks,Atlanta Hawks,1,19-18,-3,two point jumper,True,19,False,False
2007-02-26,47.25,Dallas Mavericks,Atlanta Hawks,4,85-106,20,free throw,True,15,False,False
2007-02-26,47.25,Dallas Mavericks,Atlanta Hawks,4,85-106,20,free throw,True,15,False,False
2007-02-27,46.15,Dallas Mavericks,Minnesota Timberwolves,4,87-63,22,two point jumper,False,21,False,True
2007-02-27,47.1,Dallas Mavericks,Minnesota Timberwolves,4,88-63,24,free throw,False,15,True,True
2007-02-27,47.1,Dallas Mavericks,Minnesota Timberwolves,4,89-63,25,free throw,False,15,True,True
2007-03-27,44.2833333333,Dallas Mavericks,New Orleans Pelicans,4,101-74,24,three point jumper,False,23,False,False
2007-03-27,44.8333333333,Dallas Mavericks,New Orleans Pelicans,4,101-76,23,layup,False,0,False,False
2007-03-27,46.9,Dallas Mavericks,New Orleans Pelicans,4,103-81,19,three point jumper,False,23,False,False
2007-04-07,47.3666666667,Dallas Mavericks,Portland Trail Blazers,4,72-84,11,free throw,True,15,True,True
2007-04-07,47.3666666667,Dallas Mavericks,Portland Trail Blazers,4,72-84,11,free throw,True,15,False,True
2007-04-11,13.7166666667,Dallas Mavericks,Minnesota Timberwolves,2,25-27,-4,layup,False,0,True,False
2007-04-11,14.3166666667,Dallas Mavericks,Minnesota Timberwolves,2,25-27,-5,three point jumper,False,26,False,False
2007-04-11,15.25,Dallas Mavericks,Minnesota Timberwolves,2,26-31,-6,free throw,False,15,True,False
2007-04-11,15.25,Dallas Mavericks,Minnesota Timberwolves,2,27-31,-5,free throw,False,15,True,False
2007-04-11,22.1833333333,Dallas Mavericks,Minnesota Timberwolves,2,45-46,-3,layup,False,0,True,False
2007-04-11,22.1833333333,Dallas Mavericks,Minnesota Timberwolves,2,46-46,-1,free throw,False,15,True,False
2007-04-11,23.4333333333,Dallas Mavericks,Minnesota Timberwolves,2,48-51,-6,three point jumper,False,25,False,False
2007-04-11,34.6333333333,Dallas Mavericks,Minnesota Timberwolves,3,78-66,9,three point jumper,False,24,True,False
2007-04-11,35.9833333333,Dallas Mavericks,Minnesota Timberwolves,3,86-66,17,three point jumper,False,26,True,False
2007-04-11,38.0666666667,Dallas Mavericks,Minnesota Timberwolves,4,88-68,18,layup,False,0,False,False
2007-04-11,42.6666666667,Dallas Mavericks,Minnesota Timberwolves,4,95-78,15,two point jumper,False,15,False,False
