date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-12-12,45.15,Milwaukee Bucks,New York Knicks,4,108-84,21,three point jumper,False,25,False,False
2006-01-17,46.3,Phoenix Suns,Sacramento Kings,4,84-116,-35,three point jumper,False,26,False,True
2006-01-17,46.7166666667,Phoenix Suns,Sacramento Kings,4,86-116,-32,two point shot,False,4,True,True
2006-01-17,46.7166666667,Phoenix Suns,Sacramento Kings,4,87-116,-30,free throw,False,15,True,True
2006-01-17,47.0833333333,Phoenix Suns,Sacramento Kings,4,87-119,-34,two point jumper,False,20,False,True
2006-01-17,47.8666666667,Phoenix Suns,Sacramento Kings,4,89-119,-31,free throw,False,15,False,True
2006-01-17,47.8666666667,Phoenix Suns,Sacramento Kings,4,90-119,-30,free throw,False,15,True,True
2006-12-14,24.3833333333,Milwaukee Bucks,Miami Heat,3,74-64,-12,two point shot,True,1,True,True
2006-12-14,25.9333333333,Milwaukee Bucks,Miami Heat,3,76-64,-14,two point jumper,True,15,False,True
2006-12-14,35.4,Milwaukee Bucks,Miami Heat,3,97-81,-18,tip shot,True,0,False,True
2012-01-03,36.7,Memphis Grizzlies,Sacramento Kings,4,68-89,18,three point jumper,True,25,False,False
2012-01-21,13.0666666667,Memphis Grizzlies,Sacramento Kings,2,21-37,15,free throw,True,15,False,False
2012-01-21,13.0666666667,Memphis Grizzlies,Sacramento Kings,2,21-37,15,free throw,True,15,False,False
2012-01-01,18.5,Memphis Grizzlies,Chicago Bulls,2,24-40,-18,two point shot,False,1,False,True
2012-01-01,28.85,Memphis Grizzlies,Chicago Bulls,3,32-66,-37,three point jumper,False,26,False,True
2012-01-01,29.1333333333,Memphis Grizzlies,Chicago Bulls,3,32-66,-37,three point jumper,False,25,False,True
2012-01-01,36.5166666667,Memphis Grizzlies,Chicago Bulls,4,44-84,-42,two point jumper,False,23,False,True
2012-01-01,40.2833333333,Memphis Grizzlies,Chicago Bulls,4,53-88,-38,three point jumper,False,26,True,True
2012-01-01,40.9166666667,Memphis Grizzlies,Chicago Bulls,4,53-90,-38,free throw,False,15,False,True
2012-01-01,40.9166666667,Memphis Grizzlies,Chicago Bulls,4,54-90,-37,free throw,False,15,True,True
2012-01-01,42.0,Memphis Grizzlies,Chicago Bulls,4,54-96,-45,three point jumper,False,26,False,True
2012-01-01,42.5,Memphis Grizzlies,Chicago Bulls,4,55-98,-44,free throw,False,15,True,True
2012-01-01,42.5,Memphis Grizzlies,Chicago Bulls,4,56-98,-43,free throw,False,15,True,True
2012-01-01,44.4833333333,Memphis Grizzlies,Chicago Bulls,4,58-100,-44,layup,False,0,True,True
2012-01-01,47.9,Memphis Grizzlies,Chicago Bulls,4,64-104,-42,two point shot,False,1,True,True
2012-01-16,35.7333333333,Memphis Grizzlies,Chicago Bulls,3,64-75,8,three point jumper,True,26,False,False
2012-01-20,33.3333333333,Memphis Grizzlies,Detroit Pistons,3,71-61,7,three point jumper,False,27,True,True
2012-01-20,45.3333333333,Memphis Grizzlies,Detroit Pistons,4,95-75,19,free throw,False,15,False,True
2012-01-20,45.3333333333,Memphis Grizzlies,Detroit Pistons,4,96-75,20,free throw,False,15,True,True
2012-12-28,38.7166666667,Memphis Grizzlies,Oklahoma City Thunder,4,75-76,-2,three point jumper,True,27,False,False
2012-01-04,6.7,Memphis Grizzlies,Minnesota Timberwolves,1,16-3,10,three point jumper,False,23,True,True
2012-01-04,7.56666666667,Memphis Grizzlies,Minnesota Timberwolves,1,18-3,13,layup,False,0,True,True
2012-01-04,13.5666666667,Memphis Grizzlies,Minnesota Timberwolves,2,23-18,3,tip shot,False,0,False,True
2012-01-14,6.2,Memphis Grizzlies,New Orleans Pelicans,1,11-11,-2,two point shot,True,1,False,False
2012-01-14,14.5166666667,Memphis Grizzlies,New Orleans Pelicans,2,31-24,-9,two point jumper,True,1,True,False
2012-01-14,19.5333333333,Memphis Grizzlies,New Orleans Pelicans,2,40-42,-1,three point jumper,True,24,False,False
2012-01-18,17.7,Memphis Grizzlies,New Orleans Pelicans,2,43-33,7,three point jumper,False,24,False,True
2012-01-24,46.5833333333,Memphis Grizzlies,Portland Trail Blazers,4,80-95,-17,two point shot,False,1,True,False
2012-02-02,44.0333333333,Memphis Grizzlies,Atlanta Hawks,4,95-65,28,two point shot,False,1,False,True
2012-02-06,28.8833333333,Memphis Grizzlies,San Antonio Spurs,3,61-52,-12,three point jumper,True,25,False,False
2012-02-06,31.1333333333,Memphis Grizzlies,San Antonio Spurs,3,61-57,-6,tip shot,True,0,True,False
2012-02-06,35.9833333333,Memphis Grizzlies,San Antonio Spurs,3,67-73,3,three point jumper,True,24,True,False
