date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2008-03-22,13.6166666667,New Orleans Pelicans,Boston Celtics,2,36-26,-12,two point shot,True,1,False,True
2008-03-22,19.8166666667,New Orleans Pelicans,Boston Celtics,2,50-43,-9,two point jumper,True,20,False,True
2008-03-22,23.9,New Orleans Pelicans,Boston Celtics,2,63-55,-11,three point jumper,True,24,True,True
2008-03-28,14.8666666667,New Orleans Pelicans,Boston Celtics,2,34-34,-2,dunk,False,0,True,True
2008-03-28,16.7333333333,New Orleans Pelicans,Boston Celtics,2,39-36,1,layup,False,0,False,True
2008-03-28,46.9,New Orleans Pelicans,Boston Celtics,4,92-112,-22,two point jumper,False,7,False,True
2008-03-07,21.0833333333,New Orleans Pelicans,Brooklyn Nets,2,37-37,-2,two point shot,True,1,True,False
2008-03-07,22.3,New Orleans Pelicans,Brooklyn Nets,2,44-41,-5,hook shot,True,6,True,False
2008-03-07,23.1333333333,New Orleans Pelicans,Brooklyn Nets,2,46-41,-7,two point jumper,True,13,False,False
2008-03-07,35.0,New Orleans Pelicans,Brooklyn Nets,3,62-76,12,two point jumper,True,21,True,False
2008-03-07,35.9333333333,New Orleans Pelicans,Brooklyn Nets,3,67-78,9,two point shot,True,1,True,False
2008-03-07,37.1166666667,New Orleans Pelicans,Brooklyn Nets,4,67-80,11,dunk,True,0,True,False
2008-03-07,37.7,New Orleans Pelicans,Brooklyn Nets,4,67-82,13,two point jumper,True,21,True,False
2008-03-07,38.3666666667,New Orleans Pelicans,Brooklyn Nets,4,69-84,13,two point shot,True,1,True,False
2008-03-07,39.4666666667,New Orleans Pelicans,Brooklyn Nets,4,71-89,15,three point jumper,True,23,True,False
2008-03-07,45.05,New Orleans Pelicans,Brooklyn Nets,4,87-96,8,free throw,True,15,False,False
2008-03-07,45.05,New Orleans Pelicans,Brooklyn Nets,4,87-97,9,free throw,True,15,True,False
2008-03-07,45.2833333333,New Orleans Pelicans,Brooklyn Nets,4,87-98,10,free throw,True,15,True,False
2008-03-07,45.2833333333,New Orleans Pelicans,Brooklyn Nets,4,87-99,11,free throw,True,15,True,False
2008-04-04,13.7166666667,New Orleans Pelicans,New York Knicks,2,33-31,-4,layup,True,0,False,True
2008-04-04,14.3833333333,New Orleans Pelicans,New York Knicks,2,35-31,-7,three point jumper,True,24,False,True
2008-04-04,14.8166666667,New Orleans Pelicans,New York Knicks,2,35-33,-4,two point shot,True,1,True,True
2008-04-04,16.0,New Orleans Pelicans,New York Knicks,2,39-35,-6,two point jumper,True,15,True,True
2008-04-04,16.9833333333,New Orleans Pelicans,New York Knicks,2,44-37,-9,two point jumper,True,8,False,True
2008-11-11,47.3666666667,New Orleans Pelicans,Philadelphia 76ers,4,93-72,19,layup,False,0,True,True
2008-03-30,43.6666666667,New Orleans Pelicans,Toronto Raptors,4,112-97,13,two point jumper,False,1,False,True
2008-04-06,19.1666666667,New Orleans Pelicans,Golden State Warriors,2,46-47,-2,three point jumper,True,22,True,False
2008-04-15,38.0833333333,New Orleans Pelicans,Los Angeles Clippers,4,72-87,13,two point shot,True,1,True,False
2008-04-15,38.0833333333,New Orleans Pelicans,Los Angeles Clippers,4,72-88,15,free throw,True,15,True,False
2008-04-15,39.5,New Orleans Pelicans,Los Angeles Clippers,4,75-93,17,free throw,True,15,True,False
2008-04-15,39.5,New Orleans Pelicans,Los Angeles Clippers,4,75-94,18,free throw,True,15,True,False
2008-04-15,40.0,New Orleans Pelicans,Los Angeles Clippers,4,77-96,17,dunk,True,0,True,False
2008-04-15,41.85,New Orleans Pelicans,Los Angeles Clippers,4,79-99,17,three point jumper,True,26,True,False
2008-04-15,42.9833333333,New Orleans Pelicans,Los Angeles Clippers,4,79-102,22,free throw,True,15,True,False
2008-04-15,42.9833333333,New Orleans Pelicans,Los Angeles Clippers,4,79-103,23,free throw,True,15,True,False
2008-04-15,44.35,New Orleans Pelicans,Los Angeles Clippers,4,81-108,26,free throw,True,15,True,False
2008-04-15,44.35,New Orleans Pelicans,Los Angeles Clippers,4,81-109,27,free throw,True,15,True,False
2008-11-06,16.0666666667,New Orleans Pelicans,Los Angeles Lakers,2,40-32,6,two point shot,False,1,True,True
2008-01-09,43.2833333333,New Orleans Pelicans,Los Angeles Lakers,4,101-76,-27,layup,True,0,False,True
2008-01-09,47.0,New Orleans Pelicans,Los Angeles Lakers,4,107-78,-31,two point jumper,True,17,False,True
2008-03-14,14.3833333333,New Orleans Pelicans,Los Angeles Lakers,2,25-27,0,layup,True,0,True,False
2008-03-14,37.25,New Orleans Pelicans,Los Angeles Lakers,4,76-83,4,three point jumper,True,23,True,False
2008-03-14,39.8666666667,New Orleans Pelicans,Los Angeles Lakers,4,82-92,8,two point jumper,True,24,True,False
2008-03-14,40.2,New Orleans Pelicans,Los Angeles Lakers,4,82-94,10,two point shot,True,1,True,False
2008-03-14,42.3166666667,New Orleans Pelicans,Los Angeles Lakers,4,85-97,10,two point jumper,True,22,False,False
2008-03-14,43.85,New Orleans Pelicans,Los Angeles Lakers,4,88-100,10,layup,True,0,False,False
2008-04-11,16.7,New Orleans Pelicans,Los Angeles Lakers,2,29-53,-27,three point jumper,False,26,True,False
2008-12-15,15.3333333333,New Orleans Pelicans,Phoenix Suns,2,37-39,0,two point jumper,True,17,False,False
2008-12-15,18.9166666667,New Orleans Pelicans,Phoenix Suns,2,46-59,11,two point jumper,True,13,False,False
2008-12-15,22.3666666667,New Orleans Pelicans,Phoenix Suns,2,43-57,12,two point jumper,True,19,False,False
2008-12-15,22.75,New Orleans Pelicans,Phoenix Suns,2,43-57,12,two point jumper,True,12,False,False
2008-04-12,17.25,New Orleans Pelicans,Sacramento Kings,2,35-37,-4,two point shot,False,1,True,False
2008-03-17,9.03333333333,New Orleans Pelicans,Chicago Bulls,1,18-19,-1,two point jumper,True,22,True,False
2008-03-17,16.1,New Orleans Pelicans,Chicago Bulls,2,30-34,2,two point jumper,True,22,True,False
2008-03-17,18.4833333333,New Orleans Pelicans,Chicago Bulls,2,39-37,-4,two point shot,True,14,True,False
2008-03-17,19.45,New Orleans Pelicans,Chicago Bulls,2,41-39,-4,layup,True,0,True,False
2008-03-17,29.7333333333,New Orleans Pelicans,Chicago Bulls,3,64-57,-9,two point shot,True,1,True,False
2008-03-17,29.7333333333,New Orleans Pelicans,Chicago Bulls,3,64-58,-7,free throw,True,15,True,False
2008-03-17,31.2833333333,New Orleans Pelicans,Chicago Bulls,3,66-60,-8,two point shot,True,1,False,False
2008-03-17,32.75,New Orleans Pelicans,Chicago Bulls,3,72-67,-8,three point jumper,True,24,True,False
2008-03-17,33.4333333333,New Orleans Pelicans,Chicago Bulls,3,75-67,-10,two point jumper,True,8,False,False
2008-12-29,15.45,New Orleans Pelicans,Cleveland Cavaliers,2,28-32,3,free throw,True,15,True,True
2008-12-29,15.45,New Orleans Pelicans,Cleveland Cavaliers,2,28-32,3,free throw,True,15,False,True
2008-03-26,12.3666666667,New Orleans Pelicans,Cleveland Cavaliers,2,25-23,1,free throw,False,15,False,False
2008-03-26,12.3666666667,New Orleans Pelicans,Cleveland Cavaliers,2,25-23,1,free throw,False,15,False,False
2008-12-05,47.8833333333,New Orleans Pelicans,Detroit Pistons,4,91-76,-17,two point jumper,True,23,False,False
2008-03-16,10.2166666667,New Orleans Pelicans,Detroit Pistons,1,22-19,1,two point shot,False,17,False,True
2008-03-16,11.9666666667,New Orleans Pelicans,Detroit Pistons,1,26-21,2,three point jumper,False,25,False,True
2008-03-16,14.9333333333,New Orleans Pelicans,Detroit Pistons,2,30-29,-1,layup,False,0,True,True
2008-03-16,16.7333333333,New Orleans Pelicans,Detroit Pistons,2,30-36,-8,tip shot,False,0,False,True
2008-03-16,30.6333333333,New Orleans Pelicans,Detroit Pistons,3,52-63,-13,layup,False,0,False,True
2008-03-16,32.0166666667,New Orleans Pelicans,Detroit Pistons,3,56-68,-14,layup,False,0,True,True
2008-03-16,32.7833333333,New Orleans Pelicans,Detroit Pistons,3,57-71,-15,free throw,False,15,True,True
2008-03-16,32.7833333333,New Orleans Pelicans,Detroit Pistons,3,59-71,-13,free throw,False,15,True,True
2008-03-16,35.55,New Orleans Pelicans,Detroit Pistons,3,64-75,-14,three point jumper,False,25,False,True
2008-03-16,36.25,New Orleans Pelicans,Detroit Pistons,4,68-77,-11,layup,False,0,True,True
2008-03-16,36.95,New Orleans Pelicans,Detroit Pistons,4,70-79,-11,two point jumper,False,18,True,True
2008-03-16,38.95,New Orleans Pelicans,Detroit Pistons,4,72-85,-16,three point jumper,False,25,False,True
2008-03-25,14.7,New Orleans Pelicans,Indiana Pacers,2,36-34,0,layup,False,0,False,True
2008-03-25,27.0,New Orleans Pelicans,Indiana Pacers,3,68-58,9,free throw,False,15,True,True
2008-03-25,27.0,New Orleans Pelicans,Indiana Pacers,3,69-58,10,free throw,False,15,True,True
2008-03-25,29.3166666667,New Orleans Pelicans,Indiana Pacers,3,76-63,11,two point shot,False,2,True,True
2008-03-25,30.95,New Orleans Pelicans,Indiana Pacers,3,80-66,13,free throw,False,15,True,True
2008-03-25,30.95,New Orleans Pelicans,Indiana Pacers,3,80-66,13,free throw,False,15,False,True
2008-03-25,34.4833333333,New Orleans Pelicans,Indiana Pacers,3,84-70,11,three point jumper,False,26,False,True
2008-03-25,36.0,New Orleans Pelicans,Indiana Pacers,3,86-79,4,three point jumper,False,23,False,True
2008-03-25,40.4833333333,New Orleans Pelicans,Indiana Pacers,4,94-89,3,two point shot,False,11,False,True
2008-01-21,45.2166666667,New Orleans Pelicans,Milwaukee Bucks,4,82-103,19,two point jumper,True,17,True,False
2008-01-21,47.3833333333,New Orleans Pelicans,Milwaukee Bucks,4,90-105,13,dunk,True,0,True,False
2008-01-21,47.8833333333,New Orleans Pelicans,Milwaukee Bucks,4,92-105,12,free throw,True,15,False,False
2008-01-21,47.8833333333,New Orleans Pelicans,Milwaukee Bucks,4,92-106,13,free throw,True,15,True,False
2008-12-14,13.0666666667,New Orleans Pelicans,Dallas Mavericks,2,16-26,-12,two point shot,False,1,False,False
2008-12-14,15.0,New Orleans Pelicans,Dallas Mavericks,2,20-28,-10,two point shot,False,1,True,False
2008-12-14,38.3833333333,New Orleans Pelicans,Dallas Mavericks,4,60-67,-9,layup,False,0,True,False
2008-02-20,47.2,New Orleans Pelicans,Dallas Mavericks,4,89-104,13,two point jumper,True,21,True,False
2008-04-16,14.0166666667,New Orleans Pelicans,Dallas Mavericks,2,30-25,3,two point jumper,False,19,False,True
2008-04-16,19.1,New Orleans Pelicans,Dallas Mavericks,2,40-39,-1,two point shot,False,19,True,True
2008-04-16,39.3166666667,New Orleans Pelicans,Dallas Mavericks,4,82-91,-10,free throw,False,15,True,True
2008-04-16,39.3166666667,New Orleans Pelicans,Dallas Mavericks,4,83-91,-9,free throw,False,15,True,True
2008-02-22,41.1666666667,New Orleans Pelicans,Houston Rockets,4,91-66,-27,layup,True,0,True,True
2008-02-22,42.1333333333,New Orleans Pelicans,Houston Rockets,4,91-71,-22,dunk,True,0,True,True
2008-02-22,42.5666666667,New Orleans Pelicans,Houston Rockets,4,91-73,-20,two point shot,True,1,True,True
2008-02-22,45.1,New Orleans Pelicans,Houston Rockets,4,96-77,-21,layup,True,0,True,True
2008-02-22,45.7333333333,New Orleans Pelicans,Houston Rockets,4,98-79,-21,two point jumper,True,18,True,True
2008-02-22,46.9833333333,New Orleans Pelicans,Houston Rockets,4,100-80,-22,two point jumper,True,19,False,True
2008-02-22,47.2833333333,New Orleans Pelicans,Houston Rockets,4,100-80,-21,free throw,True,15,False,True
2008-02-22,47.2833333333,New Orleans Pelicans,Houston Rockets,4,100-80,-21,free throw,True,15,False,True
2008-03-08,8.18333333333,New Orleans Pelicans,Houston Rockets,1,13-10,1,tip shot,False,0,True,True
2008-03-08,11.2333333333,New Orleans Pelicans,Houston Rockets,1,21-18,0,three point jumper,False,23,True,True
2008-03-08,15.0166666667,New Orleans Pelicans,Houston Rockets,2,28-26,0,two point jumper,False,17,True,True
2008-03-08,31.4833333333,New Orleans Pelicans,Houston Rockets,3,60-72,-14,layup,False,0,False,True
2008-03-08,32.8,New Orleans Pelicans,Houston Rockets,3,64-75,-13,layup,False,0,False,True
2008-03-08,34.4666666667,New Orleans Pelicans,Houston Rockets,3,72-77,-7,two point shot,False,1,True,True
2008-03-08,35.3,New Orleans Pelicans,Houston Rockets,3,72-79,-9,two point shot,False,14,False,True
2008-03-08,43.1333333333,New Orleans Pelicans,Houston Rockets,4,88-98,-13,three point jumper,False,25,False,True
2008-03-19,12.7,New Orleans Pelicans,Houston Rockets,2,24-16,-10,two point jumper,True,22,False,True
2008-03-19,16.6666666667,New Orleans Pelicans,Houston Rockets,2,32-20,-14,layup,True,0,True,True
2008-03-19,17.85,New Orleans Pelicans,Houston Rockets,2,34-20,-16,layup,True,0,False,True
2008-03-19,37.0666666667,New Orleans Pelicans,Houston Rockets,4,59-64,3,layup,True,0,True,True
2008-03-19,38.6333333333,New Orleans Pelicans,Houston Rockets,4,59-66,5,two point jumper,True,17,True,True
2008-03-19,44.6,New Orleans Pelicans,Houston Rockets,4,65-79,13,free throw,True,15,False,True
2008-03-19,44.6,New Orleans Pelicans,Houston Rockets,4,65-79,13,free throw,True,15,False,True
2008-12-07,12.4333333333,New Orleans Pelicans,Memphis Grizzlies,2,21-27,4,layup,True,0,True,True
2008-12-07,12.9333333333,New Orleans Pelicans,Memphis Grizzlies,2,21-29,6,two point jumper,True,12,True,True
2008-12-07,13.8166666667,New Orleans Pelicans,Memphis Grizzlies,2,21-31,8,dunk,True,0,True,True
2008-12-07,27.1166666667,New Orleans Pelicans,Memphis Grizzlies,3,58-62,2,two point jumper,True,19,False,True
2008-12-07,42.4166666667,New Orleans Pelicans,Memphis Grizzlies,4,91-97,4,two point jumper,True,19,False,True
2008-12-07,43.7333333333,New Orleans Pelicans,Memphis Grizzlies,4,94-99,2,three point jumper,True,25,False,True
2008-02-09,48.0,New Orleans Pelicans,Memphis Grizzlies,4,99-112,11,two point shot,True,1,True,False
