date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-12-21,38.7,Utah Jazz,Boston Celtics,4,75-78,-4,free throw,False,15,False,True
2006-12-21,38.7,Utah Jazz,Boston Celtics,4,76-78,-3,free throw,False,15,True,True
2006-12-21,40.8833333333,Utah Jazz,Boston Celtics,4,76-82,-8,two point jumper,False,13,False,True
2006-02-21,0.25,Utah Jazz,Boston Celtics,1,0-2,0,layup,True,0,True,True
2006-02-21,1.0,Utah Jazz,Boston Celtics,1,0-2,0,two point jumper,True,20,False,True
2006-02-21,2.08333333333,Utah Jazz,Boston Celtics,1,3-8,3,layup,True,0,True,True
2006-02-21,4.85,Utah Jazz,Boston Celtics,1,9-14,3,layup,True,0,True,True
2006-02-21,9.16666666667,Utah Jazz,Boston Celtics,1,14-16,-1,three point jumper,True,25,False,True
2006-02-21,24.6333333333,Utah Jazz,Boston Celtics,3,47-47,-2,two point jumper,True,17,False,True
2006-02-21,28.0333333333,Utah Jazz,Boston Celtics,3,56-53,-5,two point jumper,True,19,False,True
2006-02-21,29.35,Utah Jazz,Boston Celtics,3,62-58,-7,three point jumper,True,24,True,True
2006-02-21,31.6333333333,Utah Jazz,Boston Celtics,3,65-60,-6,free throw,True,15,False,True
2006-02-21,31.6333333333,Utah Jazz,Boston Celtics,3,65-61,-5,free throw,True,15,True,True
2006-02-21,31.6333333333,Utah Jazz,Boston Celtics,3,65-61,-5,free throw,True,15,False,True
2006-02-21,31.6333333333,Utah Jazz,Boston Celtics,3,65-61,-5,free throw,True,15,False,True
2006-02-21,32.8,Utah Jazz,Boston Celtics,3,69-61,-10,two point jumper,True,20,False,True
2006-02-21,35.2666666667,Utah Jazz,Boston Celtics,3,81-64,-20,three point jumper,True,24,False,True
2006-02-21,35.75,Utah Jazz,Boston Celtics,3,82-64,-20,two point jumper,True,21,False,True
2006-11-09,1.63333333333,Utah Jazz,Brooklyn Nets,1,4-4,-2,two point jumper,False,19,True,False
2006-11-09,3.63333333333,Utah Jazz,Brooklyn Nets,1,6-11,-7,two point jumper,False,19,True,False
2006-11-09,6.16666666667,Utah Jazz,Brooklyn Nets,1,10-15,-7,two point jumper,False,17,True,False
2006-11-09,27.8166666667,Utah Jazz,Brooklyn Nets,3,47-49,-5,three point jumper,False,25,True,False
2006-11-09,28.5666666667,Utah Jazz,Brooklyn Nets,3,47-52,-8,three point jumper,False,25,False,False
2006-11-09,30.3166666667,Utah Jazz,Brooklyn Nets,3,49-55,-9,three point jumper,False,25,False,False
2006-11-09,36.0,Utah Jazz,Brooklyn Nets,3,55-69,-15,free throw,False,15,True,False
2006-11-09,36.0,Utah Jazz,Brooklyn Nets,3,56-69,-14,free throw,False,15,True,False
2006-01-23,9.06666666667,Utah Jazz,Brooklyn Nets,1,12-14,0,two point jumper,True,23,True,True
2006-01-23,11.2666666667,Utah Jazz,Brooklyn Nets,1,14-19,3,two point jumper,True,18,False,True
2006-01-23,30.9166666667,Utah Jazz,Brooklyn Nets,3,39-55,15,free throw,True,15,True,True
2006-01-23,30.9166666667,Utah Jazz,Brooklyn Nets,3,39-56,16,free throw,True,15,True,True
2006-01-23,34.0166666667,Utah Jazz,Brooklyn Nets,3,42-61,16,three point jumper,True,24,True,True
2006-12-23,12.4333333333,Utah Jazz,New York Knicks,2,20-21,-3,two point jumper,False,20,True,False
2006-12-23,13.5166666667,Utah Jazz,New York Knicks,2,20-21,-3,two point jumper,False,20,False,False
2006-12-31,46.6833333333,Utah Jazz,Philadelphia 76ers,4,99-98,-3,two point jumper,True,21,True,True
2006-01-11,5.75,Utah Jazz,Philadelphia 76ers,1,14-15,-3,two point jumper,False,1,False,True
2006-01-11,7.81666666667,Utah Jazz,Philadelphia 76ers,1,18-17,-1,two point jumper,False,11,False,True
2006-01-11,24.3833333333,Utah Jazz,Philadelphia 76ers,3,48-51,-5,two point jumper,False,23,False,True
2006-11-11,0.75,Utah Jazz,Toronto Raptors,1,0-3,-5,two point jumper,False,16,False,True
2006-11-11,7.73333333333,Utah Jazz,Toronto Raptors,1,13-15,-5,three point jumper,False,24,True,True
2006-11-11,8.76666666667,Utah Jazz,Toronto Raptors,1,16-17,-4,three point jumper,False,25,False,True
2006-11-11,25.1833333333,Utah Jazz,Toronto Raptors,3,45-35,7,three point jumper,False,25,False,True
2006-01-17,0.883333333333,Utah Jazz,Toronto Raptors,1,0-0,-3,three point jumper,True,24,False,False
2006-01-17,2.25,Utah Jazz,Toronto Raptors,1,2-2,-2,layup,True,0,False,False
2006-01-17,3.13333333333,Utah Jazz,Toronto Raptors,1,4-2,-3,free throw,True,15,False,False
2006-01-17,3.13333333333,Utah Jazz,Toronto Raptors,1,4-3,-2,free throw,True,15,True,False
2006-01-17,10.6833333333,Utah Jazz,Toronto Raptors,1,16-22,5,free throw,True,15,True,False
2006-01-17,10.6833333333,Utah Jazz,Toronto Raptors,1,16-23,6,free throw,True,15,True,False
2006-01-17,11.9666666667,Utah Jazz,Toronto Raptors,1,22-27,3,two point jumper,True,22,False,False
2006-01-17,27.5,Utah Jazz,Toronto Raptors,3,54-62,6,two point jumper,True,18,False,False
2006-01-17,31.25,Utah Jazz,Toronto Raptors,3,59-73,11,three point jumper,True,24,False,False
2006-01-17,32.3166666667,Utah Jazz,Toronto Raptors,3,59-79,18,layup,True,0,True,False
2006-01-17,33.5166666667,Utah Jazz,Toronto Raptors,3,63-83,18,two point jumper,True,21,True,False
2006-01-17,35.4666666667,Utah Jazz,Toronto Raptors,3,70-85,13,two point jumper,True,21,False,False
2006-01-17,35.9,Utah Jazz,Toronto Raptors,3,70-86,15,free throw,True,15,True,False
2006-01-17,35.9,Utah Jazz,Toronto Raptors,3,70-87,16,free throw,True,15,True,False
2006-11-04,1.5,Utah Jazz,Golden State Warriors,1,2-0,0,two point jumper,False,1,False,True
2006-11-04,2.5,Utah Jazz,Golden State Warriors,1,4-2,0,layup,False,0,False,True
2006-11-04,11.45,Utah Jazz,Golden State Warriors,1,19-16,0,three point jumper,False,25,False,True
2006-11-04,28.1,Utah Jazz,Golden State Warriors,3,46-45,-1,two point jumper,False,23,False,True
2006-11-04,32.5833333333,Utah Jazz,Golden State Warriors,3,59-50,8,free throw,False,15,True,True
2006-11-04,32.5833333333,Utah Jazz,Golden State Warriors,3,60-50,9,free throw,False,15,True,True
2006-11-04,35.2,Utah Jazz,Golden State Warriors,3,66-58,7,free throw,False,15,True,True
2006-11-04,35.2,Utah Jazz,Golden State Warriors,3,67-58,8,free throw,False,15,True,True
2006-02-27,13.8166666667,Utah Jazz,Golden State Warriors,2,26-20,4,layup,False,0,True,True
2006-02-27,17.1,Utah Jazz,Golden State Warriors,2,32-26,4,two point jumper,False,18,True,True
2006-02-27,19.0666666667,Utah Jazz,Golden State Warriors,2,37-30,5,two point jumper,False,15,True,True
2006-02-27,19.95,Utah Jazz,Golden State Warriors,2,37-32,3,two point jumper,False,22,False,True
2006-02-27,21.1666666667,Utah Jazz,Golden State Warriors,2,40-34,5,free throw,False,15,True,True
2006-02-27,21.1666666667,Utah Jazz,Golden State Warriors,2,41-34,6,free throw,False,15,True,True
2006-02-27,23.45,Utah Jazz,Golden State Warriors,2,48-39,8,free throw,False,15,False,True
2006-02-27,23.45,Utah Jazz,Golden State Warriors,2,49-39,9,free throw,False,15,True,True
2006-02-27,23.9833333333,Utah Jazz,Golden State Warriors,2,49-39,8,two point jumper,False,1,False,True
2006-02-27,34.4833333333,Utah Jazz,Golden State Warriors,3,76-60,14,two point jumper,False,19,False,True
2006-02-27,35.4833333333,Utah Jazz,Golden State Warriors,3,76-64,9,three point jumper,False,26,False,True
2006-04-19,13.0833333333,Utah Jazz,Golden State Warriors,2,36-31,-7,layup,True,0,True,True
2006-04-19,21.9333333333,Utah Jazz,Golden State Warriors,2,47-46,-3,two point jumper,True,17,False,True
2006-04-19,23.0333333333,Utah Jazz,Golden State Warriors,2,50-48,-4,two point jumper,True,18,False,True
2006-04-19,36.75,Utah Jazz,Golden State Warriors,4,77-77,-2,layup,True,0,False,True
2006-01-16,27.5166666667,Utah Jazz,Los Angeles Clippers,3,47-52,-8,three point jumper,False,26,False,True
2006-01-16,28.45,Utah Jazz,Los Angeles Clippers,3,49-52,-5,two point jumper,False,19,False,True
