date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2007-02-14,4.2,Golden State Warriors,New York Knicks,1,10-13,1,two point jumper,True,16,False,True
2007-02-14,10.6333333333,Golden State Warriors,New York Knicks,1,19-30,9,two point shot,True,20,True,True
2007-02-14,24.4333333333,Golden State Warriors,New York Knicks,3,38-64,24,layup,True,0,True,True
2007-02-14,24.9,Golden State Warriors,New York Knicks,3,38-66,26,layup,True,0,True,True
2007-02-14,27.95,Golden State Warriors,New York Knicks,3,47-73,24,two point jumper,True,1,False,True
2007-02-14,28.8166666667,Golden State Warriors,New York Knicks,3,51-79,25,three point jumper,True,25,True,True
2007-02-14,30.75,Golden State Warriors,New York Knicks,3,55-84,26,three point jumper,True,24,True,True
2007-02-14,32.35,Golden State Warriors,New York Knicks,3,59-86,26,free throw,True,15,False,True
2007-02-14,32.35,Golden State Warriors,New York Knicks,3,59-87,27,free throw,True,15,True,True
2007-02-14,47.0,Golden State Warriors,New York Knicks,4,97-119,21,free throw,True,15,True,True
2007-02-14,47.0,Golden State Warriors,New York Knicks,4,97-120,22,free throw,True,15,True,True
2007-03-02,12.2,Golden State Warriors,New York Knicks,2,18-26,-10,two point jumper,False,15,False,True
2007-03-02,13.5,Golden State Warriors,New York Knicks,2,20-28,-10,two point jumper,False,17,False,True
2007-03-02,17.1666666667,Golden State Warriors,New York Knicks,2,27-36,-12,three point jumper,False,23,True,True
2007-03-02,27.7166666667,Golden State Warriors,New York Knicks,3,59-60,-4,three point jumper,False,25,True,True
2007-03-02,32.2666666667,Golden State Warriors,New York Knicks,3,71-70,-1,two point jumper,False,22,True,True
2007-03-02,34.7833333333,Golden State Warriors,New York Knicks,3,75-75,-2,layup,False,0,True,True
2007-03-02,37.8333333333,Golden State Warriors,New York Knicks,4,80-78,-1,three point jumper,False,23,True,True
2007-03-02,46.4833333333,Golden State Warriors,New York Knicks,4,92-100,-11,three point jumper,False,23,False,True
2007-03-02,46.6166666667,Golden State Warriors,New York Knicks,4,92-100,-10,tip shot,False,0,False,True
2007-03-02,47.7833333333,Golden State Warriors,New York Knicks,4,97-106,-11,layup,False,0,False,True
2007-01-02,14.6166666667,Golden State Warriors,New Orleans Pelicans,2,29-29,-3,three point jumper,False,24,False,True
2007-01-02,15.6833333333,Golden State Warriors,New Orleans Pelicans,2,31-31,-2,layup,False,0,True,True
2007-01-02,20.5833333333,Golden State Warriors,New Orleans Pelicans,2,45-37,6,dunk,False,0,True,True
2007-01-02,23.5666666667,Golden State Warriors,New Orleans Pelicans,2,49-43,4,layup,False,0,False,True
2007-01-03,2.0,Golden State Warriors,Memphis Grizzlies,1,6-12,-8,two point jumper,False,8,False,False
2007-01-03,3.81666666667,Golden State Warriors,Memphis Grizzlies,1,12-18,-8,layup,False,0,False,False
2007-01-03,4.31666666667,Golden State Warriors,Memphis Grizzlies,1,14-20,-8,layup,False,0,False,False
2007-01-03,4.31666666667,Golden State Warriors,Memphis Grizzlies,1,14-20,-8,layup,False,0,False,False
2007-01-03,4.91666666667,Golden State Warriors,Memphis Grizzlies,1,14-22,-11,three point jumper,False,25,False,False
2007-01-03,7.6,Golden State Warriors,Memphis Grizzlies,1,25-26,-4,three point jumper,False,26,True,False
2007-01-03,8.08333333333,Golden State Warriors,Memphis Grizzlies,1,27-26,-1,two point jumper,False,8,True,False
2007-01-03,21.8666666667,Golden State Warriors,Memphis Grizzlies,2,66-66,-3,three point jumper,False,26,True,False
2007-01-03,28.7,Golden State Warriors,Memphis Grizzlies,3,77-81,-7,three point jumper,False,24,False,False
2007-01-03,28.9833333333,Golden State Warriors,Memphis Grizzlies,3,79-81,-4,layup,False,0,True,False
