date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-11-02,11.6666666667,Boston Celtics,New York Knicks,1,28-22,-8,layup,True,0,False,True
2006-11-05,15.6166666667,Boston Celtics,Charlotte Bobcats,5,66-64,0,layup,False,0,False,False
2006-11-05,15.6166666667,Boston Celtics,Charlotte Bobcats,5,66-64,1,free throw,False,15,False,False
2006-11-05,15.6166666667,Boston Celtics,Charlotte Bobcats,5,66-64,1,free throw,False,15,False,False
2006-11-05,26.1,Boston Celtics,Charlotte Bobcats,7,105-105,-2,two point jumper,False,10,False,False
2006-11-09,25.0,Boston Celtics,Memphis Grizzlies,3,33-28,-6,free throw,True,15,True,True
2006-11-09,25.0,Boston Celtics,Memphis Grizzlies,3,33-29,-5,free throw,True,15,True,True
2006-11-18,32.9833333333,Boston Celtics,Toronto Raptors,3,65-68,1,two point jumper,True,1,False,False
2006-11-18,37.2,Boston Celtics,Toronto Raptors,4,70-72,0,hook shot,True,1,False,False
2006-11-23,14.55,Boston Celtics,Atlanta Hawks,2,38-31,5,two point jumper,False,6,True,False
2006-11-25,15.8166666667,Boston Celtics,Charlotte Bobcats,2,33-34,-1,hook shot,True,3,True,True
2006-11-25,19.85,Boston Celtics,Charlotte Bobcats,2,39-43,3,free throw,True,15,False,True
2006-11-25,19.85,Boston Celtics,Charlotte Bobcats,2,39-43,3,free throw,True,15,False,True
2006-11-25,25.95,Boston Celtics,Charlotte Bobcats,3,50-53,1,layup,True,0,True,True
2006-11-25,25.95,Boston Celtics,Charlotte Bobcats,3,50-54,3,free throw,True,15,True,True
2006-11-25,36.95,Boston Celtics,Charlotte Bobcats,4,67-75,6,hook shot,True,3,True,True
2006-11-28,0.45,Boston Celtics,Orlando Magic,1,0-2,0,layup,True,0,True,False
2006-11-28,4.41666666667,Boston Celtics,Orlando Magic,1,11-6,-7,hook shot,True,1,False,False
2006-11-28,27.2666666667,Boston Celtics,Orlando Magic,3,51-50,-3,layup,True,0,True,False
2006-11-28,29.1333333333,Boston Celtics,Orlando Magic,3,52-54,0,tip shot,True,0,False,False
2006-11-30,0.95,Boston Celtics,Philadelphia 76ers,1,2-2,-2,layup,True,0,False,True
2006-11-30,1.0,Boston Celtics,Philadelphia 76ers,1,2-4,0,tip shot,True,0,True,True
2006-11-30,2.11666666667,Boston Celtics,Philadelphia 76ers,1,6-9,1,tip shot,True,0,True,True
2006-11-30,3.58333333333,Boston Celtics,Philadelphia 76ers,1,9-10,0,free throw,True,15,True,True
2006-11-30,3.58333333333,Boston Celtics,Philadelphia 76ers,1,9-11,1,free throw,True,15,True,True
2006-11-30,18.9833333333,Boston Celtics,Philadelphia 76ers,2,41-43,0,hook shot,True,2,True,True
2006-11-30,21.35,Boston Celtics,Philadelphia 76ers,2,44-51,5,hook shot,True,4,True,True
2006-11-30,26.0666666667,Boston Celtics,Philadelphia 76ers,3,54-56,0,hook shot,True,5,True,True
2006-11-30,31.5,Boston Celtics,Philadelphia 76ers,3,68-70,0,two point jumper,True,17,False,True
2006-12-02,1.75,Boston Celtics,Chicago Bulls,1,6-3,-5,layup,True,0,False,False
2006-12-02,2.21666666667,Boston Celtics,Chicago Bulls,1,8-4,-5,free throw,True,15,True,False
2006-12-02,2.21666666667,Boston Celtics,Chicago Bulls,1,8-5,-4,free throw,True,15,True,False
2006-12-02,8.48333333333,Boston Celtics,Chicago Bulls,1,24-17,-8,free throw,True,15,False,False
2006-12-02,24.8333333333,Boston Celtics,Chicago Bulls,3,56-49,-9,layup,True,0,True,False
2006-12-02,24.8333333333,Boston Celtics,Chicago Bulls,3,56-50,-7,free throw,True,15,True,False
2006-12-02,30.2166666667,Boston Celtics,Chicago Bulls,3,61-61,-2,layup,True,0,True,False
2006-12-04,3.83333333333,Boston Celtics,New York Knicks,1,11-3,6,layup,False,0,True,False
2006-12-04,4.28333333333,Boston Celtics,New York Knicks,1,11-6,3,hook shot,False,4,False,False
2006-12-04,4.35,Boston Celtics,New York Knicks,1,13-6,5,hook shot,False,4,True,False
2006-12-04,24.25,Boston Celtics,New York Knicks,3,48-45,1,layup,False,0,True,False
2006-12-04,24.25,Boston Celtics,New York Knicks,3,48-45,2,free throw,False,15,False,False
2006-12-06,0.633333333333,Boston Celtics,Houston Rockets,1,2-0,0,two point shot,False,4,True,False
2006-12-06,4.48333333333,Boston Celtics,Houston Rockets,1,5-7,-4,hook shot,False,5,False,False
2006-12-06,22.9333333333,Boston Celtics,Houston Rockets,2,36-43,-9,hook shot,False,5,False,False
2006-12-06,23.6833333333,Boston Celtics,Houston Rockets,2,38-47,-11,two point shot,False,1,True,False
2006-12-06,26.4666666667,Boston Celtics,Houston Rockets,3,38-52,-16,hook shot,False,6,False,False
2006-12-07,8.0,Boston Celtics,New Orleans Pelicans,1,23-20,2,free throw,False,15,True,False
2006-12-07,8.0,Boston Celtics,New Orleans Pelicans,1,24-20,3,free throw,False,15,True,False
2006-12-07,47.4166666667,Boston Celtics,New Orleans Pelicans,4,101-87,12,two point jumper,False,1,False,False
2006-12-09,14.1333333333,Boston Celtics,San Antonio Spurs,2,19-29,-11,free throw,False,15,False,True
2006-12-09,14.1333333333,Boston Celtics,San Antonio Spurs,2,20-29,-10,free throw,False,15,True,True
2006-12-09,24.3833333333,Boston Celtics,San Antonio Spurs,3,43-52,-10,free throw,False,15,True,True
2006-12-09,24.3833333333,Boston Celtics,San Antonio Spurs,3,44-52,-9,free throw,False,15,True,True
2006-12-10,25.5666666667,Boston Celtics,Dallas Mavericks,3,47-55,-9,free throw,False,15,False,True
2006-12-10,25.5666666667,Boston Celtics,Dallas Mavericks,3,47-55,-9,free throw,False,15,False,True
2006-12-14,2.25,Boston Celtics,Indiana Pacers,1,4-3,-3,hook shot,True,4,False,True
