date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2013-04-03,16.3166666667,Detroit Pistons,Boston Celtics,2,35-38,-6,three point jumper,False,25,False,False
2013-04-03,22.05,Detroit Pistons,Boston Celtics,2,43-53,-12,layup,False,0,False,False
2013-03-18,16.3833333333,Detroit Pistons,Brooklyn Nets,2,46-31,-18,three point jumper,True,27,False,True
2013-03-18,21.25,Detroit Pistons,Brooklyn Nets,2,56-39,-20,three point jumper,True,22,False,True
2013-03-18,22.7166666667,Detroit Pistons,Brooklyn Nets,2,59-43,-18,layup,True,0,True,True
2013-03-18,22.7166666667,Detroit Pistons,Brooklyn Nets,2,59-43,-17,free throw,True,15,False,True
2013-03-18,38.5666666667,Detroit Pistons,Brooklyn Nets,4,94-65,-30,free throw,True,15,True,True
2013-03-18,38.5666666667,Detroit Pistons,Brooklyn Nets,4,94-66,-29,free throw,True,15,True,True
2013-03-18,40.1,Detroit Pistons,Brooklyn Nets,4,98-68,-32,two point shot,True,10,True,True
2013-03-18,42.1666666667,Detroit Pistons,Brooklyn Nets,4,103-68,-37,layup,True,0,False,True
2013-03-18,43.3833333333,Detroit Pistons,Brooklyn Nets,4,107-70,-40,three point jumper,True,27,False,True
2013-03-18,45.4,Detroit Pistons,Brooklyn Nets,4,115-74,-43,layup,True,0,True,True
2013-03-18,47.5666666667,Detroit Pistons,Brooklyn Nets,4,119-81,-39,free throw,True,15,True,True
2013-03-18,47.5666666667,Detroit Pistons,Brooklyn Nets,4,119-82,-38,free throw,True,15,True,True
2013-04-17,15.2,Detroit Pistons,Brooklyn Nets,2,24-37,-16,three point jumper,False,25,False,True
2013-04-17,15.45,Detroit Pistons,Brooklyn Nets,2,26-37,-13,layup,False,0,True,True
2013-04-17,16.95,Detroit Pistons,Brooklyn Nets,2,28-44,-18,two point jumper,False,23,False,True
2013-04-17,19.75,Detroit Pistons,Brooklyn Nets,2,37-52,-17,layup,False,0,True,True
2013-04-17,19.75,Detroit Pistons,Brooklyn Nets,2,37-52,-16,free throw,False,15,False,True
2013-04-17,45.0,Detroit Pistons,Brooklyn Nets,4,92-103,-13,two point jumper,False,1,True,True
2013-04-17,46.8833333333,Detroit Pistons,Brooklyn Nets,4,96-103,-9,two point jumper,False,6,False,True
2013-04-17,47.1166666667,Detroit Pistons,Brooklyn Nets,4,98-103,-6,free throw,False,15,False,True
2013-04-17,47.1166666667,Detroit Pistons,Brooklyn Nets,4,99-103,-5,free throw,False,15,True,True
2013-11-25,46.9833333333,Detroit Pistons,New York Knicks,4,98-118,-22,two point jumper,False,19,False,False
2013-04-15,20.2166666667,Detroit Pistons,Philadelphia 76ers,2,46-47,-2,three point jumper,True,27,False,True
2013-03-29,9.55,Detroit Pistons,Toronto Raptors,1,15-22,4,three point jumper,True,25,True,False
2013-03-29,15.05,Detroit Pistons,Toronto Raptors,2,23-32,7,two point jumper,True,21,False,False
2013-03-29,16.5333333333,Detroit Pistons,Toronto Raptors,2,27-32,2,three point jumper,True,27,False,False
2013-03-29,35.9833333333,Detroit Pistons,Toronto Raptors,3,82-60,-25,three point jumper,True,23,False,False
2013-03-29,41.2166666667,Detroit Pistons,Toronto Raptors,4,93-69,-27,three point jumper,True,24,True,False
2013-03-29,44.0333333333,Detroit Pistons,Toronto Raptors,4,97-74,-26,three point jumper,True,25,False,False
2013-03-29,45.9666666667,Detroit Pistons,Toronto Raptors,4,99-75,-26,two point jumper,True,15,False,False
2013-03-10,45.1833333333,Detroit Pistons,Los Angeles Clippers,4,94-125,-34,three point jumper,False,27,False,True
2013-11-04,36.5833333333,Detroit Pistons,Los Angeles Lakers,4,55-88,-36,three point jumper,False,26,False,True
2013-11-04,37.6166666667,Detroit Pistons,Los Angeles Lakers,4,60-88,-31,three point jumper,False,26,True,True
2013-11-04,39.45,Detroit Pistons,Los Angeles Lakers,4,67-88,-24,three point jumper,False,26,True,True
2013-11-04,40.2,Detroit Pistons,Los Angeles Lakers,4,67-91,-26,two point jumper,False,1,False,True
2013-11-04,40.8833333333,Detroit Pistons,Los Angeles Lakers,4,68-91,-24,free throw,False,15,True,True
2013-11-04,40.8833333333,Detroit Pistons,Los Angeles Lakers,4,69-91,-23,free throw,False,15,True,True
2013-11-04,42.7333333333,Detroit Pistons,Los Angeles Lakers,4,71-96,-28,three point jumper,False,26,False,True
2013-11-02,12.95,Detroit Pistons,Phoenix Suns,2,30-24,3,three point jumper,False,43,False,False
2013-11-02,38.6333333333,Detroit Pistons,Phoenix Suns,4,67-73,-8,layup,False,0,False,False
2013-11-28,46.5333333333,Detroit Pistons,Phoenix Suns,4,72-114,40,two point jumper,True,11,False,False
2013-11-28,47.2,Detroit Pistons,Phoenix Suns,4,74-114,38,two point shot,True,1,False,False
2013-11-28,47.5,Detroit Pistons,Phoenix Suns,4,75-117,39,three point jumper,True,24,True,False
2013-11-07,14.05,Detroit Pistons,Sacramento Kings,2,31-30,-1,two point jumper,False,4,False,False
2013-11-07,17.4833333333,Detroit Pistons,Sacramento Kings,2,38-41,-6,three point jumper,False,26,False,False
2013-11-07,36.4666666667,Detroit Pistons,Sacramento Kings,4,73-79,-8,two point shot,False,1,True,False
2013-02-01,14.8666666667,Detroit Pistons,Cleveland Cavaliers,2,27-31,1,three point jumper,True,26,False,False
2013-02-01,39.75,Detroit Pistons,Cleveland Cavaliers,4,76-89,10,three point jumper,True,23,False,False
2013-04-10,18.1,Detroit Pistons,Cleveland Cavaliers,2,34-41,-10,three point jumper,False,25,False,True
2013-10-31,20.7,Detroit Pistons,Houston Rockets,2,53-48,-7,layup,True,0,True,True
2013-10-31,32.1833333333,Detroit Pistons,Houston Rockets,3,66-71,2,three point jumper,True,27,False,True
2013-10-31,32.65,Detroit Pistons,Houston Rockets,3,69-74,2,three point jumper,True,23,True,True
2013-10-31,33.1,Detroit Pistons,Houston Rockets,3,69-77,5,three point jumper,True,23,True,True
2013-10-31,45.75,Detroit Pistons,Houston Rockets,4,101-93,-11,three point jumper,True,24,False,True
2013-11-06,14.8833333333,Detroit Pistons,Denver Nuggets,2,32-31,-2,three point jumper,False,26,True,True
2013-11-06,16.4166666667,Detroit Pistons,Denver Nuggets,2,39-36,0,three point jumper,False,23,True,True
2013-11-09,18.4166666667,Detroit Pistons,Oklahoma City Thunder,2,35-38,-5,two point jumper,False,1,False,True
2013-11-09,40.2833333333,Detroit Pistons,Oklahoma City Thunder,4,76-84,-11,three point jumper,False,23,False,True
2013-11-21,45.8333333333,Detroit Pistons,Orlando Magic,4,69-88,-22,three point jumper,False,26,True,False
2013-11-21,46.4833333333,Detroit Pistons,Orlando Magic,4,69-88,-22,three point jumper,False,24,False,False
2013-11-21,47.8666666667,Detroit Pistons,Orlando Magic,4,74-90,-18,layup,False,0,True,False
2013-12-21,45.6166666667,Detroit Pistons,Washington Wizards,4,61-95,32,two point jumper,True,18,False,False
2013-12-21,46.75,Detroit Pistons,Washington Wizards,4,66-95,26,three point jumper,True,23,False,False
2013-12-30,20.6166666667,Detroit Pistons,Milwaukee Bucks,2,39-49,9,free throw,True,15,False,True
2013-12-30,20.6166666667,Detroit Pistons,Milwaukee Bucks,2,39-50,10,free throw,True,15,True,True
2013-01-11,46.4833333333,Detroit Pistons,Milwaukee Bucks,4,101-82,17,two point jumper,False,19,False,False
2013-01-22,33.2833333333,Detroit Pistons,Orlando Magic,3,85-99,11,three point jumper,True,24,False,False
2013-01-22,35.8,Detroit Pistons,Orlando Magic,3,87-105,16,layup,True,0,True,False
2013-01-25,45.5833333333,Detroit Pistons,Miami Heat,4,83-102,-21,two point jumper,False,21,True,True
2013-01-25,47.8166666667,Detroit Pistons,Miami Heat,4,88-110,-25,three point jumper,False,24,False,True
2013-01-27,7.66666666667,Detroit Pistons,Orlando Magic,1,18-18,-1,free throw,False,15,True,True
2013-01-27,7.66666666667,Detroit Pistons,Orlando Magic,1,19-18,0,free throw,False,15,True,True
2013-01-27,10.7666666667,Detroit Pistons,Orlando Magic,1,29-22,4,three point jumper,False,25,False,True
2013-01-27,26.15,Detroit Pistons,Orlando Magic,3,60-48,10,two point jumper,False,20,True,True
2013-01-27,33.9166666667,Detroit Pistons,Orlando Magic,3,75-71,2,layup,False,0,True,True
2013-01-29,46.7333333333,Detroit Pistons,Milwaukee Bucks,4,115-87,-29,free throw,True,15,False,True
2013-01-29,46.7333333333,Detroit Pistons,Milwaukee Bucks,4,115-88,-28,free throw,True,15,True,True
2013-01-29,47.1166666667,Detroit Pistons,Milwaukee Bucks,4,115-90,-27,layup,True,0,True,True
