date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-12-21,13.3833333333,Utah Jazz,Boston Celtics,2,23-20,1,hook shot,False,9,False,True
2006-12-21,16.6333333333,Utah Jazz,Boston Celtics,2,25-30,-7,tip shot,False,0,False,True
2006-02-21,44.4666666667,Utah Jazz,Boston Celtics,4,97-75,-24,two point jumper,True,8,True,True
2006-02-21,45.75,Utah Jazz,Boston Celtics,4,99-76,-25,two point shot,True,16,False,True
2006-11-09,6.16666666667,Utah Jazz,Brooklyn Nets,1,11-15,-5,free throw,False,15,True,False
2006-11-09,7.2,Utah Jazz,Brooklyn Nets,1,15-17,-4,two point jumper,False,16,True,False
2006-11-09,8.81666666667,Utah Jazz,Brooklyn Nets,1,18-20,-4,two point jumper,False,17,False,False
2006-11-09,9.55,Utah Jazz,Brooklyn Nets,1,22-22,-2,dunk,False,0,True,False
2006-11-09,11.3833333333,Utah Jazz,Brooklyn Nets,1,24-25,-3,two point jumper,False,9,True,False
2006-11-09,14.5666666667,Utah Jazz,Brooklyn Nets,2,27-32,-7,two point jumper,False,12,True,False
2006-11-09,17.35,Utah Jazz,Brooklyn Nets,2,31-32,-3,two point jumper,False,21,False,False
2006-11-09,17.6666666667,Utah Jazz,Brooklyn Nets,2,31-32,-3,two point jumper,False,21,False,False
2006-11-09,18.1666666667,Utah Jazz,Brooklyn Nets,2,31-32,-3,two point jumper,False,20,False,False
2006-11-09,18.2333333333,Utah Jazz,Brooklyn Nets,2,31-32,-3,two point jumper,False,9,False,False
2006-11-09,35.4166666667,Utah Jazz,Brooklyn Nets,3,54-68,-16,layup,False,0,True,False
2006-01-23,13.15,Utah Jazz,Brooklyn Nets,2,17-22,3,two point jumper,True,5,False,True
2006-01-23,14.25,Utah Jazz,Brooklyn Nets,2,17-22,3,two point jumper,True,11,False,True
2006-01-23,37.2666666667,Utah Jazz,Brooklyn Nets,4,54-63,7,layup,True,0,False,True
2006-11-14,14.2166666667,Utah Jazz,New York Knicks,2,12-21,7,two point jumper,True,17,False,False
2006-11-14,15.1333333333,Utah Jazz,New York Knicks,2,12-21,7,two point jumper,True,6,False,False
2006-11-14,38.1166666667,Utah Jazz,New York Knicks,4,54-46,-10,two point shot,True,7,False,False
2006-11-14,39.8833333333,Utah Jazz,New York Knicks,4,58-50,-10,two point jumper,True,3,True,False
2006-12-23,38.4333333333,Utah Jazz,New York Knicks,4,67-72,-6,free throw,False,15,False,False
2006-12-23,38.4333333333,Utah Jazz,New York Knicks,4,68-72,-5,free throw,False,15,True,False
2006-12-23,38.9666666667,Utah Jazz,New York Knicks,4,70-74,-6,layup,False,0,True,False
2006-12-23,38.9666666667,Utah Jazz,New York Knicks,4,71-74,-4,free throw,False,15,True,False
2006-11-11,16.4166666667,Utah Jazz,Toronto Raptors,2,27-23,2,layup,False,0,True,True
2006-11-11,18.0666666667,Utah Jazz,Toronto Raptors,2,31-23,6,two point jumper,False,14,True,True
2006-11-11,20.5166666667,Utah Jazz,Toronto Raptors,2,39-27,10,two point jumper,False,13,True,True
2006-11-11,21.0666666667,Utah Jazz,Toronto Raptors,2,39-29,8,two point jumper,False,16,False,True
2006-11-04,17.3833333333,Utah Jazz,Golden State Warriors,2,31-25,5,free throw,False,15,True,True
2006-11-04,17.3833333333,Utah Jazz,Golden State Warriors,2,32-25,6,free throw,False,15,True,True
2006-11-04,18.1666666667,Utah Jazz,Golden State Warriors,2,32-25,5,two point jumper,False,4,False,True
2006-11-04,19.7,Utah Jazz,Golden State Warriors,2,35-28,5,two point jumper,False,12,False,True
2006-11-04,20.35,Utah Jazz,Golden State Warriors,2,36-28,6,tip shot,False,0,False,True
2006-11-04,20.4833333333,Utah Jazz,Golden State Warriors,2,36-28,6,two point shot,False,13,False,True
2006-11-25,10.5,Utah Jazz,Golden State Warriors,1,16-29,11,two point jumper,True,8,True,False
