date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-11-30,1.25,Philadelphia 76ers,Boston Celtics,1,4-4,-2,layup,False,0,True,False
2006-11-30,11.5,Philadelphia 76ers,Boston Celtics,1,25-26,-3,two point jumper,False,19,True,False
2006-11-30,14.8166666667,Philadelphia 76ers,Boston Celtics,2,31-33,-4,two point jumper,False,18,False,False
2006-11-30,17.25,Philadelphia 76ers,Boston Celtics,2,37-39,-4,two point shot,False,1,True,False
2006-11-30,26.8,Philadelphia 76ers,Boston Celtics,3,59-56,0,three point jumper,False,23,True,False
2006-11-30,35.8333333333,Philadelphia 76ers,Boston Celtics,3,76-78,-5,three point jumper,False,27,False,False
2006-11-30,47.8333333333,Philadelphia 76ers,Boston Celtics,4,102-110,-11,three point jumper,False,27,False,False
2006-01-13,2.08333333333,Philadelphia 76ers,Boston Celtics,1,7-5,-5,three point jumper,True,25,True,True
2006-01-13,11.0166666667,Philadelphia 76ers,Boston Celtics,1,26-34,5,three point jumper,True,25,True,True
2006-01-13,11.4666666667,Philadelphia 76ers,Boston Celtics,1,28-34,3,three point jumper,True,25,False,True
2006-01-13,12.8,Philadelphia 76ers,Boston Celtics,2,32-39,4,three point jumper,True,26,True,True
2006-01-13,13.8,Philadelphia 76ers,Boston Celtics,2,35-39,2,two point jumper,True,23,False,True
2006-01-13,16.3833333333,Philadelphia 76ers,Boston Celtics,2,41-40,-4,three point jumper,True,24,False,True
2006-01-13,16.7333333333,Philadelphia 76ers,Boston Celtics,2,44-40,-7,three point jumper,True,30,False,True
2006-01-13,17.1666666667,Philadelphia 76ers,Boston Celtics,2,44-40,-6,two point jumper,True,22,False,True
2006-01-13,27.8833333333,Philadelphia 76ers,Boston Celtics,3,73-61,-15,three point jumper,True,25,False,True
2006-01-13,24.1666666667,Philadelphia 76ers,Boston Celtics,6,121-121,-3,three point jumper,True,26,True,True
2006-01-13,28.1,Philadelphia 76ers,Boston Celtics,8,124-125,-2,three point jumper,True,27,False,True
2006-03-08,26.05,Philadelphia 76ers,Boston Celtics,3,28-34,-9,three point jumper,False,26,False,False
2006-03-08,30.7,Philadelphia 76ers,Boston Celtics,3,34-38,-7,three point jumper,False,25,True,False
2006-03-08,32.8,Philadelphia 76ers,Boston Celtics,3,36-42,-8,two point jumper,False,19,False,False
2006-03-08,14.5,Philadelphia 76ers,Boston Celtics,5,83-77,3,three point jumper,False,26,False,False
2006-03-08,16.1166666667,Philadelphia 76ers,Boston Celtics,5,89-82,4,three point jumper,False,25,True,False
2006-03-08,18.0333333333,Philadelphia 76ers,Boston Celtics,5,91-87,2,two point jumper,False,9,False,False
2006-03-08,18.6166666667,Philadelphia 76ers,Boston Celtics,5,94-87,5,two point jumper,False,14,False,False
2006-03-08,19.7666666667,Philadelphia 76ers,Boston Celtics,5,97-90,4,three point jumper,False,25,True,False
2006-04-07,8.05,Philadelphia 76ers,Boston Celtics,1,20-20,-1,free throw,True,15,True,True
2006-04-07,8.65,Philadelphia 76ers,Boston Celtics,1,20-25,2,three point jumper,True,23,True,True
2006-04-07,13.3333333333,Philadelphia 76ers,Boston Celtics,2,30-36,3,three point jumper,True,27,False,True
2006-04-07,13.7,Philadelphia 76ers,Boston Celtics,2,30-36,3,three point jumper,True,28,False,True
2006-04-07,16.2166666667,Philadelphia 76ers,Boston Celtics,2,36-42,4,two point shot,True,1,True,True
2006-04-07,16.7833333333,Philadelphia 76ers,Boston Celtics,2,38-42,1,three point jumper,True,23,False,True
2006-04-07,23.5833333333,Philadelphia 76ers,Boston Celtics,2,55-59,1,three point jumper,True,25,True,True
2006-04-07,27.8666666667,Philadelphia 76ers,Boston Celtics,3,59-61,0,two point jumper,True,10,False,True
2006-04-07,30.5333333333,Philadelphia 76ers,Boston Celtics,3,66-70,1,three point jumper,True,26,True,True
2006-04-07,37.1333333333,Philadelphia 76ers,Boston Celtics,4,84-79,-8,three point jumper,True,26,True,True
2006-04-07,46.0833333333,Philadelphia 76ers,Boston Celtics,4,101-97,-7,three point jumper,True,23,True,True
2006-12-10,1.25,Philadelphia 76ers,Brooklyn Nets,1,2-4,-4,two point jumper,False,21,True,False
2006-12-10,2.7,Philadelphia 76ers,Brooklyn Nets,1,4-6,-4,two point jumper,False,17,True,False
2006-12-10,5.2,Philadelphia 76ers,Brooklyn Nets,1,12-14,-5,three point jumper,False,24,True,False
2006-12-10,5.95,Philadelphia 76ers,Brooklyn Nets,1,15-17,-5,three point jumper,False,28,True,False
2006-12-10,6.6,Philadelphia 76ers,Brooklyn Nets,1,15-17,-5,three point jumper,False,24,False,False
2006-12-10,8.48333333333,Philadelphia 76ers,Brooklyn Nets,1,22-19,0,three point jumper,False,24,True,False
2006-12-10,26.8833333333,Philadelphia 76ers,Brooklyn Nets,3,64-51,11,two point shot,False,1,True,False
2006-12-10,30.9166666667,Philadelphia 76ers,Brooklyn Nets,3,69-60,6,three point jumper,False,27,True,False
2006-12-10,32.7333333333,Philadelphia 76ers,Brooklyn Nets,3,73-62,9,two point shot,False,9,True,False
