date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2012-03-07,45.8,Philadelphia 76ers,Boston Celtics,4,65-100,33,two point jumper,True,1,True,False
2012-04-08,40.75,Philadelphia 76ers,Boston Celtics,4,72-88,-18,two point jumper,False,15,False,True
2012-04-08,44.25,Philadelphia 76ers,Boston Celtics,4,76-96,-22,two point jumper,False,1,True,True
2012-04-08,46.1,Philadelphia 76ers,Boston Celtics,4,78-96,-20,layup,False,0,True,True
2012-04-08,46.6,Philadelphia 76ers,Boston Celtics,4,78-99,-23,two point jumper,False,18,False,True
2012-04-08,47.2666666667,Philadelphia 76ers,Boston Celtics,4,78-103,-27,two point jumper,False,18,False,True
2012-01-25,28.4833333333,Philadelphia 76ers,Brooklyn Nets,3,53-50,-4,free throw,True,15,True,False
2012-01-25,28.4833333333,Philadelphia 76ers,Brooklyn Nets,3,53-51,-3,free throw,True,15,True,False
2012-01-25,29.9833333333,Philadelphia 76ers,Brooklyn Nets,3,57-51,-8,two point jumper,True,1,False,False
2012-01-25,30.5666666667,Philadelphia 76ers,Brooklyn Nets,3,57-51,-8,two point jumper,True,18,False,False
2012-01-25,33.2166666667,Philadelphia 76ers,Brooklyn Nets,3,59-55,-6,two point jumper,True,11,True,False
2012-01-25,33.75,Philadelphia 76ers,Brooklyn Nets,3,59-57,-4,two point jumper,True,17,True,False
2012-01-25,40.45,Philadelphia 76ers,Brooklyn Nets,4,70-69,-3,two point jumper,True,16,False,False
2012-04-10,46.75,Philadelphia 76ers,Brooklyn Nets,4,105-86,17,two point jumper,False,18,False,False
2012-04-10,47.25,Philadelphia 76ers,Brooklyn Nets,4,107-86,19,hook shot,False,1,True,False
2012-04-23,6.48333333333,Philadelphia 76ers,Brooklyn Nets,1,19-9,8,two point jumper,False,17,True,False
2012-04-23,17.9166666667,Philadelphia 76ers,Brooklyn Nets,2,41-29,10,layup,False,0,True,False
2012-04-23,17.9166666667,Philadelphia 76ers,Brooklyn Nets,2,42-29,12,free throw,False,15,True,False
2012-04-23,24.7666666667,Philadelphia 76ers,Brooklyn Nets,3,55-43,10,two point jumper,False,12,True,False
2012-04-23,29.5333333333,Philadelphia 76ers,Brooklyn Nets,3,63-54,7,two point jumper,False,14,True,False
2012-04-23,31.95,Philadelphia 76ers,Brooklyn Nets,3,63-60,1,two point jumper,False,15,False,False
2012-01-07,46.2166666667,Philadelphia 76ers,Toronto Raptors,4,62-94,30,two point jumper,True,17,False,True
2012-01-10,44.8166666667,Philadelphia 76ers,Sacramento Kings,4,76-107,30,free throw,True,15,False,False
2012-01-10,44.8166666667,Philadelphia 76ers,Sacramento Kings,4,76-108,31,free throw,True,15,True,False
2012-01-10,45.5,Philadelphia 76ers,Sacramento Kings,4,78-110,30,two point jumper,True,1,True,False
2012-01-10,47.1,Philadelphia 76ers,Sacramento Kings,4,83-112,27,two point shot,True,1,True,False
2012-01-21,39.3,Philadelphia 76ers,Miami Heat,4,75-92,-19,two point jumper,False,14,True,True
2012-01-21,44.35,Philadelphia 76ers,Miami Heat,4,87-98,-13,two point jumper,False,17,False,True
2012-01-21,46.0,Philadelphia 76ers,Miami Heat,4,89-104,-17,two point jumper,False,7,False,True
2012-01-23,12.9,Philadelphia 76ers,Washington Wizards,2,14-35,19,two point jumper,True,17,True,False
2012-01-23,14.45,Philadelphia 76ers,Washington Wizards,2,18-39,19,two point jumper,True,19,True,False
2012-01-23,32.6,Philadelphia 76ers,Washington Wizards,3,51-77,24,two point jumper,True,6,True,False
2012-01-23,34.7833333333,Philadelphia 76ers,Washington Wizards,3,56-83,25,hook shot,True,1,True,False
2012-01-23,46.2166666667,Philadelphia 76ers,Washington Wizards,4,81-101,18,two point jumper,True,16,True,False
2012-01-27,9.01666666667,Philadelphia 76ers,Charlotte Bobcats,1,10-18,6,two point jumper,True,16,True,True
2012-01-27,14.3833333333,Philadelphia 76ers,Charlotte Bobcats,2,17-27,8,two point jumper,True,17,False,True
2012-01-27,31.4833333333,Philadelphia 76ers,Charlotte Bobcats,3,47-68,19,dunk,True,0,True,True
2012-01-27,31.8833333333,Philadelphia 76ers,Charlotte Bobcats,3,47-70,21,two point jumper,True,14,True,True
2012-01-27,38.55,Philadelphia 76ers,Charlotte Bobcats,4,51-77,24,two point jumper,True,11,False,True
2012-01-27,42.7,Philadelphia 76ers,Charlotte Bobcats,4,61-84,21,two point shot,True,7,True,True
2012-01-27,44.0,Philadelphia 76ers,Charlotte Bobcats,4,66-86,18,two point jumper,True,15,False,True
2012-01-28,9.66666666667,Philadelphia 76ers,Detroit Pistons,1,8-18,8,two point jumper,True,16,False,True
2012-01-28,13.3833333333,Philadelphia 76ers,Detroit Pistons,2,16-26,8,two point jumper,True,10,False,True
2012-01-28,19.9166666667,Philadelphia 76ers,Detroit Pistons,2,27-38,9,layup,True,0,True,True
2012-01-28,22.2833333333,Philadelphia 76ers,Detroit Pistons,2,29-40,9,two point jumper,True,19,False,True
2012-01-28,31.7333333333,Philadelphia 76ers,Detroit Pistons,3,44-60,14,layup,True,0,True,True
2012-01-28,31.7333333333,Philadelphia 76ers,Detroit Pistons,3,44-61,16,free throw,True,15,True,True
2012-01-28,38.25,Philadelphia 76ers,Detroit Pistons,4,53-76,21,dunk,True,0,True,True
2012-01-30,13.6333333333,Philadelphia 76ers,Orlando Magic,2,18-21,1,two point jumper,True,17,False,True
2012-01-30,20.4833333333,Philadelphia 76ers,Orlando Magic,2,27-32,3,two point jumper,True,16,False,True
2012-01-30,34.4833333333,Philadelphia 76ers,Orlando Magic,3,42-56,12,two point jumper,True,16,False,True
2012-01-30,35.15,Philadelphia 76ers,Orlando Magic,3,42-58,14,two point jumper,True,16,False,True
2012-02-01,5.95,Philadelphia 76ers,Chicago Bulls,1,15-11,-6,two point shot,True,17,True,True
2012-02-01,9.96666666667,Philadelphia 76ers,Chicago Bulls,1,19-23,2,two point jumper,True,13,True,True
2012-02-01,10.9666666667,Philadelphia 76ers,Chicago Bulls,1,19-25,4,dunk,True,0,True,True
2012-02-01,12.8833333333,Philadelphia 76ers,Chicago Bulls,2,21-27,4,two point jumper,True,16,False,True
2012-02-01,15.4333333333,Philadelphia 76ers,Chicago Bulls,2,26-34,6,two point shot,True,1,True,True
2012-02-01,31.85,Philadelphia 76ers,Chicago Bulls,3,50-66,14,layup,True,0,True,True
2012-02-01,35.0666666667,Philadelphia 76ers,Chicago Bulls,3,55-72,15,two point jumper,True,9,True,True
2012-02-01,37.95,Philadelphia 76ers,Chicago Bulls,4,57-75,16,two point jumper,True,18,False,True
2012-02-01,41.95,Philadelphia 76ers,Chicago Bulls,4,69-83,12,dunk,True,0,True,True
2012-02-01,42.7833333333,Philadelphia 76ers,Chicago Bulls,4,71-84,12,free throw,True,15,False,True
2012-02-01,42.7833333333,Philadelphia 76ers,Chicago Bulls,4,71-85,13,free throw,True,15,True,True
2012-02-03,8.08333333333,Philadelphia 76ers,Miami Heat,1,18-16,-4,two point jumper,True,16,True,False
2012-02-03,8.51666666667,Philadelphia 76ers,Miami Heat,1,20-16,-6,two point jumper,True,16,False,False
2012-02-03,31.9833333333,Philadelphia 76ers,Miami Heat,3,59-54,-6,free throw,True,15,True,False
2012-02-03,31.9833333333,Philadelphia 76ers,Miami Heat,3,59-55,-5,free throw,True,15,True,False
2012-02-03,33.5833333333,Philadelphia 76ers,Miami Heat,3,61-61,-2,two point jumper,True,17,True,False
2012-02-03,35.5833333333,Philadelphia 76ers,Miami Heat,3,65-63,-4,layup,True,0,True,False
2012-02-04,20.15,Philadelphia 76ers,Atlanta Hawks,2,42-33,7,two point shot,False,1,True,True
2012-02-04,24.8166666667,Philadelphia 76ers,Atlanta Hawks,3,59-41,16,two point jumper,False,14,True,True
2012-02-06,3.51666666667,Philadelphia 76ers,Los Angeles Lakers,1,6-2,-6,two point jumper,True,17,False,True
2012-02-06,4.16666666667,Philadelphia 76ers,Los Angeles Lakers,1,9-4,-7,two point shot,True,5,True,True
2012-02-06,5.85,Philadelphia 76ers,Los Angeles Lakers,1,10-8,-4,two point jumper,True,10,False,True
2012-02-06,25.3666666667,Philadelphia 76ers,Los Angeles Lakers,3,52-50,-4,two point jumper,True,1,True,True
2012-02-06,26.7666666667,Philadelphia 76ers,Los Angeles Lakers,3,54-50,-6,two point jumper,True,15,False,True
2012-02-08,5.2,Philadelphia 76ers,San Antonio Spurs,1,7-6,-3,two point jumper,True,12,False,True
2012-02-08,5.66666666667,Philadelphia 76ers,San Antonio Spurs,1,9-6,-5,tip shot,True,0,False,True
2012-02-08,10.0833333333,Philadelphia 76ers,San Antonio Spurs,1,20-17,-5,two point jumper,True,16,False,True
2012-02-08,11.3833333333,Philadelphia 76ers,San Antonio Spurs,1,23-19,-6,two point jumper,True,5,False,True
2012-02-08,12.6833333333,Philadelphia 76ers,San Antonio Spurs,2,26-24,-4,hook shot,True,4,False,True
2012-02-08,13.7,Philadelphia 76ers,San Antonio Spurs,2,30-24,-8,two point jumper,True,15,False,True
2012-02-08,14.1166666667,Philadelphia 76ers,San Antonio Spurs,2,30-26,-6,tip shot,True,0,True,True
2012-02-10,5.45,Philadelphia 76ers,Los Angeles Clippers,1,10-8,-4,two point jumper,True,11,False,False
2012-02-10,7.03333333333,Philadelphia 76ers,Los Angeles Clippers,1,12-15,1,hook shot,True,1,True,False
2012-02-10,7.66666666667,Philadelphia 76ers,Los Angeles Clippers,1,12-17,3,two point jumper,True,18,True,False
2012-02-10,20.7666666667,Philadelphia 76ers,Los Angeles Clippers,2,35-37,0,two point jumper,True,15,False,False
2012-02-10,22.7666666667,Philadelphia 76ers,Los Angeles Clippers,2,39-40,0,free throw,True,15,False,False
2012-02-10,22.7666666667,Philadelphia 76ers,Los Angeles Clippers,2,39-41,1,free throw,True,15,True,False
2012-02-10,33.8666666667,Philadelphia 76ers,Los Angeles Clippers,3,56-61,3,two point jumper,True,10,False,False
2012-02-11,9.18333333333,Philadelphia 76ers,Cleveland Cavaliers,1,16-15,-1,two point jumper,False,19,False,True
2012-02-11,28.25,Philadelphia 76ers,Cleveland Cavaliers,3,62-47,13,layup,False,0,False,True
2012-02-11,29.1666666667,Philadelphia 76ers,Cleveland Cavaliers,3,64-47,15,two point shot,False,5,False,True
2012-02-13,5.81666666667,Philadelphia 76ers,Charlotte Bobcats,1,13-9,2,hook shot,False,6,True,True
2012-02-13,20.8333333333,Philadelphia 76ers,Charlotte Bobcats,2,46-38,6,two point jumper,False,16,False,True
2012-02-15,2.81666666667,Philadelphia 76ers,Orlando Magic,1,4-7,-5,two point jumper,False,8,True,True
2012-02-15,3.58333333333,Philadelphia 76ers,Orlando Magic,1,4-7,-5,two point jumper,False,1,False,True
2012-02-15,4.66666666667,Philadelphia 76ers,Orlando Magic,1,4-10,-8,hook shot,False,7,False,True
2012-02-17,1.56666666667,Philadelphia 76ers,Dallas Mavericks,1,0-4,2,two point jumper,True,18,True,False
2012-02-17,5.45,Philadelphia 76ers,Dallas Mavericks,1,11-8,-5,two point jumper,True,7,False,False
2012-02-17,6.6,Philadelphia 76ers,Dallas Mavericks,1,13-12,-3,two point jumper,True,8,True,False
2012-02-17,7.7,Philadelphia 76ers,Dallas Mavericks,1,13-16,1,two point jumper,True,18,True,False
2012-02-17,17.1,Philadelphia 76ers,Dallas Mavericks,2,26-39,11,two point jumper,True,7,False,False
2012-02-17,19.75,Philadelphia 76ers,Dallas Mavericks,2,34-43,7,two point jumper,True,14,True,False
2012-02-17,28.4833333333,Philadelphia 76ers,Dallas Mavericks,3,44-53,7,two point jumper,True,19,False,False
2012-02-19,3.36666666667,Philadelphia 76ers,Minnesota Timberwolves,1,10-5,3,two point jumper,False,22,False,False
2012-02-19,5.41666666667,Philadelphia 76ers,Minnesota Timberwolves,1,16-7,7,layup,False,0,True,False
2012-02-19,24.3166666667,Philadelphia 76ers,Minnesota Timberwolves,3,51-44,5,layup,False,0,True,False
2012-02-19,25.5,Philadelphia 76ers,Minnesota Timberwolves,3,53-48,3,layup,False,0,True,False
2012-02-19,27.55,Philadelphia 76ers,Minnesota Timberwolves,3,53-54,-3,two point jumper,False,14,False,False
2012-02-21,3.68333333333,Philadelphia 76ers,Memphis Grizzlies,1,7-9,-4,dunk,False,0,True,False
2012-02-21,15.4666666667,Philadelphia 76ers,Memphis Grizzlies,2,21-34,-15,two point jumper,False,14,True,False
2012-02-21,16.3166666667,Philadelphia 76ers,Memphis Grizzlies,2,23-35,-14,two point shot,False,1,True,False
2012-02-21,17.9833333333,Philadelphia 76ers,Memphis Grizzlies,2,27-41,-16,dunk,False,0,True,False
2012-02-21,25.8666666667,Philadelphia 76ers,Memphis Grizzlies,3,42-51,-11,tip shot,False,0,False,False
2012-02-21,28.5333333333,Philadelphia 76ers,Memphis Grizzlies,3,48-53,-7,two point jumper,False,17,True,False
2012-02-21,31.0666666667,Philadelphia 76ers,Memphis Grizzlies,3,52-59,-9,hook shot,False,6,True,False
2012-02-21,32.4166666667,Philadelphia 76ers,Memphis Grizzlies,3,52-61,-11,layup,False,0,False,False
2012-02-21,33.15,Philadelphia 76ers,Memphis Grizzlies,3,55-61,-8,two point jumper,False,19,False,False
2012-02-21,44.0666666667,Philadelphia 76ers,Memphis Grizzlies,4,74-80,-8,hook shot,False,4,True,False
2012-02-21,47.5833333333,Philadelphia 76ers,Memphis Grizzlies,4,76-89,-15,two point jumper,False,1,False,False
2012-02-22,2.56666666667,Philadelphia 76ers,Houston Rockets,1,2-3,-3,two point jumper,False,18,False,False
2012-02-22,3.21666666667,Philadelphia 76ers,Houston Rockets,1,2-5,-5,two point jumper,False,17,False,False
2012-02-22,6.1,Philadelphia 76ers,Houston Rockets,1,6-7,-3,two point jumper,False,8,False,False
2012-02-22,27.1333333333,Philadelphia 76ers,Houston Rockets,3,46-51,-7,hook shot,False,9,True,False
