date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2010-10-30,42.85,Boston Celtics,Chicago Bulls,4,77-104,25,two point jumper,True,14,False,False
2010-10-30,44.0333333333,Boston Celtics,Chicago Bulls,4,81-107,25,free throw,True,15,True,False
2010-10-30,44.0333333333,Boston Celtics,Chicago Bulls,4,81-107,25,free throw,True,15,False,False
2010-10-30,47.3,Boston Celtics,Chicago Bulls,4,87-118,29,two point shot,True,20,True,False
2010-11-03,43.0333333333,Boston Celtics,Philadelphia 76ers,4,95-61,31,three point jumper,False,25,True,False
2010-11-03,44.2666666667,Boston Celtics,Philadelphia 76ers,4,98-66,29,three point jumper,False,24,True,False
2010-11-11,44.1666666667,Boston Celtics,Utah Jazz,4,80-99,16,three point jumper,True,26,False,False
2010-11-11,45.3166666667,Boston Celtics,Utah Jazz,4,80-103,21,layup,True,0,True,False
2010-11-13,47.5166666667,Boston Celtics,Atlanta Hawks,4,95-86,-12,three point jumper,True,25,False,False
2010-11-18,46.55,Boston Celtics,Golden State Warriors,4,88-105,15,two point jumper,True,19,False,False
2010-11-18,47.5166666667,Boston Celtics,Golden State Warriors,4,92-107,13,two point jumper,True,3,False,False
2010-11-18,47.6166666667,Boston Celtics,Golden State Warriors,4,92-107,13,layup,True,0,False,False
2010-12-04,44.9,Boston Celtics,Oklahoma City Thunder,4,101-77,22,two point jumper,False,21,False,False
2010-12-04,45.2,Boston Celtics,Oklahoma City Thunder,4,101-77,22,two point jumper,False,1,False,False
2010-12-20,45.7833333333,Boston Celtics,Minnesota Timberwolves,4,100-118,16,two point jumper,True,17,False,True
2010-12-20,47.3666666667,Boston Celtics,Minnesota Timberwolves,4,102-119,16,free throw,True,15,True,True
2010-12-20,47.3666666667,Boston Celtics,Minnesota Timberwolves,4,102-120,17,free throw,True,15,True,True
2010-12-20,47.9166666667,Boston Celtics,Minnesota Timberwolves,4,104-121,16,free throw,True,15,True,True
2010-12-20,47.9166666667,Boston Celtics,Minnesota Timberwolves,4,104-122,17,free throw,True,15,True,True
2010-12-30,44.2333333333,Boston Celtics,Phoenix Suns,4,93-110,-19,two point shot,False,1,True,True
2010-01-02,12.4,Boston Celtics,Toronto Raptors,2,27-29,0,two point jumper,True,20,False,False
2010-01-02,16.6333333333,Boston Celtics,Toronto Raptors,2,32-36,1,three point jumper,True,26,True,False
2010-01-02,38.5666666667,Boston Celtics,Toronto Raptors,4,71-83,10,two point shot,True,5,True,False
2010-01-12,18.1333333333,Memphis Grizzlies,Los Angeles Clippers,2,55-41,-17,three point jumper,True,25,False,True
2010-01-12,19.5,Memphis Grizzlies,Los Angeles Clippers,2,57-41,-18,two point jumper,True,22,False,True
2010-02-01,15.8166666667,Memphis Grizzlies,Los Angeles Lakers,2,30-34,1,three point jumper,True,24,True,True
2010-02-01,17.0666666667,Memphis Grizzlies,Los Angeles Lakers,2,32-37,4,free throw,True,15,True,True
2010-02-01,17.0666666667,Memphis Grizzlies,Los Angeles Lakers,2,32-38,5,free throw,True,15,True,True
2010-02-01,17.0666666667,Memphis Grizzlies,Los Angeles Lakers,2,32-39,6,free throw,True,15,True,True
2010-02-01,17.6666666667,Memphis Grizzlies,Los Angeles Lakers,2,34-39,2,three point jumper,True,26,False,True
2010-02-01,18.95,Memphis Grizzlies,Los Angeles Lakers,2,34-41,5,two point jumper,True,20,False,True
2010-02-01,19.4166666667,Memphis Grizzlies,Los Angeles Lakers,2,34-43,7,two point shot,True,23,True,True
2010-02-01,20.0833333333,Memphis Grizzlies,Los Angeles Lakers,2,37-46,6,three point jumper,True,25,True,True
2010-02-01,35.95,Memphis Grizzlies,Los Angeles Lakers,3,71-70,-4,three point jumper,True,29,False,True
2010-02-01,36.4333333333,Memphis Grizzlies,Los Angeles Lakers,4,71-70,-4,three point jumper,True,27,False,True
2010-02-01,37.0666666667,Memphis Grizzlies,Los Angeles Lakers,4,73-70,-5,two point jumper,True,21,False,True
2010-02-01,38.1333333333,Memphis Grizzlies,Los Angeles Lakers,4,75-74,-3,layup,True,0,True,True
