date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2007-02-14,44.0666666667,Milwaukee Bucks,Boston Celtics,4,88-105,-19,layup,False,0,False,True
2007-02-14,46.8833333333,Milwaukee Bucks,Boston Celtics,4,94-114,-22,two point jumper,False,22,True,True
2007-02-14,47.2166666667,Milwaukee Bucks,Boston Celtics,4,94-117,-25,two point jumper,False,1,False,True
2007-04-04,14.5166666667,Milwaukee Bucks,Boston Celtics,2,26-27,-1,layup,True,0,True,True
2007-04-04,19.7833333333,Milwaukee Bucks,Boston Celtics,2,40-40,-3,three point jumper,True,25,False,True
2007-04-04,29.25,Milwaukee Bucks,Boston Celtics,3,64-64,-2,two point jumper,True,14,True,True
2007-04-04,30.3166666667,Milwaukee Bucks,Boston Celtics,3,67-67,-3,three point jumper,True,22,False,True
2007-04-04,34.65,Milwaukee Bucks,Boston Celtics,3,70-76,4,layup,True,0,True,True
2007-04-04,39.2666666667,Milwaukee Bucks,Boston Celtics,4,75-83,6,layup,True,0,False,True
2007-04-04,39.95,Milwaukee Bucks,Boston Celtics,4,77-83,3,three point jumper,True,25,False,True
2007-04-04,40.4833333333,Milwaukee Bucks,Boston Celtics,4,77-83,3,three point jumper,True,24,False,True
2007-04-13,16.5666666667,Milwaukee Bucks,Boston Celtics,2,37-34,1,two point jumper,False,17,False,True
2007-04-13,17.4166666667,Milwaukee Bucks,Boston Celtics,2,39-34,3,two point jumper,False,21,True,True
2007-04-13,20.5333333333,Milwaukee Bucks,Boston Celtics,2,50-40,7,three point jumper,False,23,True,True
2007-04-13,22.1166666667,Milwaukee Bucks,Boston Celtics,2,52-40,9,three point jumper,False,23,False,True
2007-04-13,36.95,Milwaukee Bucks,Boston Celtics,4,84-75,6,three point jumper,False,24,False,True
2007-04-13,38.6333333333,Milwaukee Bucks,Boston Celtics,4,89-82,4,three point jumper,False,25,True,True
2007-04-13,42.0333333333,Milwaukee Bucks,Boston Celtics,4,95-85,8,two point jumper,False,1,True,True
2007-01-12,35.3,Milwaukee Bucks,Philadelphia 76ers,3,74-84,-12,two point jumper,False,20,False,True
2007-01-12,46.3833333333,Milwaukee Bucks,Philadelphia 76ers,4,95-108,-15,two point jumper,False,19,True,True
2007-01-12,47.9833333333,Milwaukee Bucks,Philadelphia 76ers,4,97-110,-15,two point jumper,False,4,False,True
2007-02-24,18.8,Milwaukee Bucks,Philadelphia 76ers,6,71-99,26,layup,True,0,False,False
2007-02-24,19.5833333333,Milwaukee Bucks,Philadelphia 76ers,6,73-101,26,two point jumper,True,17,False,False
2007-02-24,20.4,Milwaukee Bucks,Philadelphia 76ers,6,75-103,27,free throw,True,15,True,False
2007-02-24,20.4,Milwaukee Bucks,Philadelphia 76ers,6,75-104,28,free throw,True,15,True,False
2007-02-24,23.7333333333,Milwaukee Bucks,Philadelphia 76ers,6,90-109,16,three point jumper,True,27,False,False
2007-03-12,15.5666666667,Milwaukee Bucks,Toronto Raptors,2,45-28,-20,three point jumper,True,26,False,True
2007-02-27,20.0833333333,Milwaukee Bucks,Golden State Warriors,2,48-54,5,free throw,True,15,True,True
2007-02-27,20.0833333333,Milwaukee Bucks,Golden State Warriors,2,48-55,6,free throw,True,15,True,True
2007-02-27,46.4833333333,Milwaukee Bucks,Golden State Warriors,4,95-117,19,three point jumper,True,26,True,True
2007-02-27,47.35,Milwaukee Bucks,Golden State Warriors,4,97-122,22,three point jumper,True,23,True,True
2007-02-27,47.75,Milwaukee Bucks,Golden State Warriors,4,99-122,20,three point jumper,True,27,False,True
2007-01-23,41.7833333333,Milwaukee Bucks,Los Angeles Clippers,4,78-101,-25,layup,False,0,True,True
2007-01-23,42.7833333333,Milwaukee Bucks,Los Angeles Clippers,4,81-103,-24,two point jumper,False,20,False,True
2007-03-21,13.9333333333,Milwaukee Bucks,Los Angeles Clippers,2,34-28,-8,layup,True,0,True,False
2007-03-21,14.5666666667,Milwaukee Bucks,Los Angeles Clippers,2,34-29,-6,free throw,True,15,True,False
2007-03-21,14.5666666667,Milwaukee Bucks,Los Angeles Clippers,2,34-30,-5,free throw,True,15,True,False
2007-03-21,33.9166666667,Milwaukee Bucks,Los Angeles Clippers,3,88-66,-24,two point jumper,True,18,False,False
2007-03-21,38.25,Milwaukee Bucks,Los Angeles Clippers,4,90-75,-17,layup,True,0,False,False
2007-03-21,39.4666666667,Milwaukee Bucks,Los Angeles Clippers,4,95-79,-19,three point jumper,True,23,False,False
2007-03-21,40.3166666667,Milwaukee Bucks,Los Angeles Clippers,4,96-82,-15,free throw,True,15,True,False
2007-03-21,40.3166666667,Milwaukee Bucks,Los Angeles Clippers,4,96-83,-14,free throw,True,15,True,False
