date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-01-20,8.43333333333,Brooklyn Nets,Boston Celtics,1,13-23,-12,two point shot,False,10,True,False
2006-01-20,10.3833333333,Brooklyn Nets,Boston Celtics,1,20-26,-8,layup,False,0,True,False
2006-01-20,14.2,Brooklyn Nets,Boston Celtics,2,30-36,-8,two point jumper,False,16,False,False
2006-01-21,32.6,Brooklyn Nets,Boston Celtics,3,56-82,24,two point jumper,True,9,True,False
2006-01-21,33.2833333333,Brooklyn Nets,Boston Celtics,3,58-84,24,two point shot,True,6,True,False
2006-01-21,35.0,Brooklyn Nets,Boston Celtics,3,62-89,25,two point jumper,True,16,True,False
2006-01-21,36.25,Brooklyn Nets,Boston Celtics,4,62-91,27,layup,True,0,False,False
2006-01-21,39.4666666667,Brooklyn Nets,Boston Celtics,4,66-97,29,two point jumper,True,19,True,False
2006-01-21,40.6,Brooklyn Nets,Boston Celtics,4,66-97,29,two point shot,True,11,False,False
2006-11-02,12.2666666667,Brooklyn Nets,Milwaukee Bucks,2,17-29,10,layup,True,0,False,True
2006-11-02,12.95,Brooklyn Nets,Milwaukee Bucks,2,20-29,7,two point jumper,True,5,False,True
2006-11-02,35.8333333333,Brooklyn Nets,Milwaukee Bucks,3,71-65,-8,tip shot,True,0,False,True
2006-11-02,37.2166666667,Brooklyn Nets,Milwaukee Bucks,4,78-69,-11,two point jumper,True,20,True,True
2006-11-05,7.81666666667,Brooklyn Nets,Chicago Bulls,1,9-12,1,two point jumper,True,16,False,False
2006-11-05,47.3,Brooklyn Nets,Chicago Bulls,4,65-72,5,two point shot,True,15,True,False
2006-11-05,10.4666666667,Brooklyn Nets,Chicago Bulls,5,66-74,6,two point shot,True,12,False,False
2006-11-05,21.8666666667,Brooklyn Nets,Chicago Bulls,5,98-95,-5,layup,True,0,False,False
2006-11-07,12.25,Brooklyn Nets,Miami Heat,2,30-32,-4,layup,False,0,True,False
2006-11-07,12.25,Brooklyn Nets,Miami Heat,2,30-32,-3,free throw,False,15,False,False
2006-11-07,12.25,Brooklyn Nets,Miami Heat,2,31-32,-2,free throw,False,15,True,False
2006-11-07,14.2666666667,Brooklyn Nets,Miami Heat,2,32-34,-4,two point jumper,False,18,False,False
2006-11-07,14.75,Brooklyn Nets,Miami Heat,2,34-34,-2,two point jumper,False,5,True,False
2006-11-07,23.2166666667,Brooklyn Nets,Miami Heat,2,46-50,-6,two point jumper,False,15,False,False
2006-11-07,40.35,Brooklyn Nets,Miami Heat,4,72-80,-10,hook shot,False,6,False,False
2006-11-07,42.3833333333,Brooklyn Nets,Miami Heat,4,77-82,-6,free throw,False,15,True,False
2006-11-07,42.3833333333,Brooklyn Nets,Miami Heat,4,78-82,-5,free throw,False,15,True,False
2006-11-09,9.91666666667,Brooklyn Nets,Utah Jazz,1,22-22,-2,two point jumper,True,1,False,True
2006-11-09,11.1833333333,Brooklyn Nets,Utah Jazz,1,22-25,1,two point jumper,True,21,True,True
2006-11-09,14.3166666667,Brooklyn Nets,Utah Jazz,2,25-31,4,layup,True,0,True,True
2006-11-09,14.3166666667,Brooklyn Nets,Utah Jazz,2,25-32,6,free throw,True,15,True,True
2006-11-09,15.0666666667,Brooklyn Nets,Utah Jazz,2,27-32,3,layup,True,0,False,True
2006-11-09,16.6,Brooklyn Nets,Utah Jazz,2,30-32,0,two point jumper,True,19,False,True
2006-11-11,12.95,Brooklyn Nets,Indiana Pacers,2,23-30,-9,two point jumper,False,21,False,True
2006-11-11,15.8166666667,Brooklyn Nets,Indiana Pacers,2,29-30,-3,two point jumper,False,17,True,True
2006-11-11,31.35,Brooklyn Nets,Indiana Pacers,3,50-74,-26,two point jumper,False,8,False,True
2006-11-11,31.9833333333,Brooklyn Nets,Indiana Pacers,3,52-76,-26,layup,False,0,True,True
2006-11-11,33.1833333333,Brooklyn Nets,Indiana Pacers,3,52-79,-29,two point jumper,False,16,False,True
2006-11-11,43.4166666667,Brooklyn Nets,Indiana Pacers,4,74-98,-25,free throw,False,15,True,True
2006-11-11,43.4166666667,Brooklyn Nets,Indiana Pacers,4,73-99,-27,free throw,False,15,False,True
2006-11-11,43.6666666667,Brooklyn Nets,Indiana Pacers,4,73-99,-27,free throw,False,15,False,True
2006-11-11,43.6666666667,Brooklyn Nets,Indiana Pacers,4,74-99,-26,free throw,False,15,True,True
2006-11-11,44.7333333333,Brooklyn Nets,Indiana Pacers,4,77-99,-23,free throw,False,15,True,True
2006-11-11,44.7333333333,Brooklyn Nets,Indiana Pacers,4,78-99,-22,free throw,False,15,True,True
2006-11-12,11.3166666667,Brooklyn Nets,Houston Rockets,1,25-22,-5,hook shot,True,1,False,False
2006-11-12,15.6833333333,Brooklyn Nets,Houston Rockets,2,35-26,-11,tip shot,True,0,True,False
2006-11-12,18.1666666667,Brooklyn Nets,Houston Rockets,2,38-26,-14,two point jumper,True,21,False,False
2006-11-12,27.95,Brooklyn Nets,Houston Rockets,3,60-43,-19,two point jumper,True,6,False,False
2006-11-12,29.6,Brooklyn Nets,Houston Rockets,3,63-51,-14,layup,True,0,True,False
2006-11-12,32.1833333333,Brooklyn Nets,Houston Rockets,3,68-57,-13,two point jumper,True,20,True,False
2006-11-12,35.15,Brooklyn Nets,Houston Rockets,3,68-61,-8,free throw,True,15,True,False
2006-11-12,35.15,Brooklyn Nets,Houston Rockets,3,68-62,-7,free throw,True,15,True,False
2006-11-15,8.18333333333,Brooklyn Nets,Oklahoma City Thunder,1,19-12,-9,two point jumper,True,16,True,False
2006-11-15,12.45,Brooklyn Nets,Oklahoma City Thunder,2,27-21,-8,layup,True,0,True,False
2006-11-15,13.25,Brooklyn Nets,Oklahoma City Thunder,2,29-21,-10,two point shot,True,15,False,False
2006-11-15,35.7,Brooklyn Nets,Oklahoma City Thunder,3,67-78,10,free throw,True,15,True,False
2006-11-15,35.7,Brooklyn Nets,Oklahoma City Thunder,3,67-79,11,free throw,True,15,True,False
2006-11-15,36.0,Brooklyn Nets,Oklahoma City Thunder,3,70-79,7,two point jumper,True,17,False,False
2006-11-19,14.8,Brooklyn Nets,Washington Wizards,2,30-25,-7,two point jumper,True,1,False,True
2006-11-19,15.45,Brooklyn Nets,Washington Wizards,2,30-27,-5,two point jumper,True,20,True,True
2006-11-19,15.8166666667,Brooklyn Nets,Washington Wizards,2,30-29,-3,layup,True,0,True,True
2006-11-19,19.5333333333,Brooklyn Nets,Washington Wizards,2,32-36,2,hook shot,True,9,False,True
2006-11-19,35.6166666667,Brooklyn Nets,Washington Wizards,3,60-68,6,layup,True,0,False,True
2006-11-21,14.8,Brooklyn Nets,Golden State Warriors,2,29-27,0,tip shot,False,0,True,True
2006-11-21,16.6,Brooklyn Nets,Golden State Warriors,2,32-30,0,two point shot,False,17,False,True
2006-11-21,17.1333333333,Brooklyn Nets,Golden State Warriors,2,33-30,2,free throw,False,15,True,True
2006-11-21,17.1333333333,Brooklyn Nets,Golden State Warriors,2,34-30,3,free throw,False,15,True,True
2006-11-21,31.7833333333,Brooklyn Nets,Golden State Warriors,3,63-67,-6,layup,False,0,False,True
2006-11-21,33.35,Brooklyn Nets,Golden State Warriors,3,68-72,-6,two point jumper,False,19,False,True
2006-11-23,16.4833333333,Brooklyn Nets,Sacramento Kings,2,41-38,1,layup,False,0,True,False
2006-11-23,17.4833333333,Brooklyn Nets,Sacramento Kings,2,41-40,0,free throw,False,15,False,False
2006-11-23,17.4833333333,Brooklyn Nets,Sacramento Kings,2,42-40,1,free throw,False,15,True,False
2006-11-23,18.0666666667,Brooklyn Nets,Sacramento Kings,2,44-42,0,two point jumper,False,19,True,False
2006-11-23,18.8833333333,Brooklyn Nets,Sacramento Kings,2,48-44,2,layup,False,0,True,False
2006-11-23,28.6,Brooklyn Nets,Sacramento Kings,3,68-65,1,layup,False,0,True,False
2006-11-23,28.6,Brooklyn Nets,Sacramento Kings,3,68-65,2,free throw,False,15,False,False
2006-11-23,29.7,Brooklyn Nets,Sacramento Kings,3,70-67,1,hook shot,False,1,True,False
2006-11-23,30.6666666667,Brooklyn Nets,Sacramento Kings,3,72-72,-2,two point jumper,False,18,True,False
2006-11-23,32.2333333333,Brooklyn Nets,Sacramento Kings,3,74-78,-6,two point shot,False,10,True,False
