date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-11-02,1.95,New York Knicks,Boston Celtics,1,7-4,1,two point jumper,False,17,True,False
2006-11-02,5.6,New York Knicks,Boston Celtics,1,12-12,-2,layup,False,0,True,False
2006-11-02,27.0,New York Knicks,Boston Celtics,3,61-57,2,two point jumper,False,17,False,False
2006-11-02,46.6166666667,New York Knicks,Boston Celtics,4,90-91,-3,two point shot,False,1,True,False
2006-11-02,21.1166666667,New York Knicks,Boston Celtics,5,97-109,-14,tip shot,False,0,False,False
2006-11-02,21.6333333333,New York Knicks,Boston Celtics,5,100-112,-15,three point jumper,False,23,True,False
2006-01-13,22.6333333333,Philadelphia 76ers,Boston Celtics,6,117-116,-3,layup,True,0,False,True
2006-03-08,25.1333333333,Philadelphia 76ers,Boston Celtics,3,28-32,-6,two point shot,False,2,True,False
2006-03-08,26.45,Philadelphia 76ers,Boston Celtics,3,30-34,-6,layup,False,0,True,False
2006-03-08,12.4,Philadelphia 76ers,Boston Celtics,5,79-75,3,free throw,False,15,True,False
2006-03-08,12.4,Philadelphia 76ers,Boston Celtics,5,80-75,4,free throw,False,15,True,False
2006-03-08,12.95,Philadelphia 76ers,Boston Celtics,5,81-75,5,free throw,False,15,True,False
2006-03-08,12.95,Philadelphia 76ers,Boston Celtics,5,81-75,5,free throw,False,15,False,False
2006-04-12,36.2166666667,Philadelphia 76ers,Brooklyn Nets,4,92-73,17,two point shot,False,1,True,False
2006-04-12,42.6333333333,Philadelphia 76ers,Brooklyn Nets,4,109-82,26,free throw,False,15,True,False
2006-04-12,42.6333333333,Philadelphia 76ers,Brooklyn Nets,4,110-82,27,free throw,False,15,True,False
2006-04-12,44.55,Philadelphia 76ers,Brooklyn Nets,4,112-89,20,three point jumper,False,24,False,False
2006-04-18,8.66666666667,Philadelphia 76ers,Brooklyn Nets,1,19-8,-13,two point jumper,True,16,True,True
