date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2007-11-03,9.75,Atlanta Hawks,New York Knicks,1,20-15,-8,three point jumper,True,28,False,False
2007-11-03,10.3833333333,Atlanta Hawks,New York Knicks,1,20-17,-5,layup,True,0,True,False
2007-11-03,11.45,Atlanta Hawks,New York Knicks,1,20-19,-4,three point jumper,True,28,False,False
2007-11-03,12.3833333333,Atlanta Hawks,New York Knicks,2,22-23,-1,two point jumper,True,18,True,False
2007-11-03,13.65,Atlanta Hawks,New York Knicks,2,26-23,-5,two point jumper,True,19,False,False
2007-11-03,14.7,Atlanta Hawks,New York Knicks,2,26-25,-4,three point jumper,True,28,False,False
2007-12-13,17.2166666667,Atlanta Hawks,New York Knicks,2,29-32,-5,layup,False,0,False,False
2007-12-13,18.2,Atlanta Hawks,New York Knicks,2,30-35,-7,two point jumper,False,16,False,False
2007-12-13,43.6333333333,Atlanta Hawks,New York Knicks,4,68-92,-27,three point jumper,False,25,False,False
2007-12-13,45.7666666667,Atlanta Hawks,New York Knicks,4,75-94,-20,free throw,False,15,True,False
2007-12-13,45.7666666667,Atlanta Hawks,New York Knicks,4,76-94,-19,free throw,False,15,True,False
2007-12-13,47.2666666667,Atlanta Hawks,New York Knicks,4,78-94,-18,layup,False,0,False,False
2007-11-10,9.05,Atlanta Hawks,Toronto Raptors,1,23-11,9,three point jumper,False,25,False,True
2007-11-10,13.2,Atlanta Hawks,Toronto Raptors,2,28-16,9,three point jumper,False,23,False,True
2007-11-10,14.3666666667,Atlanta Hawks,Toronto Raptors,2,32-18,11,three point jumper,False,25,False,True
2007-11-24,13.8333333333,Atlanta Hawks,Toronto Raptors,2,25-32,4,three point jumper,True,28,False,True
2007-12-10,19.3166666667,Atlanta Hawks,Sacramento Kings,2,30-39,-11,two point jumper,False,19,True,True
2007-12-10,20.2,Atlanta Hawks,Sacramento Kings,2,33-40,-9,two point shot,False,8,True,True
2007-12-10,38.3833333333,Atlanta Hawks,Sacramento Kings,4,70-98,-30,layup,False,0,True,True
2007-12-10,42.3166666667,Atlanta Hawks,Sacramento Kings,4,81-109,-30,two point shot,False,11,True,True
2007-12-10,44.2666666667,Atlanta Hawks,Sacramento Kings,4,87-113,-28,two point shot,False,7,False,True
2007-11-07,13.25,Atlanta Hawks,Cleveland Cavaliers,2,22-20,0,two point jumper,False,16,False,False
2007-11-07,13.5833333333,Atlanta Hawks,Cleveland Cavaliers,2,22-20,0,two point jumper,False,20,False,False
2007-11-07,15.1333333333,Atlanta Hawks,Cleveland Cavaliers,2,25-22,0,three point jumper,False,25,True,False
2007-11-07,40.1333333333,Atlanta Hawks,Cleveland Cavaliers,4,72-80,-10,two point jumper,False,20,True,False
2007-11-07,41.6,Atlanta Hawks,Cleveland Cavaliers,4,74-80,-9,three point jumper,False,25,False,False
2007-12-01,8.11666666667,Atlanta Hawks,Cleveland Cavaliers,1,24-15,-11,two point jumper,True,1,False,True
2007-12-01,14.2,Atlanta Hawks,Cleveland Cavaliers,2,34-28,-9,three point jumper,True,28,False,True
2007-12-01,21.7333333333,Atlanta Hawks,Cleveland Cavaliers,2,54-44,-13,three point jumper,True,27,False,True
2007-12-01,37.5666666667,Atlanta Hawks,Cleveland Cavaliers,4,85-81,-6,two point jumper,True,12,False,True
