date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-11-04,12.2666666667,Detroit Pistons,Boston Celtics,2,24-18,4,dunk,False,0,True,True
2006-11-04,13.05,Detroit Pistons,Boston Celtics,2,24-18,4,layup,False,0,False,True
2006-11-04,37.3833333333,Detroit Pistons,Boston Celtics,4,63-60,1,two point jumper,False,18,False,True
2006-11-04,40.9166666667,Detroit Pistons,Boston Celtics,4,66-64,-1,three point jumper,False,25,True,True
2006-11-15,9.68333333333,Detroit Pistons,Boston Celtics,1,21-21,-2,dunk,True,0,True,True
2006-11-15,10.65,Detroit Pistons,Boston Celtics,1,21-23,0,layup,True,0,False,True
2006-11-15,12.2,Detroit Pistons,Boston Celtics,2,25-25,-2,two point jumper,True,16,True,True
2006-01-16,19.7333333333,Detroit Pistons,Boston Celtics,2,35-31,-7,three point jumper,True,23,True,True
2006-01-16,21.1,Detroit Pistons,Boston Celtics,2,35-36,-1,dunk,True,0,True,True
2006-01-16,39.05,Detroit Pistons,Boston Celtics,4,67-76,7,two point jumper,True,17,False,True
2006-01-16,39.8333333333,Detroit Pistons,Boston Celtics,4,67-76,7,tip shot,True,0,False,True
2006-11-30,28.4166666667,Detroit Pistons,Brooklyn Nets,3,29-27,0,two point jumper,False,1,False,True
2006-11-30,12.4833333333,Detroit Pistons,Brooklyn Nets,5,70-61,7,two point jumper,False,18,False,True
2006-01-31,29.45,Detroit Pistons,Brooklyn Nets,3,51-56,-8,three point jumper,False,24,False,False
2006-01-31,31.1333333333,Detroit Pistons,Brooklyn Nets,3,55-61,-8,two point jumper,False,1,False,False
2006-01-31,34.9166666667,Detroit Pistons,Brooklyn Nets,3,59-67,-10,layup,False,0,False,False
2006-01-31,37.2166666667,Detroit Pistons,Brooklyn Nets,4,62-69,-10,three point jumper,False,22,False,False
2006-02-14,14.0666666667,Detroit Pistons,Brooklyn Nets,2,27-25,-5,three point jumper,True,23,False,True
2006-02-14,37.1333333333,Detroit Pistons,Brooklyn Nets,4,52-73,19,two point jumper,True,20,False,True
2006-02-14,46.6166666667,Detroit Pistons,Brooklyn Nets,4,65-87,20,two point shot,True,14,False,True
2006-02-14,47.05,Detroit Pistons,Brooklyn Nets,4,68-87,17,two point jumper,True,15,False,True
2006-12-02,9.61666666667,Detroit Pistons,New York Knicks,1,18-23,3,dunk,True,0,True,False
2006-12-02,12.3,Detroit Pistons,New York Knicks,2,28-26,-4,two point jumper,True,17,False,False
2006-12-02,12.8166666667,Detroit Pistons,New York Knicks,2,28-29,-2,three point jumper,True,23,True,False
2006-12-02,15.55,Detroit Pistons,New York Knicks,2,40-37,-5,tip shot,True,0,True,False
2006-01-19,16.7833333333,Detroit Pistons,New York Knicks,2,33-21,10,two point jumper,False,17,False,False
2006-01-19,18.9833333333,Detroit Pistons,New York Knicks,2,35-25,8,layup,False,0,False,False
2006-01-19,40.1666666667,Detroit Pistons,New York Knicks,4,82-57,22,three point jumper,False,24,False,False
2006-01-19,41.7,Detroit Pistons,New York Knicks,4,89-59,27,three point jumper,False,24,True,False
2006-01-19,43.4833333333,Detroit Pistons,New York Knicks,4,92-63,28,free throw,False,15,False,False
2006-01-19,43.4833333333,Detroit Pistons,New York Knicks,4,93-63,29,free throw,False,15,True,False
2006-01-19,45.7666666667,Detroit Pistons,New York Knicks,4,101-72,27,two point jumper,False,18,True,False
2006-03-17,15.1166666667,Detroit Pistons,New York Knicks,2,40-30,8,two point shot,False,4,True,False
2006-03-17,36.3166666667,Detroit Pistons,New York Knicks,4,74-73,0,free throw,False,15,True,False
2006-03-17,36.3166666667,Detroit Pistons,New York Knicks,4,74-73,0,free throw,False,15,False,False
2006-03-17,36.8833333333,Detroit Pistons,New York Knicks,4,76-76,-2,two point jumper,False,12,True,False
2006-03-17,43.4833333333,Detroit Pistons,New York Knicks,4,88-90,-4,dunk,False,0,True,False
2006-03-17,43.4833333333,Detroit Pistons,New York Knicks,4,89-90,-2,free throw,False,15,True,False
2006-03-17,44.9166666667,Detroit Pistons,New York Knicks,4,92-94,-5,three point jumper,False,24,False,False
2006-04-16,15.5833333333,Detroit Pistons,New York Knicks,2,26-47,19,two point shot,True,1,True,False
2006-04-16,42.75,Detroit Pistons,New York Knicks,4,83-99,14,two point jumper,True,16,True,False
2006-04-16,44.3166666667,Detroit Pistons,New York Knicks,4,86-99,11,two point jumper,True,15,False,False
2006-04-16,44.9333333333,Detroit Pistons,New York Knicks,4,88-99,8,three point jumper,True,23,False,False
2006-11-02,14.95,Detroit Pistons,Philadelphia 76ers,2,26-35,7,two point jumper,True,18,False,False
2006-11-02,15.8833333333,Detroit Pistons,Philadelphia 76ers,2,28-38,8,two point jumper,True,21,True,False
2006-11-02,34.7833333333,Detroit Pistons,Philadelphia 76ers,3,58-71,10,three point jumper,True,23,True,False
2006-11-02,11.7833333333,Detroit Pistons,Philadelphia 76ers,5,64-79,14,free throw,True,15,True,False
2006-11-02,11.7833333333,Detroit Pistons,Philadelphia 76ers,5,64-80,15,free throw,True,15,True,False
2006-02-03,13.0666666667,Detroit Pistons,Philadelphia 76ers,2,29-18,9,two point jumper,False,22,False,True
2006-02-03,13.5,Detroit Pistons,Philadelphia 76ers,2,32-19,10,three point jumper,False,23,True,True
2006-02-03,14.5166666667,Detroit Pistons,Philadelphia 76ers,2,33-21,10,two point jumper,False,17,False,True
2006-02-03,38.5666666667,Detroit Pistons,Philadelphia 76ers,4,69-64,3,two point jumper,False,17,False,True
2006-02-03,39.4333333333,Detroit Pistons,Philadelphia 76ers,4,73-66,5,layup,False,0,True,True
2006-03-29,41.5666666667,Detroit Pistons,Philadelphia 76ers,4,91-75,14,two point shot,False,1,True,False
2006-03-29,42.7333333333,Detroit Pistons,Philadelphia 76ers,4,91-75,13,three point jumper,False,23,False,False
2006-11-05,14.05,Detroit Pistons,Toronto Raptors,2,24-40,14,hook shot,True,8,False,False
2006-11-05,18.0,Detroit Pistons,Toronto Raptors,2,32-46,13,free throw,True,15,False,False
2006-11-05,18.0,Detroit Pistons,Toronto Raptors,2,32-47,14,free throw,True,15,True,False
2006-11-05,35.65,Detroit Pistons,Toronto Raptors,3,62-86,21,three point jumper,True,23,True,False
2006-11-05,26.3833333333,Detroit Pistons,Toronto Raptors,3,64-93,27,two point shot,True,17,True,False
2006-11-05,28.6333333333,Detroit Pistons,Toronto Raptors,3,66-97,29,two point jumper,True,9,True,False
2006-11-05,28.6333333333,Detroit Pistons,Toronto Raptors,3,66-98,31,free throw,True,15,True,False
2006-11-05,32.0833333333,Detroit Pistons,Toronto Raptors,3,77-106,27,dunk,True,0,True,False
2006-11-05,32.9166666667,Detroit Pistons,Toronto Raptors,3,77-110,31,dunk,True,0,True,False
2006-11-05,35.2666666667,Detroit Pistons,Toronto Raptors,3,81-115,31,three point jumper,True,24,False,False
2006-12-27,16.8833333333,Detroit Pistons,Toronto Raptors,2,35-44,6,three point jumper,True,23,True,True
2006-12-27,19.95,Detroit Pistons,Toronto Raptors,2,37-52,13,two point shot,True,14,True,True
2006-12-27,22.4333333333,Detroit Pistons,Toronto Raptors,2,39-58,17,two point jumper,True,14,False,True
2006-12-27,33.1,Detroit Pistons,Toronto Raptors,3,66-80,12,two point jumper,True,8,True,True
2006-12-27,36.25,Detroit Pistons,Toronto Raptors,4,75-92,15,dunk,True,0,True,True
2006-12-27,37.45,Detroit Pistons,Toronto Raptors,4,76-94,16,layup,True,0,True,True
2006-12-27,38.15,Detroit Pistons,Toronto Raptors,4,78-95,16,free throw,True,15,True,True
2006-12-27,38.15,Detroit Pistons,Toronto Raptors,4,78-96,17,free throw,True,15,True,True
2006-12-27,41.9166666667,Detroit Pistons,Toronto Raptors,4,86-102,14,two point jumper,True,1,False,True
2006-03-15,14.25,Detroit Pistons,Toronto Raptors,2,34-28,4,two point jumper,False,1,False,False
2006-03-15,14.95,Detroit Pistons,Toronto Raptors,2,37-28,7,dunk,False,0,True,False
2006-03-15,37.3333333333,Detroit Pistons,Toronto Raptors,4,80-67,11,two point shot,False,5,False,False
2006-04-14,13.3,Detroit Pistons,Toronto Raptors,2,26-27,-4,three point jumper,False,24,False,False
2006-04-14,14.7166666667,Detroit Pistons,Toronto Raptors,2,31-29,-1,three point jumper,False,23,True,False
2006-04-14,17.25,Detroit Pistons,Toronto Raptors,2,35-35,-2,two point jumper,False,20,False,False
2006-04-14,24.0,Detroit Pistons,Toronto Raptors,2,47-52,-8,three point jumper,False,23,False,False
2006-04-14,34.65,Detroit Pistons,Toronto Raptors,3,76-65,9,two point shot,False,1,True,False
2006-04-14,10.4,Detroit Pistons,Toronto Raptors,5,76-70,4,two point jumper,False,1,False,False
2006-04-14,11.9,Detroit Pistons,Toronto Raptors,5,80-72,6,two point jumper,False,16,True,False
2006-04-14,14.5666666667,Detroit Pistons,Toronto Raptors,5,88-79,7,two point jumper,False,20,True,False
2006-04-14,18.4333333333,Detroit Pistons,Toronto Raptors,5,90-91,-3,two point jumper,False,20,False,False
2006-04-14,20.5,Detroit Pistons,Toronto Raptors,5,92-96,-6,two point jumper,False,7,False,False
2006-12-09,7.35,Detroit Pistons,Golden State Warriors,1,42-40,0,two point jumper,False,20,False,True
2006-12-09,36.7,Detroit Pistons,Golden State Warriors,4,76-80,-7,three point jumper,False,26,False,True
2006-12-09,37.5,Detroit Pistons,Golden State Warriors,4,78-80,-4,two point jumper,False,17,True,True
2006-12-23,26.4333333333,Detroit Pistons,Golden State Warriors,3,26-29,1,two point jumper,True,17,True,True
2006-12-23,28.5,Detroit Pistons,Golden State Warriors,3,30-35,3,two point jumper,True,16,True,True
2006-12-23,30.3833333333,Detroit Pistons,Golden State Warriors,3,32-37,3,tip shot,True,0,False,True
2006-12-23,30.85,Detroit Pistons,Golden State Warriors,3,32-40,5,three point jumper,True,23,True,True
2006-12-23,32.2166666667,Detroit Pistons,Golden State Warriors,3,32-42,8,two point jumper,True,18,False,True
2006-12-23,47.1,Detroit Pistons,Golden State Warriors,4,61-76,12,three point jumper,True,23,False,True
2006-12-23,11.4666666667,Detroit Pistons,Golden State Warriors,5,63-80,15,dunk,True,0,True,True
2006-12-23,11.9,Detroit Pistons,Golden State Warriors,5,63-81,17,free throw,True,15,True,True
2006-12-23,11.9,Detroit Pistons,Golden State Warriors,5,63-81,17,free throw,True,15,False,True
2006-12-23,13.85,Detroit Pistons,Golden State Warriors,5,68-84,13,three point jumper,True,23,True,True
2006-12-11,11.1,Detroit Pistons,Los Angeles Clippers,1,27-23,2,two point shot,False,6,True,True
