date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2013-04-13,1.43333333333,Orlando Magic,Boston Celtics,1,5-0,-8,three point jumper,True,25,False,True
2013-04-13,3.26666666667,Orlando Magic,Boston Celtics,1,9-0,-12,three point jumper,True,23,False,True
2013-04-13,6.73333333333,Orlando Magic,Boston Celtics,1,14-8,-8,dunk,True,0,True,True
2013-04-13,7.45,Orlando Magic,Boston Celtics,1,16-8,-10,two point jumper,True,11,False,True
2013-04-13,8.15,Orlando Magic,Boston Celtics,1,19-10,-11,two point shot,True,4,True,True
2013-04-13,12.25,Orlando Magic,Boston Celtics,2,23-19,-6,two point shot,True,1,True,True
2013-04-13,12.8833333333,Orlando Magic,Boston Celtics,2,24-21,-5,layup,True,0,True,True
2013-04-13,16.3833333333,Orlando Magic,Boston Celtics,2,35-21,-17,three point jumper,True,24,False,True
2013-04-13,28.1666666667,Orlando Magic,Boston Celtics,3,65-43,-25,three point jumper,True,25,False,True
2013-04-13,31.45,Orlando Magic,Boston Celtics,3,74-52,-24,two point jumper,True,11,False,True
2013-04-13,36.9333333333,Orlando Magic,Boston Celtics,4,88-64,-26,two point jumper,True,8,False,True
2013-04-13,41.0,Orlando Magic,Boston Celtics,4,101-71,-31,free throw,True,15,True,True
2013-04-13,41.0,Orlando Magic,Boston Celtics,4,101-72,-30,free throw,True,15,True,True
2013-04-13,43.2,Orlando Magic,Boston Celtics,4,109-78,-33,two point shot,True,8,True,True
2013-04-13,46.05,Orlando Magic,Boston Celtics,4,117-80,-39,two point jumper,True,18,False,True
2013-04-15,1.08333333333,Orlando Magic,Chicago Bulls,1,2-3,-1,two point jumper,True,3,False,True
2013-04-15,19.45,Orlando Magic,Chicago Bulls,2,33-30,-4,free throw,True,15,False,True
2013-04-15,19.45,Orlando Magic,Chicago Bulls,2,33-31,-3,free throw,True,15,True,True
2013-04-15,19.95,Orlando Magic,Chicago Bulls,2,35-33,-4,dunk,True,0,True,True
2013-04-15,22.7833333333,Orlando Magic,Chicago Bulls,2,43-33,-12,layup,True,0,False,True
2013-04-15,25.4,Orlando Magic,Chicago Bulls,3,52-39,-15,layup,True,0,True,True
2013-04-15,27.7,Orlando Magic,Chicago Bulls,3,59-39,-22,two point jumper,True,20,False,True
2013-04-15,33.4833333333,Orlando Magic,Chicago Bulls,3,72-48,-26,layup,True,0,False,True
2013-04-15,36.25,Orlando Magic,Chicago Bulls,4,77-57,-22,dunk,True,0,True,True
2013-04-15,36.6166666667,Orlando Magic,Chicago Bulls,4,77-59,-20,layup,True,0,True,True
2013-04-15,36.6166666667,Orlando Magic,Chicago Bulls,4,77-60,-18,free throw,True,15,True,True
2013-04-15,37.8666666667,Orlando Magic,Chicago Bulls,4,79-62,-19,two point shot,True,4,True,True
2013-04-15,39.15,Orlando Magic,Chicago Bulls,4,83-65,-19,free throw,True,15,True,True
2013-04-15,39.15,Orlando Magic,Chicago Bulls,4,83-66,-18,free throw,True,15,True,True
2013-04-15,40.7,Orlando Magic,Chicago Bulls,4,86-68,-20,layup,True,0,True,True
2013-04-15,44.75,Orlando Magic,Chicago Bulls,4,96-73,-25,hook shot,True,4,False,True
2013-04-15,45.4666666667,Orlando Magic,Chicago Bulls,4,96-75,-24,three point jumper,True,25,False,True
2013-04-15,46.0,Orlando Magic,Chicago Bulls,4,98-77,-22,free throw,True,15,False,True
2013-04-15,46.0,Orlando Magic,Chicago Bulls,4,98-77,-22,free throw,True,15,False,True
2013-04-07,1.61666666667,Orlando Magic,Cleveland Cavaliers,1,2-0,0,layup,False,0,True,False
2013-04-07,12.5166666667,Orlando Magic,Cleveland Cavaliers,2,26-22,2,layup,False,0,True,False
2013-04-07,16.35,Orlando Magic,Cleveland Cavaliers,2,28-30,-4,two point jumper,False,19,False,False
2013-04-07,19.7,Orlando Magic,Cleveland Cavaliers,2,37-36,-1,two point jumper,False,5,False,False
2013-04-07,24.0,Orlando Magic,Cleveland Cavaliers,2,48-44,2,layup,False,0,False,False
2013-04-07,24.5833333333,Orlando Magic,Cleveland Cavaliers,3,48-47,-2,three point jumper,False,23,False,False
2013-04-07,25.5666666667,Orlando Magic,Cleveland Cavaliers,3,48-47,-1,two point shot,False,13,False,False
2013-04-07,25.8833333333,Orlando Magic,Cleveland Cavaliers,3,50-47,1,two point shot,False,1,True,False
2013-04-07,29.35,Orlando Magic,Cleveland Cavaliers,3,56-54,-1,three point jumper,False,24,False,False
2013-04-07,31.45,Orlando Magic,Cleveland Cavaliers,3,60-58,0,layup,False,0,False,False
2013-04-07,41.8833333333,Orlando Magic,Cleveland Cavaliers,4,72-76,-5,free throw,False,15,False,False
2013-04-07,41.8833333333,Orlando Magic,Cleveland Cavaliers,4,73-76,-4,free throw,False,15,True,False
2013-04-07,45.7333333333,Orlando Magic,Cleveland Cavaliers,4,80-85,-7,two point jumper,False,1,False,False
2013-04-10,1.96666666667,Orlando Magic,Milwaukee Bucks,1,3-6,1,two point shot,True,2,True,True
2013-04-10,5.7,Orlando Magic,Milwaukee Bucks,1,7-13,4,two point shot,True,1,False,True
2013-04-10,9.2,Orlando Magic,Milwaukee Bucks,1,11-23,10,dunk,True,0,True,True
2013-04-10,10.35,Orlando Magic,Milwaukee Bucks,1,12-25,10,three point jumper,True,23,False,True
2013-04-10,16.3833333333,Orlando Magic,Milwaukee Bucks,2,27-34,5,two point jumper,True,20,False,True
2013-04-10,17.2833333333,Orlando Magic,Milwaukee Bucks,2,29-36,5,two point shot,True,4,True,True
2013-04-10,17.2833333333,Orlando Magic,Milwaukee Bucks,2,29-36,6,free throw,True,15,False,True
