date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-11-11,19.9833333333,San Antonio Spurs,Boston Celtics,2,37-37,-2,two point jumper,False,6,False,False
2006-11-11,41.8833333333,San Antonio Spurs,Boston Celtics,4,64-51,12,free throw,False,15,True,False
2006-11-11,41.8833333333,San Antonio Spurs,Boston Celtics,4,65-51,13,free throw,False,15,True,False
2006-11-11,43.7333333333,San Antonio Spurs,Boston Celtics,4,71-51,18,layup,False,0,True,False
2006-11-11,12.7833333333,San Antonio Spurs,Boston Celtics,5,85-67,16,two point shot,False,1,True,False
2006-03-21,21.75,San Antonio Spurs,Golden State Warriors,5,96-106,9,free throw,True,15,True,False
2006-03-21,21.75,San Antonio Spurs,Golden State Warriors,5,96-107,10,free throw,True,15,True,False
2006-03-28,46.7333333333,San Antonio Spurs,Los Angeles Clippers,4,98-85,11,two point jumper,False,7,True,True
2006-03-30,47.3833333333,San Antonio Spurs,Los Angeles Lakers,4,96-86,8,two point jumper,False,9,False,True
2006-04-05,42.0333333333,San Antonio Spurs,Sacramento Kings,4,92-73,-21,two point jumper,True,17,False,False
2006-04-05,42.4833333333,San Antonio Spurs,Sacramento Kings,4,92-73,-21,layup,True,0,False,False
2006-04-05,44.5166666667,San Antonio Spurs,Sacramento Kings,4,95-76,-20,free throw,True,15,False,False
2006-04-05,44.5166666667,San Antonio Spurs,Sacramento Kings,4,95-77,-19,free throw,True,15,True,False
2006-04-05,47.75,San Antonio Spurs,Sacramento Kings,4,97-87,-13,three point jumper,True,25,True,False
2006-03-18,46.8833333333,San Antonio Spurs,Houston Rockets,4,90-74,14,two point jumper,False,10,True,True
2006-04-19,13.5666666667,San Antonio Spurs,Houston Rockets,2,19-19,-2,two point jumper,False,1,False,True
2006-04-19,14.8,San Antonio Spurs,Houston Rockets,2,23-23,-2,two point jumper,False,18,True,True
2006-04-19,35.3666666667,San Antonio Spurs,Houston Rockets,3,65-57,5,three point jumper,False,27,False,True
2006-04-19,44.7333333333,San Antonio Spurs,Houston Rockets,4,80-80,-1,free throw,False,15,False,True
2006-04-19,44.7333333333,San Antonio Spurs,Houston Rockets,4,81-80,0,free throw,False,15,True,True
2006-04-19,46.1833333333,San Antonio Spurs,Houston Rockets,4,85-83,0,layup,False,0,True,True
2006-01-25,43.3166666667,San Antonio Spurs,New Orleans Pelicans,4,78-54,22,two point jumper,False,15,True,True
2006-01-25,45.15,San Antonio Spurs,New Orleans Pelicans,4,80-58,20,two point jumper,False,17,False,True
2006-11-12,15.1333333333,San Antonio Spurs,Washington Wizards,2,34-31,1,two point jumper,False,19,False,True
2006-11-12,16.5333333333,San Antonio Spurs,Washington Wizards,2,36-33,1,layup,False,0,False,True
2006-11-15,30.0666666667,San Antonio Spurs,Atlanta Hawks,3,59-66,5,layup,True,0,False,False
2006-11-15,31.75,San Antonio Spurs,Atlanta Hawks,3,61-70,7,two point jumper,True,16,False,False
2006-11-15,31.8166666667,San Antonio Spurs,Atlanta Hawks,3,61-70,7,layup,True,0,False,False
2006-11-15,32.9333333333,San Antonio Spurs,Atlanta Hawks,3,61-74,11,two point jumper,True,15,True,False
2006-11-15,34.15,San Antonio Spurs,Atlanta Hawks,3,63-74,9,two point jumper,True,16,False,False
2006-11-15,43.0,San Antonio Spurs,Atlanta Hawks,4,75-95,19,free throw,True,15,False,False
2006-11-15,43.0,San Antonio Spurs,Atlanta Hawks,4,75-96,20,free throw,True,15,True,False
2006-11-15,44.2,San Antonio Spurs,Atlanta Hawks,4,76-98,20,two point jumper,True,15,True,False
2006-01-24,36.8166666667,San Antonio Spurs,Charlotte Bobcats,4,55-77,20,two point jumper,True,14,True,False
2006-01-24,40.2833333333,San Antonio Spurs,Charlotte Bobcats,4,60-79,17,two point jumper,True,19,False,False
2006-01-24,41.35,San Antonio Spurs,Charlotte Bobcats,4,60-83,21,two point jumper,True,4,True,False
2006-01-24,46.4666666667,San Antonio Spurs,Charlotte Bobcats,4,71-100,27,two point jumper,True,19,True,False
2006-01-24,47.8333333333,San Antonio Spurs,Charlotte Bobcats,4,76-104,26,dunk,True,0,True,False
2006-03-24,44.2333333333,San Antonio Spurs,Portland Trail Blazers,4,89-68,19,two point jumper,False,19,True,True
2006-04-11,47.7333333333,San Antonio Spurs,Oklahoma City Thunder,4,93-104,8,three point jumper,True,23,True,False
