date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-01-18,13.5166666667,Minnesota Timberwolves,Boston Celtics,2,36-24,10,hook shot,False,1,False,True
2006-01-18,17.2166666667,Minnesota Timberwolves,Boston Celtics,2,40-32,7,free throw,False,15,False,True
2006-01-18,17.2166666667,Minnesota Timberwolves,Boston Celtics,2,41-32,8,free throw,False,15,True,True
2006-01-18,30.9166666667,Minnesota Timberwolves,Boston Celtics,3,65-60,3,two point jumper,False,13,False,True
2006-01-18,33.4333333333,Minnesota Timberwolves,Boston Celtics,3,69-64,3,layup,False,0,False,True
2006-01-18,35.7,Minnesota Timberwolves,Boston Celtics,3,73-69,2,dunk,False,0,True,True
2006-01-18,41.1333333333,Minnesota Timberwolves,Boston Celtics,4,79-77,0,hook shot,False,6,True,True
2006-01-30,11.3666666667,Boston Celtics,Minnesota Timberwolves,1,28-28,-2,hook shot,False,10,True,True
2006-02-03,17.7,Boston Celtics,Los Angeles Clippers,2,42-34,-10,two point jumper,True,6,True,False
2006-02-03,18.25,Boston Celtics,Los Angeles Clippers,2,44-34,-12,two point jumper,True,12,False,False
2006-02-03,33.4166666667,Boston Celtics,Los Angeles Clippers,3,74-62,-14,two point jumper,True,14,False,False
2006-02-03,35.3166666667,Boston Celtics,Los Angeles Clippers,3,78-66,-14,two point shot,True,1,True,False
2006-02-03,35.9333333333,Boston Celtics,Los Angeles Clippers,3,80-66,-16,two point jumper,True,6,False,False
2006-02-03,38.1833333333,Boston Celtics,Los Angeles Clippers,4,80-70,-12,two point shot,True,6,True,False
2006-02-03,39.3666666667,Boston Celtics,Los Angeles Clippers,4,80-74,-8,two point jumper,True,4,True,False
2006-02-03,39.95,Boston Celtics,Los Angeles Clippers,4,80-74,-8,two point jumper,True,10,False,False
2006-02-03,40.5333333333,Boston Celtics,Los Angeles Clippers,4,80-74,-8,layup,True,0,False,False
2006-02-03,41.3166666667,Boston Celtics,Los Angeles Clippers,4,82-74,-10,tip shot,True,0,False,False
2006-02-03,41.9166666667,Boston Celtics,Los Angeles Clippers,4,82-76,-8,two point jumper,True,6,True,False
2006-02-03,44.0333333333,Boston Celtics,Los Angeles Clippers,4,87-78,-11,two point jumper,True,1,False,False
2006-02-06,15.1333333333,Boston Celtics,Miami Heat,2,31-37,-8,hook shot,False,5,True,True
2006-02-06,36.3333333333,Boston Celtics,Miami Heat,4,74-83,-11,two point jumper,False,13,False,True
2006-02-06,38.8333333333,Boston Celtics,Miami Heat,4,78-87,-11,layup,False,0,False,True
2006-02-12,20.55,Boston Celtics,Orlando Magic,2,35-38,1,two point jumper,True,9,False,False
2006-02-15,12.2666666667,Boston Celtics,Cleveland Cavaliers,2,30-23,-9,two point shot,True,9,False,False
2006-02-21,11.1333333333,Boston Celtics,Utah Jazz,1,21-25,-6,tip shot,False,0,True,False
2006-02-21,14.2166666667,Boston Celtics,Utah Jazz,2,25-29,-6,two point jumper,False,9,False,False
2006-02-21,15.5833333333,Boston Celtics,Utah Jazz,2,27-30,-5,layup,False,0,True,False
2006-02-21,31.95,Boston Celtics,Utah Jazz,3,67-61,4,two point shot,False,12,True,False
2006-02-21,34.4,Boston Celtics,Utah Jazz,3,77-64,12,free throw,False,15,True,False
2006-02-21,34.4,Boston Celtics,Utah Jazz,3,78-64,13,free throw,False,15,True,False
2006-02-21,36.8666666667,Boston Celtics,Utah Jazz,4,84-64,18,two point shot,False,10,True,False
2006-02-21,41.9166666667,Boston Celtics,Utah Jazz,4,93-69,22,two point shot,False,1,True,False
2006-02-22,12.3333333333,Boston Celtics,Phoenix Suns,2,24-31,-9,two point jumper,False,14,False,True
2006-03-07,11.4,Boston Celtics,Washington Wizards,5,82-95,-15,two point jumper,False,5,False,True
2006-03-07,12.0833333333,Boston Celtics,Washington Wizards,5,84-95,-13,two point shot,False,5,True,True
2006-04-09,35.1,Boston Celtics,New York Knicks,3,70-74,2,two point jumper,True,1,False,True
2006-04-09,38.2166666667,Boston Celtics,New York Knicks,4,75-76,-1,two point jumper,True,12,False,True
2006-04-09,38.8333333333,Boston Celtics,New York Knicks,4,77-76,-2,free throw,True,15,False,True
2006-04-09,38.8333333333,Boston Celtics,New York Knicks,4,77-77,-1,free throw,True,15,True,True
2006-04-12,13.5,Boston Celtics,Indiana Pacers,2,37-42,-7,two point jumper,False,5,False,False
2006-04-12,17.7833333333,Boston Celtics,Indiana Pacers,2,45-50,-7,tip shot,False,0,True,False
2006-04-14,12.7,Boston Celtics,Brooklyn Nets,2,14-20,4,two point shot,True,11,True,False
2006-04-14,13.6333333333,Boston Celtics,Brooklyn Nets,2,16-22,4,two point jumper,True,1,False,False
2006-04-14,17.3166666667,Boston Celtics,Brooklyn Nets,2,20-25,3,two point shot,True,1,True,False
2006-04-16,12.3666666667,Boston Celtics,Brooklyn Nets,2,21-31,-12,two point shot,False,16,False,False
2006-04-16,13.0,Boston Celtics,Brooklyn Nets,2,22-33,-12,free throw,False,15,True,False
2006-04-16,13.0,Boston Celtics,Brooklyn Nets,2,22-33,-12,free throw,False,15,False,False
2006-04-16,14.1833333333,Boston Celtics,Brooklyn Nets,2,24-33,-11,two point shot,False,6,True,False
2006-04-16,36.4333333333,Boston Celtics,Brooklyn Nets,4,72-74,-4,layup,False,0,True,False
