date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2007-01-05,12.25,Oklahoma City Thunder,New York Knicks,2,36-21,-17,two point jumper,True,14,False,True
2007-01-05,12.7,Oklahoma City Thunder,New York Knicks,2,36-23,-15,two point shot,True,1,False,True
2007-01-05,12.9,Oklahoma City Thunder,New York Knicks,2,36-25,-13,two point jumper,True,5,True,True
2007-01-05,14.0666666667,Oklahoma City Thunder,New York Knicks,2,38-29,-11,two point shot,True,1,True,True
2007-01-05,14.7,Oklahoma City Thunder,New York Knicks,2,38-31,-9,two point jumper,True,21,True,True
2007-01-05,16.1333333333,Oklahoma City Thunder,New York Knicks,2,43-31,-14,two point jumper,True,15,False,True
2007-01-05,37.1166666667,Oklahoma City Thunder,New York Knicks,4,96-74,-24,layup,True,0,True,True
2007-01-05,46.5833333333,Oklahoma City Thunder,New York Knicks,4,111-91,-22,two point jumper,True,1,True,True
2007-12-23,11.95,Oklahoma City Thunder,Toronto Raptors,1,22-36,11,three point jumper,True,24,False,False
2007-12-23,12.55,Oklahoma City Thunder,Toronto Raptors,2,22-38,14,layup,True,0,True,False
2007-12-23,16.0333333333,Oklahoma City Thunder,Toronto Raptors,2,30-42,10,two point jumper,True,6,False,False
2007-12-23,19.45,Oklahoma City Thunder,Toronto Raptors,2,42-56,12,tip shot,True,0,True,False
2007-12-23,22.6333333333,Oklahoma City Thunder,Toronto Raptors,2,52-62,8,two point jumper,True,17,False,False
2007-12-23,43.5666666667,Oklahoma City Thunder,Toronto Raptors,4,91-101,8,layup,True,0,True,False
2007-03-11,11.3166666667,Oklahoma City Thunder,Toronto Raptors,1,17-24,-10,three point jumper,False,25,False,False
2007-12-10,9.15,Oklahoma City Thunder,Golden State Warriors,1,31-20,-13,two point jumper,True,17,False,True
2007-12-10,21.8666666667,Oklahoma City Thunder,Golden State Warriors,2,67-52,-17,two point jumper,True,1,False,True
2007-12-10,22.9,Oklahoma City Thunder,Golden State Warriors,2,69-54,-17,two point jumper,True,1,False,True
2007-12-10,35.0833333333,Oklahoma City Thunder,Golden State Warriors,3,88-85,-5,tip shot,True,0,False,True
2007-01-06,3.65,Oklahoma City Thunder,Golden State Warriors,1,7-6,-1,two point jumper,False,9,False,False
2007-01-06,6.5,Oklahoma City Thunder,Golden State Warriors,1,19-15,2,layup,False,0,True,False
2007-01-06,9.21666666667,Oklahoma City Thunder,Golden State Warriors,1,26-19,5,two point jumper,False,1,True,False
2007-01-06,20.4333333333,Oklahoma City Thunder,Golden State Warriors,2,45-42,1,two point jumper,False,10,False,False
2007-01-06,33.15,Oklahoma City Thunder,Golden State Warriors,3,68-72,-6,layup,False,0,True,False
2007-01-06,33.15,Oklahoma City Thunder,Golden State Warriors,3,69-72,-4,free throw,False,15,True,False
2007-01-06,34.1666666667,Oklahoma City Thunder,Golden State Warriors,3,69-76,-9,two point jumper,False,19,False,False
2007-01-06,35.2833333333,Oklahoma City Thunder,Golden State Warriors,3,72-78,-9,three point jumper,False,23,True,False
2007-01-28,1.71666666667,Oklahoma City Thunder,Los Angeles Clippers,1,0-4,2,two point jumper,True,13,False,False
2007-01-28,6.06666666667,Oklahoma City Thunder,Los Angeles Clippers,1,12-12,-3,three point jumper,True,23,False,False
2007-01-28,23.2666666667,Oklahoma City Thunder,Los Angeles Clippers,2,49-28,-22,free throw,True,15,False,False
2007-01-28,23.2666666667,Oklahoma City Thunder,Los Angeles Clippers,2,49-29,-21,free throw,True,15,True,False
2007-01-28,24.0,Oklahoma City Thunder,Los Angeles Clippers,2,53-30,-24,free throw,True,15,True,False
2007-01-28,24.0,Oklahoma City Thunder,Los Angeles Clippers,2,53-31,-23,free throw,True,15,True,False
2007-01-28,26.5833333333,Oklahoma City Thunder,Los Angeles Clippers,3,57-34,-26,three point jumper,True,24,False,False
2007-01-28,31.6,Oklahoma City Thunder,Los Angeles Clippers,3,76-41,-38,three point jumper,True,26,False,False
2007-01-28,32.25,Oklahoma City Thunder,Los Angeles Clippers,3,78-43,-37,two point shot,True,1,False,False
2007-01-28,33.2833333333,Oklahoma City Thunder,Los Angeles Clippers,3,82-47,-37,two point shot,True,1,True,False
2007-03-01,38.8666666667,Oklahoma City Thunder,Los Angeles Clippers,4,59-63,2,two point jumper,True,16,False,True
2007-11-03,22.2333333333,Oklahoma City Thunder,Los Angeles Lakers,2,52-60,-10,two point jumper,False,14,True,False
2007-11-05,48.0,Oklahoma City Thunder,Los Angeles Lakers,4,101-117,13,three point jumper,True,26,False,True
2007-04-06,15.95,Oklahoma City Thunder,Los Angeles Lakers,2,35-36,-2,three point jumper,True,26,True,False
2007-04-06,19.7333333333,Oklahoma City Thunder,Los Angeles Lakers,2,39-42,0,three point jumper,True,26,True,False
2007-04-06,31.5666666667,Oklahoma City Thunder,Los Angeles Lakers,3,65-75,8,two point shot,True,1,True,False
