date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-12-02,0.216666666667,Chicago Bulls,Boston Celtics,1,2-0,0,layup,False,0,True,True
2006-12-02,1.43333333333,Chicago Bulls,Boston Celtics,1,6-3,1,hook shot,False,1,True,True
2006-12-02,4.21666666667,Chicago Bulls,Boston Celtics,1,13-10,1,layup,False,0,False,True
2006-12-02,13.65,Chicago Bulls,Boston Celtics,2,34-27,5,two point jumper,False,6,False,True
2006-12-02,13.8166666667,Chicago Bulls,Boston Celtics,2,36-27,7,layup,False,0,True,True
2006-12-02,17.45,Chicago Bulls,Boston Celtics,2,39-31,6,two point jumper,False,20,False,True
2006-12-02,24.55,Chicago Bulls,Boston Celtics,3,56-47,7,two point shot,False,1,False,True
2006-12-02,26.5833333333,Chicago Bulls,Boston Celtics,3,59-50,7,two point jumper,False,10,False,True
2006-12-17,1.75,Chicago Bulls,Boston Celtics,1,0-7,5,layup,True,0,True,False
2006-12-17,4.53333333333,Chicago Bulls,Boston Celtics,1,4-13,7,dunk,True,0,True,False
2006-12-17,6.2,Chicago Bulls,Boston Celtics,1,8-15,6,free throw,True,15,False,False
2006-12-17,6.2,Chicago Bulls,Boston Celtics,1,8-15,6,free throw,True,15,False,False
2006-12-17,7.06666666667,Chicago Bulls,Boston Celtics,1,13-17,3,free throw,True,15,False,False
2006-12-17,7.06666666667,Chicago Bulls,Boston Celtics,1,13-18,4,free throw,True,15,True,False
2006-12-17,7.56666666667,Chicago Bulls,Boston Celtics,1,13-20,5,layup,True,0,True,False
2006-12-17,7.56666666667,Chicago Bulls,Boston Celtics,1,13-20,6,free throw,True,15,False,False
2006-12-17,14.6333333333,Chicago Bulls,Boston Celtics,2,23-34,9,dunk,True,0,True,False
2006-12-17,16.4166666667,Chicago Bulls,Boston Celtics,2,23-34,9,two point jumper,True,1,False,False
2006-12-17,18.35,Chicago Bulls,Boston Celtics,2,28-38,8,layup,True,0,True,False
2006-12-17,18.75,Chicago Bulls,Boston Celtics,2,30-40,8,dunk,True,0,True,False
2006-12-17,20.85,Chicago Bulls,Boston Celtics,2,34-40,4,two point jumper,True,18,False,False
2006-12-17,27.9,Chicago Bulls,Boston Celtics,3,48-64,14,two point shot,True,1,True,False
2006-12-17,30.8833333333,Chicago Bulls,Boston Celtics,3,50-74,22,two point jumper,True,12,True,False
2006-12-17,39.1333333333,Chicago Bulls,Boston Celtics,4,70-94,22,layup,True,0,True,False
2006-12-17,39.1333333333,Chicago Bulls,Boston Celtics,4,70-95,24,free throw,True,15,True,False
2006-12-17,40.5666666667,Chicago Bulls,Boston Celtics,4,73-99,24,layup,True,0,True,False
2006-12-17,41.6666666667,Chicago Bulls,Boston Celtics,4,75-102,26,free throw,True,15,True,False
2006-12-17,41.6666666667,Chicago Bulls,Boston Celtics,4,75-103,27,free throw,True,15,True,False
2006-03-26,15.1833333333,Chicago Bulls,Boston Celtics,2,32-36,-6,layup,False,0,True,False
2006-03-26,18.5,Chicago Bulls,Boston Celtics,2,39-43,-5,free throw,False,15,True,False
2006-03-26,18.5,Chicago Bulls,Boston Celtics,2,40-43,-4,free throw,False,15,True,False
2006-03-26,19.6,Chicago Bulls,Boston Celtics,2,42-43,-3,hook shot,False,6,False,False
2006-03-26,23.4166666667,Chicago Bulls,Boston Celtics,2,44-51,-9,two point jumper,False,17,True,False
2006-03-26,26.4,Chicago Bulls,Boston Celtics,3,49-58,-11,two point jumper,False,18,False,False
2006-03-26,30.6333333333,Chicago Bulls,Boston Celtics,3,57-66,-11,layup,False,0,False,False
2006-04-01,0.55,Chicago Bulls,Boston Celtics,1,2-0,-4,layup,True,0,False,False
2006-04-01,0.55,Chicago Bulls,Boston Celtics,1,2-0,-3,free throw,True,15,False,False
2006-04-01,0.55,Chicago Bulls,Boston Celtics,1,2-1,-2,free throw,True,15,True,False
2006-04-01,1.01666666667,Chicago Bulls,Boston Celtics,1,2-1,-3,hook shot,True,7,False,False
2006-04-01,3.3,Chicago Bulls,Boston Celtics,1,12-5,-9,two point jumper,True,7,True,False
2006-04-01,4.98333333333,Chicago Bulls,Boston Celtics,1,14-8,-7,free throw,True,15,True,False
2006-04-01,4.98333333333,Chicago Bulls,Boston Celtics,1,14-8,-7,free throw,True,15,False,False
2006-04-01,5.56666666667,Chicago Bulls,Boston Celtics,1,14-10,-6,layup,True,0,True,False
2006-04-01,6.28333333333,Chicago Bulls,Boston Celtics,1,16-10,-8,hook shot,True,11,False,False
2006-04-01,20.3,Chicago Bulls,Boston Celtics,2,45-35,-11,free throw,True,15,True,False
2006-04-01,20.3,Chicago Bulls,Boston Celtics,2,45-36,-10,free throw,True,15,True,False
2006-04-01,20.7166666667,Chicago Bulls,Boston Celtics,2,45-38,-9,two point shot,True,1,True,False
2006-04-01,24.2166666667,Chicago Bulls,Boston Celtics,3,55-47,-10,two point jumper,True,1,False,False
2006-04-01,26.1333333333,Chicago Bulls,Boston Celtics,3,57-52,-7,layup,True,0,True,False
2006-04-01,28.1333333333,Chicago Bulls,Boston Celtics,3,61-58,-5,layup,True,0,True,False
2006-11-05,6.66666666667,Chicago Bulls,Brooklyn Nets,1,5-9,-6,hook shot,False,6,True,True
2006-11-05,8.18333333333,Chicago Bulls,Brooklyn Nets,1,11-12,-3,two point shot,False,10,True,True
2006-11-05,11.1166666667,Chicago Bulls,Brooklyn Nets,1,17-17,-1,free throw,False,15,True,True
2006-11-05,11.1166666667,Chicago Bulls,Brooklyn Nets,1,18-17,0,free throw,False,15,True,True
2006-11-05,28.7833333333,Chicago Bulls,Brooklyn Nets,3,30-24,4,two point shot,False,14,False,True
2006-11-05,29.2333333333,Chicago Bulls,Brooklyn Nets,3,32-26,4,layup,False,0,True,True
2006-11-05,30.45,Chicago Bulls,Brooklyn Nets,3,36-30,4,layup,False,0,True,True
2006-11-05,45.65,Chicago Bulls,Brooklyn Nets,4,60-68,-10,hook shot,False,6,False,True
2006-11-05,12.45,Chicago Bulls,Brooklyn Nets,5,71-76,-7,layup,False,0,True,True
2006-11-05,14.4,Chicago Bulls,Brooklyn Nets,5,77-76,-1,layup,False,0,True,True
2006-04-11,0.5,Chicago Bulls,Brooklyn Nets,1,2-1,-2,free throw,True,15,False,True
2006-04-11,0.5,Chicago Bulls,Brooklyn Nets,1,2-1,-2,free throw,True,15,True,True
2006-11-30,1.36666666667,Chicago Bulls,New York Knicks,1,1-0,0,free throw,False,15,True,False
2006-11-30,1.36666666667,Chicago Bulls,New York Knicks,1,2-0,1,free throw,False,15,True,False
2006-11-30,1.95,Chicago Bulls,New York Knicks,1,4-0,2,layup,False,0,True,False
2006-11-30,19.45,Chicago Bulls,New York Knicks,2,47-36,9,two point jumper,False,7,False,False
2006-11-30,24.6333333333,Chicago Bulls,New York Knicks,3,60-48,10,layup,False,0,True,False
2006-11-30,25.8666666667,Chicago Bulls,New York Knicks,3,60-50,8,two point jumper,False,17,False,False
2006-11-30,28.45,Chicago Bulls,New York Knicks,3,65-54,9,layup,False,0,True,False
2006-11-30,28.45,Chicago Bulls,New York Knicks,3,66-54,11,free throw,False,15,True,False
2006-11-30,29.0,Chicago Bulls,New York Knicks,3,66-55,10,free throw,False,15,False,False
