date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2009-03-23,18.85,Los Angeles Clippers,Boston Celtics,2,37-36,-1,layup,False,0,True,False
2009-03-23,38.6333333333,Los Angeles Clippers,Boston Celtics,4,65-74,-11,layup,False,0,False,False
2009-11-22,13.6166666667,Los Angeles Clippers,Brooklyn Nets,2,29-35,-8,two point jumper,False,6,False,True
2009-11-22,14.5,Los Angeles Clippers,Brooklyn Nets,2,30-35,-7,two point jumper,False,6,False,True
2009-03-15,14.6333333333,Los Angeles Clippers,Brooklyn Nets,2,36-39,2,free throw,True,15,True,True
2009-03-15,14.6333333333,Los Angeles Clippers,Brooklyn Nets,2,36-39,2,free throw,True,15,False,True
2009-03-15,37.95,Los Angeles Clippers,Brooklyn Nets,4,83-90,5,layup,True,0,False,True
2009-03-15,40.0,Los Angeles Clippers,Brooklyn Nets,4,86-98,10,two point shot,True,1,True,True
2009-03-15,40.5333333333,Los Angeles Clippers,Brooklyn Nets,4,86-98,10,layup,True,0,False,True
2009-03-25,12.95,Los Angeles Clippers,New York Knicks,2,32-44,-13,free throw,False,15,True,True
2009-03-25,12.95,Los Angeles Clippers,New York Knicks,2,33-44,-12,free throw,False,15,True,True
2009-03-25,13.8166666667,Los Angeles Clippers,New York Knicks,2,38-46,-10,layup,False,0,True,True
2009-03-25,13.8166666667,Los Angeles Clippers,New York Knicks,2,39-46,-8,free throw,False,15,True,True
2009-03-25,14.5166666667,Los Angeles Clippers,New York Knicks,2,41-46,-7,two point shot,False,8,True,True
2009-03-25,15.3333333333,Los Angeles Clippers,New York Knicks,2,42-49,-8,free throw,False,15,True,True
2009-03-25,15.3333333333,Los Angeles Clippers,New York Knicks,2,43-49,-7,free throw,False,15,True,True
2009-03-25,15.7,Los Angeles Clippers,New York Knicks,2,44-49,-6,free throw,False,15,True,True
2009-03-25,15.7,Los Angeles Clippers,New York Knicks,2,45-49,-5,free throw,False,15,True,True
2009-03-25,16.8166666667,Los Angeles Clippers,New York Knicks,2,47-51,-6,layup,False,0,True,True
2009-03-25,17.2,Los Angeles Clippers,New York Knicks,2,47-53,-8,layup,False,0,False,True
2009-03-25,19.5666666667,Los Angeles Clippers,New York Knicks,2,53-60,-9,two point shot,False,13,True,True
2009-03-25,22.1666666667,Los Angeles Clippers,New York Knicks,2,63-62,-1,layup,False,0,True,True
2009-03-25,23.4333333333,Los Angeles Clippers,New York Knicks,2,63-66,-5,two point jumper,False,5,False,True
2009-03-25,25.75,Los Angeles Clippers,New York Knicks,3,70-69,-1,two point jumper,False,6,True,True
2009-03-25,26.2666666667,Los Angeles Clippers,New York Knicks,3,72-72,-2,two point jumper,False,19,True,True
2009-03-25,30.0666666667,Los Angeles Clippers,New York Knicks,3,86-83,1,layup,False,0,True,True
2009-03-25,33.0,Los Angeles Clippers,New York Knicks,3,92-90,0,two point jumper,False,11,False,True
2009-03-25,33.9166666667,Los Angeles Clippers,New York Knicks,3,92-92,-2,two point jumper,False,14,False,True
2009-03-25,39.8333333333,Los Angeles Clippers,New York Knicks,4,104-102,0,two point shot,False,4,True,True
2009-03-25,41.3166666667,Los Angeles Clippers,New York Knicks,4,108-106,0,layup,False,0,True,True
2009-03-25,41.7833333333,Los Angeles Clippers,New York Knicks,4,108-108,-2,layup,False,0,False,True
2009-03-25,43.2833333333,Los Angeles Clippers,New York Knicks,4,114-112,0,two point jumper,False,19,True,True
2009-03-25,46.6333333333,Los Angeles Clippers,New York Knicks,4,119-123,-6,layup,False,0,False,True
2009-03-25,17.7833333333,Los Angeles Clippers,New York Knicks,5,129-127,0,layup,False,0,True,True
2009-03-25,19.6166666667,Los Angeles Clippers,New York Knicks,5,133-133,-2,two point jumper,False,19,True,True
2009-03-25,20.5,Los Angeles Clippers,New York Knicks,5,137-133,2,two point shot,False,7,True,True
2009-03-22,9.21666666667,Los Angeles Clippers,Toronto Raptors,1,15-22,-9,layup,False,0,True,True
2009-03-22,10.0166666667,Los Angeles Clippers,Toronto Raptors,1,18-24,-8,two point shot,False,10,False,True
2009-03-22,36.65,Los Angeles Clippers,Toronto Raptors,4,54-79,-27,two point jumper,False,10,False,True
2009-03-22,47.1166666667,Los Angeles Clippers,Toronto Raptors,4,75-98,-24,free throw,False,15,True,True
2009-03-22,47.1166666667,Los Angeles Clippers,Toronto Raptors,4,76-98,-23,free throw,False,15,True,True
2009-11-15,14.0166666667,Los Angeles Clippers,Golden State Warriors,2,38-31,-10,three point jumper,True,22,False,False
2009-11-15,47.8833333333,Los Angeles Clippers,Golden State Warriors,4,121-103,-20,layup,True,0,True,False
