date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2011-01-03,10.85,Minnesota Timberwolves,Boston Celtics,1,25-17,6,two point jumper,False,14,True,False
2011-01-03,14.1333333333,Minnesota Timberwolves,Boston Celtics,2,25-20,3,hook shot,False,3,False,False
2011-01-03,23.85,Minnesota Timberwolves,Boston Celtics,2,45-43,0,two point jumper,False,13,False,False
2011-01-03,34.5833333333,Minnesota Timberwolves,Boston Celtics,3,70-64,5,free throw,False,15,True,False
2011-01-03,34.5833333333,Minnesota Timberwolves,Boston Celtics,3,71-64,6,free throw,False,15,True,False
2011-01-03,42.8166666667,Minnesota Timberwolves,Boston Celtics,4,85-80,3,layup,False,0,False,False
2011-01-01,4.13333333333,Minnesota Timberwolves,Brooklyn Nets,1,10-10,-2,hook shot,True,1,False,False
2011-01-01,4.73333333333,Minnesota Timberwolves,Brooklyn Nets,1,10-13,2,free throw,True,15,True,False
2011-01-01,4.73333333333,Minnesota Timberwolves,Brooklyn Nets,1,10-14,3,free throw,True,15,True,False
2011-01-01,10.0,Minnesota Timberwolves,Brooklyn Nets,1,23-29,4,two point shot,True,4,True,False
2011-01-01,12.3833333333,Minnesota Timberwolves,Brooklyn Nets,2,29-38,7,tip shot,True,0,True,False
2011-01-01,14.3666666667,Minnesota Timberwolves,Brooklyn Nets,2,33-39,5,free throw,True,15,True,False
2011-01-01,14.3666666667,Minnesota Timberwolves,Brooklyn Nets,2,33-40,6,free throw,True,15,True,False
2011-04-05,1.95,Minnesota Timberwolves,Brooklyn Nets,1,4-2,0,layup,False,0,True,False
2011-04-05,3.01666666667,Minnesota Timberwolves,Brooklyn Nets,1,8-7,-1,dunk,False,0,True,False
2011-04-05,23.2,Minnesota Timberwolves,Brooklyn Nets,2,49-61,-13,free throw,False,15,True,False
2011-04-05,23.2,Minnesota Timberwolves,Brooklyn Nets,2,50-61,-12,free throw,False,15,True,False
2011-04-05,28.6666666667,Minnesota Timberwolves,Brooklyn Nets,3,62-71,-11,layup,False,0,True,False
2011-04-05,29.1333333333,Minnesota Timberwolves,Brooklyn Nets,3,64-72,-10,layup,False,0,True,False
2011-04-05,32.7333333333,Minnesota Timberwolves,Brooklyn Nets,3,67-81,-16,layup,False,0,False,False
2011-04-05,33.2666666667,Minnesota Timberwolves,Brooklyn Nets,3,69-81,-14,layup,False,0,True,False
2011-11-12,8.28333333333,Minnesota Timberwolves,New York Knicks,1,23-18,-7,layup,True,0,True,True
2011-11-12,10.0,Minnesota Timberwolves,New York Knicks,1,25-25,-2,layup,True,0,True,True
2011-12-06,10.8,Minnesota Timberwolves,New York Knicks,1,33-26,6,free throw,False,15,False,False
2011-12-06,10.8,Minnesota Timberwolves,New York Knicks,1,34-26,7,free throw,False,15,True,False
2011-12-06,13.25,Minnesota Timberwolves,New York Knicks,2,36-37,-3,two point jumper,False,3,False,False
2011-12-06,34.2166666667,Minnesota Timberwolves,New York Knicks,3,86-87,-3,two point jumper,False,4,False,False
2011-02-12,0.65,Minnesota Timberwolves,Philadelphia 76ers,1,0-2,0,two point shot,True,8,True,True
2011-02-12,13.7,Minnesota Timberwolves,Philadelphia 76ers,2,32-38,4,layup,True,0,True,True
2011-02-12,25.25,Minnesota Timberwolves,Philadelphia 76ers,3,54-51,-4,free throw,True,15,True,True
2011-02-12,25.25,Minnesota Timberwolves,Philadelphia 76ers,3,54-52,-3,free throw,True,15,True,True
2011-03-04,1.93333333333,Minnesota Timberwolves,Philadelphia 76ers,1,4-2,0,hook shot,False,1,True,False
2011-03-04,3.31666666667,Minnesota Timberwolves,Philadelphia 76ers,1,7-4,2,free throw,False,15,True,False
2011-03-04,3.31666666667,Minnesota Timberwolves,Philadelphia 76ers,1,8-4,3,free throw,False,15,True,False
2011-03-04,6.6,Minnesota Timberwolves,Philadelphia 76ers,1,19-13,4,layup,False,0,True,False
2011-03-04,24.45,Minnesota Timberwolves,Philadelphia 76ers,3,49-56,-9,two point jumper,False,1,False,False
2011-03-04,24.6166666667,Minnesota Timberwolves,Philadelphia 76ers,3,50-56,-7,free throw,False,15,True,False
2011-03-04,24.6166666667,Minnesota Timberwolves,Philadelphia 76ers,3,51-56,-6,free throw,False,15,True,False
2011-03-04,25.6333333333,Minnesota Timberwolves,Philadelphia 76ers,3,55-59,-6,layup,False,0,True,False
2011-03-04,26.6333333333,Minnesota Timberwolves,Philadelphia 76ers,3,57-61,-6,layup,False,0,True,False
2011-03-04,27.95,Minnesota Timberwolves,Philadelphia 76ers,3,59-63,-6,hook shot,False,1,True,False
2011-03-04,28.5333333333,Minnesota Timberwolves,Philadelphia 76ers,3,61-65,-6,dunk,False,0,True,False
2011-01-29,12.6333333333,Minnesota Timberwolves,Toronto Raptors,2,20-23,1,two point shot,True,4,True,False
2011-01-29,14.8833333333,Minnesota Timberwolves,Toronto Raptors,2,23-27,2,tip shot,True,0,True,False
2011-01-29,15.7,Minnesota Timberwolves,Toronto Raptors,2,25-29,2,layup,True,0,True,False
2011-01-29,38.45,Minnesota Timberwolves,Toronto Raptors,4,63-86,21,dunk,True,0,False,False
2011-02-04,35.9833333333,Minnesota Timberwolves,Toronto Raptors,3,80-86,-8,tip shot,False,0,True,False
2011-12-14,10.9333333333,Minnesota Timberwolves,Golden State Warriors,1,24-16,6,two point shot,False,8,False,True
2011-12-14,33.6833333333,Minnesota Timberwolves,Golden State Warriors,3,72-75,-5,layup,False,0,True,True
2011-12-14,33.6833333333,Minnesota Timberwolves,Golden State Warriors,3,72-75,-4,free throw,False,15,False,True
2011-02-27,7.13333333333,Minnesota Timberwolves,Golden State Warriors,1,22-23,-1,layup,True,0,True,True
2011-02-27,7.13333333333,Minnesota Timberwolves,Golden State Warriors,1,22-24,1,free throw,True,15,True,True
2011-02-27,9.16666666667,Minnesota Timberwolves,Golden State Warriors,1,27-28,-1,layup,True,0,True,True
2011-02-27,36.2666666667,Minnesota Timberwolves,Golden State Warriors,4,89-105,15,free throw,True,15,True,True
2011-02-27,36.2666666667,Minnesota Timberwolves,Golden State Warriors,4,89-106,16,free throw,True,15,True,True
