date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2013-01-07,10.9166666667,New York Knicks,Boston Celtics,1,19-21,-1,three point jumper,True,24,False,True
2013-01-07,11.3833333333,New York Knicks,Boston Celtics,1,19-21,-1,three point jumper,True,25,False,True
2013-01-07,15.2166666667,New York Knicks,Boston Celtics,2,26-28,0,layup,True,0,True,True
2013-01-24,14.4,New York Knicks,Boston Celtics,2,29-24,2,three point jumper,False,25,True,True
2013-01-24,37.2,New York Knicks,Boston Celtics,4,72-68,1,three point jumper,False,25,False,True
2013-01-24,38.45,New York Knicks,Boston Celtics,4,78-70,5,three point jumper,False,25,True,True
2013-03-26,2.51666666667,New York Knicks,Boston Celtics,1,0-0,-3,three point jumper,False,25,False,False
2013-03-26,4.06666666667,New York Knicks,Boston Celtics,1,4-5,-3,layup,False,0,True,False
2013-03-26,6.13333333333,New York Knicks,Boston Celtics,1,9-8,-2,three point jumper,False,26,False,False
2013-03-26,17.5333333333,New York Knicks,Boston Celtics,2,40-35,3,two point jumper,False,4,False,False
2013-03-26,18.5666666667,New York Knicks,Boston Celtics,2,46-35,9,two point shot,False,1,True,False
2013-03-26,26.1333333333,New York Knicks,Boston Celtics,3,63-52,8,three point jumper,False,23,True,False
2013-03-31,5.03333333333,New York Knicks,Boston Celtics,1,9-16,4,three point jumper,True,24,True,False
2013-03-31,16.1,New York Knicks,Boston Celtics,2,32-42,7,three point jumper,True,24,False,False
2013-03-31,22.8666666667,New York Knicks,Boston Celtics,2,44-57,11,two point jumper,True,1,False,False
2013-03-31,30.1666666667,New York Knicks,Boston Celtics,3,64-75,8,three point jumper,True,23,False,False
2013-12-11,14.8833333333,New York Knicks,Brooklyn Nets,2,21-37,-19,three point jumper,False,24,False,False
2013-12-19,14.6166666667,New York Knicks,Brooklyn Nets,2,33-33,-3,three point jumper,True,25,True,False
2013-12-19,17.8833333333,New York Knicks,Brooklyn Nets,2,39-37,-5,three point jumper,True,24,False,False
2013-12-19,36.0,New York Knicks,Brooklyn Nets,3,67-75,5,three point jumper,True,23,False,False
2013-12-19,37.6833333333,New York Knicks,Brooklyn Nets,4,67-75,6,two point jumper,True,1,False,False
2013-12-19,38.2,New York Knicks,Brooklyn Nets,4,68-78,7,three point jumper,True,25,True,False
2013-11-04,15.3333333333,New York Knicks,Philadelphia 76ers,2,29-39,7,three point jumper,True,25,False,False
2013-11-04,17.35,New York Knicks,Philadelphia 76ers,2,33-42,7,two point jumper,True,14,False,False
2013-11-04,36.0,New York Knicks,Philadelphia 76ers,3,66-75,7,two point jumper,True,13,False,False
2013-11-04,46.6666666667,New York Knicks,Philadelphia 76ers,4,84-97,11,layup,True,0,True,False
2013-11-05,12.2666666667,New York Knicks,Philadelphia 76ers,2,27-21,4,two point shot,False,1,True,False
2013-11-05,13.3833333333,New York Knicks,Philadelphia 76ers,2,29-22,5,two point shot,False,15,True,False
2013-11-05,17.7333333333,New York Knicks,Philadelphia 76ers,2,39-30,8,free throw,False,15,True,False
2013-11-05,17.7333333333,New York Knicks,Philadelphia 76ers,2,40-30,9,free throw,False,15,True,False
2013-11-05,34.2166666667,New York Knicks,Philadelphia 76ers,3,84-64,17,three point jumper,False,23,True,False
2013-11-05,35.3,New York Knicks,Philadelphia 76ers,3,86-66,17,three point jumper,False,24,False,False
2013-11-05,39.05,New York Knicks,Philadelphia 76ers,4,91-72,16,three point jumper,False,25,False,False
2013-11-05,39.9666666667,New York Knicks,Philadelphia 76ers,4,95-75,19,free throw,False,15,True,False
2013-11-05,39.9666666667,New York Knicks,Philadelphia 76ers,4,96-75,20,free throw,False,15,True,False
2013-11-09,35.4333333333,New York Knicks,Dallas Mavericks,3,76-82,4,two point jumper,True,8,False,False
2013-11-09,37.4,New York Knicks,Dallas Mavericks,4,80-86,3,three point jumper,True,26,False,False
2013-11-13,9.8,New York Knicks,Orlando Magic,1,20-19,-1,two point shot,False,1,False,True
2013-11-13,10.75,New York Knicks,Orlando Magic,1,22-21,-1,two point shot,False,9,True,True
2013-11-13,14.15,New York Knicks,Orlando Magic,2,35-25,7,unknown,False,26,True,True
2013-11-15,15.1333333333,New York Knicks,San Antonio Spurs,2,39-35,2,two point jumper,False,15,True,True
2013-11-15,16.8166666667,New York Knicks,San Antonio Spurs,2,45-38,4,three point jumper,False,25,False,True
2013-11-16,16.7833333333,New York Knicks,Memphis Grizzlies,2,34-36,-4,two point jumper,False,20,True,True
2013-11-18,14.7166666667,New York Knicks,Indiana Pacers,2,21-26,3,two point jumper,True,12,False,True
2013-11-18,14.95,New York Knicks,Indiana Pacers,2,21-26,3,two point jumper,True,14,False,True
2013-11-18,15.8,New York Knicks,Indiana Pacers,2,21-26,2,three point jumper,True,24,False,True
2013-11-18,38.7,New York Knicks,Indiana Pacers,4,60-74,11,three point jumper,True,25,False,True
2013-11-23,13.1333333333,New York Knicks,Houston Rockets,2,32-36,-7,three point jumper,False,28,False,False
2013-11-23,13.75,New York Knicks,Houston Rockets,2,36-38,-4,layup,False,0,True,False
2013-11-23,15.5,New York Knicks,Houston Rockets,2,39-45,-9,three point jumper,False,25,False,False
2013-11-23,15.8833333333,New York Knicks,Houston Rockets,2,39-47,-11,three point jumper,False,25,False,False
2013-11-23,38.0666666667,New York Knicks,Houston Rockets,4,87-109,-25,three point jumper,False,26,False,False
2013-11-23,40.6,New York Knicks,Houston Rockets,4,90-119,-32,three point jumper,False,25,False,False
2013-11-23,44.4833333333,New York Knicks,Houston Rockets,4,99-124,-28,three point jumper,False,24,True,False
2013-11-25,11.9333333333,New York Knicks,Detroit Pistons,1,22-31,7,layup,True,0,True,True
2013-11-25,11.9333333333,New York Knicks,Detroit Pistons,1,22-32,9,free throw,True,15,True,True
2013-11-25,12.95,New York Knicks,Detroit Pistons,2,24-32,5,three point jumper,True,23,False,True
2013-11-28,12.65,New York Knicks,Milwaukee Bucks,2,26-26,-3,three point jumper,False,25,True,False
2013-11-28,16.0,New York Knicks,Milwaukee Bucks,2,33-31,-1,three point jumper,False,26,True,False
2013-11-28,17.2,New York Knicks,Milwaukee Bucks,2,35-33,0,layup,False,0,True,False
2013-11-28,33.15,New York Knicks,Milwaukee Bucks,3,79-61,17,free throw,False,15,False,False
2013-11-28,33.15,New York Knicks,Milwaukee Bucks,3,80-61,18,free throw,False,15,True,False
2013-11-28,37.5,New York Knicks,Milwaukee Bucks,4,90-70,18,two point jumper,False,1,True,False
2013-11-30,12.3166666667,New York Knicks,Washington Wizards,2,17-26,6,three point jumper,True,24,False,False
2013-11-30,14.95,New York Knicks,Washington Wizards,2,21-33,9,three point jumper,True,24,True,False
2013-11-30,15.5833333333,New York Knicks,Washington Wizards,2,24-35,9,two point jumper,True,20,True,False
2013-11-30,16.6666666667,New York Knicks,Washington Wizards,2,26-38,9,three point jumper,True,24,True,False
2013-12-02,34.2166666667,New York Knicks,Phoenix Suns,3,71-84,11,two point shot,True,10,False,False
2013-12-05,37.6333333333,New York Knicks,Charlotte Bobcats,4,77-79,-4,layup,False,0,True,False
2013-12-06,16.95,New York Knicks,Miami Heat,2,32-32,-2,two point shot,False,2,True,False
2013-12-06,18.0333333333,New York Knicks,Miami Heat,2,37-36,-2,three point jumper,False,25,True,False
2013-12-06,35.9833333333,New York Knicks,Miami Heat,3,90-80,8,two point shot,False,1,True,False
2013-12-08,15.8166666667,New York Knicks,Chicago Bulls,2,23-30,-9,layup,False,0,False,False
2013-12-08,16.2166666667,New York Knicks,Chicago Bulls,2,23-30,-9,two point jumper,False,10,False,False
