date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2007-12-26,47.55,Golden State Warriors,Philadelphia 76ers,4,97-115,17,free throw,True,15,True,False
2007-12-26,47.55,Golden State Warriors,Philadelphia 76ers,4,97-116,18,free throw,True,15,True,False
2007-11-01,45.4833333333,Golden State Warriors,Los Angeles Lakers,4,91-91,-2,two point shot,True,16,False,True
2007-11-01,46.1333333333,Golden State Warriors,Los Angeles Lakers,4,91-91,-2,two point shot,True,1,False,True
2007-11-04,39.45,Golden State Warriors,Utah Jazz,4,64-89,-27,two point shot,False,1,False,True
2007-11-04,40.7333333333,Golden State Warriors,Utah Jazz,4,66-91,-27,two point shot,False,10,True,True
2007-11-04,44.15,Golden State Warriors,Utah Jazz,4,75-95,-22,two point jumper,False,18,False,True
2007-11-07,13.1333333333,Golden State Warriors,New Orleans Pelicans,2,19-29,-12,two point jumper,False,1,False,False
2007-11-11,44.4166666667,Golden State Warriors,Detroit Pistons,4,70-103,31,two point shot,True,1,False,False
2007-11-11,45.55,Golden State Warriors,Detroit Pistons,4,74-103,27,two point jumper,True,16,False,False
2007-11-24,43.45,Golden State Warriors,Denver Nuggets,4,114-134,-22,two point jumper,False,22,False,False
2007-11-24,44.7,Golden State Warriors,Denver Nuggets,4,118-136,-20,two point shot,False,17,False,False
2007-12-04,36.8,Golden State Warriors,San Antonio Spurs,4,65-96,-33,two point jumper,False,13,True,True
2007-12-04,40.8833333333,Golden State Warriors,San Antonio Spurs,4,73-107,-36,two point jumper,False,12,False,True
2007-12-04,42.0333333333,Golden State Warriors,San Antonio Spurs,4,73-110,-38,free throw,False,15,False,True
2007-12-04,42.0333333333,Golden State Warriors,San Antonio Spurs,4,74-110,-37,free throw,False,15,True,True
2007-12-04,42.4833333333,Golden State Warriors,San Antonio Spurs,4,74-110,-38,two point jumper,False,16,False,True
2007-12-04,47.6833333333,Golden State Warriors,San Antonio Spurs,4,89-129,-42,two point jumper,False,17,True,True
2007-12-05,36.8333333333,Golden State Warriors,Houston Rockets,4,68-95,-29,two point jumper,False,13,False,True
2007-12-05,40.7,Golden State Warriors,Houston Rockets,4,72-99,-29,two point shot,False,1,True,True
2007-12-05,44.7166666667,Golden State Warriors,Houston Rockets,4,79-108,-31,layup,False,0,True,True
2007-12-05,44.7166666667,Golden State Warriors,Houston Rockets,4,80-108,-29,free throw,False,15,True,True
2007-12-05,45.5666666667,Golden State Warriors,Houston Rockets,4,82-111,-31,layup,False,0,True,True
2007-12-09,47.65,Golden State Warriors,New Orleans Pelicans,4,78-101,21,two point shot,True,14,True,False
2007-12-23,39.1333333333,Golden State Warriors,Miami Heat,4,75-91,-17,free throw,False,15,False,True
2007-12-23,39.1333333333,Golden State Warriors,Miami Heat,4,76-91,-16,free throw,False,15,True,True
2007-12-23,39.8,Golden State Warriors,Miami Heat,4,76-93,-19,two point shot,False,11,False,True
2007-12-23,40.5666666667,Golden State Warriors,Miami Heat,4,76-95,-21,two point jumper,False,5,False,True
2007-12-23,44.5333333333,Golden State Warriors,Miami Heat,4,84-103,-21,two point jumper,False,20,False,True
2007-12-23,45.5166666667,Golden State Warriors,Miami Heat,4,87-103,-18,two point jumper,False,15,False,True
2007-12-30,44.75,Golden State Warriors,Sacramento Kings,4,89-115,-27,free throw,False,15,False,True
2007-12-30,44.75,Golden State Warriors,Sacramento Kings,4,90-115,-26,free throw,False,15,True,True
2007-12-30,47.8333333333,Golden State Warriors,Sacramento Kings,4,96-119,-25,two point jumper,False,17,False,True
2007-01-17,16.0,Golden State Warriors,Los Angeles Clippers,2,36-43,-9,hook shot,False,10,False,False
2007-01-17,16.2,Golden State Warriors,Los Angeles Clippers,2,37-43,-7,free throw,False,15,True,False
2007-01-17,16.2,Golden State Warriors,Los Angeles Clippers,2,38-43,-6,free throw,False,15,True,False
2007-01-17,16.5666666667,Golden State Warriors,Los Angeles Clippers,2,38-44,-7,free throw,False,15,False,False
2007-01-17,16.5666666667,Golden State Warriors,Los Angeles Clippers,2,39-44,-6,free throw,False,15,True,False
2007-01-17,18.2833333333,Golden State Warriors,Los Angeles Clippers,2,42-46,-5,free throw,False,15,True,False
2007-01-17,18.2833333333,Golden State Warriors,Los Angeles Clippers,2,43-46,-4,free throw,False,15,True,False
2007-02-25,44.1166666667,Golden State Warriors,Los Angeles Lakers,4,98-77,-23,two point jumper,True,1,True,True
2007-02-27,45.5833333333,Golden State Warriors,Milwaukee Bucks,4,91-114,-24,free throw,False,15,False,False
2007-02-27,45.5833333333,Golden State Warriors,Milwaukee Bucks,4,91-114,-24,free throw,False,15,False,False
2007-02-27,46.6666666667,Golden State Warriors,Milwaukee Bucks,4,97-117,-22,two point jumper,False,19,True,False
2007-02-27,47.1,Golden State Warriors,Milwaukee Bucks,4,97-119,-24,two point jumper,False,17,False,False
2007-02-28,39.4666666667,Golden State Warriors,Chicago Bulls,4,73-103,-32,two point jumper,False,12,True,True
2007-02-28,43.4833333333,Golden State Warriors,Chicago Bulls,4,79-108,-31,hook shot,False,11,False,True
2007-02-28,44.5833333333,Golden State Warriors,Chicago Bulls,4,81-108,-29,tip shot,False,0,False,True
2007-02-28,45.5833333333,Golden State Warriors,Chicago Bulls,4,81-110,-31,two point jumper,False,20,False,True
2008-11-21,47.2833333333,Golden State Warriors,Boston Celtics,4,81-103,-23,free throw,False,15,False,True
2008-11-21,47.2833333333,Golden State Warriors,Boston Celtics,4,82-103,-22,free throw,False,15,True,True
2008-10-30,45.4333333333,Golden State Warriors,Utah Jazz,4,112-94,-20,two point shot,True,1,True,True
2008-11-03,13.55,Golden State Warriors,Utah Jazz,2,32-33,-3,two point shot,False,10,True,False
2008-11-14,13.5166666667,Golden State Warriors,Detroit Pistons,2,28-42,12,two point shot,True,5,False,False
2008-11-14,16.7333333333,Golden State Warriors,Detroit Pistons,2,33-49,14,tip shot,True,0,False,False
2008-11-16,22.8666666667,Golden State Warriors,Los Angeles Clippers,2,52-58,4,two point shot,True,8,False,True
2008-11-16,23.6,Golden State Warriors,Los Angeles Clippers,2,54-62,6,tip shot,True,0,True,True
2008-11-16,30.4833333333,Golden State Warriors,Los Angeles Clippers,3,72-78,4,two point shot,True,11,True,True
2008-11-16,32.2166666667,Golden State Warriors,Los Angeles Clippers,3,74-86,10,layup,True,0,True,True
2008-11-16,32.75,Golden State Warriors,Los Angeles Clippers,3,76-88,10,dunk,True,0,True,True
