date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2011-01-10,10.8666666667,Houston Rockets,Boston Celtics,1,23-20,1,two point jumper,False,19,True,True
2011-01-10,13.5666666667,Houston Rockets,Boston Celtics,2,33-24,7,two point jumper,False,1,True,True
2011-01-10,35.55,Houston Rockets,Boston Celtics,3,80-74,4,layup,False,0,True,True
2011-01-10,38.6166666667,Houston Rockets,Boston Celtics,4,88-78,8,two point shot,False,16,True,True
2011-01-10,42.1333333333,Houston Rockets,Boston Celtics,4,98-88,8,two point jumper,False,17,True,True
2011-03-18,1.01666666667,Houston Rockets,Boston Celtics,1,0-2,0,two point jumper,True,19,True,True
2011-03-18,2.46666666667,Houston Rockets,Boston Celtics,1,1-6,3,two point jumper,True,16,False,True
2011-03-18,7.73333333333,Houston Rockets,Boston Celtics,1,15-16,-1,two point jumper,True,13,True,True
2011-03-18,24.3833333333,Houston Rockets,Boston Celtics,3,40-62,20,layup,True,0,False,True
2011-03-18,26.0833333333,Houston Rockets,Boston Celtics,3,42-66,22,dunk,True,0,True,True
2011-03-18,28.0,Houston Rockets,Boston Celtics,3,48-68,18,two point jumper,True,1,True,True
2011-03-18,31.3833333333,Houston Rockets,Boston Celtics,3,52-74,20,two point jumper,True,18,False,True
2011-03-18,33.4833333333,Houston Rockets,Boston Celtics,3,52-79,25,layup,True,0,True,True
2011-03-18,33.9833333333,Houston Rockets,Boston Celtics,3,52-81,27,two point shot,True,1,True,True
2011-03-18,39.2166666667,Houston Rockets,Boston Celtics,4,65-85,18,two point shot,True,4,True,True
2011-03-18,41.1,Houston Rockets,Boston Celtics,4,66-89,21,layup,True,0,True,True
2011-03-18,41.6666666667,Houston Rockets,Boston Celtics,4,67-89,20,two point jumper,True,19,False,True
2011-03-18,44.5166666667,Houston Rockets,Boston Celtics,4,71-91,19,free throw,True,15,True,True
2011-03-18,44.5166666667,Houston Rockets,Boston Celtics,4,71-92,20,free throw,True,15,True,True
2011-02-26,11.6,Houston Rockets,Brooklyn Nets,1,33-37,3,free throw,True,15,False,True
2011-02-26,11.6,Houston Rockets,Brooklyn Nets,1,33-37,3,free throw,True,15,False,True
2011-02-26,15.55,Houston Rockets,Brooklyn Nets,2,36-44,6,layup,True,0,False,True
2011-02-26,38.75,Houston Rockets,Brooklyn Nets,4,84-103,17,two point jumper,True,3,True,True
2011-02-26,39.45,Houston Rockets,Brooklyn Nets,4,84-103,17,two point jumper,True,9,False,True
2011-03-29,10.0,Houston Rockets,Brooklyn Nets,1,26-19,5,layup,False,0,True,False
2011-03-29,11.1166666667,Houston Rockets,Brooklyn Nets,1,31-19,10,layup,False,0,True,False
2011-03-29,13.8833333333,Houston Rockets,Brooklyn Nets,2,37-21,14,two point jumper,False,18,False,False
2011-03-29,32.5,Houston Rockets,Brooklyn Nets,3,79-55,22,two point shot,False,9,False,False
2011-03-29,34.4,Houston Rockets,Brooklyn Nets,3,81-58,21,two point jumper,False,1,True,False
