date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2007-11-01,10.7166666667,Boston Celtics,New Orleans Pelicans,1,23-15,-9,free throw,True,15,False,False
2007-11-01,10.7166666667,Boston Celtics,New Orleans Pelicans,1,23-16,-8,free throw,True,15,True,False
2007-11-01,12.0,Boston Celtics,New Orleans Pelicans,1,26-16,-13,three point jumper,True,25,False,False
2007-11-01,14.15,Boston Celtics,New Orleans Pelicans,2,36-20,-17,free throw,True,15,True,False
2007-11-01,14.15,Boston Celtics,New Orleans Pelicans,2,36-20,-17,free throw,True,15,False,False
2007-11-01,14.9666666667,Boston Celtics,New Orleans Pelicans,2,38-22,-18,layup,True,0,True,False
2007-11-01,17.5666666667,Boston Celtics,New Orleans Pelicans,2,40-28,-14,layup,True,0,True,False
2007-11-01,29.0666666667,Boston Celtics,New Orleans Pelicans,3,57-49,-10,two point jumper,True,5,False,False
2007-11-01,30.3833333333,Boston Celtics,New Orleans Pelicans,3,63-53,-12,two point jumper,True,1,False,False
2007-11-01,35.6333333333,Boston Celtics,New Orleans Pelicans,3,75-65,-12,two point jumper,True,17,False,False
2007-11-03,8.18333333333,Boston Celtics,Detroit Pistons,1,12-17,3,two point jumper,True,11,False,True
2007-11-03,10.6,Boston Celtics,Detroit Pistons,1,20-23,1,layup,True,0,True,True
2007-11-03,12.9333333333,Boston Celtics,Detroit Pistons,2,24-27,1,layup,True,0,True,True
2007-11-03,15.95,Boston Celtics,Detroit Pistons,2,26-29,1,layup,True,0,False,True
2007-11-03,33.85,Boston Celtics,Detroit Pistons,3,71-63,-10,layup,True,0,False,True
2007-11-03,37.65,Boston Celtics,Detroit Pistons,4,73-74,0,free throw,True,15,False,True
2007-11-03,37.65,Boston Celtics,Detroit Pistons,4,73-75,1,free throw,True,15,True,True
2007-11-03,42.0,Boston Celtics,Detroit Pistons,4,84-78,-8,layup,True,0,True,True
2007-11-03,46.8833333333,Boston Celtics,Detroit Pistons,4,98-85,-15,layup,True,0,False,True
2007-11-04,14.15,Boston Celtics,Washington Wizards,2,32-37,-7,two point jumper,False,19,False,False
2007-11-04,14.6166666667,Boston Celtics,Washington Wizards,2,34-39,-7,two point shot,False,2,True,False
2007-11-04,34.8833333333,Boston Celtics,Washington Wizards,3,85-91,-8,two point shot,False,1,True,False
2007-11-10,20.4333333333,Boston Celtics,Utah Jazz,2,43-41,-4,layup,True,0,False,False
2007-11-10,21.4833333333,Boston Celtics,Utah Jazz,2,47-46,-3,two point jumper,True,17,True,False
2007-11-10,31.0666666667,Boston Celtics,Utah Jazz,3,76-59,-19,two point jumper,True,1,False,False
2007-11-10,33.3333333333,Boston Celtics,Utah Jazz,3,78-65,-14,free throw,True,15,False,False
2007-11-10,33.3333333333,Boston Celtics,Utah Jazz,3,78-66,-13,free throw,True,15,True,False
2007-11-10,35.4666666667,Boston Celtics,Utah Jazz,3,80-70,-12,layup,True,0,True,False
2007-11-10,36.0,Boston Celtics,Utah Jazz,3,82-70,-14,two point jumper,True,1,False,False
2007-11-10,38.3333333333,Boston Celtics,Utah Jazz,4,84-74,-12,two point jumper,True,9,True,False
2007-11-10,39.45,Boston Celtics,Utah Jazz,4,86-76,-12,layup,True,0,False,False
2007-11-10,44.5833333333,Boston Celtics,Utah Jazz,4,97-94,-5,layup,True,0,True,False
2007-11-10,45.7,Boston Celtics,Utah Jazz,4,99-96,-5,layup,True,0,True,False
2007-11-10,45.7,Boston Celtics,Utah Jazz,4,99-96,-4,free throw,True,15,False,False
2007-11-10,47.7166666667,Boston Celtics,Utah Jazz,4,106-99,-8,free throw,True,15,True,False
2007-11-10,47.7166666667,Boston Celtics,Utah Jazz,4,106-100,-7,free throw,True,15,True,False
2007-11-11,37.3,Boston Celtics,Cleveland Cavaliers,4,79-60,18,free throw,False,15,True,False
2007-11-11,37.3,Boston Celtics,Cleveland Cavaliers,4,79-60,18,free throw,False,15,False,False
2007-11-13,12.7666666667,Boston Celtics,Orlando Magic,2,24-22,-4,two point jumper,True,7,False,False
2007-11-13,17.6333333333,Boston Celtics,Orlando Magic,2,32-28,-6,two point jumper,True,20,False,False
2007-11-13,34.8666666667,Boston Celtics,Orlando Magic,3,66-57,-11,layup,True,0,False,False
2007-11-13,35.9833333333,Boston Celtics,Orlando Magic,3,66-61,-7,two point jumper,True,21,False,False
2007-11-13,44.9833333333,Boston Celtics,Orlando Magic,4,83-82,-3,tip shot,True,0,False,False
2007-11-15,7.6,Boston Celtics,Indiana Pacers,1,14-15,-1,layup,True,0,False,False
2007-11-15,14.3,Boston Celtics,Indiana Pacers,2,28-28,-1,free throw,True,15,True,False
2007-11-15,14.3,Boston Celtics,Indiana Pacers,2,28-28,-1,free throw,True,15,False,False
2007-11-15,14.8333333333,Boston Celtics,Indiana Pacers,2,28-28,-2,layup,True,0,False,False
2007-11-15,21.4166666667,Boston Celtics,Indiana Pacers,2,41-42,-1,layup,True,0,True,False
2007-11-15,23.9333333333,Boston Celtics,Indiana Pacers,2,45-47,1,free throw,True,15,False,False
2007-11-15,23.9333333333,Boston Celtics,Indiana Pacers,2,45-47,1,free throw,True,15,False,False
2007-11-15,33.9,Boston Celtics,Indiana Pacers,3,61-73,10,layup,True,0,False,False
2007-11-15,33.9833333333,Boston Celtics,Indiana Pacers,3,61-75,12,tip shot,True,0,True,False
2007-11-17,40.4166666667,Boston Celtics,Portland Trail Blazers,4,74-99,24,free throw,True,15,True,False
2007-11-17,40.4166666667,Boston Celtics,Portland Trail Blazers,4,74-100,25,free throw,True,15,True,False
2007-11-17,40.7333333333,Boston Celtics,Portland Trail Blazers,4,74-101,26,free throw,True,15,True,False
2007-11-17,40.7333333333,Boston Celtics,Portland Trail Blazers,4,74-102,27,free throw,True,15,True,False
2007-11-17,42.1333333333,Boston Celtics,Portland Trail Blazers,4,78-105,26,free throw,True,15,True,False
2007-11-17,42.1333333333,Boston Celtics,Portland Trail Blazers,4,78-106,27,free throw,True,15,True,False
2007-11-17,42.5666666667,Boston Celtics,Portland Trail Blazers,4,78-108,28,two point shot,True,1,True,False
2007-11-18,9.31666666667,Boston Celtics,New York Knicks,1,20-15,4,free throw,False,15,True,True
2007-11-18,9.31666666667,Boston Celtics,New York Knicks,1,21-15,5,free throw,False,15,True,True
2007-11-18,11.45,Boston Celtics,New York Knicks,1,22-23,-4,three point jumper,False,26,False,True
