date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-01-18,15.0166666667,Minnesota Timberwolves,Boston Celtics,2,40-26,12,layup,False,0,True,True
2006-01-18,16.5666666667,Minnesota Timberwolves,Boston Celtics,2,40-30,8,layup,False,0,False,True
2006-01-18,47.4333333333,Minnesota Timberwolves,Boston Celtics,4,92-98,-8,layup,False,0,True,True
2006-01-30,16.1666666667,Minnesota Timberwolves,Boston Celtics,2,30-39,6,three point jumper,True,23,True,False
2006-01-30,18.0666666667,Minnesota Timberwolves,Boston Celtics,2,30-41,9,two point jumper,True,10,False,False
2006-01-30,42.7,Minnesota Timberwolves,Boston Celtics,4,70-97,24,three point jumper,True,25,True,False
2006-01-30,43.1666666667,Minnesota Timberwolves,Boston Celtics,4,70-99,27,two point shot,True,1,True,False
2006-01-30,44.4333333333,Minnesota Timberwolves,Boston Celtics,4,72-102,28,two point shot,True,16,False,False
2006-01-30,45.0,Minnesota Timberwolves,Boston Celtics,4,74-104,28,two point jumper,True,16,True,False
2006-01-30,45.5166666667,Minnesota Timberwolves,Boston Celtics,4,75-104,27,two point jumper,True,8,False,False
2006-03-01,13.5666666667,Minnesota Timberwolves,Brooklyn Nets,2,23-29,3,three point jumper,True,25,True,False
2006-03-01,14.3166666667,Minnesota Timberwolves,Brooklyn Nets,2,26-31,3,two point shot,True,5,True,False
2006-03-01,17.1666666667,Minnesota Timberwolves,Brooklyn Nets,2,30-43,10,three point jumper,True,23,True,False
2006-03-01,21.0333333333,Minnesota Timberwolves,Brooklyn Nets,2,33-47,12,dunk,True,0,True,False
2006-03-01,22.3833333333,Minnesota Timberwolves,Brooklyn Nets,2,39-47,6,two point jumper,True,1,False,False
2006-03-01,23.5333333333,Minnesota Timberwolves,Brooklyn Nets,2,43-54,8,three point jumper,True,24,True,False
2006-03-01,34.5,Minnesota Timberwolves,Brooklyn Nets,3,67-70,2,free throw,True,15,False,False
2006-03-01,34.5,Minnesota Timberwolves,Brooklyn Nets,3,67-70,2,free throw,True,15,False,False
2006-03-01,34.5,Minnesota Timberwolves,Brooklyn Nets,3,67-70,2,free throw,True,15,False,False
2006-03-01,34.7666666667,Minnesota Timberwolves,Brooklyn Nets,3,67-72,3,dunk,True,0,True,False
2006-03-01,38.1333333333,Minnesota Timberwolves,Brooklyn Nets,4,69-76,5,layup,True,0,True,False
