date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2010-03-20,47.6166666667,Dallas Mavericks,Boston Celtics,4,100-93,-10,three point jumper,True,24,False,True
2010-12-02,1.31666666667,Dallas Mavericks,Brooklyn Nets,1,5-2,1,layup,False,0,True,True
2010-12-02,2.75,Dallas Mavericks,Brooklyn Nets,1,7-7,-3,three point jumper,False,23,False,True
2010-12-02,5.48333333333,Dallas Mavericks,Brooklyn Nets,1,17-9,6,two point shot,False,1,True,True
2010-12-02,6.1,Dallas Mavericks,Brooklyn Nets,1,19-11,6,two point shot,False,1,True,True
2010-12-02,26.5666666667,Dallas Mavericks,Brooklyn Nets,3,81-59,19,three point jumper,False,25,False,True
2010-03-10,6.73333333333,Dallas Mavericks,Brooklyn Nets,1,19-7,-14,two point jumper,True,16,False,True
2010-03-10,7.03333333333,Dallas Mavericks,Brooklyn Nets,1,19-9,-12,layup,True,0,True,True
2010-03-10,7.66666666667,Dallas Mavericks,Brooklyn Nets,1,21-9,-15,three point jumper,True,25,False,True
2010-03-10,8.53333333333,Dallas Mavericks,Brooklyn Nets,1,23-11,-14,hook shot,True,9,True,True
2010-03-10,9.95,Dallas Mavericks,Brooklyn Nets,1,27-15,-14,two point jumper,True,20,False,True
2010-03-10,10.4833333333,Dallas Mavericks,Brooklyn Nets,1,29-17,-14,two point shot,True,1,True,True
2010-03-10,11.3166666667,Dallas Mavericks,Brooklyn Nets,1,31-17,-16,two point shot,True,1,False,True
2010-03-10,16.7333333333,Dallas Mavericks,Brooklyn Nets,2,41-26,-17,layup,True,0,False,True
2010-03-10,19.2,Dallas Mavericks,Brooklyn Nets,2,41-30,-13,layup,True,0,True,True
2010-03-10,19.2,Dallas Mavericks,Brooklyn Nets,2,41-31,-11,free throw,True,15,True,True
2010-03-10,21.5,Dallas Mavericks,Brooklyn Nets,2,44-35,-11,layup,True,0,True,True
2010-03-10,21.95,Dallas Mavericks,Brooklyn Nets,2,44-35,-12,three point jumper,True,25,False,True
2010-03-10,33.7,Dallas Mavericks,Brooklyn Nets,3,59-66,6,free throw,True,15,True,True
2010-03-10,33.7,Dallas Mavericks,Brooklyn Nets,3,59-67,7,free throw,True,15,True,True
2010-03-10,37.1333333333,Dallas Mavericks,Brooklyn Nets,4,67-75,5,three point jumper,True,26,True,True
2010-01-24,11.6333333333,Dallas Mavericks,New York Knicks,1,27-23,1,three point jumper,False,28,True,False
2010-01-24,12.0,Dallas Mavericks,New York Knicks,1,27-25,-1,three point jumper,False,55,False,False
2010-01-24,15.5833333333,Dallas Mavericks,New York Knicks,2,37-30,5,layup,False,0,True,False
2010-01-24,17.8833333333,Dallas Mavericks,New York Knicks,2,45-36,6,three point jumper,False,26,True,False
2010-01-24,19.6666666667,Dallas Mavericks,New York Knicks,2,48-36,9,three point jumper,False,25,True,False
2010-01-24,37.15,Dallas Mavericks,New York Knicks,4,99-56,40,three point jumper,False,26,False,False
2010-01-24,39.9,Dallas Mavericks,New York Knicks,4,109-60,47,two point shot,False,1,True,False
2010-01-24,39.9,Dallas Mavericks,New York Knicks,4,109-60,48,free throw,False,15,False,False
2010-01-24,47.3666666667,Dallas Mavericks,New York Knicks,4,128-76,49,three point jumper,False,28,False,False
2010-03-13,9.28333333333,Dallas Mavericks,New York Knicks,1,21-20,-4,three point jumper,True,24,False,True
2010-03-13,11.5,Dallas Mavericks,New York Knicks,1,28-25,-5,two point shot,True,7,True,True
