date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2007-11-10,8.48333333333,Utah Jazz,Boston Celtics,1,22-22,-2,layup,False,0,True,True
2007-02-24,35.55,Utah Jazz,Boston Celtics,3,64-76,11,free throw,True,15,True,False
2007-02-24,35.55,Utah Jazz,Boston Celtics,3,64-76,11,free throw,True,15,False,False
2007-02-24,38.95,Utah Jazz,Boston Celtics,4,73-82,8,free throw,True,15,True,False
2007-02-24,38.95,Utah Jazz,Boston Celtics,4,73-83,9,free throw,True,15,True,False
2007-02-24,46.5333333333,Utah Jazz,Boston Celtics,4,83-101,16,two point jumper,True,20,False,False
2007-02-24,47.9166666667,Utah Jazz,Boston Celtics,4,85-105,17,three point jumper,True,23,False,False
2007-01-29,19.35,Utah Jazz,Brooklyn Nets,2,36-47,9,layup,True,0,True,False
2007-02-10,37.2,Utah Jazz,New York Knicks,4,78-70,-10,layup,True,0,True,True
2007-02-10,37.2,Utah Jazz,New York Knicks,4,78-71,-8,free throw,True,15,True,True
2007-02-10,37.9666666667,Utah Jazz,New York Knicks,4,78-71,-9,two point jumper,True,13,False,True
2007-01-03,20.55,Utah Jazz,Philadelphia 76ers,2,38-34,-5,free throw,True,15,True,True
2007-01-03,20.55,Utah Jazz,Philadelphia 76ers,2,38-35,-4,free throw,True,15,True,True
2007-11-20,4.48333333333,Utah Jazz,Toronto Raptors,1,9-12,1,layup,True,0,True,False
2007-11-20,10.2333333333,Utah Jazz,Toronto Raptors,1,21-25,2,dunk,True,0,True,False
2007-11-04,11.9833333333,Utah Jazz,Golden State Warriors,1,22-29,5,two point jumper,True,19,False,False
2007-11-04,46.2833333333,Utah Jazz,Golden State Warriors,4,80-101,19,dunk,True,0,True,False
2007-11-04,46.6333333333,Utah Jazz,Golden State Warriors,4,80-103,21,dunk,True,0,True,False
2007-11-04,47.6,Utah Jazz,Golden State Warriors,4,82-106,22,two point jumper,True,19,False,False
2007-11-25,2.38333333333,Utah Jazz,Golden State Warriors,1,0-2,-5,three point jumper,False,24,False,False
2007-11-25,3.25,Utah Jazz,Golden State Warriors,1,4-4,-1,free throw,False,15,True,False
2007-11-25,3.25,Utah Jazz,Golden State Warriors,1,5-4,0,free throw,False,15,True,False
2007-11-25,25.7166666667,Utah Jazz,Golden State Warriors,3,46-48,-4,layup,False,0,True,False
2007-03-20,12.8833333333,Utah Jazz,Golden State Warriors,2,31-27,-6,two point jumper,True,19,False,True
2007-03-20,14.1333333333,Utah Jazz,Golden State Warriors,2,31-31,-2,dunk,True,0,True,True
2007-03-20,34.4,Utah Jazz,Golden State Warriors,3,78-73,-6,free throw,True,15,False,True
2007-03-20,34.4,Utah Jazz,Golden State Warriors,3,78-73,-6,free throw,True,15,False,True
2007-03-20,35.5333333333,Utah Jazz,Golden State Warriors,3,82-74,-9,free throw,True,15,True,True
2007-03-20,35.5333333333,Utah Jazz,Golden State Warriors,3,82-74,-9,free throw,True,15,False,True
2007-03-20,35.85,Utah Jazz,Golden State Warriors,3,82-76,-8,two point jumper,True,19,True,True
2007-04-09,3.86666666667,Utah Jazz,Golden State Warriors,1,6-10,-6,layup,False,0,True,False
2007-04-09,4.31666666667,Utah Jazz,Golden State Warriors,1,6-11,-7,two point shot,False,7,False,False
2007-04-09,6.13333333333,Utah Jazz,Golden State Warriors,1,10-15,-7,tip shot,False,0,False,False
2007-04-09,7.38333333333,Utah Jazz,Golden State Warriors,1,15-17,-3,free throw,False,15,True,False
2007-04-09,7.38333333333,Utah Jazz,Golden State Warriors,1,15-17,-3,free throw,False,15,False,False
2007-04-09,29.1,Utah Jazz,Golden State Warriors,3,63-80,-19,dunk,False,0,True,False
2007-04-09,32.9666666667,Utah Jazz,Golden State Warriors,3,68-90,-23,free throw,False,15,True,False
2007-04-09,32.9666666667,Utah Jazz,Golden State Warriors,3,69-90,-22,free throw,False,15,True,False
2007-04-09,33.4666666667,Utah Jazz,Golden State Warriors,3,71-90,-21,two point jumper,False,1,True,False
2007-04-09,35.8666666667,Utah Jazz,Golden State Warriors,3,74-98,-26,layup,False,0,True,False
2007-04-09,35.8666666667,Utah Jazz,Golden State Warriors,3,75-98,-24,free throw,False,15,True,False
2007-04-09,40.9833333333,Utah Jazz,Golden State Warriors,4,83-111,-30,dunk,False,0,True,False
2007-04-09,42.1333333333,Utah Jazz,Golden State Warriors,4,85-114,-31,dunk,False,0,True,False
2007-04-09,43.1333333333,Utah Jazz,Golden State Warriors,4,88-118,-31,free throw,False,15,True,False
2007-04-09,43.1333333333,Utah Jazz,Golden State Warriors,4,88-118,-31,free throw,False,15,False,False
2007-04-09,46.9,Utah Jazz,Golden State Warriors,4,97-124,-28,free throw,False,15,True,False
2007-04-09,46.9,Utah Jazz,Golden State Warriors,4,98-124,-27,free throw,False,15,True,False
2007-04-09,47.6333333333,Utah Jazz,Golden State Warriors,4,102-126,-26,layup,False,0,True,False
2007-12-13,34.55,Utah Jazz,Los Angeles Clippers,3,71-65,4,two point jumper,False,20,False,False
2007-12-13,35.85,Utah Jazz,Los Angeles Clippers,3,75-68,5,layup,False,0,True,False
2007-12-26,9.73333333333,Utah Jazz,Los Angeles Clippers,1,18-19,0,free throw,True,15,True,False
2007-12-26,9.73333333333,Utah Jazz,Los Angeles Clippers,1,18-20,1,free throw,True,15,True,False
2007-12-26,14.3166666667,Utah Jazz,Los Angeles Clippers,2,27-26,-3,two point jumper,True,17,False,False
2007-03-23,12.8666666667,Utah Jazz,Los Angeles Clippers,2,19-24,-6,free throw,False,15,True,True
2007-03-23,12.8666666667,Utah Jazz,Los Angeles Clippers,2,20-24,-5,free throw,False,15,True,True
2007-03-23,40.6666666667,Utah Jazz,Los Angeles Clippers,4,59-90,-33,two point shot,False,1,False,True
2007-03-23,44.4833333333,Utah Jazz,Los Angeles Clippers,4,63-96,-34,free throw,False,15,False,True
2007-03-23,44.4833333333,Utah Jazz,Los Angeles Clippers,4,63-96,-34,free throw,False,15,False,True
2007-03-23,46.6166666667,Utah Jazz,Los Angeles Clippers,4,70-100,-32,two point jumper,False,1,True,True
2007-11-24,6.7,Utah Jazz,Los Angeles Lakers,1,12-18,5,free throw,True,15,False,True
2007-11-24,6.7,Utah Jazz,Los Angeles Lakers,1,12-19,6,free throw,True,15,True,True
2007-11-24,6.91666666667,Utah Jazz,Los Angeles Lakers,1,12-21,7,dunk,True,0,True,True
2007-11-24,24.9,Utah Jazz,Los Angeles Lakers,3,54-54,-2,two point shot,True,1,True,True
2007-11-24,28.6666666667,Utah Jazz,Los Angeles Lakers,3,63-63,-2,dunk,True,0,True,True
2007-11-30,2.13333333333,Utah Jazz,Los Angeles Lakers,1,4-0,2,two point jumper,False,10,False,False
2007-11-30,7.91666666667,Utah Jazz,Los Angeles Lakers,1,19-17,0,two point shot,False,1,False,False
2007-11-30,8.21666666667,Utah Jazz,Los Angeles Lakers,1,21-17,2,dunk,False,0,True,False
2007-11-30,28.8833333333,Utah Jazz,Los Angeles Lakers,3,54-65,-13,layup,False,0,False,False
2007-11-30,43.8833333333,Utah Jazz,Los Angeles Lakers,4,91-116,-27,layup,False,0,True,False
