date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2009-12-05,11.2166666667,Portland Trail Blazers,Boston Celtics,1,21-21,-2,two point shot,False,14,False,False
2009-12-05,13.4666666667,Portland Trail Blazers,Boston Celtics,2,23-26,-6,three point jumper,False,23,False,False
2009-12-05,19.9166666667,Portland Trail Blazers,Boston Celtics,2,34-35,-4,three point jumper,False,25,False,False
2009-12-05,20.1,Portland Trail Blazers,Boston Celtics,2,36-35,-1,dunk,False,0,True,False
2009-12-05,21.85,Portland Trail Blazers,Boston Celtics,2,36-40,-7,three point jumper,False,23,False,False
2009-12-05,35.9333333333,Portland Trail Blazers,Boston Celtics,3,51-71,-22,two point shot,False,1,True,False
2009-12-05,44.2,Portland Trail Blazers,Boston Celtics,4,73-84,-14,three point jumper,False,25,False,False
2009-12-30,4.7,Portland Trail Blazers,Boston Celtics,1,6-7,-2,three point jumper,True,24,False,True
2009-12-30,7.16666666667,Portland Trail Blazers,Boston Celtics,1,13-11,-4,two point shot,True,21,False,True
2009-12-30,11.9666666667,Portland Trail Blazers,Boston Celtics,1,23-13,-13,three point jumper,True,25,False,True
2009-12-30,16.0,Portland Trail Blazers,Boston Celtics,2,32-21,-12,free throw,True,15,True,True
2009-12-30,17.0,Portland Trail Blazers,Boston Celtics,2,32-22,-13,three point jumper,True,24,False,True
2009-12-30,18.3166666667,Portland Trail Blazers,Boston Celtics,2,34-25,-12,three point jumper,True,22,False,True
2009-12-30,20.25,Portland Trail Blazers,Boston Celtics,2,37-31,-8,layup,True,0,True,True
2009-12-30,20.25,Portland Trail Blazers,Boston Celtics,2,37-31,-7,free throw,True,15,False,True
2009-12-30,25.7166666667,Portland Trail Blazers,Boston Celtics,3,47-45,-5,three point jumper,True,24,True,True
2009-12-30,32.7166666667,Portland Trail Blazers,Boston Celtics,3,58-53,-6,free throw,True,15,False,True
2009-12-30,47.8333333333,Portland Trail Blazers,Boston Celtics,4,86-90,3,free throw,True,15,True,True
2009-12-30,47.8333333333,Portland Trail Blazers,Boston Celtics,4,86-91,4,free throw,True,15,True,True
2009-01-15,13.3166666667,Portland Trail Blazers,Brooklyn Nets,2,30-31,-4,three point jumper,False,25,True,False
2009-01-15,16.6666666667,Portland Trail Blazers,Brooklyn Nets,2,38-36,0,two point jumper,False,19,False,False
2009-01-15,18.3833333333,Portland Trail Blazers,Brooklyn Nets,2,40-37,0,three point jumper,False,24,False,False
2009-01-15,35.9833333333,Portland Trail Blazers,Brooklyn Nets,3,68-71,-5,two point jumper,False,22,False,False
2009-01-15,36.8166666667,Portland Trail Blazers,Brooklyn Nets,4,71-71,-3,three point jumper,False,27,True,False
2009-12-02,11.2833333333,Portland Trail Blazers,New York Knicks,1,21-27,-9,three point jumper,False,25,True,False
2009-12-02,11.9833333333,Portland Trail Blazers,New York Knicks,1,24-31,-10,three point jumper,False,26,True,False
2009-12-02,12.65,Portland Trail Blazers,New York Knicks,2,24-31,-9,two point jumper,False,1,False,False
