date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-12-06,0.316666666667,Houston Rockets,Boston Celtics,1,0-0,-2,two point jumper,True,17,False,True
2006-12-06,6.81666666667,Houston Rockets,Boston Celtics,1,10-11,-2,three point jumper,True,24,False,True
2006-12-06,42.0333333333,Houston Rockets,Boston Celtics,4,64-78,11,three point jumper,True,27,False,True
2006-12-06,42.7833333333,Houston Rockets,Boston Celtics,4,64-80,14,layup,True,0,True,True
2006-12-06,42.7833333333,Houston Rockets,Boston Celtics,4,64-80,15,free throw,True,15,False,True
2006-12-06,44.9833333333,Houston Rockets,Boston Celtics,4,68-83,13,layup,True,0,False,True
2006-12-21,1.45,Houston Rockets,Toronto Raptors,1,2-0,-4,two point jumper,True,14,False,False
2006-12-21,4.21666666667,Houston Rockets,Toronto Raptors,1,6-2,-6,two point jumper,True,20,False,False
2006-12-21,23.7333333333,Houston Rockets,Toronto Raptors,2,45-43,-4,two point jumper,True,18,True,False
2006-12-21,24.8166666667,Houston Rockets,Toronto Raptors,3,50-43,-10,three point jumper,True,23,False,False
2006-12-21,25.25,Houston Rockets,Toronto Raptors,3,50-43,-9,two point jumper,True,16,False,False
2006-12-21,33.95,Houston Rockets,Toronto Raptors,3,67-56,-13,layup,True,0,True,False
2006-12-14,0.516666666667,Houston Rockets,Golden State Warriors,1,0-0,-2,two point jumper,False,20,False,True
2006-12-14,2.2,Houston Rockets,Golden State Warriors,1,3-7,-7,three point jumper,False,23,False,True
2006-12-14,25.4666666667,Houston Rockets,Golden State Warriors,3,55-53,0,two point jumper,False,15,False,True
2006-12-14,27.3,Houston Rockets,Golden State Warriors,3,60-57,1,layup,False,0,True,True
2006-12-14,29.4166666667,Houston Rockets,Golden State Warriors,3,66-60,4,two point jumper,False,18,False,True
2006-12-14,37.3166666667,Houston Rockets,Golden State Warriors,4,71-77,-8,two point jumper,False,8,False,True
2006-12-14,40.2,Houston Rockets,Golden State Warriors,4,78-83,-7,layup,False,0,True,True
2006-12-14,42.9166666667,Houston Rockets,Golden State Warriors,4,82-90,-10,layup,False,0,True,True
2006-12-14,44.0333333333,Houston Rockets,Golden State Warriors,4,84-93,-11,two point shot,False,4,True,True
2006-12-14,44.0333333333,Houston Rockets,Golden State Warriors,4,85-93,-9,free throw,False,15,True,True
2006-12-14,21.1833333333,Houston Rockets,Golden State Warriors,5,105-103,1,free throw,False,15,True,True
2006-12-14,21.1833333333,Houston Rockets,Golden State Warriors,5,106-103,2,free throw,False,15,True,True
2006-12-31,3.2,Houston Rockets,Golden State Warriors,1,4-1,-6,three point jumper,True,23,False,False
2006-12-17,1.18333333333,Houston Rockets,Los Angeles Clippers,1,2-2,-2,two point jumper,False,15,True,False
2006-12-17,5.16666666667,Houston Rockets,Los Angeles Clippers,1,10-10,-2,two point jumper,False,21,False,False
2006-12-17,7.56666666667,Houston Rockets,Los Angeles Clippers,1,18-14,2,layup,False,0,True,False
2006-12-17,9.5,Houston Rockets,Los Angeles Clippers,1,21-21,-2,two point jumper,False,1,False,False
2006-12-17,12.6833333333,Houston Rockets,Los Angeles Clippers,2,24-25,-3,layup,False,0,False,False
2006-12-17,12.7,Houston Rockets,Los Angeles Clippers,2,24-25,-3,tip shot,False,0,False,False
2006-12-17,25.3333333333,Houston Rockets,Los Angeles Clippers,3,49-49,-2,two point jumper,False,16,False,False
2006-12-17,25.95,Houston Rockets,Los Angeles Clippers,3,49-49,-2,two point jumper,False,18,False,False
2006-12-17,33.6666666667,Houston Rockets,Los Angeles Clippers,3,61-65,-6,two point jumper,False,18,False,False
2006-12-17,44.5666666667,Houston Rockets,Los Angeles Clippers,4,75-79,-6,two point jumper,False,17,False,False
2006-02-14,46.75,Houston Rockets,Los Angeles Clippers,4,123-89,33,free throw,False,15,True,False
2006-02-14,46.75,Houston Rockets,Los Angeles Clippers,4,124-89,34,free throw,False,15,True,False
2006-03-20,13.3833333333,Houston Rockets,Los Angeles Clippers,2,26-29,1,two point jumper,True,21,False,False
2006-12-18,0.633333333333,Houston Rockets,Los Angeles Lakers,1,2-0,0,two point jumper,False,15,True,True
2006-12-18,1.88333333333,Houston Rockets,Los Angeles Lakers,1,2-2,-2,two point jumper,False,16,False,True
2006-12-18,5.1,Houston Rockets,Los Angeles Lakers,1,6-9,-5,two point jumper,False,20,False,True
2006-12-18,16.8833333333,Houston Rockets,Los Angeles Lakers,2,21-27,-8,layup,False,0,True,True
2006-12-18,24.45,Houston Rockets,Los Angeles Lakers,3,33-42,-11,two point jumper,False,20,True,True
2006-12-18,25.6333333333,Houston Rockets,Los Angeles Lakers,3,36-44,-11,three point jumper,False,27,False,True
2006-12-18,26.0666666667,Houston Rockets,Los Angeles Lakers,3,36-44,-10,two point jumper,False,1,False,True
2006-02-08,13.5666666667,Houston Rockets,Los Angeles Lakers,2,20-19,-3,two point jumper,True,17,False,False
2006-02-08,45.5833333333,Houston Rockets,Los Angeles Lakers,4,89-71,-20,layup,True,0,False,False
2006-11-23,1.63333333333,Houston Rockets,Phoenix Suns,1,3-2,-3,two point jumper,True,17,True,True
2006-11-23,2.0,Houston Rockets,Phoenix Suns,1,3-2,-4,three point jumper,True,26,False,True
2006-11-23,2.45,Houston Rockets,Phoenix Suns,1,3-2,-4,three point jumper,True,24,False,True
2006-11-23,20.4166666667,Houston Rockets,Phoenix Suns,2,46-38,-10,two point jumper,True,19,False,True
2006-11-23,24.2666666667,Houston Rockets,Phoenix Suns,3,56-46,-12,two point jumper,True,20,False,True
2006-11-23,25.0166666667,Houston Rockets,Phoenix Suns,3,58-48,-12,two point jumper,True,16,True,True
2006-11-23,25.4333333333,Houston Rockets,Phoenix Suns,3,60-50,-12,two point jumper,True,16,True,True
2006-11-23,28.4166666667,Houston Rockets,Phoenix Suns,3,63-61,-4,two point jumper,True,22,True,True
2006-11-23,37.5,Houston Rockets,Phoenix Suns,4,77-69,-10,layup,True,0,False,True
2006-02-16,17.95,Houston Rockets,Phoenix Suns,2,26-46,-22,layup,False,0,True,True
2006-02-16,46.4833333333,Houston Rockets,Phoenix Suns,4,70-109,-41,layup,False,0,True,True
2006-02-27,17.85,Houston Rockets,Phoenix Suns,2,31-37,4,two point jumper,True,1,False,True
2006-02-27,44.6666666667,Houston Rockets,Phoenix Suns,4,108-87,-23,two point jumper,True,16,False,True
2006-11-02,21.6666666667,Houston Rockets,Sacramento Kings,5,89-98,7,two point jumper,True,13,False,True
2006-12-08,1.63333333333,Houston Rockets,Sacramento Kings,1,5-2,0,three point jumper,False,25,False,False
2006-12-08,22.7833333333,Houston Rockets,Sacramento Kings,2,45-51,-8,two point jumper,False,1,False,False
2006-12-08,23.3,Houston Rockets,Sacramento Kings,2,45-51,-8,two point jumper,False,12,False,False
2006-12-08,25.95,Houston Rockets,Sacramento Kings,3,47-54,-9,two point jumper,False,18,False,False
2006-01-11,3.08333333333,Houston Rockets,Sacramento Kings,1,4-2,-5,three point jumper,True,24,False,False
2006-01-11,5.78333333333,Houston Rockets,Sacramento Kings,1,10-6,-6,two point jumper,True,21,False,False
2006-01-11,9.85,Houston Rockets,Sacramento Kings,1,16-11,-8,three point jumper,True,23,False,False
2006-11-18,3.05,Houston Rockets,Detroit Pistons,1,6-7,-2,three point jumper,True,25,True,False
2006-11-18,5.6,Houston Rockets,Detroit Pistons,1,8-9,-1,two point jumper,True,20,False,False
2006-11-20,5.48333333333,Houston Rockets,Indiana Pacers,1,10-7,1,two point jumper,False,16,False,False
2006-11-20,25.8333333333,Houston Rockets,Indiana Pacers,3,37-38,-3,two point jumper,False,18,False,False
2006-02-01,24.8833333333,Houston Rockets,Milwaukee Bucks,3,27-15,-14,two point jumper,True,20,False,True
2006-02-01,26.4333333333,Houston Rockets,Milwaukee Bucks,3,29-24,-7,layup,True,0,True,True
2006-02-01,28.8833333333,Houston Rockets,Milwaukee Bucks,3,29-31,0,layup,True,0,False,True
2006-02-01,31.1333333333,Houston Rockets,Milwaukee Bucks,3,33-38,4,free throw,True,15,True,True
2006-02-01,31.1333333333,Houston Rockets,Milwaukee Bucks,3,33-38,4,free throw,True,15,False,True
2006-02-01,31.1333333333,Houston Rockets,Milwaukee Bucks,3,33-39,5,free throw,True,15,True,True
2006-11-22,7.66666666667,Houston Rockets,Dallas Mavericks,1,20-14,4,two point shot,False,4,False,True
2006-11-22,8.75,Houston Rockets,Dallas Mavericks,1,20-14,4,two point jumper,False,1,False,True
2006-11-22,9.01666666667,Houston Rockets,Dallas Mavericks,1,21-14,4,three point jumper,False,23,False,True
2006-11-22,26.9333333333,Houston Rockets,Dallas Mavericks,3,58-56,-1,three point jumper,False,24,True,True
2006-11-22,27.9666666667,Houston Rockets,Dallas Mavericks,3,58-59,-3,two point shot,False,7,False,True
2006-01-18,15.3166666667,Houston Rockets,Dallas Mavericks,2,28-19,-10,free throw,True,15,True,True
2006-01-18,15.3166666667,Houston Rockets,Dallas Mavericks,2,28-19,-10,free throw,True,15,False,True
2006-01-18,18.3833333333,Houston Rockets,Dallas Mavericks,2,36-25,-13,two point jumper,True,18,True,True
2006-03-21,21.45,Houston Rockets,Dallas Mavericks,2,32-44,-14,two point jumper,False,18,True,False
2006-11-08,6.03333333333,Houston Rockets,Orlando Magic,1,12-14,-1,three point jumper,True,24,True,False
2006-11-08,29.5333333333,Houston Rockets,Orlando Magic,3,43-45,-1,three point jumper,True,22,False,False
2006-11-10,9.3,Houston Rockets,Miami Heat,1,14-13,-2,three point jumper,False,25,False,False
2006-11-25,26.2166666667,Houston Rockets,Memphis Grizzlies,3,41-39,-1,three point jumper,False,24,False,False
2006-11-29,21.4833333333,Houston Rockets,Atlanta Hawks,2,40-47,6,free throw,True,15,True,False
2006-11-29,21.4833333333,Houston Rockets,Atlanta Hawks,2,40-47,6,free throw,True,15,False,False
2006-12-03,12.8166666667,Houston Rockets,Memphis Grizzlies,2,34-15,-21,layup,True,0,True,False
2006-12-11,0.383333333333,Houston Rockets,Portland Trail Blazers,1,0-0,-2,two point jumper,False,17,False,False
2006-12-11,1.5,Houston Rockets,Portland Trail Blazers,1,0-2,-4,layup,False,0,False,False
2006-12-11,1.96666666667,Houston Rockets,Portland Trail Blazers,1,2-2,-2,layup,False,0,True,False
2006-12-11,3.25,Houston Rockets,Portland Trail Blazers,1,4-2,0,two point shot,False,1,True,False
2006-12-11,27.55,Houston Rockets,Portland Trail Blazers,3,49-42,5,two point jumper,False,1,False,False
2006-12-11,30.1,Houston Rockets,Portland Trail Blazers,3,53-50,1,two point jumper,False,22,True,False
2006-12-15,3.06666666667,Houston Rockets,Oklahoma City Thunder,1,8-4,2,two point jumper,False,21,True,False
2006-12-15,27.4333333333,Houston Rockets,Oklahoma City Thunder,3,54-55,-3,two point jumper,False,18,False,False
2006-12-23,2.11666666667,Houston Rockets,Denver Nuggets,1,2-2,-2,layup,False,0,False,True
2006-12-23,3.65,Houston Rockets,Denver Nuggets,1,2-6,-6,two point jumper,False,22,False,True
2006-12-23,8.26666666667,Houston Rockets,Denver Nuggets,1,8-16,-10,two point jumper,False,16,False,True
