date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-02-26,14.3166666667,Los Angeles Lakers,Boston Celtics,2,30-29,-2,free throw,True,15,True,False
2006-02-26,14.3166666667,Los Angeles Lakers,Boston Celtics,2,30-30,-1,free throw,True,15,True,False
2006-02-26,15.05,Los Angeles Lakers,Boston Celtics,2,30-32,0,two point jumper,True,16,True,False
2006-02-26,31.0666666667,Los Angeles Lakers,Boston Celtics,3,79-65,-17,three point jumper,True,27,False,False
2006-02-26,34.1166666667,Los Angeles Lakers,Boston Celtics,3,86-76,-13,three point jumper,True,28,True,False
2006-02-26,36.0,Los Angeles Lakers,Boston Celtics,3,91-82,-11,two point jumper,True,16,False,False
2006-02-26,39.75,Los Angeles Lakers,Boston Celtics,4,97-93,-6,two point jumper,True,20,False,False
2006-03-20,17.7,Los Angeles Lakers,Boston Celtics,2,42-32,7,three point jumper,False,25,True,False
2006-11-27,14.5,Los Angeles Lakers,Brooklyn Nets,2,26-14,-15,three point jumper,True,25,False,True
2006-11-27,41.3833333333,Los Angeles Lakers,Brooklyn Nets,4,73-70,-5,two point jumper,True,16,True,True
2006-03-17,12.5,Los Angeles Lakers,Brooklyn Nets,2,25-25,-2,two point jumper,False,19,True,False
2006-03-17,13.1833333333,Los Angeles Lakers,Brooklyn Nets,2,25-25,-1,free throw,False,15,False,False
2006-03-17,13.1833333333,Los Angeles Lakers,Brooklyn Nets,2,26-25,0,free throw,False,15,True,False
2006-03-17,27.5833333333,Los Angeles Lakers,Brooklyn Nets,3,52-54,-4,two point jumper,False,1,True,False
2006-03-17,28.7,Los Angeles Lakers,Brooklyn Nets,3,52-56,-7,three point jumper,False,25,False,False
2006-03-17,30.1666666667,Los Angeles Lakers,Brooklyn Nets,3,54-59,-7,two point jumper,False,1,False,False
2006-11-16,15.1833333333,Los Angeles Lakers,New York Knicks,2,26-34,5,three point jumper,True,23,False,True
2006-01-31,15.3333333333,Los Angeles Lakers,New York Knicks,2,36-28,7,free throw,False,15,True,False
2006-01-31,15.3333333333,Los Angeles Lakers,New York Knicks,2,37-28,8,free throw,False,15,True,False
2006-01-31,32.45,Los Angeles Lakers,New York Knicks,3,86-64,20,two point jumper,False,19,True,False
2006-01-31,36.6166666667,Los Angeles Lakers,New York Knicks,4,99-74,23,two point jumper,False,21,True,False
2006-01-31,39.75,Los Angeles Lakers,New York Knicks,4,106-77,27,layup,False,0,True,False
2006-01-31,42.7,Los Angeles Lakers,New York Knicks,4,113-85,25,three point jumper,False,24,True,False
2006-11-11,8.18333333333,Los Angeles Lakers,Philadelphia 76ers,1,9-20,-14,three point jumper,False,24,False,False
2006-01-06,29.2,Los Angeles Lakers,Philadelphia 76ers,3,61-73,10,two point jumper,True,19,True,False
2006-01-06,31.7,Los Angeles Lakers,Philadelphia 76ers,3,66-80,11,three point jumper,True,25,True,False
2006-01-06,34.75,Los Angeles Lakers,Philadelphia 76ers,3,73-91,15,three point jumper,True,24,False,False
2006-01-06,37.25,Los Angeles Lakers,Philadelphia 76ers,4,76-98,20,two point jumper,True,19,True,False
2006-01-06,39.7,Los Angeles Lakers,Philadelphia 76ers,4,78-104,24,two point jumper,True,19,True,False
2006-12-07,4.13333333333,Los Angeles Lakers,Toronto Raptors,1,6-4,-1,three point jumper,False,26,False,False
2006-12-07,5.85,Los Angeles Lakers,Toronto Raptors,1,10-6,2,two point jumper,False,22,True,False
2006-12-07,26.1166666667,Los Angeles Lakers,Toronto Raptors,3,57-46,9,two point jumper,False,21,True,False
2006-12-07,31.2833333333,Los Angeles Lakers,Toronto Raptors,3,69-55,13,free throw,False,15,True,False
2006-12-07,31.2833333333,Los Angeles Lakers,Toronto Raptors,3,70-55,14,free throw,False,15,True,False
2006-12-07,33.05,Los Angeles Lakers,Toronto Raptors,3,73-59,11,three point jumper,False,25,True,False
2006-12-07,41.1666666667,Los Angeles Lakers,Toronto Raptors,4,89-70,16,three point jumper,False,24,False,False
2006-01-22,12.95,Los Angeles Lakers,Toronto Raptors,2,38-29,-11,two point jumper,True,17,False,True
2006-01-22,14.1833333333,Los Angeles Lakers,Toronto Raptors,2,38-29,-12,three point jumper,True,27,False,True
2006-01-22,15.8666666667,Los Angeles Lakers,Toronto Raptors,2,40-32,-11,three point jumper,True,26,True,True
2006-01-22,47.85,Los Angeles Lakers,Toronto Raptors,4,104-122,15,three point jumper,True,25,False,True
2006-01-14,12.7,Los Angeles Lakers,Golden State Warriors,2,34-28,4,two point jumper,False,21,False,True
2006-01-14,14.0666666667,Los Angeles Lakers,Golden State Warriors,2,35-31,3,free throw,False,15,True,True
2006-01-14,14.0666666667,Los Angeles Lakers,Golden State Warriors,2,36-31,4,free throw,False,15,True,True
2006-01-14,34.6666666667,Los Angeles Lakers,Golden State Warriors,3,81-81,-3,three point jumper,False,25,False,True
2006-01-14,35.65,Los Angeles Lakers,Golden State Warriors,3,84-83,-2,three point jumper,False,24,True,True
2006-01-14,38.4333333333,Los Angeles Lakers,Golden State Warriors,4,88-85,0,three point jumper,False,25,False,True
2006-01-27,13.8666666667,Los Angeles Lakers,Golden State Warriors,2,30-31,-1,two point jumper,True,22,False,True
2006-01-27,19.35,Los Angeles Lakers,Golden State Warriors,2,42-47,3,two point jumper,True,23,True,True
2006-01-27,20.1,Los Angeles Lakers,Golden State Warriors,2,42-50,5,three point jumper,True,22,True,True
2006-01-27,20.55,Los Angeles Lakers,Golden State Warriors,2,42-50,6,layup,True,0,False,True
