date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2008-11-10,37.0166666667,Brooklyn Nets,Boston Celtics,4,90-68,-23,free throw,True,15,True,False
2008-11-10,37.0166666667,Brooklyn Nets,Boston Celtics,4,90-69,-22,free throw,True,15,True,False
2008-11-10,40.0,Brooklyn Nets,Boston Celtics,4,92-76,-18,layup,True,0,True,False
2008-11-10,40.5333333333,Brooklyn Nets,Boston Celtics,4,92-78,-16,two point shot,True,1,True,False
2008-11-10,43.6,Brooklyn Nets,Boston Celtics,4,98-83,-17,layup,True,0,False,False
2008-11-10,44.3,Brooklyn Nets,Boston Celtics,4,98-87,-13,two point jumper,True,9,True,False
2008-11-10,46.3333333333,Brooklyn Nets,Boston Celtics,4,105-97,-10,two point shot,True,1,True,False
2008-11-14,7.91666666667,Brooklyn Nets,Boston Celtics,1,16-10,4,dunk,False,0,True,False
2008-11-14,9.33333333333,Brooklyn Nets,Boston Celtics,1,19-12,5,layup,False,0,True,False
2008-11-14,9.81666666667,Brooklyn Nets,Boston Celtics,1,19-13,5,free throw,False,15,False,False
2008-11-14,9.81666666667,Brooklyn Nets,Boston Celtics,1,19-13,5,free throw,False,15,False,False
2008-11-14,28.85,Brooklyn Nets,Boston Celtics,3,41-50,-10,free throw,False,15,False,False
2008-11-14,28.85,Brooklyn Nets,Boston Celtics,3,42-50,-9,free throw,False,15,True,False
2008-11-14,34.25,Brooklyn Nets,Boston Celtics,3,54-58,-6,layup,False,0,True,False
2008-11-14,38.05,Brooklyn Nets,Boston Celtics,4,56-68,-14,dunk,False,0,True,False
2008-11-14,38.75,Brooklyn Nets,Boston Celtics,4,56-68,-14,two point shot,False,9,False,False
2008-11-14,41.0666666667,Brooklyn Nets,Boston Celtics,4,58-74,-18,tip shot,False,0,False,False
2008-11-14,45.8166666667,Brooklyn Nets,Boston Celtics,4,66-87,-23,layup,False,0,True,False
2008-11-14,47.0166666667,Brooklyn Nets,Boston Celtics,4,66-89,-24,free throw,False,15,False,False
2008-11-14,47.0166666667,Brooklyn Nets,Boston Celtics,4,67-89,-23,free throw,False,15,True,False
2008-11-14,47.8666666667,Brooklyn Nets,Boston Celtics,4,68-91,-24,free throw,False,15,True,False
2008-11-14,47.8666666667,Brooklyn Nets,Boston Celtics,4,69-91,-23,free throw,False,15,True,False
2008-01-11,4.28333333333,Brooklyn Nets,Boston Celtics,1,5-11,4,dunk,True,0,True,False
2008-01-11,7.16666666667,Brooklyn Nets,Boston Celtics,1,13-16,1,two point shot,True,11,False,False
2008-04-16,18.5666666667,Brooklyn Nets,Boston Celtics,2,36-39,-5,tip shot,False,0,False,True
2008-04-16,39.8166666667,Brooklyn Nets,Boston Celtics,4,79-85,-8,layup,False,0,False,True
2008-04-16,41.6333333333,Brooklyn Nets,Boston Celtics,4,82-89,-8,free throw,False,15,True,True
2008-04-16,41.6333333333,Brooklyn Nets,Boston Celtics,4,82-89,-8,free throw,False,15,False,True
2008-04-16,43.1666666667,Brooklyn Nets,Boston Celtics,4,84-93,-10,free throw,False,15,False,True
2008-04-16,43.1666666667,Brooklyn Nets,Boston Celtics,4,85-93,-9,free throw,False,15,True,True
2008-11-02,34.0166666667,Brooklyn Nets,Toronto Raptors,3,77-53,-26,layup,True,0,True,True
2008-11-02,41.75,Brooklyn Nets,Toronto Raptors,4,98-61,-39,two point jumper,True,10,True,True
2008-11-02,47.8,Brooklyn Nets,Toronto Raptors,4,106-69,-39,hook shot,True,1,False,True
2008-11-08,12.8,Brooklyn Nets,Washington Wizards,2,28-17,-13,layup,True,0,True,True
2008-11-12,15.95,Brooklyn Nets,New Orleans Pelicans,2,33-25,-10,two point shot,True,1,False,False
2008-11-12,37.8166666667,Brooklyn Nets,New Orleans Pelicans,4,65-68,2,free throw,True,15,True,False
2008-11-12,37.8166666667,Brooklyn Nets,New Orleans Pelicans,4,65-69,3,free throw,True,15,True,False
2008-11-12,38.6833333333,Brooklyn Nets,New Orleans Pelicans,4,65-69,2,layup,True,0,False,False
2008-11-12,41.9833333333,Brooklyn Nets,New Orleans Pelicans,4,68-75,5,dunk,True,0,True,False
2008-11-12,42.4833333333,Brooklyn Nets,New Orleans Pelicans,4,68-75,6,free throw,True,15,False,False
2008-11-12,42.4833333333,Brooklyn Nets,New Orleans Pelicans,4,68-76,7,free throw,True,15,True,False
2008-11-12,42.7833333333,Brooklyn Nets,New Orleans Pelicans,4,68-76,7,free throw,True,15,False,False
2008-11-12,42.7833333333,Brooklyn Nets,New Orleans Pelicans,4,68-77,8,free throw,True,15,True,False
2008-11-16,30.6333333333,Brooklyn Nets,Orlando Magic,3,56-49,-9,two point shot,True,1,False,False
2008-11-16,34.05,Brooklyn Nets,Orlando Magic,3,67-57,-12,two point shot,True,5,True,False
2008-11-16,44.2,Brooklyn Nets,Orlando Magic,4,86-64,-23,free throw,True,15,True,False
2008-11-16,44.2,Brooklyn Nets,Orlando Magic,4,86-65,-22,free throw,True,15,True,False
2008-11-16,45.5666666667,Brooklyn Nets,Orlando Magic,4,86-67,-21,two point jumper,True,5,True,False
2008-11-16,45.5666666667,Brooklyn Nets,Orlando Magic,4,86-68,-19,free throw,True,15,True,False
