date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2007-02-23,10.8833333333,Los Angeles Lakers,Boston Celtics,1,25-32,5,two point jumper,True,17,True,False
2007-02-23,12.0,Los Angeles Lakers,Boston Celtics,1,30-34,1,three point jumper,True,57,False,False
2007-02-23,12.3166666667,Los Angeles Lakers,Boston Celtics,2,30-36,4,two point jumper,True,20,True,False
2007-02-23,35.45,Los Angeles Lakers,Boston Celtics,3,74-96,20,two point shot,True,1,True,False
2007-02-23,39.8666666667,Los Angeles Lakers,Boston Celtics,4,81-104,20,three point jumper,True,26,False,False
2007-12-31,15.2166666667,Los Angeles Lakers,Philadelphia 76ers,2,25-31,3,three point jumper,True,24,True,False
2007-12-31,16.5333333333,Los Angeles Lakers,Philadelphia 76ers,2,25-33,6,two point jumper,True,20,False,False
2007-03-09,12.95,Los Angeles Lakers,Philadelphia 76ers,2,31-30,-2,three point jumper,False,26,True,True
2007-03-09,15.65,Los Angeles Lakers,Philadelphia 76ers,2,40-37,0,three point jumper,False,25,True,True
2007-03-09,18.85,Los Angeles Lakers,Philadelphia 76ers,2,51-41,8,two point jumper,False,7,True,True
2007-03-09,19.8833333333,Los Angeles Lakers,Philadelphia 76ers,2,54-45,6,three point jumper,False,24,True,True
2007-03-09,33.85,Los Angeles Lakers,Philadelphia 76ers,3,73-80,-10,three point jumper,False,23,True,True
2007-03-09,34.9833333333,Los Angeles Lakers,Philadelphia 76ers,3,75-81,-9,three point jumper,False,26,False,True
2007-03-09,35.5666666667,Los Angeles Lakers,Philadelphia 76ers,3,75-81,-9,three point jumper,False,26,False,True
2007-11-01,12.4333333333,Los Angeles Lakers,Golden State Warriors,2,20-23,-5,two point jumper,False,4,False,False
2007-11-01,13.8833333333,Los Angeles Lakers,Golden State Warriors,2,23-27,-7,three point jumper,False,26,True,False
2007-11-01,41.7,Los Angeles Lakers,Golden State Warriors,4,84-78,4,two point jumper,False,18,False,False
2007-11-01,43.6666666667,Los Angeles Lakers,Golden State Warriors,4,87-82,2,three point jumper,False,24,False,False
2007-02-25,10.65,Los Angeles Lakers,Golden State Warriors,1,29-24,2,three point jumper,False,24,True,False
2007-02-25,12.0,Los Angeles Lakers,Golden State Warriors,1,29-25,1,three point jumper,False,24,False,False
2007-02-25,13.0166666667,Los Angeles Lakers,Golden State Warriors,2,32-25,5,two point jumper,False,23,False,False
2007-02-25,35.0833333333,Los Angeles Lakers,Golden State Warriors,3,79-62,15,two point jumper,False,19,True,False
2007-02-25,39.8333333333,Los Angeles Lakers,Golden State Warriors,4,88-66,20,two point jumper,False,19,True,False
2007-03-25,13.25,Los Angeles Lakers,Golden State Warriors,2,25-39,12,two point jumper,True,22,False,True
2007-03-25,34.9333333333,Los Angeles Lakers,Golden State Warriors,3,86-82,-6,two point jumper,True,1,False,True
2007-03-25,38.7166666667,Los Angeles Lakers,Golden State Warriors,4,95-90,-8,three point jumper,True,23,True,True
2007-03-25,39.9666666667,Los Angeles Lakers,Golden State Warriors,4,98-90,-11,three point jumper,True,27,False,True
2007-03-25,44.6666666667,Los Angeles Lakers,Golden State Warriors,4,102-108,3,three point jumper,True,25,False,True
2007-04-04,13.0833333333,Los Angeles Lakers,Los Angeles Clippers,2,22-30,-10,two point jumper,False,19,False,False
2007-11-05,9.83333333333,Los Angeles Lakers,Oklahoma City Thunder,1,27-25,-1,three point jumper,False,23,False,False
2007-11-19,38.0166666667,Los Angeles Lakers,Chicago Bulls,4,62-62,-3,three point jumper,True,25,False,True
2007-01-05,41.5666666667,Los Angeles Lakers,Denver Nuggets,4,88-115,25,two point jumper,True,20,False,True
2007-01-05,46.6833333333,Los Angeles Lakers,Denver Nuggets,4,100-121,18,three point jumper,True,25,False,True
2007-02-03,16.45,Los Angeles Lakers,Washington Wizards,2,38-37,-2,three point jumper,False,25,False,True
2007-03-02,11.4,Los Angeles Lakers,Sacramento Kings,1,33-26,-10,three point jumper,True,25,False,False
2007-03-02,36.0,Los Angeles Lakers,Sacramento Kings,3,92-74,-20,layup,True,0,False,False
2007-03-02,37.9333333333,Los Angeles Lakers,Sacramento Kings,4,94-81,-16,three point jumper,True,27,True,False
2007-03-04,13.2666666667,Los Angeles Lakers,Phoenix Suns,2,21-24,-6,three point jumper,False,26,False,False
2007-03-04,13.3666666667,Los Angeles Lakers,Phoenix Suns,2,21-24,-6,three point jumper,False,24,False,False
2007-03-04,13.5666666667,Los Angeles Lakers,Phoenix Suns,2,23-24,-3,layup,False,0,True,False
2007-03-04,24.0,Los Angeles Lakers,Phoenix Suns,2,46-46,-3,three point jumper,False,28,False,False
2007-03-04,31.1666666667,Los Angeles Lakers,Phoenix Suns,3,57-64,-10,three point jumper,False,23,False,False
2007-03-04,44.7,Los Angeles Lakers,Phoenix Suns,4,88-92,-7,three point jumper,False,24,True,False
2007-03-04,47.6333333333,Los Angeles Lakers,Phoenix Suns,4,91-95,-5,free throw,False,15,False,False
2007-03-04,47.6333333333,Los Angeles Lakers,Phoenix Suns,4,92-95,-4,free throw,False,15,True,False
2007-03-06,14.1333333333,Los Angeles Lakers,Minnesota Timberwolves,2,34-29,3,layup,False,0,True,False
2007-03-06,15.1833333333,Los Angeles Lakers,Minnesota Timberwolves,2,36-29,5,two point jumper,False,19,True,False
2007-03-06,16.4833333333,Los Angeles Lakers,Minnesota Timberwolves,2,38-29,7,layup,False,0,False,False
2007-03-06,38.9333333333,Los Angeles Lakers,Minnesota Timberwolves,4,80-79,-2,three point jumper,False,26,False,False
2007-03-07,11.1333333333,Los Angeles Lakers,Milwaukee Bucks,1,21-21,-3,three point jumper,False,26,True,True
2007-03-07,13.05,Los Angeles Lakers,Milwaukee Bucks,2,21-23,-5,three point jumper,False,26,False,True
2007-03-07,33.0333333333,Los Angeles Lakers,Milwaukee Bucks,3,57-71,-17,three point jumper,False,26,True,True
2007-03-07,36.3833333333,Los Angeles Lakers,Milwaukee Bucks,4,61-77,-18,two point jumper,False,20,False,True
