date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-02-26,4.0,Los Angeles Lakers,Boston Celtics,1,9-10,-2,three point jumper,True,25,True,False
2006-02-26,6.66666666667,Los Angeles Lakers,Boston Celtics,1,13-15,-1,three point jumper,True,27,False,False
2006-02-26,19.9833333333,Los Angeles Lakers,Boston Celtics,2,45-47,-1,three point jumper,True,25,False,False
2006-02-26,25.4333333333,Los Angeles Lakers,Boston Celtics,3,56-58,-1,three point jumper,True,26,False,False
2006-02-26,26.6166666667,Los Angeles Lakers,Boston Celtics,3,61-60,-2,free throw,True,15,False,False
2006-02-26,26.6166666667,Los Angeles Lakers,Boston Celtics,3,61-61,-1,free throw,True,15,True,False
2006-02-26,37.15,Los Angeles Lakers,Boston Celtics,4,94-87,-9,layup,True,0,True,False
2006-02-26,37.65,Los Angeles Lakers,Boston Celtics,4,94-88,-7,free throw,True,15,True,False
2006-02-26,37.65,Los Angeles Lakers,Boston Celtics,4,94-88,-7,free throw,True,15,False,False
2006-02-26,38.45,Los Angeles Lakers,Boston Celtics,4,94-90,-5,free throw,True,15,False,False
2006-02-26,38.45,Los Angeles Lakers,Boston Celtics,4,94-91,-4,free throw,True,15,True,False
2006-02-26,40.6,Los Angeles Lakers,Boston Celtics,4,100-95,-6,free throw,True,15,False,False
2006-02-26,40.6,Los Angeles Lakers,Boston Celtics,4,100-96,-5,free throw,True,15,True,False
2006-02-26,44.6833333333,Los Angeles Lakers,Boston Celtics,4,108-102,-7,free throw,True,15,True,False
2006-02-26,44.6833333333,Los Angeles Lakers,Boston Celtics,4,108-103,-6,free throw,True,15,True,False
2006-02-26,45.85,Los Angeles Lakers,Boston Celtics,4,108-106,-4,two point shot,True,1,True,False
2006-03-20,0.133333333333,Los Angeles Lakers,Boston Celtics,1,2-0,0,layup,False,0,True,False
2006-03-20,0.566666666667,Los Angeles Lakers,Boston Celtics,1,4-0,2,layup,False,0,True,False
2006-03-20,1.96666666667,Los Angeles Lakers,Boston Celtics,1,9-2,4,three point jumper,False,25,True,False
2006-03-20,5.66666666667,Los Angeles Lakers,Boston Celtics,1,15-12,0,three point jumper,False,25,False,False
2006-03-20,10.05,Los Angeles Lakers,Boston Celtics,1,25-20,3,dunk,False,0,True,False
2006-03-20,19.25,Los Angeles Lakers,Boston Celtics,2,44-35,7,layup,False,0,True,False
2006-03-20,24.3333333333,Los Angeles Lakers,Boston Celtics,3,59-40,16,three point jumper,False,25,True,False
2006-03-20,28.5666666667,Los Angeles Lakers,Boston Celtics,3,64-54,8,two point jumper,False,16,False,False
