date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-11-28,34.6166666667,Orlando Magic,Boston Celtics,3,60-60,-2,two point jumper,False,12,False,True
2006-11-28,35.05,Orlando Magic,Boston Celtics,3,62-63,-3,two point jumper,False,1,True,True
2006-02-04,11.6333333333,Orlando Magic,Boston Celtics,1,18-31,11,two point jumper,True,20,True,False
2006-02-04,39.8833333333,Orlando Magic,Boston Celtics,4,72-84,10,two point jumper,True,10,True,False
2006-02-22,1.58333333333,Orlando Magic,Brooklyn Nets,1,2-2,-2,two point jumper,False,14,False,False
2006-02-22,2.3,Orlando Magic,Brooklyn Nets,1,5-4,0,free throw,False,15,True,False
2006-02-22,2.3,Orlando Magic,Brooklyn Nets,1,5-4,0,free throw,False,15,False,False
2006-02-22,14.95,Orlando Magic,Brooklyn Nets,2,36-27,7,two point jumper,False,15,True,False
2006-02-22,15.75,Orlando Magic,Brooklyn Nets,2,36-27,7,two point jumper,False,16,False,False
2006-02-22,20.8333333333,Orlando Magic,Brooklyn Nets,2,46-39,5,layup,False,0,True,False
2006-02-22,27.8333333333,Orlando Magic,Brooklyn Nets,3,59-50,7,two point jumper,False,15,False,False
2006-02-22,42.35,Orlando Magic,Brooklyn Nets,4,79-83,-6,dunk,False,0,True,False
2006-01-04,11.1166666667,Orlando Magic,Toronto Raptors,1,20-26,-8,layup,False,0,False,True
2006-03-11,15.9666666667,Orlando Magic,Golden State Warriors,2,37-37,-1,free throw,True,15,True,False
2006-03-11,15.9666666667,Orlando Magic,Golden State Warriors,2,37-38,0,free throw,True,15,True,False
2006-03-11,36.75,Orlando Magic,Golden State Warriors,4,67-86,17,two point shot,True,9,True,False
2006-11-29,13.3333333333,Orlando Magic,Chicago Bulls,2,28-22,4,two point jumper,False,18,False,False
2006-03-10,36.7166666667,Orlando Magic,Cleveland Cavaliers,4,60-78,16,two point jumper,True,9,True,False
2006-02-10,14.5833333333,Orlando Magic,Detroit Pistons,2,20-26,4,layup,True,0,True,False
2006-03-13,16.1666666667,Orlando Magic,Indiana Pacers,2,25-34,-11,layup,False,0,True,False
2006-03-13,37.5,Orlando Magic,Indiana Pacers,4,68-68,-2,two point shot,False,5,True,False
2006-03-13,41.1333333333,Orlando Magic,Indiana Pacers,4,70-75,-7,two point jumper,False,1,False,False
2006-04-19,5.48333333333,Orlando Magic,Indiana Pacers,1,2-7,-7,two point jumper,False,7,False,False
2006-04-19,24.65,Orlando Magic,Indiana Pacers,3,37-41,-6,two point jumper,False,14,False,False
2006-04-19,26.9666666667,Orlando Magic,Indiana Pacers,3,43-45,-4,two point jumper,False,18,True,False
2006-12-03,5.35,Orlando Magic,Milwaukee Bucks,1,9-13,-6,two point jumper,False,14,False,True
2006-12-03,20.7666666667,Orlando Magic,Milwaukee Bucks,2,34-45,-12,free throw,False,15,True,True
2006-12-03,20.7666666667,Orlando Magic,Milwaukee Bucks,2,35-45,-11,free throw,False,15,True,True
2006-12-03,22.05,Orlando Magic,Milwaukee Bucks,2,38-45,-9,two point jumper,False,8,False,True
2006-12-03,24.9666666667,Orlando Magic,Milwaukee Bucks,3,40-48,-10,two point jumper,False,9,False,True
2006-12-03,28.7,Orlando Magic,Milwaukee Bucks,3,42-57,-17,two point jumper,False,12,False,True
2006-12-03,30.35,Orlando Magic,Milwaukee Bucks,3,45-60,-17,layup,False,0,False,True
2006-02-26,33.55,Orlando Magic,Houston Rockets,3,63-48,-16,free throw,True,15,True,False
2006-02-26,33.55,Orlando Magic,Houston Rockets,3,63-49,-15,free throw,True,15,True,False
2006-12-02,13.7166666667,Orlando Magic,Memphis Grizzlies,2,15-33,-20,two point jumper,False,6,False,False
2006-12-02,43.2833333333,Orlando Magic,Memphis Grizzlies,4,58-80,-24,two point shot,False,8,False,False
2006-12-02,43.7333333333,Orlando Magic,Memphis Grizzlies,4,58-80,-23,free throw,False,15,False,False
2006-12-02,43.7333333333,Orlando Magic,Memphis Grizzlies,4,58-80,-23,free throw,False,15,False,False
2006-12-02,43.7333333333,Orlando Magic,Memphis Grizzlies,4,58-80,-23,free throw,False,15,False,False
2006-12-02,44.65,Orlando Magic,Memphis Grizzlies,4,60-81,-23,two point jumper,False,5,True,False
2006-12-02,45.25,Orlando Magic,Memphis Grizzlies,4,60-83,-25,two point jumper,False,14,False,False
2006-12-02,46.3833333333,Orlando Magic,Memphis Grizzlies,4,63-85,-23,free throw,False,15,True,False
2006-12-02,46.3833333333,Orlando Magic,Memphis Grizzlies,4,64-85,-22,free throw,False,15,True,False
2006-12-02,47.4333333333,Orlando Magic,Memphis Grizzlies,4,67-88,-22,free throw,False,15,True,False
2006-12-02,47.4333333333,Orlando Magic,Memphis Grizzlies,4,68-88,-21,free throw,False,15,True,False
2006-12-05,13.5666666667,Orlando Magic,San Antonio Spurs,2,29-25,-6,two point jumper,True,10,False,True
2006-12-05,19.4166666667,Orlando Magic,San Antonio Spurs,2,37-35,-4,layup,True,0,False,True
2006-12-05,46.7666666667,Orlando Magic,San Antonio Spurs,4,105-80,-27,two point jumper,True,9,False,True
2006-02-03,11.5666666667,Orlando Magic,Atlanta Hawks,1,29-25,3,free throw,False,15,False,False
2006-02-03,11.5666666667,Orlando Magic,Atlanta Hawks,1,29-25,3,free throw,False,15,False,False
2006-02-03,15.95,Orlando Magic,Atlanta Hawks,2,33-32,-1,layup,False,0,True,False
2006-02-03,21.7,Orlando Magic,Atlanta Hawks,2,44-43,-1,two point jumper,False,4,False,False
2006-04-10,35.05,Orlando Magic,Atlanta Hawks,3,65-74,8,free throw,True,15,True,False
2006-04-10,35.05,Orlando Magic,Atlanta Hawks,3,65-75,9,free throw,True,15,True,False
2006-04-10,37.6333333333,Orlando Magic,Atlanta Hawks,4,67-81,12,layup,True,0,True,False
2006-11-26,13.8166666667,Orlando Magic,Miami Heat,2,16-23,6,free throw,True,15,False,True
2006-11-26,13.8166666667,Orlando Magic,Miami Heat,2,16-23,6,free throw,True,15,False,True
2006-11-26,13.8166666667,Orlando Magic,Miami Heat,2,16-24,7,free throw,True,15,True,True
2006-11-26,16.1333333333,Orlando Magic,Miami Heat,2,22-26,2,layup,True,0,False,True
2006-11-26,16.1666666667,Orlando Magic,Miami Heat,2,22-28,4,layup,True,0,True,True
2006-11-26,16.95,Orlando Magic,Miami Heat,2,22-29,5,two point shot,True,13,False,True
2006-11-26,18.4166666667,Orlando Magic,Miami Heat,2,23-31,6,layup,True,0,True,True
2006-11-26,37.1333333333,Orlando Magic,Miami Heat,4,54-63,7,layup,True,0,True,True
2006-02-14,22.85,Orlando Magic,Miami Heat,2,48-57,-10,free throw,False,15,True,True
2006-02-14,22.85,Orlando Magic,Miami Heat,2,49-57,-9,free throw,False,15,True,True
2006-02-15,9.86666666667,Orlando Magic,Miami Heat,1,25-16,-11,two point jumper,True,14,True,False
2006-11-25,11.65,Orlando Magic,Portland Trail Blazers,1,33-25,-10,tip shot,True,0,False,False
2006-11-25,13.2,Orlando Magic,Portland Trail Blazers,2,35-27,-10,layup,True,0,False,False
2006-11-25,14.6333333333,Orlando Magic,Portland Trail Blazers,2,35-31,-6,layup,True,0,True,False
2006-11-25,15.5833333333,Orlando Magic,Portland Trail Blazers,2,37-33,-6,two point jumper,True,11,False,False
2006-11-25,18.8166666667,Orlando Magic,Portland Trail Blazers,2,39-43,2,two point jumper,True,12,False,False
2006-11-25,18.9166666667,Orlando Magic,Portland Trail Blazers,2,39-44,4,free throw,True,15,True,False
2006-11-25,18.9166666667,Orlando Magic,Portland Trail Blazers,2,39-45,5,free throw,True,15,True,False
2006-11-25,39.9,Orlando Magic,Portland Trail Blazers,4,74-88,12,two point jumper,True,13,False,False
2006-12-10,11.1166666667,Orlando Magic,Denver Nuggets,1,21-26,3,layup,True,0,False,True
2006-12-10,13.7,Orlando Magic,Denver Nuggets,2,25-27,0,two point jumper,True,7,False,True
2006-12-10,13.75,Orlando Magic,Denver Nuggets,2,25-29,2,layup,True,0,True,True
2006-12-10,13.75,Orlando Magic,Denver Nuggets,2,25-29,3,free throw,True,15,False,True
2006-12-10,31.7,Orlando Magic,Denver Nuggets,3,53-63,8,two point jumper,True,10,False,True
2006-01-11,11.9833333333,Orlando Magic,Oklahoma City Thunder,1,21-31,-12,two point jumper,False,1,False,False
2006-01-13,9.11666666667,Orlando Magic,Portland Trail Blazers,1,24-26,-4,hook shot,False,4,False,False
2006-01-13,11.6,Orlando Magic,Portland Trail Blazers,1,30-32,-3,free throw,False,15,True,False
2006-01-13,11.6,Orlando Magic,Portland Trail Blazers,1,31-32,-2,free throw,False,15,True,False
2006-01-13,25.8166666667,Orlando Magic,Portland Trail Blazers,3,33-34,-3,two point jumper,False,19,False,False
2006-01-13,45.4833333333,Orlando Magic,Portland Trail Blazers,4,81-80,-1,hook shot,False,4,False,False
2006-01-18,21.2166666667,Orlando Magic,Washington Wizards,2,44-38,-8,dunk,True,0,True,False
2006-02-24,7.88333333333,Orlando Magic,Oklahoma City Thunder,1,15-15,-2,two point jumper,True,9,False,False
2006-02-24,10.1666666667,Orlando Magic,Oklahoma City Thunder,1,15-21,4,layup,True,0,True,False
2006-02-24,34.0833333333,Orlando Magic,Oklahoma City Thunder,3,66-74,6,two point jumper,True,9,True,False
2006-03-04,12.3,Orlando Magic,Denver Nuggets,2,28-33,-7,two point shot,False,16,False,True
2006-03-04,16.2,Orlando Magic,Denver Nuggets,2,34-39,-7,two point shot,False,7,False,True
2006-03-06,8.91666666667,Orlando Magic,Utah Jazz,1,11-18,-9,two point jumper,False,7,False,False
2006-03-06,21.1,Orlando Magic,Utah Jazz,2,33-42,-11,two point shot,False,4,False,False
2006-03-06,32.1166666667,Orlando Magic,Utah Jazz,3,55-67,-13,free throw,False,15,True,False
2006-03-06,32.1166666667,Orlando Magic,Utah Jazz,3,55-67,-13,free throw,False,15,False,False
2006-03-06,32.8333333333,Orlando Magic,Utah Jazz,3,55-68,-14,free throw,False,15,False,False
2006-03-06,32.8333333333,Orlando Magic,Utah Jazz,3,55-68,-14,free throw,False,15,False,False
2006-03-15,14.6333333333,Orlando Magic,Utah Jazz,2,17-29,10,two point jumper,True,17,False,True
2006-03-15,38.75,Orlando Magic,Utah Jazz,4,76-84,6,dunk,True,0,True,True
