date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-02-10,7.16666666667,Portland Trail Blazers,Boston Celtics,1,14-14,-3,three point jumper,False,25,False,True
2006-02-10,19.1666666667,Portland Trail Blazers,Boston Celtics,2,34-41,-10,three point jumper,False,25,True,True
2006-02-10,23.1,Portland Trail Blazers,Boston Celtics,2,42-50,-10,two point jumper,False,4,False,True
2006-02-10,27.3333333333,Portland Trail Blazers,Boston Celtics,3,48-64,-18,two point shot,False,1,True,True
2006-02-10,30.3166666667,Portland Trail Blazers,Boston Celtics,3,50-71,-24,three point jumper,False,25,False,True
2006-02-24,1.58333333333,Portland Trail Blazers,Boston Celtics,1,4-2,-4,two point jumper,True,20,False,True
2006-02-24,19.8833333333,Portland Trail Blazers,Boston Celtics,2,43-38,-7,two point shot,True,1,True,True
2006-02-24,21.8333333333,Portland Trail Blazers,Boston Celtics,2,47-44,-5,two point jumper,True,7,True,True
2006-02-24,23.5,Portland Trail Blazers,Boston Celtics,2,50-50,-3,three point jumper,True,25,True,True
2006-02-24,31.6,Portland Trail Blazers,Boston Celtics,3,70-63,-9,layup,True,0,True,True
2006-02-24,42.6333333333,Portland Trail Blazers,Boston Celtics,4,87-84,-4,free throw,True,15,False,True
2006-02-24,42.6333333333,Portland Trail Blazers,Boston Celtics,4,87-84,-4,free throw,True,15,False,True
2006-02-24,43.7333333333,Portland Trail Blazers,Boston Celtics,4,93-86,-9,layup,True,0,True,True
2006-02-24,44.1833333333,Portland Trail Blazers,Boston Celtics,4,93-88,-7,two point jumper,True,21,True,True
2006-02-24,47.7833333333,Portland Trail Blazers,Boston Celtics,4,99-93,-8,two point jumper,True,1,False,True
2006-02-24,47.9833333333,Portland Trail Blazers,Boston Celtics,4,102-96,-9,three point jumper,True,28,False,True
2006-01-27,2.63333333333,Portland Trail Blazers,Brooklyn Nets,1,4-5,-2,three point jumper,True,24,True,True
2006-01-27,22.4833333333,Portland Trail Blazers,Brooklyn Nets,2,32-46,12,two point jumper,True,22,True,True
2006-01-27,24.4333333333,Portland Trail Blazers,Brooklyn Nets,3,34-50,14,two point shot,True,18,True,True
2006-01-27,25.7,Portland Trail Blazers,Brooklyn Nets,3,34-52,16,two point jumper,True,1,False,True
2006-01-27,30.1666666667,Portland Trail Blazers,Brooklyn Nets,3,45-61,14,two point jumper,True,23,True,True
2006-01-27,46.5833333333,Portland Trail Blazers,Brooklyn Nets,4,78-82,1,three point jumper,True,26,False,True
2006-01-27,47.7833333333,Portland Trail Blazers,Brooklyn Nets,4,80-84,3,free throw,True,15,True,True
2006-01-27,47.7833333333,Portland Trail Blazers,Brooklyn Nets,4,80-85,4,free throw,True,15,True,True
2006-03-15,5.73333333333,Portland Trail Blazers,Brooklyn Nets,1,16-12,1,three point jumper,False,25,True,False
2006-03-15,10.4333333333,Portland Trail Blazers,Brooklyn Nets,1,22-20,0,two point jumper,False,20,True,False
2006-03-15,22.7833333333,Portland Trail Blazers,Brooklyn Nets,2,40-39,-1,two point jumper,False,21,True,False
2006-03-15,30.8833333333,Portland Trail Blazers,Brooklyn Nets,3,47-53,-8,two point jumper,False,24,True,False
2006-03-15,32.4833333333,Portland Trail Blazers,Brooklyn Nets,3,52-55,-6,three point jumper,False,24,True,False
2006-03-15,44.9333333333,Portland Trail Blazers,Brooklyn Nets,4,63-73,-12,two point jumper,False,1,False,False
2006-11-29,45.3666666667,Portland Trail Blazers,Philadelphia 76ers,4,79-107,-30,two point jumper,False,16,True,True
2006-11-29,47.4333333333,Portland Trail Blazers,Philadelphia 76ers,4,81-107,-28,two point jumper,False,20,False,True
2006-12-28,0.333333333333,Portland Trail Blazers,Philadelphia 76ers,1,0-2,0,two point jumper,True,19,True,True
2006-12-28,18.0666666667,Portland Trail Blazers,Philadelphia 76ers,2,41-38,-5,two point jumper,True,1,False,True
2006-12-28,27.4333333333,Portland Trail Blazers,Philadelphia 76ers,3,57-52,-7,two point shot,True,1,True,True
2006-12-28,28.7333333333,Portland Trail Blazers,Philadelphia 76ers,3,57-54,-6,three point jumper,True,24,False,True
2006-12-28,30.5666666667,Portland Trail Blazers,Philadelphia 76ers,3,59-62,0,three point jumper,True,25,True,True
2006-12-28,30.85,Portland Trail Blazers,Philadelphia 76ers,3,59-62,0,three point jumper,True,23,False,True
2006-12-28,46.8833333333,Portland Trail Blazers,Philadelphia 76ers,4,82-84,0,two point jumper,True,19,False,True
2006-12-28,47.65,Portland Trail Blazers,Philadelphia 76ers,4,86-90,3,free throw,True,15,True,True
2006-12-28,47.65,Portland Trail Blazers,Philadelphia 76ers,4,86-91,4,free throw,True,15,True,True
2006-12-28,47.9666666667,Portland Trail Blazers,Philadelphia 76ers,4,91-94,2,free throw,True,15,True,True
2006-12-28,47.9666666667,Portland Trail Blazers,Philadelphia 76ers,4,91-95,3,free throw,True,15,True,True
2006-01-18,12.5166666667,Portland Trail Blazers,Toronto Raptors,2,24-27,0,three point jumper,True,23,False,True
2006-01-18,14.3166666667,Portland Trail Blazers,Toronto Raptors,2,27-30,0,three point jumper,True,24,False,True
2006-01-18,14.8333333333,Portland Trail Blazers,Toronto Raptors,2,29-30,-1,two point jumper,True,9,False,True
2006-01-18,16.85,Portland Trail Blazers,Toronto Raptors,2,33-35,-1,three point jumper,True,25,True,True
2006-01-18,26.9333333333,Portland Trail Blazers,Toronto Raptors,3,53-56,1,two point jumper,True,1,True,True
2006-01-18,30.1666666667,Portland Trail Blazers,Toronto Raptors,3,56-62,3,three point jumper,True,24,False,True
2006-01-18,30.85,Portland Trail Blazers,Toronto Raptors,3,56-67,9,two point jumper,True,1,True,True
2006-01-18,43.0,Portland Trail Blazers,Toronto Raptors,4,81-89,5,three point jumper,True,25,False,True
2006-02-12,1.58333333333,Portland Trail Blazers,Toronto Raptors,1,2-5,-5,two point jumper,False,1,True,True
2006-02-12,5.28333333333,Portland Trail Blazers,Toronto Raptors,1,10-13,-5,two point jumper,False,23,False,True
2006-02-12,5.7,Portland Trail Blazers,Toronto Raptors,1,10-13,-6,three point jumper,False,26,False,True
2006-02-12,21.6166666667,Portland Trail Blazers,Toronto Raptors,2,31-48,-19,two point shot,False,1,True,True
2006-02-12,45.2833333333,Portland Trail Blazers,Toronto Raptors,4,75-109,-36,two point shot,False,11,False,True
2006-01-28,3.13333333333,Portland Trail Blazers,Golden State Warriors,1,1-2,-3,two point jumper,False,8,False,False
2006-01-28,19.1,Portland Trail Blazers,Golden State Warriors,2,36-43,-9,two point jumper,False,16,True,False
2006-01-28,20.7666666667,Portland Trail Blazers,Golden State Warriors,2,40-50,-11,free throw,False,15,True,False
