date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-01-06,21.8833333333,Orlando Magic,Brooklyn Nets,5,102-109,-9,layup,False,0,True,False
2006-01-04,44.1166666667,Orlando Magic,Toronto Raptors,4,54-77,-25,two point jumper,False,19,False,True
2006-01-04,20.8666666667,Orlando Magic,Toronto Raptors,5,95-117,-24,two point jumper,False,21,True,True
2006-01-04,21.6666666667,Orlando Magic,Toronto Raptors,5,97-121,-26,two point jumper,False,19,False,True
2006-01-24,12.5166666667,Orlando Magic,Phoenix Suns,2,26-25,-3,two point jumper,True,19,False,True
2006-01-24,18.9833333333,Orlando Magic,Phoenix Suns,2,39-42,1,tip shot,True,0,True,True
2006-01-21,14.7,Orlando Magic,Sacramento Kings,2,27-24,-5,two point jumper,True,1,False,True
2006-01-21,16.0,Orlando Magic,Sacramento Kings,2,29-26,-5,layup,True,0,False,True
2006-01-21,17.4833333333,Orlando Magic,Sacramento Kings,2,37-28,-11,two point shot,True,17,False,True
2006-12-07,35.95,Orlando Magic,Chicago Bulls,3,76-67,-11,two point jumper,True,17,True,True
2006-12-07,11.05,Orlando Magic,Chicago Bulls,5,79-72,-9,layup,True,0,True,True
2006-12-07,11.05,Orlando Magic,Chicago Bulls,5,79-73,-7,free throw,True,15,True,True
2006-12-07,15.1833333333,Orlando Magic,Chicago Bulls,5,81-79,-4,two point jumper,True,22,True,True
2006-12-07,18.95,Orlando Magic,Chicago Bulls,5,93-82,-13,two point jumper,True,17,False,True
2006-12-07,21.9,Orlando Magic,Chicago Bulls,5,102-90,-15,three point jumper,True,25,False,True
2006-11-18,32.4833333333,Orlando Magic,Cleveland Cavaliers,3,53-72,-21,two point jumper,False,21,False,True
2006-11-18,33.5,Orlando Magic,Cleveland Cavaliers,3,57-72,-17,two point jumper,False,17,True,True
2006-11-18,47.5333333333,Orlando Magic,Cleveland Cavaliers,4,81-102,-23,two point jumper,False,22,True,True
2006-12-03,17.2166666667,Orlando Magic,Milwaukee Bucks,2,27-43,-18,two point jumper,False,14,False,True
2006-12-03,33.1,Orlando Magic,Milwaukee Bucks,3,50-64,-16,two point jumper,False,17,False,True
2006-11-08,15.0,Orlando Magic,Houston Rockets,2,23-22,-1,two point jumper,False,19,False,True
2006-11-08,16.0666666667,Orlando Magic,Houston Rockets,2,25-24,-1,two point jumper,False,17,False,True
2006-11-04,33.5666666667,Orlando Magic,Memphis Grizzlies,3,60-53,-9,two point jumper,True,21,False,False
2006-12-02,37.5,Orlando Magic,Memphis Grizzlies,4,46-70,-27,three point jumper,False,25,False,False
2006-12-02,42.0666666667,Orlando Magic,Memphis Grizzlies,4,55-80,-27,layup,False,0,True,False
2006-12-02,46.85,Orlando Magic,Memphis Grizzlies,4,66-86,-22,layup,False,0,True,False
2006-11-09,11.0333333333,Orlando Magic,New Orleans Pelicans,5,66-57,7,two point jumper,False,19,True,True
2006-11-19,16.6666666667,Orlando Magic,New Orleans Pelicans,2,31-31,-2,two point jumper,True,18,False,False
2006-12-05,45.8666666667,Orlando Magic,San Antonio Spurs,4,103-80,-25,two point jumper,True,14,False,True
2006-12-05,47.3333333333,Orlando Magic,San Antonio Spurs,4,107-82,-27,two point jumper,True,22,True,True
2006-12-05,47.85,Orlando Magic,San Antonio Spurs,4,110-82,-30,two point jumper,True,19,False,True
2006-01-07,18.8666666667,Orlando Magic,Charlotte Bobcats,5,81-102,20,free throw,True,15,True,False
2006-01-07,18.8666666667,Orlando Magic,Charlotte Bobcats,5,81-103,21,free throw,True,15,True,False
2006-01-07,19.3,Orlando Magic,Charlotte Bobcats,5,84-103,17,two point jumper,True,11,False,False
2006-01-07,21.0666666667,Orlando Magic,Charlotte Bobcats,5,90-106,14,two point jumper,True,13,False,False
2006-11-05,13.5,Orlando Magic,Washington Wizards,2,24-22,0,two point jumper,False,23,True,False
2006-11-05,16.1333333333,Orlando Magic,Washington Wizards,2,25-28,-5,two point jumper,False,18,False,False
2006-11-05,16.2833333333,Orlando Magic,Washington Wizards,2,27-28,-3,two point jumper,False,13,True,False
2006-11-05,18.4833333333,Orlando Magic,Washington Wizards,2,29-31,-4,two point jumper,False,20,False,False
2006-11-05,19.8166666667,Orlando Magic,Washington Wizards,2,33-31,0,two point jumper,False,1,False,False
2006-11-05,39.05,Orlando Magic,Washington Wizards,4,66-67,-3,two point jumper,False,21,False,False
2006-11-05,41.0333333333,Orlando Magic,Washington Wizards,4,66-72,-8,two point jumper,False,21,False,False
2006-11-23,15.95,Orlando Magic,Washington Wizards,2,22-31,7,two point jumper,True,16,True,True
2006-11-23,34.6333333333,Orlando Magic,Washington Wizards,3,54-60,4,two point jumper,True,21,False,True
2006-11-23,38.3833333333,Orlando Magic,Washington Wizards,4,62-71,7,two point jumper,True,21,False,True
2006-12-10,15.0166666667,Orlando Magic,Denver Nuggets,2,26-32,4,two point jumper,True,16,False,True
2006-12-10,35.3833333333,Orlando Magic,Denver Nuggets,3,57-71,12,layup,True,0,False,True
2006-12-10,36.65,Orlando Magic,Denver Nuggets,4,57-71,12,two point jumper,True,18,False,True
2006-12-10,38.8166666667,Orlando Magic,Denver Nuggets,4,62-77,13,tip shot,True,0,False,True
2006-12-10,40.2,Orlando Magic,Denver Nuggets,4,63-77,12,two point jumper,True,19,False,True
2006-02-06,12.6833333333,Orlando Magic,Washington Wizards,2,17-27,-12,layup,False,0,True,False
