date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2011-10-29,1.33333333333,New York Knicks,Boston Celtics,1,3-0,2,free throw,False,15,False,False
2011-10-29,1.33333333333,New York Knicks,Boston Celtics,1,4-0,3,free throw,False,15,True,False
2011-10-29,1.63333333333,New York Knicks,Boston Celtics,1,6-0,4,dunk,False,0,True,False
2011-10-29,4.98333333333,New York Knicks,Boston Celtics,1,11-4,5,two point jumper,False,17,False,False
2011-10-29,23.25,New York Knicks,Boston Celtics,2,46-48,-4,two point jumper,False,17,False,False
2011-11-30,10.5,New York Knicks,Brooklyn Nets,1,26-25,-3,two point shot,True,1,True,True
2011-11-30,37.6333333333,New York Knicks,Brooklyn Nets,4,75-88,11,two point jumper,True,11,False,True
2011-11-30,47.2,New York Knicks,Brooklyn Nets,4,100-111,9,two point jumper,True,20,False,True
2011-02-12,15.4333333333,New York Knicks,Brooklyn Nets,2,36-28,6,layup,False,0,False,False
2011-02-12,16.7833333333,New York Knicks,Brooklyn Nets,2,42-33,8,free throw,False,15,True,False
2011-02-12,24.5833333333,New York Knicks,Brooklyn Nets,3,61-54,5,two point jumper,False,21,True,False
2011-02-12,45.55,New York Knicks,Brooklyn Nets,4,95-90,3,layup,False,0,True,False
2011-02-12,45.55,New York Knicks,Brooklyn Nets,4,96-90,5,free throw,False,15,True,False
2011-02-12,46.0333333333,New York Knicks,Brooklyn Nets,4,96-90,4,two point shot,False,2,False,False
2011-10-27,0.766666666667,New York Knicks,Toronto Raptors,1,0-1,-3,two point shot,False,1,False,True
2011-10-30,17.0333333333,New York Knicks,Portland Trail Blazers,2,35-26,-11,two point jumper,True,15,True,True
2011-10-30,20.0666666667,New York Knicks,Portland Trail Blazers,2,38-35,-5,two point jumper,True,4,False,True
2011-11-04,4.03333333333,New York Knicks,Chicago Bulls,1,9-11,-3,free throw,False,15,True,True
2011-11-04,4.03333333333,New York Knicks,Chicago Bulls,1,9-11,-3,free throw,False,15,False,True
2011-11-05,1.26666666667,New York Knicks,Washington Wizards,1,2-5,1,two point shot,True,1,True,False
2011-11-05,5.56666666667,New York Knicks,Washington Wizards,1,16-14,-4,dunk,True,0,True,False
2011-11-05,5.91666666667,New York Knicks,Washington Wizards,1,16-16,-2,layup,True,0,True,False
2011-11-05,26.8166666667,New York Knicks,Washington Wizards,3,55-64,7,two point jumper,True,19,False,False
2011-11-05,30.6333333333,New York Knicks,Washington Wizards,3,63-72,8,free throw,True,15,False,False
2011-11-05,30.6333333333,New York Knicks,Washington Wizards,3,63-72,8,free throw,True,15,False,False
2011-11-07,0.333333333333,New York Knicks,Philadelphia 76ers,1,0-2,0,dunk,True,0,True,True
2011-11-07,3.31666666667,New York Knicks,Philadelphia 76ers,1,11-6,-6,free throw,True,15,False,True
2011-11-07,3.31666666667,New York Knicks,Philadelphia 76ers,1,11-7,-5,free throw,True,15,True,True
2011-11-07,4.63333333333,New York Knicks,Philadelphia 76ers,1,13-12,-3,two point jumper,True,12,True,True
2011-11-07,24.95,New York Knicks,Philadelphia 76ers,3,54-58,2,two point jumper,True,20,True,True
2011-11-07,26.9666666667,New York Knicks,Philadelphia 76ers,3,58-59,-1,layup,True,0,False,True
2011-11-07,28.2,New York Knicks,Philadelphia 76ers,3,58-63,3,two point shot,True,7,False,True
2011-11-07,29.8166666667,New York Knicks,Philadelphia 76ers,3,60-69,7,two point shot,True,2,True,True
2011-11-09,7.06666666667,New York Knicks,Milwaukee Bucks,1,16-21,-7,two point jumper,False,16,True,True
2011-11-09,25.6333333333,New York Knicks,Milwaukee Bucks,3,45-66,-23,two point jumper,False,1,False,True
2011-11-09,36.3,New York Knicks,Milwaukee Bucks,4,67-90,-25,two point jumper,False,15,False,True
2011-11-09,41.9833333333,New York Knicks,Milwaukee Bucks,4,73-96,-25,two point jumper,False,8,False,True
2011-11-09,43.5666666667,New York Knicks,Milwaukee Bucks,4,77-100,-25,layup,False,0,True,True
2011-11-09,44.3666666667,New York Knicks,Milwaukee Bucks,4,77-100,-25,two point jumper,False,16,False,True
2011-11-09,47.8833333333,New York Knicks,Milwaukee Bucks,4,79-107,-30,layup,False,0,True,True
2011-11-09,47.8833333333,New York Knicks,Milwaukee Bucks,4,80-107,-28,free throw,False,15,True,True
2011-11-10,8.1,New York Knicks,Golden State Warriors,1,24-23,-2,free throw,True,15,True,False
2011-11-10,8.1,New York Knicks,Golden State Warriors,1,24-24,-1,free throw,True,15,True,False
2011-11-12,16.85,New York Knicks,Minnesota Timberwolves,2,43-36,5,two point jumper,False,19,False,False
2011-11-14,13.7,New York Knicks,Houston Rockets,2,31-30,-3,layup,True,0,False,True
2011-11-14,33.45,New York Knicks,Houston Rockets,3,77-73,-6,two point shot,True,1,True,True
2011-11-14,34.9333333333,New York Knicks,Houston Rockets,3,81-75,-8,two point jumper,True,21,True,True
2011-11-16,26.0,New York Knicks,Denver Nuggets,3,58-63,-7,two point shot,False,1,False,False
2011-11-20,11.5,New York Knicks,Los Angeles Clippers,1,28-29,-3,tip shot,False,0,False,True
2011-11-20,14.8166666667,New York Knicks,Los Angeles Clippers,2,36-33,1,tip shot,False,0,False,True
2011-11-20,28.7,New York Knicks,Los Angeles Clippers,3,71-62,8,free throw,False,15,True,True
2011-11-20,28.7,New York Knicks,Los Angeles Clippers,3,72-62,9,free throw,False,15,True,True
2011-11-20,29.6666666667,New York Knicks,Los Angeles Clippers,3,75-64,10,free throw,False,15,True,True
2011-11-20,29.6666666667,New York Knicks,Los Angeles Clippers,3,75-64,10,free throw,False,15,False,True
2011-11-23,15.0,New York Knicks,Charlotte Bobcats,2,28-34,4,layup,True,0,False,True
2011-11-23,35.0166666667,New York Knicks,Charlotte Bobcats,3,73-86,11,layup,True,0,True,True
2011-11-24,17.3833333333,New York Knicks,Charlotte Bobcats,2,37-31,4,two point jumper,False,19,False,True
2011-11-27,19.2166666667,New York Knicks,Atlanta Hawks,2,46-33,-15,two point jumper,True,20,False,False
2011-11-27,27.6333333333,New York Knicks,Atlanta Hawks,3,61-49,-14,two point shot,True,1,True,False
2011-11-27,28.95,New York Knicks,Atlanta Hawks,3,63-50,-14,free throw,True,15,True,False
2011-11-27,28.95,New York Knicks,Atlanta Hawks,3,63-50,-14,free throw,True,15,False,False
2011-11-27,46.7333333333,New York Knicks,Atlanta Hawks,4,99-88,-13,dunk,True,0,True,False
2011-11-28,13.5166666667,New York Knicks,Detroit Pistons,2,28-27,-1,two point jumper,False,20,False,True
2011-12-03,10.4166666667,New York Knicks,New Orleans Pelicans,1,21-20,-1,layup,False,0,False,False
2011-12-05,11.0833333333,New York Knicks,Toronto Raptors,1,31-18,12,free throw,False,15,True,False
2011-12-05,11.0833333333,New York Knicks,Toronto Raptors,1,31-18,12,free throw,False,15,False,False
2011-12-05,12.7166666667,New York Knicks,Toronto Raptors,2,35-20,13,two point shot,False,1,True,False
2011-12-05,12.7166666667,New York Knicks,Toronto Raptors,2,36-20,15,free throw,False,15,True,False
2011-12-05,13.65,New York Knicks,Toronto Raptors,2,37-24,12,free throw,False,15,True,False
2011-12-05,13.65,New York Knicks,Toronto Raptors,2,38-24,13,free throw,False,15,True,False
2011-12-05,34.6833333333,New York Knicks,Toronto Raptors,3,82-75,5,tip shot,False,0,False,False
2011-12-06,14.4333333333,New York Knicks,Minnesota Timberwolves,2,40-39,-2,free throw,True,15,False,True
2011-12-06,14.4333333333,New York Knicks,Minnesota Timberwolves,2,40-40,-1,free throw,True,15,True,True
2011-12-06,16.5666666667,New York Knicks,Minnesota Timberwolves,2,47-42,-7,two point shot,True,9,False,True
2011-12-10,16.9833333333,New York Knicks,Washington Wizards,2,29-39,-11,free throw,False,15,True,False
2011-12-10,16.9833333333,New York Knicks,Washington Wizards,2,30-39,-10,free throw,False,15,True,False
2011-12-17,46.9666666667,New York Knicks,Miami Heat,4,111-91,-22,two point jumper,True,20,False,True
2011-12-22,44.9333333333,New York Knicks,Oklahoma City Thunder,4,90-112,20,two point shot,True,1,True,False
2011-12-22,45.5166666667,New York Knicks,Oklahoma City Thunder,4,92-112,18,dunk,True,0,False,False
2011-12-22,46.7666666667,New York Knicks,Oklahoma City Thunder,4,96-112,14,two point jumper,True,9,False,False
2011-01-07,42.0333333333,New York Knicks,Phoenix Suns,4,112-79,31,layup,False,0,True,False
2011-01-07,44.3,New York Knicks,Phoenix Suns,4,115-87,26,two point jumper,False,10,False,False
2011-01-09,46.9666666667,New York Knicks,Los Angeles Lakers,4,85-107,-24,hook shot,False,8,False,True
2011-01-09,47.35,New York Knicks,Los Angeles Lakers,4,87-109,-24,two point shot,False,1,True,True
2011-01-30,6.91666666667,New York Knicks,Detroit Pistons,1,16-21,3,hook shot,True,4,False,True
2011-01-30,8.26666666667,New York Knicks,Detroit Pistons,1,21-21,-2,layup,True,0,False,True
2011-01-30,8.3,New York Knicks,Detroit Pistons,1,24-21,-5,tip shot,True,0,False,True
2011-01-30,8.33333333333,New York Knicks,Detroit Pistons,1,21-21,-2,hook shot,True,3,False,True
2011-01-30,9.68333333333,New York Knicks,Detroit Pistons,1,27-23,-6,two point shot,True,1,True,True
2011-01-30,10.4666666667,New York Knicks,Detroit Pistons,1,29-26,-4,free throw,True,15,True,True
2011-01-30,10.4666666667,New York Knicks,Detroit Pistons,1,29-26,-4,free throw,True,15,False,True
2011-01-30,11.1,New York Knicks,Detroit Pistons,1,29-28,-3,dunk,True,0,True,True
2011-01-30,13.1166666667,New York Knicks,Detroit Pistons,2,36-34,-4,two point shot,True,12,True,True
2011-01-30,13.6833333333,New York Knicks,Detroit Pistons,2,36-36,-2,two point shot,True,2,True,True
2011-01-30,18.2833333333,New York Knicks,Detroit Pistons,2,49-47,-4,two point shot,True,1,True,True
2011-01-30,27.7,New York Knicks,Detroit Pistons,3,72-69,-5,two point jumper,True,21,False,True
2011-01-30,29.35,New York Knicks,Detroit Pistons,3,77-73,-6,two point jumper,True,12,True,True
2011-01-30,34.6666666667,New York Knicks,Detroit Pistons,3,86-86,-1,free throw,True,15,True,True
2011-01-30,34.6666666667,New York Knicks,Detroit Pistons,3,86-87,0,free throw,True,15,True,True
2011-01-30,36.8666666667,New York Knicks,Detroit Pistons,4,91-96,3,two point shot,True,1,True,True
2011-01-30,41.1,New York Knicks,Detroit Pistons,4,96-106,9,free throw,True,15,True,True
2011-01-30,41.1,New York Knicks,Detroit Pistons,4,96-107,10,free throw,True,15,True,True
2011-01-30,43.9833333333,New York Knicks,Detroit Pistons,4,106-115,7,dunk,True,0,True,True
2011-01-30,47.1166666667,New York Knicks,Detroit Pistons,4,106-124,16,two point jumper,True,19,True,True
2011-02-02,10.3666666667,New York Knicks,Dallas Mavericks,1,22-30,6,two point shot,True,1,True,True
2011-02-02,15.0,New York Knicks,Dallas Mavericks,2,37-34,-5,two point jumper,True,19,False,True
2011-02-02,47.05,New York Knicks,Dallas Mavericks,4,111-94,-19,layup,True,0,True,True
2011-02-06,6.81666666667,New York Knicks,Philadelphia 76ers,1,15-19,3,free throw,True,15,False,True
2011-02-06,6.81666666667,New York Knicks,Philadelphia 76ers,1,15-20,4,free throw,True,15,True,True
2011-02-06,8.68333333333,New York Knicks,Philadelphia 76ers,1,19-20,-1,hook shot,True,1,False,True
2011-02-06,22.4833333333,New York Knicks,Philadelphia 76ers,2,47-48,-1,two point jumper,True,5,False,True
2011-02-06,24.8833333333,New York Knicks,Philadelphia 76ers,3,51-57,4,two point jumper,True,17,True,True
2011-02-09,1.45,New York Knicks,Los Angeles Clippers,1,4-5,-1,dunk,True,0,True,False
2011-02-09,1.86666666667,New York Knicks,Los Angeles Clippers,1,6-5,-3,layup,True,0,False,False
2011-02-09,3.13333333333,New York Knicks,Los Angeles Clippers,1,8-10,0,dunk,True,0,True,False
2011-02-09,3.76666666667,New York Knicks,Los Angeles Clippers,1,10-12,0,dunk,True,0,True,False
2011-02-09,4.6,New York Knicks,Los Angeles Clippers,1,12-13,0,free throw,True,15,True,False
2011-02-09,4.6,New York Knicks,Los Angeles Clippers,1,12-14,1,free throw,True,15,True,False
2011-02-09,6.6,New York Knicks,Los Angeles Clippers,1,18-18,-2,dunk,True,0,True,False
2011-02-09,11.5,New York Knicks,Los Angeles Clippers,1,28-29,-1,two point shot,True,1,True,False
2011-02-09,23.2,New York Knicks,Los Angeles Clippers,2,58-45,-15,layup,True,0,True,False
2011-02-09,27.3166666667,New York Knicks,Los Angeles Clippers,3,65-53,-14,hook shot,True,5,True,False
2011-02-09,30.7833333333,New York Knicks,Los Angeles Clippers,3,76-62,-16,dunk,True,0,True,False
2011-02-11,25.6333333333,New York Knicks,Los Angeles Lakers,3,66-52,-16,tip shot,True,0,False,True
2011-02-11,26.5833333333,New York Knicks,Los Angeles Lakers,3,66-52,-16,two point jumper,True,17,False,True
2011-02-11,27.55,New York Knicks,Los Angeles Lakers,3,68-52,-18,tip shot,True,0,False,True
2011-02-11,28.0333333333,New York Knicks,Los Angeles Lakers,3,70-54,-18,two point shot,True,1,True,True
2011-02-11,40.7833333333,New York Knicks,Los Angeles Lakers,4,97-82,-17,two point jumper,True,1,False,True
2011-02-11,41.95,New York Knicks,Los Angeles Lakers,4,102-84,-20,layup,True,0,True,True
2011-02-11,43.95,New York Knicks,Los Angeles Lakers,4,106-86,-22,two point jumper,True,1,False,True
2011-02-11,47.35,New York Knicks,Los Angeles Lakers,4,111-94,-18,free throw,True,15,True,True
2011-02-11,47.35,New York Knicks,Los Angeles Lakers,4,111-94,-18,free throw,True,15,False,True
2011-02-11,47.9666666667,New York Knicks,Los Angeles Lakers,4,113-96,-19,dunk,True,0,True,True
2011-02-16,1.63333333333,New York Knicks,Atlanta Hawks,1,4-2,-4,layup,True,0,True,False
2011-02-16,5.2,New York Knicks,Atlanta Hawks,1,7-8,-1,two point jumper,True,18,False,False
2011-02-16,25.95,New York Knicks,Atlanta Hawks,3,47-57,8,tip shot,True,0,True,False
2011-03-21,38.4333333333,Denver Nuggets,Toronto Raptors,4,74-105,29,two point shot,True,1,True,False
2011-03-21,39.8333333333,Denver Nuggets,Toronto Raptors,4,74-111,35,dunk,True,0,True,False
2011-03-21,40.35,Denver Nuggets,Toronto Raptors,4,74-112,37,free throw,True,15,True,False
2011-03-21,40.35,Denver Nuggets,Toronto Raptors,4,74-112,37,free throw,True,15,False,False
2011-03-21,45.75,Denver Nuggets,Toronto Raptors,4,88-121,31,two point jumper,True,21,False,False
2011-03-05,17.9833333333,Denver Nuggets,Los Angeles Clippers,2,29-43,-16,two point shot,False,1,True,True
2011-04-03,11.9833333333,Denver Nuggets,Los Angeles Lakers,1,21-20,-1,hook shot,False,4,True,True
2011-04-03,15.3333333333,Denver Nuggets,Los Angeles Lakers,2,23-24,-3,hook shot,False,4,False,True
2011-04-03,39.7666666667,Denver Nuggets,Los Angeles Lakers,4,79-77,0,layup,False,0,True,True
2011-04-03,39.7666666667,Denver Nuggets,Los Angeles Lakers,4,80-77,2,free throw,False,15,True,True
2011-03-10,44.0666666667,Denver Nuggets,Phoenix Suns,4,103-84,17,two point jumper,False,1,False,False
2011-03-10,44.65,Denver Nuggets,Phoenix Suns,4,105-87,16,two point jumper,False,16,True,False
2011-03-10,45.4166666667,Denver Nuggets,Phoenix Suns,4,106-91,14,free throw,False,15,True,False
