date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2012-02-28,14.8166666667,Milwaukee Bucks,Boston Celtics,2,31-27,2,two point jumper,False,1,False,True
2012-02-28,15.5666666667,Milwaukee Bucks,Boston Celtics,2,31-29,0,layup,False,0,False,True
2012-02-28,39.65,Milwaukee Bucks,Boston Celtics,4,71-84,-15,two point jumper,False,9,False,True
2012-03-22,47.9833333333,Milwaukee Bucks,Boston Celtics,4,100-91,-11,two point jumper,True,19,False,True
2012-04-26,2.2,Milwaukee Bucks,Boston Celtics,1,2-6,-6,two point shot,False,7,True,False
2012-04-26,15.8833333333,Milwaukee Bucks,Boston Celtics,2,22-34,-14,layup,False,0,True,False
2012-04-26,28.4833333333,Milwaukee Bucks,Boston Celtics,3,47-66,-20,free throw,False,15,True,False
2012-04-26,28.4833333333,Milwaukee Bucks,Boston Celtics,3,48-66,-19,free throw,False,15,True,False
2012-04-26,30.85,Milwaukee Bucks,Boston Celtics,3,56-68,-14,layup,False,0,True,False
2012-04-26,34.3833333333,Milwaukee Bucks,Boston Celtics,3,59-74,-17,layup,False,0,True,False
2012-04-26,40.0,Milwaukee Bucks,Boston Celtics,4,66-83,-19,layup,False,0,True,False
2012-04-26,40.75,Milwaukee Bucks,Boston Celtics,4,66-83,-19,two point jumper,False,21,False,False
2012-04-26,41.95,Milwaukee Bucks,Boston Celtics,4,66-85,-21,two point jumper,False,1,False,False
2012-04-26,43.95,Milwaukee Bucks,Boston Celtics,4,70-85,-17,layup,False,0,True,False
2012-04-26,44.9,Milwaukee Bucks,Boston Celtics,4,72-85,-15,layup,False,0,True,False
2012-04-26,46.1833333333,Milwaukee Bucks,Boston Celtics,4,72-85,-15,two point jumper,False,16,False,False
2012-04-26,47.4,Milwaukee Bucks,Boston Celtics,4,72-85,-16,three point jumper,False,25,False,False
2012-03-12,1.25,Milwaukee Bucks,Brooklyn Nets,1,0-4,-6,layup,False,0,False,False
2012-03-12,2.55,Milwaukee Bucks,Brooklyn Nets,1,3-8,-6,free throw,False,15,True,False
2012-03-12,2.55,Milwaukee Bucks,Brooklyn Nets,1,4-8,-5,free throw,False,15,True,False
2012-03-12,11.8166666667,Milwaukee Bucks,Brooklyn Nets,1,27-32,-7,two point shot,False,2,True,False
2012-03-12,27.75,Milwaukee Bucks,Brooklyn Nets,3,56-59,-6,three point jumper,False,24,False,False
2012-03-12,29.0666666667,Milwaukee Bucks,Brooklyn Nets,3,57-64,-9,hook shot,False,9,False,False
2012-01-20,12.9,Milwaukee Bucks,New York Knicks,2,27-24,2,free throw,False,15,False,False
2012-01-20,12.9,Milwaukee Bucks,New York Knicks,2,27-24,2,free throw,False,15,False,False
2012-01-20,14.9333333333,Milwaukee Bucks,New York Knicks,2,35-30,3,two point shot,False,1,True,False
2012-03-09,2.86666666667,Milwaukee Bucks,New York Knicks,1,11-6,-7,layup,True,0,False,True
2012-03-09,4.41666666667,Milwaukee Bucks,New York Knicks,1,18-11,-10,three point jumper,True,23,False,True
2012-01-16,28.35,Milwaukee Bucks,Philadelphia 76ers,3,45-56,-12,free throw,False,15,False,False
2012-01-16,28.35,Milwaukee Bucks,Philadelphia 76ers,3,46-56,-11,free throw,False,15,True,False
2012-01-16,31.6333333333,Milwaukee Bucks,Philadelphia 76ers,3,54-64,-12,two point shot,False,1,True,False
2012-01-16,33.9833333333,Milwaukee Bucks,Philadelphia 76ers,3,58-69,-13,dunk,False,0,True,False
2012-01-16,36.3166666667,Milwaukee Bucks,Philadelphia 76ers,4,64-76,-14,two point shot,False,1,True,False
2012-01-16,36.8166666667,Milwaukee Bucks,Philadelphia 76ers,4,66-76,-12,layup,False,0,True,False
2012-01-16,40.3833333333,Milwaukee Bucks,Philadelphia 76ers,4,68-80,-13,free throw,False,15,False,False
2012-01-16,40.3833333333,Milwaukee Bucks,Philadelphia 76ers,4,69-80,-12,free throw,False,15,True,False
