date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2012-01-29,10.4333333333,Cleveland Cavaliers,Boston Celtics,1,21-19,0,layup,False,0,False,True
2012-01-29,11.0166666667,Cleveland Cavaliers,Boston Celtics,1,23-21,0,layup,False,0,True,True
2012-01-29,16.6,Cleveland Cavaliers,Boston Celtics,2,31-33,-4,two point jumper,False,10,False,True
2012-01-29,33.0333333333,Cleveland Cavaliers,Boston Celtics,3,57-65,-10,two point jumper,False,13,False,True
2012-01-29,33.4833333333,Cleveland Cavaliers,Boston Celtics,3,57-67,-11,free throw,False,15,False,True
2012-01-29,33.4833333333,Cleveland Cavaliers,Boston Celtics,3,58-67,-10,free throw,False,15,True,True
2012-01-29,37.3333333333,Cleveland Cavaliers,Boston Celtics,4,65-72,-9,two point jumper,False,4,False,True
2012-01-29,40.6333333333,Cleveland Cavaliers,Boston Celtics,4,71-80,-11,tip shot,False,0,False,True
2012-01-31,12.9333333333,Cleveland Cavaliers,Boston Celtics,2,30-24,-8,layup,True,0,False,False
2012-02-28,10.8833333333,Cleveland Cavaliers,Boston Celtics,1,26-12,-16,two point jumper,True,8,False,False
2012-02-28,14.4,Cleveland Cavaliers,Boston Celtics,2,33-19,-15,free throw,True,15,True,False
2012-02-28,14.4,Cleveland Cavaliers,Boston Celtics,2,33-20,-14,free throw,True,15,True,False
2012-02-28,16.0,Cleveland Cavaliers,Boston Celtics,2,35-24,-13,layup,True,0,True,False
2012-02-28,29.7333333333,Cleveland Cavaliers,Boston Celtics,3,51-53,0,dunk,True,0,True,False
2012-02-28,30.2333333333,Cleveland Cavaliers,Boston Celtics,3,51-53,0,dunk,True,0,False,False
2012-02-28,33.3,Cleveland Cavaliers,Boston Celtics,3,57-60,1,two point jumper,True,3,False,False
2012-02-28,38.75,Cleveland Cavaliers,Boston Celtics,4,68-70,0,two point shot,True,1,True,False
2012-02-28,39.8333333333,Cleveland Cavaliers,Boston Celtics,4,70-72,0,dunk,True,0,True,False
2012-02-28,42.0666666667,Cleveland Cavaliers,Boston Celtics,4,73-74,-1,two point jumper,True,8,False,False
2012-02-28,43.35,Cleveland Cavaliers,Boston Celtics,4,73-76,1,layup,True,0,True,False
2012-02-28,45.8333333333,Cleveland Cavaliers,Boston Celtics,4,80-79,-2,free throw,True,15,True,False
2012-02-28,45.8333333333,Cleveland Cavaliers,Boston Celtics,4,80-79,-2,free throw,True,15,False,False
2012-01-01,12.75,Cleveland Cavaliers,Brooklyn Nets,2,27-26,-3,two point shot,True,1,True,True
2012-01-01,13.8833333333,Cleveland Cavaliers,Brooklyn Nets,2,27-32,3,dunk,True,0,True,True
2012-01-01,35.2666666667,Cleveland Cavaliers,Brooklyn Nets,3,65-70,4,free throw,True,15,False,True
2012-01-01,35.2666666667,Cleveland Cavaliers,Brooklyn Nets,3,65-71,5,free throw,True,15,True,True
2012-01-01,36.0,Cleveland Cavaliers,Brooklyn Nets,3,67-73,4,layup,True,0,True,True
2012-01-01,37.8833333333,Cleveland Cavaliers,Brooklyn Nets,4,71-75,3,free throw,True,15,False,True
2012-01-01,37.8833333333,Cleveland Cavaliers,Brooklyn Nets,4,71-75,3,free throw,True,15,False,True
2012-01-01,38.5166666667,Cleveland Cavaliers,Brooklyn Nets,4,71-75,2,dunk,True,0,False,True
2012-01-01,39.8833333333,Cleveland Cavaliers,Brooklyn Nets,4,76-80,2,layup,True,0,True,True
2012-01-01,40.75,Cleveland Cavaliers,Brooklyn Nets,4,76-80,3,free throw,True,15,False,True
2012-01-01,40.75,Cleveland Cavaliers,Brooklyn Nets,4,76-80,3,free throw,True,15,False,True
2012-01-27,15.05,Cleveland Cavaliers,Brooklyn Nets,2,32-22,-12,two point jumper,True,10,False,False
2012-01-27,34.2166666667,Cleveland Cavaliers,Brooklyn Nets,3,68-58,-12,two point shot,True,8,True,False
2012-01-27,35.0,Cleveland Cavaliers,Brooklyn Nets,3,70-58,-13,free throw,True,15,False,False
