date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2012-03-16,15.2,Sacramento Kings,Boston Celtics,2,27-34,5,two point jumper,True,19,False,False
2012-03-16,15.8166666667,Sacramento Kings,Boston Celtics,2,29-34,3,two point jumper,True,21,False,False
2012-03-16,46.35,Sacramento Kings,Boston Celtics,4,92-116,22,two point jumper,True,1,True,False
2012-12-31,47.4833333333,Sacramento Kings,New York Knicks,4,114-89,-26,free throw,True,15,True,True
2012-12-31,47.4833333333,Sacramento Kings,New York Knicks,4,114-90,-25,free throw,True,15,True,True
2012-04-05,16.6,Sacramento Kings,Los Angeles Clippers,2,35-26,-11,two point jumper,True,12,False,False
2012-04-05,17.6666666667,Sacramento Kings,Los Angeles Clippers,2,39-28,-14,three point jumper,True,25,False,False
2012-04-07,47.0833333333,Sacramento Kings,Los Angeles Clippers,4,91-109,-20,two point jumper,False,21,False,True
2012-04-26,26.25,Sacramento Kings,Los Angeles Lakers,3,50-63,10,three point jumper,True,23,True,False
2012-04-26,27.3666666667,Sacramento Kings,Los Angeles Lakers,3,55-67,10,layup,True,0,True,False
2012-04-26,28.2333333333,Sacramento Kings,Los Angeles Lakers,3,55-69,12,dunk,True,0,False,False
2012-04-26,43.6333333333,Sacramento Kings,Los Angeles Lakers,4,83-105,20,two point jumper,True,18,False,False
2012-04-26,45.75,Sacramento Kings,Los Angeles Lakers,4,90-111,19,dunk,True,0,True,False
2012-01-25,44.3333333333,Sacramento Kings,Denver Nuggets,4,114-81,-35,two point jumper,True,1,False,True
2012-01-25,44.4333333333,Sacramento Kings,Denver Nuggets,4,114-81,-35,two point shot,True,1,True,True
2012-01-25,44.4333333333,Sacramento Kings,Denver Nuggets,4,114-81,-34,free throw,True,15,False,True
2012-03-18,43.9833333333,Sacramento Kings,Minnesota Timberwolves,4,93-108,13,two point shot,True,2,True,False
2012-03-18,45.55,Sacramento Kings,Minnesota Timberwolves,4,95-113,16,two point jumper,True,9,False,False
2012-04-13,35.5,Sacramento Kings,Oklahoma City Thunder,3,63-83,-22,two point jumper,False,1,False,True
2012-04-13,43.0,Sacramento Kings,Oklahoma City Thunder,4,75-107,-35,three point jumper,False,24,False,True
2012-04-13,43.5333333333,Sacramento Kings,Oklahoma City Thunder,4,78-107,-31,two point shot,False,1,False,True
2012-04-13,44.75,Sacramento Kings,Oklahoma City Thunder,4,83-109,-28,two point jumper,False,20,True,True
2012-04-18,42.45,Sacramento Kings,San Antonio Spurs,4,115-91,-25,free throw,True,15,False,False
2012-04-18,42.45,Sacramento Kings,San Antonio Spurs,4,115-92,-24,free throw,True,15,True,False
2012-04-18,46.6666666667,Sacramento Kings,San Antonio Spurs,4,124-100,-26,two point jumper,True,20,False,False
2012-04-18,47.1333333333,Sacramento Kings,San Antonio Spurs,4,124-100,-26,layup,True,0,False,False
2012-04-22,38.2666666667,Sacramento Kings,Charlotte Bobcats,4,97-67,28,layup,False,0,False,False
2012-04-22,42.45,Sacramento Kings,Charlotte Bobcats,4,106-73,31,dunk,False,0,True,False
2012-04-22,46.7833333333,Sacramento Kings,Charlotte Bobcats,4,114-86,26,two point jumper,False,19,False,False
2013-12-30,46.7166666667,Sacramento Kings,Boston Celtics,4,90-116,24,dunk,True,0,True,False
2013-01-05,45.2833333333,Sacramento Kings,Brooklyn Nets,4,87-109,-24,layup,False,0,False,True
2013-01-05,47.7,Sacramento Kings,Brooklyn Nets,4,92-113,-24,three point jumper,False,25,False,True
2013-01-07,46.0833333333,Sacramento Kings,Memphis Grizzlies,4,110-75,-37,two point jumper,True,22,False,True
2013-01-07,47.0833333333,Sacramento Kings,Memphis Grizzlies,4,111-76,-36,free throw,True,15,True,True
2013-01-07,47.0833333333,Sacramento Kings,Memphis Grizzlies,4,111-77,-35,free throw,True,15,True,True
2013-01-12,45.1,Sacramento Kings,Miami Heat,4,124-91,-36,three point jumper,True,25,False,True
2013-01-12,47.5666666667,Sacramento Kings,Miami Heat,4,128-97,-33,two point shot,True,1,True,True
2013-01-12,48.0,Sacramento Kings,Miami Heat,4,128-99,-31,two point shot,True,1,True,True
2013-02-13,46.1833333333,Sacramento Kings,Dallas Mavericks,4,96-117,-23,two point jumper,False,22,False,False
2013-02-13,47.2833333333,Sacramento Kings,Dallas Mavericks,4,98-120,-24,two point jumper,False,18,False,False
2013-02-13,47.6166666667,Sacramento Kings,Dallas Mavericks,4,100-123,-25,two point jumper,False,21,False,False
