date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2010-02-16,1.9,Sacramento Kings,Boston Celtics,1,2-4,-1,three point jumper,True,25,False,False
2010-02-16,2.63333333333,Sacramento Kings,Boston Celtics,1,2-6,2,layup,True,0,True,False
2010-02-16,14.45,Sacramento Kings,Boston Celtics,2,37-36,-2,free throw,True,15,True,False
2010-02-16,14.45,Sacramento Kings,Boston Celtics,2,37-37,-1,free throw,True,15,True,False
2010-02-16,15.0666666667,Sacramento Kings,Boston Celtics,2,39-37,-4,two point jumper,True,18,False,False
2010-02-16,16.1333333333,Sacramento Kings,Boston Celtics,2,41-37,-6,layup,True,0,False,False
2010-02-16,18.45,Sacramento Kings,Boston Celtics,2,47-39,-10,two point shot,True,4,True,False
2010-02-16,20.9,Sacramento Kings,Boston Celtics,2,53-44,-10,free throw,True,15,True,False
2010-02-16,20.9,Sacramento Kings,Boston Celtics,2,53-44,-10,free throw,True,15,False,False
2010-02-16,22.7166666667,Sacramento Kings,Boston Celtics,2,53-48,-7,two point jumper,True,6,False,False
2010-02-16,27.25,Sacramento Kings,Boston Celtics,3,62-57,-6,free throw,True,15,True,False
2010-02-16,27.25,Sacramento Kings,Boston Celtics,3,62-58,-5,free throw,True,15,True,False
2010-02-16,28.2166666667,Sacramento Kings,Boston Celtics,3,64-62,-4,layup,True,0,True,False
2010-02-16,29.1666666667,Sacramento Kings,Boston Celtics,3,65-62,-5,two point jumper,True,20,False,False
2010-02-16,29.6333333333,Sacramento Kings,Boston Celtics,3,65-62,-4,free throw,True,15,False,False
2010-02-16,29.6333333333,Sacramento Kings,Boston Celtics,3,65-63,-3,free throw,True,15,True,False
2010-02-16,31.3833333333,Sacramento Kings,Boston Celtics,3,71-67,-6,layup,True,0,True,False
2010-02-16,37.5166666667,Sacramento Kings,Boston Celtics,4,76-71,-6,free throw,True,15,False,False
2010-02-16,37.5166666667,Sacramento Kings,Boston Celtics,4,76-71,-6,free throw,True,15,False,False
2010-02-16,38.15,Sacramento Kings,Boston Celtics,4,76-71,-7,two point shot,True,18,False,False
2010-02-16,46.1166666667,Sacramento Kings,Boston Celtics,4,86-87,-1,layup,True,0,False,False
2010-02-16,47.8333333333,Sacramento Kings,Boston Celtics,4,91-87,-6,layup,True,0,False,False
