date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-12-02,0.9,Chicago Bulls,Boston Celtics,1,4-0,2,tip shot,False,0,True,True
2006-12-02,1.83333333333,Chicago Bulls,Boston Celtics,1,8-3,3,two point shot,False,1,True,True
2006-12-02,14.7,Chicago Bulls,Boston Celtics,2,37-27,9,free throw,False,15,True,True
2006-12-02,14.7,Chicago Bulls,Boston Celtics,2,37-27,9,free throw,False,15,False,True
2006-12-02,17.9166666667,Chicago Bulls,Boston Celtics,2,43-31,10,layup,False,0,True,True
2006-12-02,20.8166666667,Chicago Bulls,Boston Celtics,2,51-35,15,free throw,False,15,False,True
2006-12-02,20.8166666667,Chicago Bulls,Boston Celtics,2,51-35,15,free throw,False,15,False,True
2006-12-02,25.5,Chicago Bulls,Boston Celtics,3,56-50,5,free throw,False,15,False,True
2006-12-02,25.5,Chicago Bulls,Boston Celtics,3,56-50,5,free throw,False,15,False,True
2006-12-02,31.9833333333,Chicago Bulls,Boston Celtics,3,66-62,3,free throw,False,15,True,True
2006-12-02,31.9833333333,Chicago Bulls,Boston Celtics,3,66-62,3,free throw,False,15,False,True
2006-12-02,20.7333333333,Chicago Bulls,Boston Celtics,5,99-94,4,free throw,False,15,True,True
2006-12-02,20.7333333333,Chicago Bulls,Boston Celtics,5,100-94,5,free throw,False,15,True,True
2006-12-17,25.05,Chicago Bulls,Boston Celtics,3,42-56,12,two point jumper,True,14,True,False
2006-12-17,38.25,Chicago Bulls,Boston Celtics,4,67-92,23,tip shot,True,0,False,False
2006-03-26,7.48333333333,Chicago Bulls,Boston Celtics,1,16-18,-4,layup,False,0,False,False
2006-03-26,7.53333333333,Chicago Bulls,Boston Celtics,1,18-18,-2,layup,False,0,True,False
2006-03-26,10.6833333333,Chicago Bulls,Boston Celtics,1,22-29,-9,layup,False,0,True,False
2006-03-26,10.6833333333,Chicago Bulls,Boston Celtics,1,23-29,-7,free throw,False,15,True,False
2006-03-26,11.85,Chicago Bulls,Boston Celtics,1,24-31,-8,free throw,False,15,True,False
2006-03-26,11.85,Chicago Bulls,Boston Celtics,1,25-31,-7,free throw,False,15,True,False
