date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-11-16,10.5,Oklahoma City Thunder,Boston Celtics,1,28-24,2,two point jumper,False,1,True,True
2006-11-16,24.2666666667,Oklahoma City Thunder,Boston Celtics,3,31-28,1,two point jumper,False,6,False,True
2006-11-16,17.1166666667,Oklahoma City Thunder,Boston Celtics,5,102-85,15,two point shot,False,18,True,True
2006-11-16,19.1666666667,Oklahoma City Thunder,Boston Celtics,5,104-90,11,three point jumper,False,24,False,True
2006-11-16,19.9,Oklahoma City Thunder,Boston Celtics,5,106-93,11,layup,False,0,True,True
2006-11-16,21.05,Oklahoma City Thunder,Boston Celtics,5,111-98,10,three point jumper,False,25,False,True
2006-12-26,10.6,Oklahoma City Thunder,Boston Celtics,1,20-16,-7,three point jumper,True,25,False,True
2006-12-26,12.5166666667,Oklahoma City Thunder,Boston Celtics,2,23-19,-6,two point jumper,True,23,True,True
2006-12-26,13.75,Oklahoma City Thunder,Boston Celtics,2,25-21,-7,three point jumper,True,26,False,True
2006-12-26,17.7833333333,Oklahoma City Thunder,Boston Celtics,2,37-36,-4,three point jumper,True,25,False,True
2006-12-26,19.3833333333,Oklahoma City Thunder,Boston Celtics,2,44-41,-6,three point jumper,True,25,False,True
2006-12-26,22.1,Oklahoma City Thunder,Boston Celtics,2,52-46,-8,two point jumper,True,5,False,True
2006-11-15,10.2166666667,Oklahoma City Thunder,Brooklyn Nets,1,22-16,3,three point jumper,False,24,False,True
2006-11-15,10.6833333333,Oklahoma City Thunder,Brooklyn Nets,1,22-19,0,three point jumper,False,24,False,True
2006-11-15,15.5166666667,Oklahoma City Thunder,Brooklyn Nets,2,37-30,5,two point jumper,False,22,True,True
2006-11-15,16.2,Oklahoma City Thunder,Brooklyn Nets,2,37-33,2,two point jumper,False,17,False,True
2006-11-15,16.5666666667,Oklahoma City Thunder,Brooklyn Nets,2,37-33,2,hook shot,False,6,False,True
2006-11-15,37.3,Oklahoma City Thunder,Brooklyn Nets,4,75-81,-9,three point jumper,False,25,True,True
2006-11-15,39.3,Oklahoma City Thunder,Brooklyn Nets,4,84-87,-6,three point jumper,False,22,True,True
2006-11-15,43.3833333333,Oklahoma City Thunder,Brooklyn Nets,4,88-97,-12,three point jumper,False,25,False,True
2006-11-15,45.2333333333,Oklahoma City Thunder,Brooklyn Nets,4,93-99,-9,three point jumper,False,26,True,True
2006-11-15,47.4,Oklahoma City Thunder,Brooklyn Nets,4,99-107,-11,three point jumper,False,26,False,True
2006-01-28,6.2,Oklahoma City Thunder,Brooklyn Nets,1,19-13,-9,three point jumper,True,26,False,True
2006-01-28,8.4,Oklahoma City Thunder,Brooklyn Nets,1,24-20,-7,three point jumper,True,25,True,True
2006-01-28,18.9166666667,Oklahoma City Thunder,Brooklyn Nets,2,37-39,-1,three point jumper,True,26,False,True
2006-01-28,27.1166666667,Oklahoma City Thunder,Brooklyn Nets,3,52-62,8,two point jumper,True,23,False,True
2006-01-28,31.4833333333,Oklahoma City Thunder,Brooklyn Nets,3,61-74,11,two point jumper,True,1,True,True
2006-01-28,41.2,Oklahoma City Thunder,Brooklyn Nets,4,88-90,1,free throw,True,15,True,True
2006-01-28,41.2,Oklahoma City Thunder,Brooklyn Nets,4,88-90,1,free throw,True,15,False,True
2006-01-28,41.8833333333,Oklahoma City Thunder,Brooklyn Nets,4,88-93,2,three point jumper,True,27,True,True
2006-01-28,44.8333333333,Oklahoma City Thunder,Brooklyn Nets,4,96-102,4,two point shot,True,3,True,True
2006-12-06,10.2166666667,Oklahoma City Thunder,New York Knicks,1,13-25,10,two point jumper,True,22,False,False
2006-12-06,10.6333333333,Oklahoma City Thunder,New York Knicks,1,15-26,10,free throw,True,15,True,False
2006-12-06,10.6333333333,Oklahoma City Thunder,New York Knicks,1,15-27,11,free throw,True,15,True,False
2006-12-06,12.95,Oklahoma City Thunder,New York Knicks,2,18-27,7,two point jumper,True,19,False,False
2006-12-06,18.0666666667,Oklahoma City Thunder,New York Knicks,2,27-40,10,three point jumper,True,27,True,False
2006-12-06,20.2666666667,Oklahoma City Thunder,New York Knicks,2,34-45,8,three point jumper,True,25,True,False
2006-12-06,23.3,Oklahoma City Thunder,New York Knicks,2,41-49,6,tip shot,True,0,False,False
2006-12-06,33.7833333333,Oklahoma City Thunder,New York Knicks,3,62-70,6,two point jumper,True,19,True,False
2006-12-06,37.5,Oklahoma City Thunder,New York Knicks,4,74-72,-5,three point jumper,True,25,False,False
2006-12-06,39.1333333333,Oklahoma City Thunder,New York Knicks,4,76-75,-2,free throw,True,15,True,False
2006-12-06,39.1333333333,Oklahoma City Thunder,New York Knicks,4,76-76,-1,free throw,True,15,True,False
2006-12-06,41.25,Oklahoma City Thunder,New York Knicks,4,82-79,-4,free throw,True,15,True,False
2006-12-06,41.25,Oklahoma City Thunder,New York Knicks,4,82-80,-3,free throw,True,15,True,False
2006-12-06,42.6666666667,Oklahoma City Thunder,New York Knicks,4,85-83,-5,three point jumper,True,28,True,False
2006-12-06,45.1,Oklahoma City Thunder,New York Knicks,4,91-86,-8,three point jumper,True,26,False,False
2006-12-06,46.8833333333,Oklahoma City Thunder,New York Knicks,4,98-96,-5,three point jumper,True,26,True,False
2006-12-06,47.75,Oklahoma City Thunder,New York Knicks,4,102-101,-4,three point jumper,True,24,True,False
2006-01-08,0.633333333333,Oklahoma City Thunder,New York Knicks,1,3-2,-2,three point jumper,False,26,True,False
2006-01-08,5.6,Oklahoma City Thunder,New York Knicks,1,17-14,0,three point jumper,False,25,True,False
2006-01-08,19.1666666667,Oklahoma City Thunder,New York Knicks,2,53-44,6,three point jumper,False,25,True,False
2006-01-08,26.65,Oklahoma City Thunder,New York Knicks,3,67-69,-5,three point jumper,False,25,True,False
2006-01-08,29.0666666667,Oklahoma City Thunder,New York Knicks,3,74-76,-3,free throw,False,15,True,False
2006-01-08,29.0666666667,Oklahoma City Thunder,New York Knicks,3,75-76,-2,free throw,False,15,True,False
2006-01-08,39.5,Oklahoma City Thunder,New York Knicks,4,98-95,0,three point jumper,False,24,True,False
2006-01-08,40.85,Oklahoma City Thunder,New York Knicks,4,98-97,-2,three point jumper,False,24,False,False
2006-01-08,44.1,Oklahoma City Thunder,New York Knicks,4,103-107,-6,layup,False,0,True,False
2006-01-08,44.7666666667,Oklahoma City Thunder,New York Knicks,4,103-107,-7,three point jumper,False,26,False,False
2006-01-08,45.45,Oklahoma City Thunder,New York Knicks,4,108-109,-4,three point jumper,False,25,True,False
2006-01-08,46.1,Oklahoma City Thunder,New York Knicks,4,111-111,-3,three point jumper,False,25,True,False
2006-01-08,46.8,Oklahoma City Thunder,New York Knicks,4,113-111,0,two point jumper,False,1,True,False
2006-01-08,47.9,Oklahoma City Thunder,New York Knicks,4,116-117,-4,three point jumper,False,25,True,False
2006-01-09,4.78333333333,Oklahoma City Thunder,Philadelphia 76ers,1,11-10,-2,three point jumper,False,26,False,True
2006-01-09,5.41666666667,Oklahoma City Thunder,Philadelphia 76ers,1,13-10,0,three point jumper,False,26,False,True
2006-01-09,10.4333333333,Oklahoma City Thunder,Philadelphia 76ers,1,24-20,1,three point jumper,False,27,False,True
2006-01-09,11.4166666667,Oklahoma City Thunder,Philadelphia 76ers,1,26-20,4,layup,False,0,False,True
2006-01-09,19.9166666667,Oklahoma City Thunder,Philadelphia 76ers,2,38-38,-3,three point jumper,False,26,False,True
2006-01-09,26.0,Oklahoma City Thunder,Philadelphia 76ers,3,49-55,-8,two point jumper,False,16,True,True
2006-01-09,27.9666666667,Oklahoma City Thunder,Philadelphia 76ers,3,54-61,-8,free throw,False,15,True,True
2006-01-09,27.9666666667,Oklahoma City Thunder,Philadelphia 76ers,3,55-61,-7,free throw,False,15,True,True
2006-01-09,31.7333333333,Oklahoma City Thunder,Philadelphia 76ers,3,60-76,-18,layup,False,0,True,True
2006-01-09,32.85,Oklahoma City Thunder,Philadelphia 76ers,3,60-80,-22,tip shot,False,0,False,True
2006-01-09,32.8666666667,Oklahoma City Thunder,Philadelphia 76ers,3,62-80,-20,layup,False,0,True,True
2006-01-09,33.4,Oklahoma City Thunder,Philadelphia 76ers,3,65-80,-18,three point jumper,False,26,True,True
2006-01-09,34.9833333333,Oklahoma City Thunder,Philadelphia 76ers,3,73-84,-13,layup,False,0,True,True
2006-01-09,35.9,Oklahoma City Thunder,Philadelphia 76ers,3,73-86,-15,layup,False,0,False,True
2006-01-09,39.2166666667,Oklahoma City Thunder,Philadelphia 76ers,4,79-92,-16,three point jumper,False,26,False,True
2006-01-09,45.3666666667,Oklahoma City Thunder,Philadelphia 76ers,4,94-102,-10,tip shot,False,0,False,True
2006-01-09,46.4166666667,Oklahoma City Thunder,Philadelphia 76ers,4,95-105,-13,three point jumper,False,27,False,True
2006-01-09,47.6833333333,Oklahoma City Thunder,Philadelphia 76ers,4,97-108,-12,free throw,False,15,True,True
2006-01-09,47.6833333333,Oklahoma City Thunder,Philadelphia 76ers,4,98-108,-11,free throw,False,15,True,True
2006-03-17,13.9333333333,Los Angeles Clippers,Philadelphia 76ers,2,23-32,6,three point jumper,True,25,True,True
2006-03-17,15.7,Los Angeles Clippers,Philadelphia 76ers,2,25-34,6,three point jumper,True,23,False,True
2006-03-17,17.7833333333,Los Angeles Clippers,Philadelphia 76ers,2,27-39,10,two point jumper,True,22,True,True
2006-03-17,20.05,Los Angeles Clippers,Philadelphia 76ers,2,33-46,10,three point jumper,True,24,True,True
2006-03-17,21.3,Los Angeles Clippers,Philadelphia 76ers,2,37-46,6,three point jumper,True,24,False,True
2006-03-17,34.6666666667,Los Angeles Clippers,Philadelphia 76ers,3,64-80,13,three point jumper,True,26,False,True
2006-03-17,35.5666666667,Los Angeles Clippers,Philadelphia 76ers,3,66-82,14,layup,True,0,False,True
2006-03-17,36.5666666667,Los Angeles Clippers,Philadelphia 76ers,4,68-84,14,layup,True,0,True,True
2006-03-17,38.3166666667,Los Angeles Clippers,Philadelphia 76ers,4,68-87,16,three point jumper,True,25,True,True
2006-03-17,41.5333333333,Los Angeles Clippers,Philadelphia 76ers,4,70-92,19,three point jumper,True,27,False,True
2006-03-17,46.6166666667,Los Angeles Clippers,Philadelphia 76ers,4,84-96,9,three point jumper,True,24,False,True
2006-03-17,47.7166666667,Los Angeles Clippers,Philadelphia 76ers,4,87-99,10,two point jumper,True,13,True,True
2006-11-13,9.2,Oklahoma City Thunder,Toronto Raptors,1,23-17,4,two point jumper,False,15,False,True
2006-11-13,14.75,Oklahoma City Thunder,Toronto Raptors,2,30-31,-4,three point jumper,False,26,False,True
2006-11-13,36.75,Oklahoma City Thunder,Toronto Raptors,4,93-75,15,three point jumper,False,25,True,True
2006-11-13,37.1333333333,Oklahoma City Thunder,Toronto Raptors,4,96-77,16,three point jumper,False,25,True,True
2006-11-13,47.9333333333,Oklahoma City Thunder,Toronto Raptors,4,114-112,1,free throw,False,15,True,True
2006-11-13,47.9333333333,Oklahoma City Thunder,Toronto Raptors,4,115-112,2,free throw,False,15,True,True
2006-12-13,12.25,Oklahoma City Thunder,Golden State Warriors,2,22-27,4,free throw,True,15,True,False
2006-12-13,12.25,Oklahoma City Thunder,Golden State Warriors,2,22-28,5,free throw,True,15,True,False
2006-12-13,12.6833333333,Oklahoma City Thunder,Golden State Warriors,2,22-28,3,three point jumper,True,27,False,False
2006-12-13,16.8166666667,Oklahoma City Thunder,Golden State Warriors,2,31-34,1,layup,True,0,True,False
2006-12-13,19.0333333333,Oklahoma City Thunder,Golden State Warriors,2,36-41,3,two point jumper,True,11,False,False
2006-12-13,38.7,Oklahoma City Thunder,Golden State Warriors,4,80-79,-4,three point jumper,True,27,True,False
2006-12-13,40.9166666667,Oklahoma City Thunder,Golden State Warriors,4,85-84,-3,two point jumper,True,22,False,False
2006-12-13,46.3333333333,Oklahoma City Thunder,Golden State Warriors,4,94-93,-2,free throw,True,15,True,False
2006-12-13,46.3333333333,Oklahoma City Thunder,Golden State Warriors,4,94-93,-2,free throw,True,15,False,False
2006-12-13,18.5666666667,Oklahoma City Thunder,Golden State Warriors,5,101-98,-5,layup,True,0,False,False
2006-01-16,2.33333333333,Oklahoma City Thunder,Golden State Warriors,1,0-7,-9,two point jumper,False,16,False,True
2006-01-16,6.2,Oklahoma City Thunder,Golden State Warriors,1,9-16,-10,three point jumper,False,23,False,True
2006-01-16,23.2666666667,Oklahoma City Thunder,Golden State Warriors,2,40-51,-14,three point jumper,False,26,False,True
2006-01-16,25.65,Oklahoma City Thunder,Golden State Warriors,3,51-58,-10,three point jumper,False,24,True,True
2006-01-16,28.0,Oklahoma City Thunder,Golden State Warriors,3,57-62,-7,layup,False,0,True,True
2006-01-16,29.4166666667,Oklahoma City Thunder,Golden State Warriors,3,61-69,-10,two point shot,False,9,False,True
2006-01-16,30.6,Oklahoma City Thunder,Golden State Warriors,3,64-72,-11,three point jumper,False,26,True,True
2006-02-01,0.15,Oklahoma City Thunder,Golden State Warriors,1,0-2,0,two point jumper,True,23,True,True
2006-02-01,3.33333333333,Oklahoma City Thunder,Golden State Warriors,1,10-11,-2,three point jumper,True,26,False,True
2006-02-01,3.9,Oklahoma City Thunder,Golden State Warriors,1,12-11,-4,three point jumper,True,24,False,True
2006-02-01,9.23333333333,Oklahoma City Thunder,Golden State Warriors,1,27-22,-7,two point jumper,True,5,True,True
2006-02-01,10.7166666667,Oklahoma City Thunder,Golden State Warriors,1,33-24,-11,two point jumper,True,4,True,True
2006-02-01,10.7166666667,Oklahoma City Thunder,Golden State Warriors,1,33-24,-10,free throw,True,15,False,True
2006-02-01,19.7333333333,Oklahoma City Thunder,Golden State Warriors,2,52-42,-12,two point jumper,True,20,False,True
2006-02-01,20.75,Oklahoma City Thunder,Golden State Warriors,2,52-47,-7,hook shot,True,4,True,True
2006-02-01,21.45,Oklahoma City Thunder,Golden State Warriors,2,55-47,-10,two point jumper,True,18,False,True
2006-02-01,27.6333333333,Oklahoma City Thunder,Golden State Warriors,3,63-62,-3,layup,True,0,True,True
2006-02-15,12.7,Los Angeles Clippers,Golden State Warriors,2,21-29,-10,layup,False,0,True,False
2006-02-15,17.5,Los Angeles Clippers,Golden State Warriors,2,35-36,-3,two point shot,False,20,True,False
2006-02-15,22.25,Los Angeles Clippers,Golden State Warriors,2,37-47,-13,three point jumper,False,25,False,False
2006-02-15,31.7,Los Angeles Clippers,Golden State Warriors,3,46-70,-26,two point jumper,False,4,False,False
2006-02-15,32.35,Los Angeles Clippers,Golden State Warriors,3,47-70,-24,free throw,False,15,True,False
2006-02-15,32.35,Los Angeles Clippers,Golden State Warriors,3,47-70,-24,free throw,False,15,False,False
2006-02-15,37.5666666667,Los Angeles Clippers,Golden State Warriors,4,58-76,-20,two point jumper,False,5,True,False
2006-02-15,39.75,Los Angeles Clippers,Golden State Warriors,4,60-77,-19,hook shot,False,4,False,False
2006-02-15,45.2333333333,Los Angeles Clippers,Golden State Warriors,4,70-81,-13,two point jumper,False,1,True,False
2006-02-15,45.9166666667,Los Angeles Clippers,Golden State Warriors,4,70-82,-15,three point jumper,False,23,False,False
2006-02-15,46.4166666667,Los Angeles Clippers,Golden State Warriors,4,73-83,-12,layup,False,0,True,False
2006-02-15,47.3666666667,Los Angeles Clippers,Golden State Warriors,4,79-85,-9,three point jumper,False,25,True,False
2006-02-15,47.8166666667,Los Angeles Clippers,Golden State Warriors,4,81-88,-10,three point jumper,False,26,False,False
2006-11-02,12.5666666667,Oklahoma City Thunder,Los Angeles Clippers,2,26-27,-2,three point jumper,True,26,False,True
2006-11-02,12.8666666667,Oklahoma City Thunder,Los Angeles Clippers,2,26-27,-1,layup,True,0,False,True
2006-11-02,14.9333333333,Oklahoma City Thunder,Los Angeles Clippers,2,27-29,0,two point shot,True,3,False,True
2006-11-02,17.35,Oklahoma City Thunder,Los Angeles Clippers,2,31-35,2,two point jumper,True,15,False,True
2006-11-02,32.1833333333,Oklahoma City Thunder,Los Angeles Clippers,3,57-64,6,free throw,True,15,True,True
2006-11-02,32.1833333333,Oklahoma City Thunder,Los Angeles Clippers,3,57-65,7,free throw,True,15,True,True
2006-11-02,34.1333333333,Oklahoma City Thunder,Los Angeles Clippers,3,58-71,11,dunk,True,0,True,True
2006-11-02,36.9,Oklahoma City Thunder,Los Angeles Clippers,4,66-77,8,three point jumper,True,25,False,True
2006-11-02,37.95,Oklahoma City Thunder,Los Angeles Clippers,4,68-77,6,three point jumper,True,25,False,True
2006-01-14,1.31666666667,Oklahoma City Thunder,Los Angeles Clippers,1,2-2,-3,three point jumper,False,26,False,False
2006-01-14,4.28333333333,Oklahoma City Thunder,Los Angeles Clippers,1,7-10,-5,hook shot,False,9,False,False
2006-01-14,7.16666666667,Oklahoma City Thunder,Los Angeles Clippers,1,14-15,-3,two point jumper,False,18,True,False
2006-01-14,16.4166666667,Oklahoma City Thunder,Los Angeles Clippers,2,22-37,-18,three point jumper,False,27,False,False
2006-01-14,23.25,Oklahoma City Thunder,Los Angeles Clippers,2,38-47,-12,three point jumper,False,28,False,False
2006-01-14,24.3833333333,Oklahoma City Thunder,Los Angeles Clippers,3,42-50,-10,two point jumper,False,9,True,False
2006-01-14,24.8,Oklahoma City Thunder,Los Angeles Clippers,3,42-50,-11,three point jumper,False,27,False,False
2006-01-14,29.2,Oklahoma City Thunder,Los Angeles Clippers,3,50-60,-12,two point jumper,False,19,False,False
2006-01-14,39.1833333333,Oklahoma City Thunder,Los Angeles Clippers,4,62-78,-19,three point jumper,False,27,False,False
2006-02-21,1.65,Los Angeles Clippers,Dallas Mavericks,1,4-6,-5,three point jumper,False,26,False,False
2006-02-21,16.0,Los Angeles Clippers,Dallas Mavericks,2,36-38,-5,three point jumper,False,24,True,False
2006-02-21,23.9833333333,Los Angeles Clippers,Dallas Mavericks,2,50-55,-7,two point jumper,False,17,False,False
2006-02-21,26.4333333333,Los Angeles Clippers,Dallas Mavericks,3,56-60,-6,two point jumper,False,21,False,False
2006-02-21,30.8833333333,Los Angeles Clippers,Dallas Mavericks,3,61-73,-15,three point jumper,False,23,True,False
2006-02-21,34.1,Los Angeles Clippers,Dallas Mavericks,3,69-77,-10,two point jumper,False,6,False,False
2006-02-21,35.0833333333,Los Angeles Clippers,Dallas Mavericks,3,71-81,-13,three point jumper,False,24,False,False
2006-02-21,43.9833333333,Los Angeles Clippers,Dallas Mavericks,4,84-92,-11,three point jumper,False,25,False,False
2006-02-21,45.7666666667,Los Angeles Clippers,Dallas Mavericks,4,87-92,-6,free throw,False,15,False,False
2006-02-21,45.7666666667,Los Angeles Clippers,Dallas Mavericks,4,88-92,-5,free throw,False,15,True,False
2006-02-21,46.4166666667,Los Angeles Clippers,Dallas Mavericks,4,91-92,-4,three point jumper,False,23,True,False
2006-02-22,24.9666666667,Los Angeles Clippers,Houston Rockets,3,31-28,1,two point jumper,False,20,True,False
2006-02-22,26.9,Los Angeles Clippers,Houston Rockets,3,33-34,-3,layup,False,0,True,False
2006-02-22,26.9,Los Angeles Clippers,Houston Rockets,3,34-34,-1,free throw,False,15,True,False
2006-02-22,29.6666666667,Los Angeles Clippers,Houston Rockets,3,35-42,-9,layup,False,0,False,False
2006-02-22,33.9,Los Angeles Clippers,Houston Rockets,3,41-55,-17,three point jumper,False,24,False,False
2006-02-22,13.2666666667,Los Angeles Clippers,Houston Rockets,5,79-84,-6,free throw,False,15,False,False
2006-02-22,13.2666666667,Los Angeles Clippers,Houston Rockets,5,80-84,-5,free throw,False,15,True,False
2006-02-24,2.38333333333,Los Angeles Clippers,Los Angeles Lakers,1,1-2,-2,three point jumper,True,24,False,False
2006-02-24,5.95,Los Angeles Clippers,Los Angeles Lakers,1,1-12,8,three point jumper,True,24,True,False
2006-02-24,8.71666666667,Los Angeles Clippers,Los Angeles Lakers,1,7-16,6,three point jumper,True,24,False,False
2006-02-24,11.4666666667,Los Angeles Clippers,Los Angeles Lakers,1,14-20,4,two point jumper,True,23,True,False
2006-02-24,13.2,Los Angeles Clippers,Los Angeles Lakers,2,17-26,6,three point jumper,True,27,True,False
2006-02-24,15.2166666667,Los Angeles Clippers,Los Angeles Lakers,2,24-31,4,three point jumper,True,26,False,False
2006-02-24,20.0333333333,Los Angeles Clippers,Los Angeles Lakers,2,32-41,8,free throw,True,15,False,False
2006-02-24,20.0333333333,Los Angeles Clippers,Los Angeles Lakers,2,32-42,9,free throw,True,15,True,False
2006-02-24,27.5666666667,Los Angeles Clippers,Los Angeles Lakers,3,56-60,1,three point jumper,True,27,True,False
2006-02-24,33.3333333333,Los Angeles Clippers,Los Angeles Lakers,3,60-77,16,free throw,True,15,False,False
2006-02-24,33.3333333333,Los Angeles Clippers,Los Angeles Lakers,3,60-78,17,free throw,True,15,True,False
2006-02-24,33.8,Los Angeles Clippers,Los Angeles Lakers,3,60-78,17,free throw,True,15,False,False
2006-02-24,33.8,Los Angeles Clippers,Los Angeles Lakers,3,60-78,17,free throw,True,15,False,False
2006-02-24,35.3166666667,Los Angeles Clippers,Los Angeles Lakers,3,62-81,16,three point jumper,True,26,True,False
2006-02-24,38.1333333333,Los Angeles Clippers,Los Angeles Lakers,4,70-88,15,three point jumper,True,24,True,False
2006-02-27,4.0,Los Angeles Clippers,Charlotte Bobcats,1,9-8,-4,three point jumper,True,26,False,True
2006-02-27,7.35,Los Angeles Clippers,Charlotte Bobcats,1,16-23,4,three point jumper,True,25,True,True
2006-02-27,16.4166666667,Los Angeles Clippers,Charlotte Bobcats,2,30-37,5,hook shot,True,10,False,True
2006-02-27,16.95,Los Angeles Clippers,Charlotte Bobcats,2,32-37,2,three point jumper,True,25,False,True
2006-02-27,17.45,Los Angeles Clippers,Charlotte Bobcats,2,34-37,1,layup,True,0,False,True
2006-02-27,22.9833333333,Los Angeles Clippers,Charlotte Bobcats,2,44-53,6,three point jumper,True,24,True,True
2006-02-27,27.95,Los Angeles Clippers,Charlotte Bobcats,3,49-67,15,three point jumper,True,27,False,True
2006-02-27,29.45,Los Angeles Clippers,Charlotte Bobcats,3,53-71,16,dunk,True,0,True,True
2006-02-27,29.7333333333,Los Angeles Clippers,Charlotte Bobcats,3,54-73,17,two point jumper,True,17,True,True
2006-02-27,31.1,Los Angeles Clippers,Charlotte Bobcats,3,54-75,18,three point jumper,True,25,False,True
2006-02-27,44.5333333333,Los Angeles Clippers,Charlotte Bobcats,4,78-88,8,two point jumper,True,7,False,True
2006-03-01,0.316666666667,Los Angeles Clippers,New Orleans Pelicans,1,0-3,0,three point jumper,True,25,True,True
2006-03-01,3.2,Los Angeles Clippers,New Orleans Pelicans,1,6-7,-1,two point jumper,True,21,True,True
2006-03-01,4.85,Los Angeles Clippers,New Orleans Pelicans,1,9-12,0,three point jumper,True,25,True,True
2006-03-01,19.5333333333,Los Angeles Clippers,New Orleans Pelicans,2,36-40,1,three point jumper,True,25,False,True
2006-03-01,20.65,Los Angeles Clippers,New Orleans Pelicans,2,38-43,2,three point jumper,True,24,False,True
2006-03-01,22.7833333333,Los Angeles Clippers,New Orleans Pelicans,2,46-45,-3,two point jumper,True,17,False,True
2006-03-01,30.95,Los Angeles Clippers,New Orleans Pelicans,3,59-59,-3,three point jumper,True,23,False,True
2006-03-01,32.1666666667,Los Angeles Clippers,New Orleans Pelicans,3,59-61,-1,three point jumper,True,28,False,True
2006-03-01,45.6666666667,Los Angeles Clippers,New Orleans Pelicans,4,64-87,21,two point jumper,True,13,False,True
2006-03-03,1.06666666667,Los Angeles Clippers,Utah Jazz,1,0-2,-5,three point jumper,False,25,False,False
2006-03-03,8.25,Los Angeles Clippers,Utah Jazz,1,12-16,-6,layup,False,0,True,False
2006-03-03,8.25,Los Angeles Clippers,Utah Jazz,1,13-16,-4,free throw,False,15,True,False
2006-03-03,22.75,Los Angeles Clippers,Utah Jazz,2,42-48,-7,free throw,False,15,True,False
2006-03-03,22.75,Los Angeles Clippers,Utah Jazz,2,43-48,-6,free throw,False,15,True,False
2006-03-03,26.75,Los Angeles Clippers,Utah Jazz,3,46-55,-11,two point jumper,False,16,False,False
2006-03-03,26.8166666667,Los Angeles Clippers,Utah Jazz,3,49-55,-9,three point jumper,False,25,True,False
2006-03-03,27.45,Los Angeles Clippers,Utah Jazz,3,52-57,-8,three point jumper,False,24,True,False
2006-03-03,41.35,Los Angeles Clippers,Utah Jazz,4,79-87,-11,three point jumper,False,24,True,False
2006-03-03,46.55,Los Angeles Clippers,Utah Jazz,4,97-98,-4,three point jumper,False,25,True,False
2006-03-05,1.06666666667,Los Angeles Clippers,Memphis Grizzlies,1,2-0,-5,three point jumper,True,22,False,True
2006-03-05,4.88333333333,Los Angeles Clippers,Memphis Grizzlies,1,8-12,3,free throw,True,15,True,True
2006-03-05,4.88333333333,Los Angeles Clippers,Memphis Grizzlies,1,8-13,4,free throw,True,15,True,True
2006-03-05,6.56666666667,Los Angeles Clippers,Memphis Grizzlies,1,13-18,2,three point jumper,True,23,True,True
2006-03-05,9.18333333333,Los Angeles Clippers,Memphis Grizzlies,1,23-23,-3,three point jumper,True,25,True,True
2006-03-05,10.5833333333,Los Angeles Clippers,Memphis Grizzlies,1,25-25,-2,two point jumper,True,18,False,True
2006-03-05,26.1833333333,Los Angeles Clippers,Memphis Grizzlies,3,53-59,3,three point jumper,True,22,True,True
2006-03-05,29.6,Los Angeles Clippers,Memphis Grizzlies,3,63-65,-1,three point jumper,True,27,False,True
2006-03-05,32.0166666667,Los Angeles Clippers,Memphis Grizzlies,3,69-65,-7,three point jumper,True,24,False,True
2006-03-05,42.6666666667,Los Angeles Clippers,Memphis Grizzlies,4,90-81,-12,three point jumper,True,25,True,True
2006-03-07,10.15,Los Angeles Clippers,San Antonio Spurs,1,15-15,-3,three point jumper,True,27,False,True
2006-03-07,12.5666666667,Los Angeles Clippers,San Antonio Spurs,2,21-22,-2,three point jumper,True,24,True,True
2006-03-07,36.2,Los Angeles Clippers,San Antonio Spurs,4,59-72,10,three point jumper,True,26,True,True
2006-03-07,41.0666666667,Los Angeles Clippers,San Antonio Spurs,4,68-83,12,three point jumper,True,28,True,True
2006-03-10,8.25,Los Angeles Clippers,Chicago Bulls,1,16-7,6,three point jumper,False,29,False,False
2006-03-10,8.45,Los Angeles Clippers,Chicago Bulls,1,16-7,7,two point jumper,False,18,False,False
2006-03-10,10.6333333333,Los Angeles Clippers,Chicago Bulls,1,21-14,4,three point jumper,False,27,True,False
2006-03-10,14.1333333333,Los Angeles Clippers,Chicago Bulls,2,23-26,-6,three point jumper,False,27,False,False
2006-03-10,21.7,Los Angeles Clippers,Chicago Bulls,2,43-41,-1,three point jumper,False,25,True,False
2006-03-10,34.9833333333,Los Angeles Clippers,Chicago Bulls,3,71-66,3,two point jumper,False,19,False,False
2006-03-10,39.9666666667,Los Angeles Clippers,Chicago Bulls,4,88-81,4,three point jumper,False,27,True,False
2006-03-10,40.6666666667,Los Angeles Clippers,Chicago Bulls,4,88-83,2,three point jumper,False,22,False,False
2006-03-10,43.8166666667,Los Angeles Clippers,Chicago Bulls,4,98-86,9,three point jumper,False,29,True,False
2006-03-10,43.9833333333,Los Angeles Clippers,Chicago Bulls,4,99-86,12,free throw,False,15,True,False
2006-03-10,43.9833333333,Los Angeles Clippers,Chicago Bulls,4,100-86,13,free throw,False,15,True,False
