date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2007-03-01,17.5,Los Angeles Clippers,Oklahoma City Thunder,2,27-31,-6,two point jumper,False,6,False,False
2007-03-01,36.8166666667,Los Angeles Clippers,Oklahoma City Thunder,4,57-57,-2,two point jumper,False,15,False,False
2007-03-03,41.5666666667,Los Angeles Clippers,Indiana Pacers,4,46-76,29,free throw,True,15,False,True
2007-03-03,41.5666666667,Los Angeles Clippers,Indiana Pacers,4,46-76,29,free throw,True,15,False,True
2007-04-18,37.8166666667,Los Angeles Clippers,New Orleans Pelicans,4,67-68,-1,layup,True,0,False,False
2007-04-18,39.3,Los Angeles Clippers,New Orleans Pelicans,4,67-70,2,free throw,True,15,False,False
2007-04-18,39.3,Los Angeles Clippers,New Orleans Pelicans,4,67-70,2,free throw,True,15,False,False
2010-02-02,45.05,Houston Rockets,Golden State Warriors,4,89-109,18,layup,True,0,False,False
2010-02-02,46.2333333333,Houston Rockets,Golden State Warriors,4,89-113,21,three point jumper,True,24,False,False
2010-02-02,47.3333333333,Houston Rockets,Golden State Warriors,4,92-119,25,dunk,True,0,True,False
2010-02-02,47.7666666667,Houston Rockets,Golden State Warriors,4,94-119,23,two point jumper,True,7,False,False
2010-01-31,16.6,Houston Rockets,Phoenix Suns,2,39-27,-14,two point jumper,True,10,False,False
2010-01-31,35.95,Houston Rockets,Phoenix Suns,3,79-73,-8,layup,True,0,True,False
2010-03-03,12.3666666667,Houston Rockets,Sacramento Kings,2,22-17,-8,three point jumper,True,24,False,False
2010-03-03,16.1333333333,Houston Rockets,Sacramento Kings,2,27-24,-4,free throw,True,15,False,False
2010-03-03,16.1333333333,Houston Rockets,Sacramento Kings,2,27-24,-4,free throw,True,15,False,False
2010-03-07,17.2,Houston Rockets,Detroit Pistons,2,34-41,-10,three point jumper,False,26,False,False
2010-03-06,17.4833333333,Houston Rockets,Minnesota Timberwolves,2,47-34,11,layup,False,0,True,False
2010-03-06,18.0666666667,Houston Rockets,Minnesota Timberwolves,2,47-34,11,two point jumper,False,6,False,False
2013-11-04,44.5833333333,Minnesota Timberwolves,Toronto Raptors,4,85-98,-16,three point jumper,False,24,False,True
2013-11-04,45.9833333333,Minnesota Timberwolves,Toronto Raptors,4,85-103,-20,unknown,False,4,False,True
2013-11-04,47.9333333333,Minnesota Timberwolves,Toronto Raptors,4,86-105,-21,two point jumper,False,22,False,True
2013-11-12,18.4166666667,Minnesota Timberwolves,Dallas Mavericks,2,31-28,2,free throw,False,15,False,True
2013-11-12,18.4166666667,Minnesota Timberwolves,Dallas Mavericks,2,32-28,3,free throw,False,15,True,True
2013-11-14,13.8666666667,Minnesota Timberwolves,Charlotte Bobcats,2,32-25,-10,three point jumper,True,23,False,False
2013-11-14,16.3166666667,Minnesota Timberwolves,Charlotte Bobcats,2,40-29,-13,unknown,True,9,False,False
2013-11-07,44.5166666667,Minnesota Timberwolves,Orlando Magic,4,64-86,19,three point jumper,True,23,False,True
