date,made,location,situation,fgPercentage,takenInterval,madeInterval,numShots,numMade,distance
2006-01-21,0,1,0.9518417161384738,0.0,36.0,36.0,0.0,0.0,0.5
2006-01-21,0,1,1.1056053241590802,0.0,36.0,36.0,0.0,0.0,26.5
2006-11-23,1,0,2.6541804911894795,0.0,36.0,36.0,0.0,0.0,1.5
2006-01-13,1,0,1.3126825437766447,0.0,36.0,36.0,0.0,0.0,0.5
2006-01-13,0,0,1.379821846614273,0.0,36.0,36.0,0.0,0.0,0.5
2006-01-14,1,0,0.7778612347327749,0.0,29.6666666667,36.0,1.0,0.0,0.5
2006-01-14,1,0,0.9388046125257106,0.0,29.6666666667,36.0,1.0,0.0,0.5
2006-01-25,1,0,1.7094508217653313,0.0,36.0,36.0,0.0,0.0,0.5
2006-01-25,1,0,1.882209372150127,0.0,36.0,36.0,0.0,0.0,14.5
2006-01-25,0,0,1.9955872312429732,0.0,36.0,36.0,0.0,0.0,20.5
2006-02-08,0,1,1.168455862035374,0.0,36.0,36.0,0.0,0.0,17.5
2006-02-08,0,1,1.3752580749770047,0.0,36.0,36.0,0.0,0.0,23.5
2006-02-08,0,1,1.43141479640036,0.0,36.0,36.0,0.0,0.0,21.5
2006-02-08,0,1,1.6166843209548676,0.0,36.0,36.0,0.0,0.0,23.5
2006-02-08,0,1,1.8352445811677938,0.0,36.0,36.0,0.0,0.0,25.5
2006-02-12,0,1,1.8469955977033126,0.75,5.970833333325,7.9611111111,4.0,3.0,23.5
2006-02-14,0,0,1.0687123429724357,0.0,36.0,36.0,0.0,0.0,12.5
2006-02-14,0,0,1.1747116322067568,0.0,36.0,36.0,0.0,0.0,23.5
2006-02-14,1,0,1.3805636864109054,0.0,36.0,36.0,0.0,0.0,1.5
2006-02-15,0,0,3.059377538714347,0.0,8.36666666665,36.0,2.0,0.0,0.5
2006-02-22,1,1,3.3617633124167483,0.5,8.45833333335,16.0666666667,2.0,1.0,0.5
2006-02-22,0,1,2.891605564345093,0.5,8.45833333335,16.0666666667,2.0,1.0,23.5
2006-03-01,1,0,3.8372994592322094,0.0,15.1166666667,36.0,1.0,0.0,21.5
2006-03-06,0,1,1.2963187643015437,0.0,14.3666666667,36.0,1.0,0.0,19.5
2006-03-06,0,1,1.1185382281291907,0.0,14.3666666667,36.0,1.0,0.0,0.5
2006-03-07,0,0,2.511473677172722,1.0,11.26666666665,11.26666666665,2.0,2.0,1.5
2006-03-13,0,0,1.5499237849016927,1.0,18.7,18.7,1.0,1.0,17.5
2006-03-26,0,0,2.319366569956049,0.0,36.0,36.0,0.0,0.0,0.5
2006-03-26,1,0,2.0661178804813654,0.0,36.0,36.0,0.0,0.0,1.5
2006-03-27,1,1,0.5848964894798856,0.0,36.0,36.0,0.0,0.0,7.5
2006-03-27,0,1,0.6175185846575955,0.0,36.0,36.0,0.0,0.0,0.5
2006-03-27,1,1,0.6175185846575955,0.0,36.0,36.0,0.0,0.0,0.5
