date,made,location,situation,fgPercentage,takenInterval,madeInterval,numShots,numMade,distance
2010-02-10,1,1,3.919991175077323,0.5,3.3616666666699997,6.723333333339999,10.0,5.0,14.5
2010-02-10,1,1,3.0858341082511775,0.5,3.3616666666699997,6.723333333339999,10.0,5.0,0.5
2010-02-10,1,1,3.124251124354969,0.5,3.3616666666699997,6.723333333339999,10.0,5.0,19.5
2010-02-10,1,1,2.6847505572741572,0.5,3.3616666666699997,6.723333333339999,10.0,5.0,0.5
2010-02-10,1,1,2.709261588288507,0.5,3.3616666666699997,6.723333333339999,10.0,5.0,0.5
2010-04-03,0,0,1.5923225802148322,0.5,8.254166666675,16.50833333335,4.0,2.0,21.5
2010-04-03,0,0,1.6404666546727935,0.5,8.254166666675,16.50833333335,4.0,2.0,1.5
2010-04-03,0,0,1.1729708559866563,0.5,8.254166666675,16.50833333335,4.0,2.0,16.5
2010-12-11,0,1,3.4669851222001586,0.5,4.641666666675,9.1,4.0,2.0,20.5
2010-12-11,0,1,1.7879426707013542,0.5,4.641666666675,9.1,4.0,2.0,24.5
2010-02-05,1,1,1.7337893670318538,0.5714285714285714,4.700000000000001,6.858333333325,7.0,4.0,7.5
2010-02-05,1,1,1.964030690168508,0.5714285714285714,4.700000000000001,6.858333333325,7.0,4.0,25.5
2010-02-05,0,1,2.6725558696897425,0.5714285714285714,4.700000000000001,6.858333333325,7.0,4.0,7.5
2010-02-05,1,1,2.4148628060550736,0.5714285714285714,4.700000000000001,6.858333333325,7.0,4.0,23.5
2010-12-20,1,0,3.1116087309397926,0.0,15.0,36.0,1.0,0.0,7.5
2010-01-27,1,0,1.3383548988307714,0.25,8.404166666675,17.1666666667,4.0,1.0,28.5
2010-01-27,1,0,1.256529451290845,0.25,8.404166666675,17.1666666667,4.0,1.0,26.5
2010-01-27,0,0,1.413578320068359,0.25,8.404166666675,17.1666666667,4.0,1.0,3.5
2010-01-27,0,0,1.9093035277056216,0.25,8.404166666675,17.1666666667,4.0,1.0,16.5
2010-01-27,1,0,2.0092959323130763,0.25,8.404166666675,17.1666666667,4.0,1.0,0.5
2010-01-27,0,0,2.156059588472008,0.25,8.404166666675,17.1666666667,4.0,1.0,26.5
2010-03-08,0,1,5.357529226179882,0.625,4.4604166666625,5.526666666660001,8.0,5.0,16.5
2010-03-08,1,1,3.2063532998693103,0.625,4.4604166666625,5.526666666660001,8.0,5.0,24.5
2010-03-08,1,1,4.45898767581001,0.625,4.4604166666625,5.526666666660001,8.0,5.0,0.5
2010-03-17,1,0,4.291372266405751,0.6,2.935,4.891666666666667,10.0,6.0,0.5
2010-03-17,0,0,2.358389934162862,0.6,2.935,4.891666666666667,10.0,6.0,26.5
2010-03-17,0,0,2.689047253976595,0.6,2.935,4.891666666666667,10.0,6.0,23.5
2010-03-17,0,0,2.485699985807396,0.6,2.935,4.891666666666667,10.0,6.0,1.5
2010-11-09,0,0,0.9926238295045631,0.0,14.75,36.0,1.0,0.0,26.5
2010-11-09,0,0,0.9395111036809951,0.0,14.75,36.0,1.0,0.0,21.5
2010-11-09,1,0,0.8902838231390405,0.0,14.75,36.0,1.0,0.0,7.5
2010-03-15,0,0,3.9461023190810085,0.7,2.96,4.228571428571429,10.0,7.0,0.5
2010-03-15,1,0,1.8502312376833887,0.7,2.96,4.228571428571429,10.0,7.0,9.5
2010-03-15,0,0,2.1688052222964345,0.7,2.96,4.228571428571429,10.0,7.0,13.5
2010-11-08,0,0,1.43141479640036,0.0,36.0,36.0,0.0,0.0,22.5
