date,made,location,situation,fgPercentage,takenInterval,madeInterval,numShots,numMade,distance
2007-11-25,1,1,2.0203782004303537,0.5,7.53333333335,8.65,2.0,1.0,0.5
2007-11-25,0,1,1.6952485688472112,0.5,7.53333333335,8.65,2.0,1.0,24.5
2007-11-25,0,1,1.8841794736101465,0.5,7.53333333335,8.65,2.0,1.0,18.5
2007-11-25,0,1,3.1851712981168094,0.5,7.53333333335,8.65,2.0,1.0,17.5
2007-11-25,0,1,2.119623331312668,0.5,7.53333333335,8.65,2.0,1.0,19.5
2007-11-22,1,1,2.3105532626432224,1.0,9.64166666665,9.64166666665,2.0,2.0,23.5
2007-11-22,1,1,3.4669851222001586,1.0,9.64166666665,9.64166666665,2.0,2.0,15.5
2007-11-22,0,1,3.4916472845842272,1.0,9.64166666665,9.64166666665,2.0,2.0,24.5
2007-11-22,0,1,3.4916472845842272,1.0,9.64166666665,9.64166666665,2.0,2.0,23.5
2007-02-24,0,1,1.214103136979608,0.0,36.0,36.0,0.0,0.0,20.5
2007-11-03,0,0,1.4602362065185164,0.0,36.0,36.0,0.0,0.0,20.5
2007-01-10,0,1,1.4862957145000957,1.0,14.3833333333,14.3833333333,1.0,1.0,1.5
2007-01-10,0,1,1.5170200974311119,1.0,14.3833333333,14.3833333333,1.0,1.0,16.5
2007-02-27,1,1,1.2690430989405426,0.3333333333333333,5.1000000000000005,9.7,3.0,1.0,0.5
2007-01-23,0,0,1.2568362938830038,1.0,23.9833333333,23.9833333333,1.0,1.0,0.5
2007-01-23,0,0,1.2568362938830038,1.0,23.9833333333,23.9833333333,1.0,1.0,26.5
2007-01-23,0,0,1.2454534054466546,1.0,23.9833333333,23.9833333333,1.0,1.0,19.5
2007-03-07,0,1,1.482614132125568,0.0,36.0,36.0,0.0,0.0,21.5
2007-11-06,1,0,1.583149432530013,0.0,36.0,36.0,0.0,0.0,23.5
2007-04-18,0,0,1.6751121520355987,0.2,4.8,20.7,5.0,1.0,20.5
2007-04-18,1,0,2.1822989271195437,0.2,4.8,20.7,5.0,1.0,24.5
2007-03-25,0,1,1.5923225802148322,0.5,5.533333333325,10.75,4.0,2.0,12.5
2007-03-25,1,1,1.338965393034249,0.5,5.533333333325,10.75,4.0,2.0,15.5
2007-03-25,0,1,1.3585546580307377,0.5,5.533333333325,10.75,4.0,2.0,23.5
2007-04-11,1,1,2.8761294011806218,0.75,4.2479166666625,5.663888888883335,8.0,6.0,23.5
2007-12-04,0,0,1.2053052495597145,0.0,14.2166666667,36.0,1.0,0.0,23.5
2007-12-04,0,0,1.3579905849570388,0.0,14.2166666667,36.0,1.0,0.0,21.5
2007-12-04,1,0,1.9527438886338782,0.0,14.2166666667,36.0,1.0,0.0,0.5
2007-12-08,0,1,1.0931552492050514,0.5,7.9,10.5833333333,2.0,1.0,24.5
