date,made,location,situation,fgPercentage,takenInterval,madeInterval,numShots,numMade,distance
2009-11-03,0,0,1.882209372150127,0.5714285714285714,4.569047619042856,7.995833333324999,7.0,4.0,20.5
2009-11-09,0,0,1.6045776355518475,0.5,16.375,30.0,2.0,1.0,9.5
2009-11-09,0,0,1.514235834894623,0.5,16.375,30.0,2.0,1.0,0.5
2009-11-09,1,0,2.158815129221348,0.5,16.375,30.0,2.0,1.0,0.5
2009-11-09,1,0,1.9188183473469602,0.5,16.375,30.0,2.0,1.0,4.5
2009-11-13,1,1,2.576168241066325,0.0,33.7833333333,36.0,1.0,0.0,0.5
2009-12-17,0,0,3.3074098515619874,0.2,4.8,17.1333333333,5.0,1.0,12.5
2009-12-22,0,0,0.9725864187800145,0.0,36.0,36.0,0.0,0.0,24.5
2009-12-23,0,0,2.2700619012884857,0.0,17.7833333333,36.0,1.0,0.0,4.5
2009-12-23,0,0,2.323694056204281,0.0,17.7833333333,36.0,1.0,0.0,0.5
2009-12-23,0,0,2.323694056204281,0.0,17.7833333333,36.0,1.0,0.0,1.5
2009-12-23,1,0,3.0858341082511775,0.0,17.7833333333,36.0,1.0,0.0,3.5
2009-12-28,1,0,1.8452575385193926,0.0,36.0,36.0,0.0,0.0,0.5
