date,made,location,situation,fgPercentage,takenInterval,madeInterval,numShots,numMade,distance
2007-04-09,0,0,1.2683837663077757,0.0,36.0,36.0,0.0,0.0,3.5
2007-04-09,0,0,1.1611647118340513,0.0,36.0,36.0,0.0,0.0,4.5
2007-04-09,0,0,1.3966182444615265,0.0,36.0,36.0,0.0,0.0,0.5
2007-03-23,0,0,0.8562799567030311,0.0,35.9833333333,36.0,1.0,0.0,14.5
2007-03-23,1,0,0.8886095309149582,0.0,35.9833333333,36.0,1.0,0.0,0.5
2007-03-23,1,0,1.0023180182480365,0.0,35.9833333333,36.0,1.0,0.0,0.5
2007-11-30,0,0,1.275268107926387,0.0,36.0,36.0,0.0,0.0,0.5
2007-11-30,0,0,1.37836829584747,0.0,36.0,36.0,0.0,0.0,8.5
2007-04-14,0,1,1.2657532882850482,1.0,5.62666666666,5.62666666666,5.0,5.0,17.5
2007-12-15,1,1,1.856297990365626,0.0,36.0,36.0,0.0,0.0,0.5
2007-04-06,0,0,3.1367356810172144,0.0,35.9833333333,36.0,1.0,0.0,0.5
2007-12-17,0,0,2.0066147996821626,0.25,6.0,14.7666666667,4.0,1.0,21.5
2007-12-17,0,0,2.683126792649753,0.25,6.0,14.7666666667,4.0,1.0,21.5
2007-12-04,0,1,1.2053052495597145,0.75,8.720833333325,11.627777777766667,4.0,3.0,0.5
2007-12-04,0,1,1.9469677906134488,0.75,8.720833333325,11.627777777766667,4.0,3.0,26.5
2007-04-18,1,1,2.7877509699794585,0.0,13.45,36.0,1.0,0.0,0.5
2007-04-18,0,1,2.814743161993815,0.0,13.45,36.0,1.0,0.0,25.5
2007-04-18,0,1,2.460246087966049,0.0,13.45,36.0,1.0,0.0,25.5
2007-04-18,0,1,2.100275628582678,0.0,13.45,36.0,1.0,0.0,0.5
2007-04-18,1,1,1.9471516141433782,0.0,13.45,36.0,1.0,0.0,16.5
2007-04-18,1,1,1.7991395765256775,0.0,13.45,36.0,1.0,0.0,0.5
2007-02-28,0,0,1.7620289350697118,0.0,36.0,36.0,0.0,0.0,19.5
2007-03-24,0,1,1.8980286628220993,1.0,8.36666666667,8.36666666667,1.0,1.0,19.5
2007-12-28,0,0,0.8754687373538999,1.0,16.6,16.6,2.0,2.0,20.5
2007-12-28,1,0,1.3752580749770047,1.0,16.6,16.6,2.0,2.0,1.5
2007-12-28,0,0,1.2944227072480081,1.0,16.6,16.6,2.0,2.0,23.5
2007-12-28,1,0,1.4273023848472677,1.0,16.6,16.6,2.0,2.0,0.5
2007-02-12,1,1,1.0935681417814316,0.0,36.0,36.0,0.0,0.0,21.5
2007-01-13,0,1,1.88890451193249,0.0,36.0,36.0,0.0,0.0,0.5
2007-01-06,0,0,3.8081428749407538,0.0,35.95,36.0,1.0,0.0,25.5
2007-03-28,1,1,2.853912660069366,0.3333333333333333,7.705555555566666,14.4,3.0,1.0,0.5
2007-02-20,1,0,2.866635477997334,0.0,16.9166666667,36.0,1.0,0.0,0.5
2007-02-20,0,0,2.2556167976250965,0.0,16.9166666667,36.0,1.0,0.0,21.5
2007-04-16,0,1,1.292684861997583,0.0,35.55,36.0,1.0,0.0,8.5
2007-04-16,1,1,1.0806108551494522,0.0,35.55,36.0,1.0,0.0,0.5
2009-12-02,0,0,1.5239331604469715,0.75,8.233333333325,10.977777777766667,4.0,3.0,23.5
2009-11-25,1,1,1.3649572237317593,1.0,9.405555555566666,9.405555555566666,3.0,3.0,0.5
2009-12-29,1,0,2.05300828461168,0.0,36.0,36.0,0.0,0.0,26.5
2009-12-29,0,0,2.1714996860977833,0.0,36.0,36.0,0.0,0.0,8.5
2009-12-29,0,0,2.0079455399747657,0.0,36.0,36.0,0.0,0.0,24.5
2009-11-14,0,0,1.0051083861668084,0.0,36.0,36.0,0.0,0.0,26.5
2009-11-14,0,0,1.1548618339867258,0.0,36.0,36.0,0.0,0.0,7.5
2009-11-14,1,0,1.537738679349406,0.0,36.0,36.0,0.0,0.0,0.5
2009-11-08,0,0,1.39961981571704,0.5,17.33333333335,17.35,2.0,1.0,0.5
2009-11-08,0,0,1.2910862169260822,0.5,17.33333333335,17.35,2.0,1.0,21.5
2009-11-27,0,1,1.537738679349406,0.0,8.822222222233334,36.0,3.0,0.0,25.5
2009-11-27,1,1,1.537738679349406,0.0,8.822222222233334,36.0,3.0,0.0,0.5
