date,made,location,situation,fgPercentage,takenInterval,madeInterval,numShots,numMade,distance
2006-12-21,1,0,3.919991175077323,0.6,3.08,4.9611111111,5.0,3.0,19.5
2006-02-21,0,1,1.3740576346714535,0.5,8.76666666665,17.5333333333,2.0,1.0,20.5
2006-02-21,1,1,1.33500106673234,0.5,8.76666666665,17.5333333333,2.0,1.0,18.5
2006-11-09,1,0,2.1379878807946326,0.0,36.0,36.0,0.0,0.0,24.5
2006-01-23,0,1,1.8194428979764719,0.4,3.99666666666,7.73333333335,5.0,2.0,1.5
2006-01-23,1,1,1.5017758997879946,0.4,3.99666666666,7.73333333335,5.0,2.0,0.5
2006-01-23,1,1,1.5320353945511074,0.4,3.99666666666,7.73333333335,5.0,2.0,0.5
2006-01-23,1,1,1.4176168322489318,0.4,3.99666666666,7.73333333335,5.0,2.0,1.5
2006-01-23,1,1,1.8699543168131116,0.4,3.99666666666,7.73333333335,5.0,2.0,21.5
2006-12-31,0,1,3.220018029446978,0.75,4.620833333325,5.7611111111,4.0,3.0,22.5
2006-12-31,1,1,2.9856819377004893,0.75,4.620833333325,5.7611111111,4.0,3.0,1.5
2006-01-17,0,1,1.8113199950825485,1.0,9.89166666665,9.89166666665,2.0,2.0,19.5
2006-01-17,1,1,1.685203496165455,1.0,9.89166666665,9.89166666665,2.0,2.0,0.5
2006-01-17,1,1,1.870209397164805,1.0,9.89166666665,9.89166666665,2.0,2.0,0.5
2006-01-17,1,1,2.1981902944561784,1.0,9.89166666665,9.89166666665,2.0,2.0,22.5
2006-11-25,0,1,2.671847152438249,0.3333333333333333,4.6111111111000005,13.8333333333,3.0,1.0,21.5
2006-11-25,0,1,2.3637525538720325,0.3333333333333333,4.6111111111000005,13.8333333333,3.0,1.0,24.5
2006-11-25,1,1,2.3637525538720325,0.3333333333333333,4.6111111111000005,13.8333333333,3.0,1.0,0.5
2006-11-25,0,1,2.074164484578992,0.3333333333333333,4.6111111111000005,13.8333333333,3.0,1.0,23.5
2006-11-25,1,1,5.14865659199363,0.3333333333333333,4.6111111111000005,13.8333333333,3.0,1.0,21.5
2006-02-27,0,0,3.1367356810172144,0.4,6.026666666660001,15.06666666665,5.0,2.0,25.5
2006-02-27,0,0,3.719408659148759,0.4,6.026666666660001,15.06666666665,5.0,2.0,0.5
2006-02-27,1,0,2.245324372130631,0.4,6.026666666660001,15.06666666665,5.0,2.0,23.5
