date,made,location,situation,fgPercentage,takenInterval,madeInterval,numShots,numMade,distance
2010-11-11,0,0,1.292684861997583,0.5,6.98333333335,13.3166666667,2.0,1.0,21.5
2010-11-11,1,0,1.4792708175779952,0.5,6.98333333335,13.3166666667,2.0,1.0,1.5
2010-11-11,0,0,1.5249408544111835,0.5,6.98333333335,13.3166666667,2.0,1.0,15.5
2010-11-11,1,0,1.6874565951283642,0.5,6.98333333335,13.3166666667,2.0,1.0,0.5
2010-03-31,0,0,2.97439513616586,1.0,13.5,13.5,1.0,1.0,11.5
2010-03-31,1,0,5.171619713502079,1.0,13.5,13.5,1.0,1.0,6.5
2010-03-31,1,0,3.6386382376771897,1.0,13.5,13.5,1.0,1.0,8.5
2010-03-12,0,1,1.7488777417447892,0.5,7.63333333335,14.0666666667,2.0,1.0,25.5
2010-01-11,1,1,1.197009843570686,0.75,4.245833333325,5.661111111099999,4.0,3.0,26.5
2010-11-13,0,0,1.2324982283624693,0.6666666666666666,5.63055555555,8.445833333324998,6.0,4.0,1.5
2010-11-13,1,0,1.1118575154181303,0.6666666666666666,5.63055555555,8.445833333324998,6.0,4.0,15.5
2010-11-13,0,0,1.292684861997583,0.6666666666666666,5.63055555555,8.445833333324998,6.0,4.0,5.5
2010-11-13,1,0,1.1354992784751707,0.6666666666666666,5.63055555555,8.445833333324998,6.0,4.0,0.5
2010-11-13,0,0,1.5025948168160512,0.6666666666666666,5.63055555555,8.445833333324998,6.0,4.0,25.5
2010-03-30,1,0,1.477912229037088,0.0,36.0,36.0,0.0,0.0,8.5
2010-03-30,1,0,1.39961981571704,0.0,36.0,36.0,0.0,0.0,26.5
2010-03-30,1,0,1.3820299623334331,0.0,36.0,36.0,0.0,0.0,16.5
2010-03-30,0,0,1.5897583544876543,0.0,36.0,36.0,0.0,0.0,0.5
2010-11-18,1,1,2.891605564345093,0.4,7.18333333334,17.95833333335,5.0,2.0,6.5
2010-11-18,0,1,2.2799785383651314,0.4,7.18333333334,17.95833333335,5.0,2.0,0.5
2010-11-18,1,1,2.2799785383651314,0.4,7.18333333334,17.95833333335,5.0,2.0,0.5
