date,made,location,situation,fgPercentage,takenInterval,madeInterval,numShots,numMade,distance
2006-04-04,1,0,4.055834707460225,1.0,16.49166666665,16.49166666665,2.0,2.0,0.5
2006-01-13,1,0,2.3397794630020945,0.0,35.9666666667,36.0,1.0,0.0,0.5
2006-03-22,0,0,2.2360736123584797,0.0,36.0,36.0,0.0,0.0,0.5
2006-11-04,1,0,1.823353834646272,0.0,36.0,36.0,0.0,0.0,0.5
2006-11-04,0,0,1.6970942426869766,0.0,36.0,36.0,0.0,0.0,0.5
2006-11-04,1,0,1.9955872312429732,0.0,36.0,36.0,0.0,0.0,0.5
2006-12-04,1,0,1.1128889750247926,0.0,35.15,36.0,1.0,0.0,7.5
2006-12-04,1,0,1.1783646784415085,0.0,35.15,36.0,1.0,0.0,0.5
2006-12-04,0,0,1.256529451290845,0.0,35.15,36.0,1.0,0.0,0.5
2006-12-04,1,0,1.4414136603409702,0.0,35.15,36.0,1.0,0.0,0.5
2006-02-12,0,0,1.4088941930371315,1.0,11.6,11.6,1.0,1.0,3.5
2006-02-12,1,0,1.440219324761361,1.0,11.6,11.6,1.0,1.0,0.5
2006-01-18,0,1,1.1205911953868848,0.0,36.0,36.0,0.0,0.0,12.5
2006-01-20,0,1,1.7588426542149131,0.0,36.0,36.0,0.0,0.0,6.5
2006-03-25,1,1,1.4655051219900344,0.0,36.0,36.0,0.0,0.0,0.5
2006-03-25,0,1,1.4047280628087286,0.0,36.0,36.0,0.0,0.0,6.5
2006-04-02,1,0,1.7929082344319283,1.0,28.5333333333,28.5333333333,1.0,1.0,1.5
2006-04-02,1,0,2.064107177679729,1.0,28.5333333333,28.5333333333,1.0,1.0,0.5
2006-11-05,0,0,2.97756830292632,0.0,36.0,36.0,0.0,0.0,0.5
2006-12-20,0,0,1.2797994153914525,0.0,36.0,36.0,0.0,0.0,0.5
2006-02-01,1,0,1.8088174521326315,0.0,36.0,36.0,0.0,0.0,0.5
2006-02-04,0,0,1.7656141891237327,0.0,36.0,36.0,0.0,0.0,0.5
2006-02-04,1,0,2.064107177679729,0.0,36.0,36.0,0.0,0.0,0.5
2006-04-05,1,1,4.8993312245375815,0.0,36.0,36.0,0.0,0.0,0.5
2006-04-05,1,1,3.441699324971485,0.0,36.0,36.0,0.0,0.0,0.5
2006-04-10,1,0,1.7765912477548835,0.6666666666666666,5.6499999999999995,8.20833333335,3.0,2.0,0.5
2006-04-10,1,0,1.8193327961321546,0.6666666666666666,5.6499999999999995,8.20833333335,3.0,2.0,0.5
2007-03-19,0,1,1.3459567453933152,0.0,36.0,36.0,0.0,0.0,0.5
2007-04-14,1,0,0.9727780610483677,0.0,36.0,36.0,0.0,0.0,0.5
2007-04-14,0,0,0.7870995869038098,0.0,36.0,36.0,0.0,0.0,0.5
2007-04-06,0,1,2.2360736123584797,0.0,36.0,36.0,0.0,0.0,0.5
2007-04-16,1,0,1.9751915203060366,0.0,36.0,36.0,0.0,0.0,0.5
2007-12-29,1,0,1.1155227608164262,0.0,36.0,36.0,0.0,0.0,0.5
2007-12-29,0,0,1.0040861151759934,0.0,36.0,36.0,0.0,0.0,14.5
2007-03-26,1,0,1.9363406980391624,0.75,5.016666666675,3.527777777766667,4.0,3.0,0.5
2007-04-13,1,1,1.6331544390514163,0.0,36.0,36.0,0.0,0.0,0.5
