date,made,location,situation,fgPercentage,takenInterval,madeInterval,numShots,numMade,distance
2013-11-21,0,1,2.1098566305442734,0.6,5.76333333334,9.605555555566667,5.0,3.0,0.5
2013-11-09,1,0,1.220013671700224,0.3333333333333333,10.15,30.0333333333,3.0,1.0,8.5
2013-11-18,1,0,2.43637960889334,0.0,36.0,36.0,0.0,0.0,1.5
2013-11-19,1,0,2.6401556273643214,1.0,9.027777777766667,9.027777777766667,3.0,3.0,2.5
2013-12-22,1,1,4.225372824628504,0.0,29.6,36.0,1.0,0.0,0.5
2013-12-22,0,1,3.2329978600917557,0.0,29.6,36.0,1.0,0.0,0.5
2013-01-09,0,1,3.503753969987247,0.6,6.79333333334,9.016666666666667,5.0,3.0,1.5
2013-01-19,0,0,2.576168241066325,0.8,6.01333333334,7.516666666675,5.0,4.0,6.5
2013-01-29,0,0,1.528687883961105,1.0,10.09166666665,10.09166666665,2.0,2.0,0.5
2013-01-29,0,0,1.670954631142755,1.0,10.09166666665,10.09166666665,2.0,2.0,11.5
2013-02-02,0,1,1.5331092294569355,0.0,36.0,36.0,0.0,0.0,13.5
2013-02-05,0,0,1.3917340844157087,0.0,36.0,36.0,0.0,0.0,0.5
2013-02-05,1,0,1.5114575040738967,0.0,36.0,36.0,0.0,0.0,1.5
2013-02-05,0,0,1.3788899669456807,0.0,36.0,36.0,0.0,0.0,7.5
2013-02-06,1,0,1.601030576598127,0.0,4.358333333335,36.0,2.0,0.0,0.5
2013-02-09,1,0,1.5553164891529168,1.0,23.2,23.2,1.0,1.0,9.5
2013-02-09,0,0,1.4018588776610021,1.0,23.2,23.2,1.0,1.0,16.5
2013-02-19,1,0,2.028148247292285,0.0,36.0,36.0,0.0,0.0,0.5
2013-04-11,0,1,1.698669046162043,1.0,11.95,11.95,2.0,2.0,0.5
2013-04-15,0,1,2.4915511925066687,0.6666666666666666,9.166666666666666,13.56666666665,3.0,2.0,0.5
2013-04-15,1,1,1.7927690604294073,0.6666666666666666,9.166666666666666,13.56666666665,3.0,2.0,9.5
2013-04-15,0,1,1.9902333961934087,0.6666666666666666,9.166666666666666,13.56666666665,3.0,2.0,1.5
