date,made,location,situation,fgPercentage,takenInterval,madeInterval,numShots,numMade,distance
2013-12-29,1,1,1.469334448332401,0.0,36.0,36.0,0.0,0.0,20.5
2013-03-11,0,1,1.155140086059602,0.0,36.0,36.0,0.0,0.0,19.5
2013-03-11,1,1,1.155140086059602,0.0,36.0,36.0,0.0,0.0,18.5
2013-03-11,1,1,1.0549035318754634,0.0,36.0,36.0,0.0,0.0,27.5
2013-03-11,0,1,0.9671771638433989,0.0,36.0,36.0,0.0,0.0,27.5
2013-03-02,0,0,3.161246712031564,0.0,36.0,36.0,0.0,0.0,23.5
2013-11-09,0,0,1.1508201973482022,0.0,36.0,36.0,0.0,0.0,18.5
2013-11-09,0,0,1.2213715843107211,0.0,36.0,36.0,0.0,0.0,7.5
2013-11-09,0,0,1.2910862169260822,0.0,36.0,36.0,0.0,0.0,20.5
2013-11-09,0,0,1.2910862169260822,0.0,36.0,36.0,0.0,0.0,18.5
2013-11-18,0,0,2.2025437388138194,0.0,36.0,36.0,0.0,0.0,20.5
2013-11-23,0,0,2.128231705849268,0.0,36.0,36.0,0.0,0.0,15.5
2013-12-14,0,0,1.8267715151877635,0.0,36.0,36.0,0.0,0.0,10.5
2013-12-14,1,0,1.9862291599576571,0.0,36.0,36.0,0.0,0.0,0.5
2013-12-15,1,0,1.2672133135991575,0.0,36.0,36.0,0.0,0.0,19.5
2013-12-15,0,0,1.5230183264749726,0.0,36.0,36.0,0.0,0.0,21.5
2013-12-15,1,0,1.4174370084757444,0.0,36.0,36.0,0.0,0.0,1.5
2013-12-21,0,1,1.634487391738543,0.0,36.0,36.0,0.0,0.0,25.5
2013-12-26,0,0,2.0924517784158505,0.0,36.0,36.0,0.0,0.0,25.5
2013-12-26,1,0,1.7696783861527996,0.0,36.0,36.0,0.0,0.0,0.5
2013-01-05,0,0,0.8821132800725685,0.0,36.0,36.0,0.0,0.0,23.5
2013-01-05,0,0,0.8821132800725685,0.0,36.0,36.0,0.0,0.0,19.5
2013-01-05,1,0,1.24598681538483,0.0,36.0,36.0,0.0,0.0,16.5
2013-01-05,1,0,1.3319002890540919,0.0,36.0,36.0,0.0,0.0,18.5
2013-01-05,1,0,1.4238770722689336,0.0,36.0,36.0,0.0,0.0,1.5
2013-01-05,0,0,1.3488079921784433,0.0,36.0,36.0,0.0,0.0,26.5
2013-01-13,0,0,2.0941476890695316,0.0,36.0,36.0,0.0,0.0,20.5
2013-01-13,0,0,2.2635730537190297,0.0,36.0,36.0,0.0,0.0,21.5
2013-01-16,1,1,0.8726398811534223,0.0,31.9166666667,36.0,1.0,0.0,23.5
2013-01-16,0,1,1.0867778310211067,0.0,31.9166666667,36.0,1.0,0.0,27.5
2013-01-16,0,1,1.2571975655632337,0.0,31.9166666667,36.0,1.0,0.0,23.5
2013-01-16,0,1,1.2571975655632337,0.0,31.9166666667,36.0,1.0,0.0,19.5
2013-01-16,0,1,1.5638426391611875,0.0,31.9166666667,36.0,1.0,0.0,0.5
2013-01-16,0,1,1.5638426391611875,0.0,31.9166666667,36.0,1.0,0.0,18.5
2013-01-25,0,0,1.4804952784699297,0.0,36.0,36.0,0.0,0.0,16.5
2013-01-29,1,0,1.5148132119208688,0.6,7.04333333334,11.7388888889,5.0,3.0,16.5
2013-01-29,0,0,2.05300828461168,0.6,7.04333333334,11.7388888889,5.0,3.0,2.5
2013-01-29,0,0,2.1688052222964345,0.6,7.04333333334,11.7388888889,5.0,3.0,17.5
2013-02-02,0,1,1.6407377920959376,0.0,36.0,36.0,0.0,0.0,4.5
2013-02-02,1,1,1.6407377920959376,0.0,36.0,36.0,0.0,0.0,23.5
2013-02-05,1,0,1.8807803201248159,0.25,8.866666666675,35.4666666667,4.0,1.0,17.5
2013-02-05,0,0,1.5025948168160512,0.25,8.866666666675,35.4666666667,4.0,1.0,20.5
2013-02-05,0,0,1.6533380913093405,0.25,8.866666666675,35.4666666667,4.0,1.0,18.5
2013-02-05,0,0,1.4615704818910995,0.25,8.866666666675,35.4666666667,4.0,1.0,17.5
2013-02-06,0,0,1.9955872312429732,0.6666666666666666,11.9888888889,17.98333333335,3.0,2.0,23.5
