date,made,location,situation,fgPercentage,takenInterval,madeInterval,numShots,numMade,distance
2007-11-24,0,0,1.2910862169260822,0.0,36.0,36.0,0.0,0.0,23.5
2007-02-28,1,0,2.6847505572741572,0.5,4.283333333325,8.56666666665,4.0,2.0,9.5
2007-04-13,1,0,1.452942142689329,0.5555555555555556,3.9962962963,5.16666666666,9.0,5.0,0.5
2007-04-13,0,0,1.362850967929951,0.5555555555555556,3.9962962963,5.16666666666,9.0,5.0,26.5
2007-04-13,1,0,1.804323883515605,0.5555555555555556,3.9962962963,5.16666666666,9.0,5.0,0.5
2007-04-13,0,0,1.8595255348564925,0.5555555555555556,3.9962962963,5.16666666666,9.0,5.0,0.5
2007-04-16,0,1,2.230646711277337,0.25,3.0,8.316666666666666,12.0,3.0,25.5
2007-04-16,1,1,2.230646711277337,0.25,3.0,8.316666666666666,12.0,3.0,0.5
2007-04-16,1,1,2.536135839556791,0.25,3.0,8.316666666666666,12.0,3.0,0.5
2007-04-16,0,1,2.423031246069913,0.25,3.0,8.316666666666666,12.0,3.0,10.5
2007-04-16,0,1,2.3088810214508606,0.25,3.0,8.316666666666666,12.0,3.0,0.5
2007-04-16,1,1,2.3295856948125517,0.25,3.0,8.316666666666666,12.0,3.0,0.5
2007-04-16,0,1,2.3498703659840574,0.25,3.0,8.316666666666666,12.0,3.0,12.5
2007-11-28,1,0,1.9862291599576571,0.0,36.0,36.0,0.0,0.0,8.5
2007-11-28,0,0,1.8487262938347324,0.0,36.0,36.0,0.0,0.0,0.5
2007-12-06,1,1,1.5430993225320218,0.0,36.0,36.0,0.0,0.0,0.5
2007-12-06,1,1,1.7879426707013542,0.0,36.0,36.0,0.0,0.0,6.5
2007-12-13,0,1,0.9844590210623049,0.0,36.0,36.0,0.0,0.0,1.5
2007-12-13,0,1,1.0244110720740198,0.0,36.0,36.0,0.0,0.0,15.5
2007-12-13,1,1,1.2821676519109928,0.0,36.0,36.0,0.0,0.0,13.5
2007-12-13,0,1,1.5260563034950492,0.0,36.0,36.0,0.0,0.0,16.5
2007-12-15,0,0,1.1185382281291907,0.0,36.0,36.0,0.0,0.0,0.5
2007-12-15,0,0,1.1185382281291907,0.0,36.0,36.0,0.0,0.0,0.5
2007-12-15,1,0,1.9219807919094136,0.0,36.0,36.0,0.0,0.0,1.5
2007-12-15,1,0,1.8225923442640848,0.0,36.0,36.0,0.0,0.0,0.5
2007-12-15,0,0,1.8419915947143881,0.0,36.0,36.0,0.0,0.0,20.5
2007-12-31,1,0,1.4427356720248423,0.5,16.2,10.8833333333,2.0,1.0,25.5
2007-12-31,1,0,1.3321520619562652,0.5,16.2,10.8833333333,2.0,1.0,26.5
2007-12-31,1,0,2.3366644066469084,0.5,16.2,10.8833333333,2.0,1.0,25.5
2007-12-31,0,0,1.906277922670647,0.5,16.2,10.8833333333,2.0,1.0,26.5
2007-01-05,0,0,1.3604308505299714,0.0,36.0,36.0,0.0,0.0,22.5
2007-01-05,0,0,1.33500106673234,0.0,36.0,36.0,0.0,0.0,21.5
2007-01-05,1,0,1.3770682577465978,0.0,36.0,36.0,0.0,0.0,8.5
2007-01-26,0,1,1.3624837124261722,0.0,36.0,36.0,0.0,0.0,6.5
2007-01-26,0,1,1.4541518365155255,0.0,36.0,36.0,0.0,0.0,0.5
2007-01-26,0,1,1.5529906000107645,0.0,36.0,36.0,0.0,0.0,18.5
2007-02-21,0,0,2.2421271239569314,0.0,35.9666666667,36.0,1.0,0.0,15.5
2007-02-21,1,0,1.6975597837077572,0.0,35.9666666667,36.0,1.0,0.0,0.5
2007-02-21,1,0,1.719514562354726,0.0,35.9666666667,36.0,1.0,0.0,9.5
2007-03-02,1,1,4.11196616357192,1.0,13.3166666667,13.3166666667,1.0,1.0,0.5
2007-03-03,0,0,1.9770007361253443,0.25,4.641666666675,18.5666666667,4.0,1.0,11.5
2007-03-03,0,0,2.256192053424335,0.25,4.641666666675,18.5666666667,4.0,1.0,26.5
2007-03-03,0,0,5.160204064418402,0.25,4.641666666675,18.5666666667,4.0,1.0,1.5
2007-03-14,1,0,2.445921203075047,0.0,36.0,36.0,0.0,0.0,17.5
2007-03-18,0,1,1.5022739697771232,0.0,36.0,36.0,0.0,0.0,21.5
2007-03-23,1,0,1.7933455123836899,0.0,8.625,36.0,4.0,0.0,0.5
2007-03-23,0,0,1.3145504562610493,0.0,8.625,36.0,4.0,0.0,13.5
2007-03-23,0,0,1.2305920906012133,0.0,8.625,36.0,4.0,0.0,25.5
2007-03-23,1,0,1.4273325484850046,0.0,8.625,36.0,4.0,0.0,19.5
2007-03-26,1,1,3.0042671760038284,0.25,7.845833333325001,21.35,4.0,1.0,5.5
2007-03-28,0,1,3.617383452408866,0.5,3.575,7.15,4.0,2.0,24.5
2007-03-30,1,0,3.0508515727750707,0.2222222222222222,3.8203703703666667,7.56666666665,9.0,2.0,0.5
2007-03-31,0,0,2.113079900828666,0.8333333333333334,5.99444444445,6.14666666666,6.0,5.0,23.5
2007-03-31,0,0,1.971662645157728,0.8333333333333334,5.99444444445,6.14666666666,6.0,5.0,6.5
2007-03-31,0,0,2.565974472876782,0.8333333333333334,5.99444444445,6.14666666666,6.0,5.0,10.5
