date,made,location,situation,fgPercentage,takenInterval,madeInterval,numShots,numMade,distance
2008-03-18,0,1,1.3060135298590878,1.0,6.9466666666600005,6.9466666666600005,5.0,5.0,23.5
2008-03-18,1,1,1.0857641461902607,1.0,6.9466666666600005,6.9466666666600005,5.0,5.0,0.5
2008-03-18,0,1,1.3282305601651294,1.0,6.9466666666600005,6.9466666666600005,5.0,5.0,20.5
2008-03-10,1,1,0.9295359586241757,0.3333333333333333,7.994444444433333,21.2666666667,3.0,1.0,0.5
2008-04-06,1,0,1.1620537169913077,0.0,36.0,36.0,0.0,0.0,0.5
2008-04-16,0,1,1.440219324761361,1.0,6.35,6.35,2.0,2.0,16.5
2008-04-16,0,1,1.4655051219900344,1.0,6.35,6.35,2.0,2.0,4.5
2008-04-16,0,1,1.4655051219900344,1.0,6.35,6.35,2.0,2.0,0.5
2008-03-14,1,1,3.2284300376730126,1.0,19.0666666667,19.0666666667,1.0,1.0,0.5
2008-03-14,0,1,2.6563669671503503,1.0,19.0666666667,19.0666666667,1.0,1.0,10.5
2008-03-14,1,1,2.0511025833613696,1.0,19.0666666667,19.0666666667,1.0,1.0,0.5
2008-03-14,0,1,1.8841794736101465,1.0,19.0666666667,19.0666666667,1.0,1.0,12.5
2008-03-14,1,1,1.8004175319711695,1.0,19.0666666667,19.0666666667,1.0,1.0,0.5
2008-03-14,1,1,1.896250041377341,1.0,19.0666666667,19.0666666667,1.0,1.0,0.5
2008-03-30,1,0,1.7083778602890038,0.0,36.0,36.0,0.0,0.0,1.5
2010-04-02,0,0,2.962979487082183,0.6666666666666666,6.411111111099999,8.175,3.0,2.0,18.5
2010-03-25,0,1,3.879499813722586,0.5,17.375,20.0,2.0,1.0,15.5
2010-03-25,0,1,3.906675399101551,0.5,17.375,20.0,2.0,1.0,0.5
2010-03-25,1,1,3.906675399101551,0.5,17.375,20.0,2.0,1.0,0.5
2010-12-27,1,0,1.4556290545209547,0.0,36.0,36.0,0.0,0.0,3.5
2010-12-27,1,0,1.3242018257105799,0.0,36.0,36.0,0.0,0.0,14.5
2010-12-27,0,0,1.256529451290845,0.0,36.0,36.0,0.0,0.0,3.5
2010-03-03,0,0,1.6636965029519222,0.0,36.0,36.0,0.0,0.0,0.5
2010-03-05,0,1,1.209264898907701,0.0,36.0,36.0,0.0,0.0,1.5
2010-03-24,1,0,1.6701228642556816,0.3333333333333333,11.672222222233332,19.9833333333,3.0,1.0,1.5
2010-03-24,0,0,1.5820906164972053,0.3333333333333333,11.672222222233332,19.9833333333,3.0,1.0,1.5
2010-03-24,1,0,1.601030576598127,0.3333333333333333,11.672222222233332,19.9833333333,3.0,1.0,0.5
2010-03-24,0,0,1.5398369533638019,0.3333333333333333,11.672222222233332,19.9833333333,3.0,1.0,1.5
2010-03-31,1,0,1.9902333961934087,0.0,16.6333333333,36.0,1.0,0.0,0.5
2010-03-31,0,0,1.7652859925608833,0.0,16.6333333333,36.0,1.0,0.0,7.5
2010-02-24,1,1,2.404291883095063,0.0,36.0,36.0,0.0,0.0,0.5
2011-03-29,1,0,1.276885256936064,0.0,36.0,36.0,0.0,0.0,7.5
2011-03-23,1,1,1.9302784033636167,0.0,36.0,36.0,0.0,0.0,22.5
