date,made,location,situation,fgPercentage,takenInterval,madeInterval,numShots,numMade,distance
2013-01-16,0,0,2.4336133554004498,0.3333333333333333,9.577777777766666,28.7333333333,3.0,1.0,28.5
2013-02-26,1,1,1.814683109129992,0.3333333333333333,5.483333333333333,14.2666666667,3.0,1.0,1.5
2013-02-26,1,1,2.0473532271283355,0.3333333333333333,5.483333333333333,14.2666666667,3.0,1.0,21.5
2013-02-26,0,1,2.865830648980047,0.3333333333333333,5.483333333333333,14.2666666667,3.0,1.0,26.5
2013-03-12,0,0,2.1605825471024347,0.75,8.916666666675,11.8888888889,4.0,3.0,21.5
2013-03-12,0,0,2.117825784688151,0.75,8.916666666675,11.8888888889,4.0,3.0,23.5
2013-01-13,1,0,2.990001598845006,0.5,17.64166666665,35.2833333333,2.0,1.0,15.5
2013-01-13,1,0,2.205037117073013,0.5,17.64166666665,35.2833333333,2.0,1.0,28.5
2013-01-13,0,0,1.9220246640659564,0.5,17.64166666665,35.2833333333,2.0,1.0,1.5
2013-01-13,0,0,1.6970942426869766,0.5,17.64166666665,35.2833333333,2.0,1.0,23.5
2013-01-13,0,0,2.018952780199185,0.5,17.64166666665,35.2833333333,2.0,1.0,17.5
2013-01-15,0,0,1.5396283810405929,1.0,10.827777777766668,10.827777777766668,3.0,3.0,0.5
2013-02-10,0,0,2.1373475392572776,0.0,36.0,36.0,0.0,0.0,18.5
2013-01-19,1,1,5.226821364842967,0.75,3.754166666675,5.005555555566667,4.0,3.0,26.5
2013-01-19,0,1,3.019093623467165,0.75,3.754166666675,5.005555555566667,4.0,3.0,28.5
2013-01-19,1,1,2.856470206220483,0.75,3.754166666675,5.005555555566667,4.0,3.0,0.5
2013-12-19,1,0,1.4427356720248423,0.3333333333333333,10.233333333333333,22.75,3.0,1.0,20.5
2013-12-19,0,0,1.2431935174792172,0.3333333333333333,10.233333333333333,22.75,3.0,1.0,27.5
2013-12-19,1,0,1.4884679858491978,0.3333333333333333,10.233333333333333,22.75,3.0,1.0,26.5
2013-12-05,0,1,1.38751313031402,0.0,6.391666666675,36.0,4.0,0.0,12.5
2013-12-05,1,1,1.6442533321194652,0.0,6.391666666675,36.0,4.0,0.0,0.5
2013-03-06,0,1,1.6751121520355987,1.0,2.577777777776667,2.577777777776667,3.0,3.0,22.5
2013-11-23,0,0,3.161246712031564,0.3333333333333333,4.05,12.15,6.0,2.0,24.5
2013-11-23,0,0,2.404291883095063,0.3333333333333333,4.05,12.15,6.0,2.0,18.5
2013-11-23,0,0,2.954910279033736,0.3333333333333333,4.05,12.15,6.0,2.0,24.5
2013-11-23,1,0,4.272955539619519,0.3333333333333333,4.05,12.15,6.0,2.0,29.5
2013-11-23,0,0,3.4440744060185473,0.3333333333333333,4.05,12.15,6.0,2.0,24.5
2013-01-21,0,1,1.8352445811677938,1.0,36.0,36.0,1.0,1.0,20.5
2013-02-24,1,1,2.709261588288507,0.3333333333333333,4.122222222233334,11.95,3.0,1.0,26.5
2013-02-24,1,1,2.041784822241831,0.3333333333333333,4.122222222233334,11.95,3.0,1.0,21.5
2013-02-24,0,1,1.7874491177269327,0.3333333333333333,4.122222222233334,11.95,3.0,1.0,23.5
2013-02-24,1,1,1.7288703806791215,0.3333333333333333,4.122222222233334,11.95,3.0,1.0,23.5
2013-11-03,0,0,2.4634663185501307,1.0,7.6,7.6,2.0,2.0,27.5
2013-02-20,1,0,2.5380164751019487,1.0,11.455555555566667,11.455555555566667,3.0,3.0,26.5
2013-02-20,0,0,2.7449371909092712,1.0,11.455555555566667,11.455555555566667,3.0,3.0,23.5
2013-02-11,0,0,1.5578050018096294,0.0,35.9833333333,36.0,1.0,0.0,0.5
2013-02-11,1,0,1.25740334805187,0.0,35.9833333333,36.0,1.0,0.0,25.5
2013-02-11,1,0,1.3939572338654598,0.0,35.9833333333,36.0,1.0,0.0,17.5
2013-02-11,0,0,1.5148132119208688,0.0,35.9833333333,36.0,1.0,0.0,1.5
2013-02-11,0,0,1.4435952149572313,0.0,35.9833333333,36.0,1.0,0.0,20.5
2013-02-11,1,0,1.4675198010424764,0.0,35.9833333333,36.0,1.0,0.0,1.5
2013-02-11,1,0,1.4273023848472677,0.0,35.9833333333,36.0,1.0,0.0,23.5
2013-02-11,1,0,1.4308427373809596,0.0,35.9833333333,36.0,1.0,0.0,23.5
2013-03-01,1,1,3.454422142899453,0.3333333333333333,11.527777777766666,12.0,3.0,1.0,22.5
2013-11-21,1,0,4.2350722217172185,1.0,31.2,31.2,1.0,1.0,26.5
2013-11-21,0,0,2.829586866827043,1.0,31.2,31.2,1.0,1.0,27.5
2013-12-22,0,1,3.851565036391032,1.0,16.675,16.675,2.0,2.0,22.5
2013-11-17,1,0,4.165113633110308,0.6,6.89333333334,11.488888888900002,5.0,3.0,1.5
2013-11-17,0,0,2.5243158821236666,0.6,6.89333333334,11.488888888900002,5.0,3.0,27.5
2013-04-17,1,0,2.5663469817281745,0.0,35.1,36.0,1.0,0.0,26.5
2013-01-09,1,1,2.0358583857182526,0.5,17.625,34.6666666667,2.0,1.0,22.5
2013-01-09,1,1,2.319366569956049,0.5,17.625,34.6666666667,2.0,1.0,21.5
2013-01-09,1,1,2.702106647201362,0.5,17.625,34.6666666667,2.0,1.0,27.5
2013-01-09,1,1,3.851565036391032,0.5,17.625,34.6666666667,2.0,1.0,23.5
2013-01-09,1,1,2.2972374866674503,0.5,17.625,34.6666666667,2.0,1.0,25.5
2013-10-31,0,1,3.415757532993485,0.5,8.241666666675,15.85,4.0,2.0,21.5
2013-10-31,1,1,5.076423034634259,0.5,8.241666666675,15.85,4.0,2.0,23.5
2013-11-09,0,1,2.1653493688057703,1.0,13.9333333333,13.9333333333,1.0,1.0,23.5
2013-11-09,0,1,1.9346670574811329,1.0,13.9333333333,13.9333333333,1.0,1.0,16.5
2013-12-11,1,1,3.7313001699978883,0.0,14.6166666667,36.0,1.0,0.0,26.5
2013-12-11,0,1,3.2441536320524693,0.0,14.6166666667,36.0,1.0,0.0,25.5
2013-12-11,0,1,4.869071729774468,0.0,14.6166666667,36.0,1.0,0.0,5.5
2013-12-16,1,0,2.3637525538720325,0.0,4.408333333335,36.0,2.0,0.0,24.5
2013-12-21,0,0,2.0193376176101303,0.5,3.8,5.85833333335,4.0,2.0,17.5
2013-12-21,0,0,2.0193376176101303,0.5,3.8,5.85833333335,4.0,2.0,24.5
2013-12-21,1,0,3.479392229247212,0.5,3.8,5.85833333335,4.0,2.0,1.5
2013-12-21,0,0,2.548242524959811,0.5,3.8,5.85833333335,4.0,2.0,32.5
2013-12-21,1,0,2.951432014657411,0.5,3.8,5.85833333335,4.0,2.0,0.5
2013-12-21,0,0,2.404291883095063,0.5,3.8,5.85833333335,4.0,2.0,26.5
2013-12-29,0,0,3.4669851222001586,1.0,10.683333333333332,10.683333333333332,3.0,3.0,26.5
2013-12-29,1,0,1.964030690168508,1.0,10.683333333333332,10.683333333333332,3.0,3.0,24.5
2013-01-01,1,1,2.080911049659196,1.0,11.675,11.675,2.0,2.0,26.5
2013-01-11,0,1,2.0198032753601045,0.75,8.3,11.066666666666668,4.0,3.0,17.5
2013-01-11,1,1,2.0198032753601045,0.75,8.3,11.066666666666668,4.0,3.0,25.5
2013-01-23,0,0,3.9589065913269965,0.0,33.6666666667,36.0,1.0,0.0,0.5
2013-01-23,1,0,2.8761294011806218,0.0,33.6666666667,36.0,1.0,0.0,23.5
2013-01-30,0,0,2.8964140723521274,0.42857142857142855,4.397619047614285,8.9888888889,7.0,3.0,23.5
2013-02-01,0,0,2.2100080169618943,0.0,36.0,36.0,0.0,0.0,26.5
2013-02-08,1,0,1.8113199950825485,0.5,17.41666666665,33.4833333333,2.0,1.0,0.5
2013-02-08,0,0,1.9836964847214515,0.5,17.41666666665,33.4833333333,2.0,1.0,0.5
2013-02-13,1,1,0.7788419016648283,0.2,6.779999999999999,33.9,5.0,1.0,21.5
2013-02-13,1,1,0.7015623774852298,0.2,6.779999999999999,33.9,5.0,1.0,0.5
2013-03-04,1,1,3.503753969987247,0.0,8.14166666665,36.0,2.0,0.0,26.5
