date,made,location,situation,fgPercentage,takenInterval,madeInterval,numShots,numMade,distance
2011-11-17,0,0,1.0416532567448817,0.0,34.2833333333,36.0,1.0,0.0,18.5
2011-11-17,0,0,1.0607458493287678,0.0,34.2833333333,36.0,1.0,0.0,9.5
2011-11-17,1,0,1.1205911953868848,0.0,34.2833333333,36.0,1.0,0.0,0.5
2011-01-22,0,1,3.879499813722586,0.0,36.0,36.0,0.0,0.0,19.5
2011-01-07,0,1,1.4466319977140945,0.0,23.3333333333,36.0,1.0,0.0,0.5
2011-01-24,0,0,3.606584211387106,0.5,5.866666666666667,6.177777777766667,6.0,3.0,0.5
2011-11-23,1,1,1.9220246640659564,0.3333333333333333,11.744444444433334,13.25,3.0,1.0,0.5
2011-02-23,1,0,1.1508201973482022,1.0,11.625,11.625,2.0,2.0,0.5
2011-02-23,0,0,1.0142798833655364,1.0,11.625,11.625,2.0,2.0,4.5
2011-02-23,1,0,1.0883907345965715,1.0,11.625,11.625,2.0,2.0,0.5
2011-02-23,1,0,1.1109650566351106,1.0,11.625,11.625,2.0,2.0,5.5
2011-02-23,1,0,1.0631179572556422,1.0,11.625,11.625,2.0,2.0,0.5
2011-02-23,1,0,1.3421990412546663,1.0,11.625,11.625,2.0,2.0,0.5
2011-02-23,1,0,1.3488079921784433,1.0,11.625,11.625,2.0,2.0,5.5
2011-02-23,1,0,1.5318366664105487,1.0,11.625,11.625,2.0,2.0,0.5
2011-11-16,1,1,1.5470168061103833,0.5,8.508333333325,16.45833333335,4.0,2.0,0.5
2011-11-16,1,1,1.4709774483499292,0.5,8.508333333325,16.45833333335,4.0,2.0,0.5
2011-12-01,1,0,1.534504083406982,0.5,17.35833333335,34.7166666667,2.0,1.0,0.5
2011-12-01,0,0,1.4151201598468486,0.5,17.35833333335,34.7166666667,2.0,1.0,22.5
2011-03-18,1,0,2.2440635213743896,0.8333333333333334,2.604166666666667,3.125,12.0,10.0,0.5
2011-03-18,1,0,3.6386382376771897,0.8333333333333334,2.604166666666667,3.125,12.0,10.0,1.5
2011-03-18,0,0,3.102092289544901,0.8333333333333334,2.604166666666667,3.125,12.0,10.0,1.5
2011-03-02,1,1,1.9413282395502016,1.0,23.8333333333,23.8333333333,1.0,1.0,3.5
2011-03-02,1,1,2.5556757206762075,1.0,23.8333333333,23.8333333333,1.0,1.0,5.5
2011-03-12,1,1,1.2237754316221157,0.0,7.975,36.0,2.0,0.0,8.5
2011-03-12,1,1,1.214103136979608,0.0,7.975,36.0,2.0,0.0,0.5
2011-03-12,1,1,1.3003519313191658,0.0,7.975,36.0,2.0,0.0,0.5
2011-03-12,1,1,1.6579706432130001,0.0,7.975,36.0,2.0,0.0,16.5
2011-03-12,0,1,1.6783587092516632,0.0,7.975,36.0,2.0,0.0,13.5
2011-12-07,1,0,2.6510727663596696,1.0,17.525,17.525,2.0,2.0,0.5
2011-12-07,1,0,3.029596787506747,1.0,17.525,17.525,2.0,2.0,4.5
2011-12-07,0,0,2.4356752118010085,1.0,17.525,17.525,2.0,2.0,21.5
2011-12-07,1,0,2.7541505482690285,1.0,17.525,17.525,2.0,2.0,3.5
2011-12-07,1,0,2.9357892375869574,1.0,17.525,17.525,2.0,2.0,0.5
2011-12-07,1,0,3.397380583135454,1.0,17.525,17.525,2.0,2.0,1.5
2011-12-07,0,0,2.6541804911894795,1.0,17.525,17.525,2.0,2.0,5.5
2011-12-14,0,1,1.7085974233593777,0.6,4.54333333334,6.716666666666666,5.0,3.0,0.5
2011-12-14,1,1,1.7085974233593777,0.6,4.54333333334,6.716666666666666,5.0,3.0,0.5
2011-12-05,1,0,1.6863989535702286,0.0,36.0,36.0,0.0,0.0,1.5
2011-12-05,0,0,1.4493783365464674,0.0,36.0,36.0,0.0,0.0,19.5
2011-12-05,1,0,1.9118387171447886,0.0,36.0,36.0,0.0,0.0,1.5
2011-12-05,1,0,2.0704007970276868,0.0,36.0,36.0,0.0,0.0,4.5
2011-12-05,1,0,1.955997350588714,0.0,36.0,36.0,0.0,0.0,5.5
2011-12-05,0,0,1.8016205979938351,0.0,36.0,36.0,0.0,0.0,22.5
2011-01-21,1,1,1.6476185838919677,0.0,34.35,36.0,1.0,0.0,0.5
2011-12-08,1,0,1.6407377920959376,0.0,27.05,36.0,1.0,0.0,0.5
2011-01-11,1,1,2.9260898404982436,0.0,36.0,36.0,0.0,0.0,20.5
2011-01-11,0,1,3.1508348811066313,0.0,36.0,36.0,0.0,0.0,3.5
2011-11-13,0,0,1.7930919144618336,0.0,36.0,36.0,0.0,0.0,0.5
2011-11-13,0,0,2.0806313098154248,0.0,36.0,36.0,0.0,0.0,20.5
2011-11-13,1,0,2.560204390077311,0.0,36.0,36.0,0.0,0.0,1.5
2011-02-28,0,1,1.2578780691621383,0.5,11.25,21.7166666667,2.0,1.0,0.5
2011-02-28,1,1,1.2849906461576786,0.5,11.25,21.7166666667,2.0,1.0,0.5
2011-02-28,0,1,1.5673524938670733,0.5,11.25,21.7166666667,2.0,1.0,5.5
2011-02-28,0,1,1.318491257768528,0.5,11.25,21.7166666667,2.0,1.0,18.5
2011-03-15,1,0,1.9770007361253443,0.0,22.3666666667,36.0,1.0,0.0,0.5
2011-02-13,1,0,1.4466319977140945,0.0,12.0,36.0,3.0,0.0,0.5
2011-02-13,0,0,1.583149432530013,0.0,12.0,36.0,3.0,0.0,0.5
2011-03-06,1,0,2.6847505572741572,1.0,9.90833333335,9.90833333335,2.0,2.0,0.5
2011-12-29,1,1,1.7359073913021619,0.0,36.0,36.0,0.0,0.0,0.5
2011-02-22,0,1,1.7686370518072008,1.0,16.11666666665,16.11666666665,2.0,2.0,16.5
2011-03-08,1,1,1.155140086059602,0.4,6.663333333340001,14.741666666650001,5.0,2.0,0.5
2011-03-08,0,1,1.25740334805187,0.4,6.663333333340001,14.741666666650001,5.0,2.0,0.5
2011-03-08,0,1,1.3681826111768445,0.4,6.663333333340001,14.741666666650001,5.0,2.0,16.5
2011-03-08,1,1,1.3698813314785603,0.4,6.663333333340001,14.741666666650001,5.0,2.0,1.5
2011-11-19,0,1,4.94306997460049,0.25,2.741666666675,8.86666666667,4.0,1.0,0.5
2011-01-29,1,0,1.7458960524348737,0.6,5.74,9.566666666666666,5.0,3.0,0.5
2011-01-29,1,0,2.117825784688151,0.6,5.74,9.566666666666666,5.0,3.0,6.5
2011-01-29,0,0,1.8603221406653516,0.6,5.74,9.566666666666666,5.0,3.0,0.5
2011-12-26,1,0,1.882209372150127,0.0,17.8166666667,36.0,1.0,0.0,1.5
2011-12-26,0,0,1.7929082344319283,0.0,17.8166666667,36.0,1.0,0.0,1.5
2011-02-12,1,1,1.186188477872698,0.5,8.2,9.74166666665,4.0,2.0,0.5
2011-11-25,1,0,1.6442533321194652,0.0,12.8833333333,36.0,1.0,0.0,1.5
