date,made,location,situation,fgPercentage,takenInterval,madeInterval,numShots,numMade,distance
2006-03-16,1,1,3.3383082931132217,0.4,6.90666666666,10.71666666665,5.0,2.0,0.5
2006-12-23,0,1,2.2700619012884857,0.75,6.6125,8.583333333333334,4.0,3.0,18.5
2006-04-02,0,0,2.5663469817281745,0.5,6.908333333325,10.76666666665,4.0,2.0,18.5
2006-04-02,0,0,1.8193746362610284,0.5,6.908333333325,10.76666666665,4.0,2.0,9.5
2006-11-28,1,1,1.1720397572229269,0.4,3.36833333333,8.120833333325,10.0,4.0,0.5
2006-02-22,1,0,1.209264898907701,0.5,8.645833333325,17.29166666665,4.0,2.0,0.5
2006-02-22,1,0,1.1783646784415085,0.5,8.645833333325,17.29166666665,4.0,2.0,15.5
2006-11-18,1,1,1.8586101301240057,0.2,5.97666666666,1.3,5.0,1.0,0.5
2006-04-14,1,1,1.5719886023924845,0.6153846153846154,2.701282051284615,4.2645833333375,13.0,8.0,13.5
2006-04-14,0,1,1.5578746760824327,0.6153846153846154,2.701282051284615,4.2645833333375,13.0,8.0,1.5
2006-03-29,0,0,1.4274363044510658,0.25,5.5625,11.1,4.0,1.0,13.5
2006-03-29,1,0,1.5758361658873323,0.25,5.5625,11.1,4.0,1.0,7.5
2006-03-29,1,0,2.3995468008368435,0.25,5.5625,11.1,4.0,1.0,0.5
2006-03-29,0,0,4.078666749502871,0.25,5.5625,11.1,4.0,1.0,7.5
2006-03-29,1,0,2.66187200738143,0.25,5.5625,11.1,4.0,1.0,0.5
2006-04-11,1,1,2.672266000611912,1.0,6.429166666675,6.429166666675,4.0,4.0,13.5
2006-04-11,1,1,2.0924517784158505,1.0,6.429166666675,6.429166666675,4.0,4.0,1.5
2006-01-11,1,0,1.406599627280636,0.4,6.18333333334,12.31666666665,5.0,2.0,16.5
2006-01-11,0,0,1.9615507415963855,0.4,6.18333333334,12.31666666665,5.0,2.0,17.5
2006-03-10,0,1,2.2243661181338013,0.5,8.291666666675,11.50833333335,4.0,2.0,1.5
2006-12-05,0,0,2.0079455399747657,0.5,5.2194444444500006,10.438888888900001,6.0,3.0,16.5
2006-12-25,1,1,4.032469158504013,0.3333333333333333,9.5111111111,28.0,3.0,1.0,19.5
2006-12-25,0,1,3.2755261731567655,0.3333333333333333,9.5111111111,28.0,3.0,1.0,0.5
2006-01-16,0,0,2.4463967950261245,0.625,4.2145833333375,6.74333333334,8.0,5.0,0.5
2006-01-16,0,0,2.812683179441659,0.625,4.2145833333375,6.74333333334,8.0,5.0,18.5
2006-01-06,0,0,1.65214903052715,0.3333333333333333,3.3240740740777786,9.972222222233333,9.0,3.0,9.5
2006-01-26,1,1,2.0804410420129194,0.46153846153846156,2.6153846153846154,5.477777777783333,13.0,6.0,0.5
2006-12-02,1,0,2.0806313098154248,0.6,5.57666666666,1.7833333333333332,5.0,3.0,5.5
2006-12-02,0,0,2.606670356040542,0.6,5.57666666666,1.7833333333333332,5.0,3.0,0.5
2006-12-02,0,0,2.4915511925066687,0.6,5.57666666666,1.7833333333333332,5.0,3.0,16.5
2006-01-22,0,1,3.778110587841879,0.7777777777777778,3.7907407407444444,4.873809523814286,9.0,7.0,1.5
2006-01-22,0,1,3.8081428749407538,0.7777777777777778,3.7907407407444444,4.873809523814286,9.0,7.0,18.5
2006-01-22,1,1,3.098804458693805,0.7777777777777778,3.7907407407444444,4.873809523814286,9.0,7.0,0.5
2006-12-13,1,0,3.231368889115667,0.4,5.2133333333400005,3.625,5.0,2.0,20.5
2006-03-18,0,0,4.032469158504013,0.6666666666666666,2.6277777777766667,3.366666666665,3.0,2.0,1.5
2006-12-29,1,0,3.6490985841020915,0.3333333333333333,9.722222222233334,29.1666666667,3.0,1.0,19.5
2006-12-29,1,0,3.669696634697162,0.3333333333333333,9.722222222233334,29.1666666667,3.0,1.0,19.5
2006-11-03,1,1,3.6998193941522706,0.42857142857142855,3.085714285714286,5.994444444433333,7.0,3.0,0.5
2006-11-09,1,0,3.5275363037051735,0.7,3.075,3.9952380952428572,10.0,7.0,19.5
2006-12-27,0,1,2.203553712387867,0.5555555555555556,3.275925925922222,5.89666666666,9.0,5.0,18.5
2006-11-25,1,1,2.030433962573141,0.6666666666666666,4.158333333333333,6.2375,6.0,4.0,0.5
2006-11-25,1,1,2.07508423631088,0.6666666666666666,4.158333333333333,6.2375,6.0,4.0,0.5
2006-11-10,1,1,3.906675399101551,0.4,5.8833333333399995,14.70833333335,5.0,2.0,1.5
2006-11-10,0,1,3.919991175077323,0.4,5.8833333333399995,14.70833333335,5.0,2.0,18.5
2006-01-29,1,0,1.8352445811677938,0.6,6.470000000000001,10.783333333333333,5.0,3.0,14.5
2006-01-24,1,1,1.9836964847214515,0.3333333333333333,5.633333333333333,12.325,6.0,2.0,17.5
2006-11-15,0,1,2.092985766787593,0.6,6.97666666666,11.627777777766667,5.0,3.0,20.5
2006-11-15,1,1,2.5671447480249725,0.6,6.97666666666,11.627777777766667,5.0,3.0,19.5
2006-11-15,0,1,2.6100697927420065,0.6,6.97666666666,11.627777777766667,5.0,3.0,0.5
2006-11-15,0,1,2.6100697927420065,0.6,6.97666666666,11.627777777766667,5.0,3.0,0.5
2006-11-15,1,1,3.9461023190810085,0.6,6.97666666666,11.627777777766667,5.0,3.0,12.5
2006-01-04,1,0,1.031205460336793,1.0,11.183333333333332,11.183333333333332,3.0,3.0,0.5
2006-01-04,0,0,1.011213989638443,1.0,11.183333333333332,11.183333333333332,3.0,3.0,19.5
2006-01-04,0,0,1.1919002230916667,1.0,11.183333333333332,11.183333333333332,3.0,3.0,18.5
2006-12-07,1,0,2.2556167976250965,0.5,7.133333333325,14.26666666665,4.0,2.0,1.5
2006-12-07,1,0,2.423031246069913,0.5,7.133333333325,14.26666666665,4.0,2.0,1.5
2006-01-20,0,1,2.8863231693701645,0.25,7.125,24.6333333333,4.0,1.0,55.5
2006-11-30,1,0,1.4763961958170773,1.0,12.75,12.75,2.0,2.0,0.5
2006-11-30,0,0,1.610727403263972,1.0,12.75,12.75,2.0,2.0,18.5
2006-11-30,1,0,1.209264898907701,1.0,12.75,12.75,2.0,2.0,0.5
2006-03-04,1,1,1.119348187147288,0.6666666666666666,10.305555555566666,15.458333333349998,3.0,2.0,14.5
2006-03-04,1,1,1.7991395765256775,0.6666666666666666,10.305555555566666,15.458333333349998,3.0,2.0,0.5
2006-03-04,0,1,2.7565517233299643,0.6666666666666666,10.305555555566666,15.458333333349998,3.0,2.0,0.5
2006-03-04,1,1,2.4692288370687705,0.6666666666666666,10.305555555566666,15.458333333349998,3.0,2.0,1.5
2006-03-04,0,1,3.2968945075624645,0.6666666666666666,10.305555555566666,15.458333333349998,3.0,2.0,16.5
2006-04-18,0,0,5.051137237405586,0.75,8.975,11.966666666666667,4.0,3.0,0.5
2006-04-18,1,0,3.971548984742173,0.75,8.975,11.966666666666667,4.0,3.0,0.5
2006-01-27,1,0,2.591932444764888,0.75,4.4979166666625,5.997222222216666,8.0,6.0,12.5
2006-01-27,0,0,1.8004175319711695,0.75,4.4979166666625,5.997222222216666,8.0,6.0,16.5
2006-11-23,1,1,1.2983956726257264,0.2,6.75333333334,6.38333333333,5.0,1.0,0.5
2006-11-26,0,0,2.319366569956049,0.2857142857142857,4.966666666671428,4.791666666665,7.0,2.0,0.5
2006-12-09,0,1,3.441699324971485,0.4,7.2,16.975,5.0,2.0,17.5
2006-12-11,1,1,1.7332160136154449,0.6,7.040000000000001,11.733333333333334,5.0,3.0,16.5
2006-12-11,0,1,3.648057459593681,0.6,7.040000000000001,11.733333333333334,5.0,3.0,21.5
2006-12-11,1,1,3.34779660493504,0.6,7.040000000000001,11.733333333333334,5.0,3.0,19.5
2006-12-11,0,1,5.279134547131263,0.6,7.040000000000001,11.733333333333334,5.0,3.0,18.5
2006-12-11,0,1,3.102092289544901,0.6,7.040000000000001,11.733333333333334,5.0,3.0,1.5
2006-02-14,0,1,1.4680450111385832,0.3333333333333333,1.8888888888900002,3.51666666667,3.0,1.0,17.5
2006-02-14,1,1,1.4705721201206388,0.3333333333333333,1.8888888888900002,3.51666666667,3.0,1.0,0.5
2006-02-14,0,1,1.857547209766058,0.3333333333333333,1.8888888888900002,3.51666666667,3.0,1.0,19.5
2006-02-14,1,1,1.6265873145070548,0.3333333333333333,1.8888888888900002,3.51666666667,3.0,1.0,0.5
2006-02-15,0,0,2.1822989271195437,0.5555555555555556,3.609259259255556,6.006666666660001,9.0,5.0,0.5
2006-02-25,0,1,2.625634309283118,0.875,3.6458333333375,4.166666666671429,8.0,7.0,9.5
2006-02-25,1,1,2.6635176271854193,0.875,3.6458333333375,4.166666666671429,8.0,7.0,14.5
2006-03-08,1,1,2.38280877976499,0.4,6.60666666666,16.51666666665,5.0,2.0,0.5
2006-03-08,0,1,4.2350722217172185,0.4,6.60666666666,16.51666666665,5.0,2.0,19.5
2006-04-09,1,1,1.6731696566017316,0.42857142857142855,3.6142857142857143,7.527777777766667,7.0,3.0,17.5
2006-04-09,0,1,1.6970942426869766,0.42857142857142855,3.6142857142857143,7.527777777766667,7.0,3.0,1.5
2007-02-07,1,0,1.534075592661669,0.5,8.2625,16.525,4.0,2.0,0.5
2007-02-07,1,0,1.35140710211945,0.5,8.2625,16.525,4.0,2.0,0.5
2007-11-10,1,0,2.460246087966049,0.6666666666666666,2.534722222225,3.8020833333375,12.0,8.0,0.5
2007-11-10,1,0,2.97439513616586,0.6666666666666666,2.534722222225,3.8020833333375,12.0,8.0,0.5
2007-12-29,0,1,1.6965642253470794,0.4444444444444444,2.818518518522222,6.341666666675,9.0,4.0,13.5
2007-12-29,1,1,1.9955872312429732,0.4444444444444444,2.818518518522222,6.341666666675,9.0,4.0,1.5
2007-03-15,1,0,1.6347157196183688,0.7,3.5066666666699993,5.009523809528572,10.0,7.0,15.5
2007-01-22,1,1,2.205037117073013,0.7777777777777778,3.475925925922222,4.469047619042857,9.0,7.0,18.5
2007-01-22,0,1,2.0319005969108357,0.7777777777777778,3.475925925922222,4.469047619042857,9.0,7.0,15.5
2007-01-22,1,1,1.7204597916431885,0.7777777777777778,3.475925925922222,4.469047619042857,9.0,7.0,0.5
2007-01-22,0,1,1.7432918336858343,0.7777777777777778,3.475925925922222,4.469047619042857,9.0,7.0,18.5
2007-02-26,1,0,2.7565517233299643,0.42857142857142855,4.9071428571428575,11.450000000000001,7.0,3.0,8.5
2007-02-26,0,0,4.078666749502871,0.42857142857142855,4.9071428571428575,11.450000000000001,7.0,3.0,15.5
2007-11-05,1,0,1.8586101301240057,0.6666666666666666,3.6500000000000004,5.474999999999999,9.0,6.0,5.5
2007-11-27,1,1,2.392285159907604,0.5714285714285714,5.0190476190428575,8.783333333325,7.0,4.0,1.5
2007-11-27,1,1,2.1379878807946326,0.5714285714285714,5.0190476190428575,8.783333333325,7.0,4.0,0.5
2007-11-27,1,1,2.041784822241831,0.5714285714285714,5.0190476190428575,8.783333333325,7.0,4.0,1.5
2007-01-19,0,0,4.9849755473156785,0.625,4.3583333333375,6.973333333339999,8.0,5.0,1.5
2007-01-19,0,0,4.9849755473156785,0.625,4.3583333333375,6.973333333339999,8.0,5.0,0.5
2007-01-19,0,0,3.919991175077323,0.625,4.3583333333375,6.973333333339999,8.0,5.0,0.5
2007-01-19,1,0,2.349468678892896,0.625,4.3583333333375,6.973333333339999,8.0,5.0,0.5
2007-01-19,0,0,5.182906515036709,0.625,4.3583333333375,6.973333333339999,8.0,5.0,17.5
2007-01-19,0,0,2.834282291245121,0.625,4.3583333333375,6.973333333339999,8.0,5.0,25.5
2007-12-11,0,1,1.5638426391611875,0.0,11.116666666666667,36.0,3.0,0.0,20.5
