date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-02,16.1666666667,Toronto Raptors,Milwaukee Bucks,2,34-28,4,two point jumper,False,5,True,True
2014-11-02,18.0333333333,Toronto Raptors,Milwaukee Bucks,2,36-31,3,layup,False,0,True,True
2014-11-08,15.8833333333,Toronto Raptors,Indiana Pacers,2,34-28,4,layup,False,0,False,False
2014-11-13,21.1,Toronto Raptors,Memphis Grizzlies,2,47-37,9,free throw,False,15,True,False
2014-11-13,21.1,Toronto Raptors,Memphis Grizzlies,2,47-37,9,free throw,False,15,False,False
2014-12-13,14.65,Sacramento Kings,Phoenix Suns,2,40-33,6,free throw,False,15,True,False
2014-12-13,14.65,Sacramento Kings,Phoenix Suns,2,40-33,6,free throw,False,15,False,False
2014-12-13,15.7166666667,Sacramento Kings,Phoenix Suns,2,42-35,5,two point shot,False,1,True,False
2014-12-13,37.3,Sacramento Kings,Phoenix Suns,4,84-87,-5,two point shot,False,9,False,False
2014-12-13,38.2166666667,Sacramento Kings,Phoenix Suns,4,86-90,-6,two point shot,False,1,True,False
2014-12-13,38.7166666667,Sacramento Kings,Phoenix Suns,4,88-92,-6,two point shot,False,1,True,False
2014-12-21,12.8333333333,Sacramento Kings,Orlando Magic,2,27-31,-7,three point jumper,False,26,False,True
2014-12-21,15.3,Sacramento Kings,Orlando Magic,2,32-37,-7,two point jumper,False,9,True,True
2014-12-23,15.8833333333,Sacramento Kings,New Orleans Pelicans,2,34-36,0,tip shot,True,0,False,False
2014-01-07,16.6,Sacramento Kings,Portland Trail Blazers,2,44-38,-8,two point shot,True,1,False,True
2014-01-14,15.75,Sacramento Kings,Indiana Pacers,2,33-32,-1,two point jumper,False,15,True,True
2014-01-14,43.2333333333,Sacramento Kings,Indiana Pacers,4,82-109,-28,free throw,False,15,False,True
2014-01-14,43.2333333333,Sacramento Kings,Indiana Pacers,4,82-109,-28,free throw,False,15,False,True
2014-01-14,44.35,Sacramento Kings,Indiana Pacers,4,84-111,-28,free throw,False,15,False,True
2014-01-14,44.35,Sacramento Kings,Indiana Pacers,4,85-111,-27,free throw,False,15,True,True
2014-01-14,45.9166666667,Sacramento Kings,Indiana Pacers,4,88-113,-27,two point jumper,False,11,False,True
2014-01-15,22.4833333333,Sacramento Kings,Minnesota Timberwolves,2,52-43,7,layup,False,0,True,True
2014-01-15,23.9833333333,Sacramento Kings,Minnesota Timberwolves,2,58-47,9,dunk,False,0,True,True
2014-01-19,10.5333333333,Sacramento Kings,Oklahoma City Thunder,1,28-22,4,layup,False,0,True,True
