date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-12-08,2.96666666667,New York Knicks,Boston Celtics,1,7-0,-9,two point jumper,True,22,False,True
2014-12-08,3.45,New York Knicks,Boston Celtics,1,10-0,-12,two point jumper,True,20,False,True
2014-12-08,6.81666666667,New York Knicks,Boston Celtics,1,20-3,-19,two point jumper,True,15,False,True
2014-12-08,8.3,New York Knicks,Boston Celtics,1,23-3,-22,two point jumper,True,12,False,True
2014-12-08,10.2333333333,New York Knicks,Boston Celtics,1,27-7,-22,two point shot,True,1,True,True
2014-12-08,18.95,New York Knicks,Boston Celtics,2,43-25,-20,two point jumper,True,17,False,True
2014-12-13,1.08333333333,New York Knicks,Boston Celtics,1,2-0,-1,three point jumper,False,27,False,False
2014-12-13,5.0,New York Knicks,Boston Celtics,1,6-10,-6,two point jumper,False,17,False,False
2014-12-13,7.16666666667,New York Knicks,Boston Celtics,1,12-15,-5,two point shot,False,1,True,False
2014-12-13,8.35,New York Knicks,Boston Celtics,1,17-17,-2,two point jumper,False,4,True,False
2014-12-13,18.4833333333,New York Knicks,Boston Celtics,2,33-48,-17,two point jumper,False,15,True,False
2014-12-13,19.0666666667,New York Knicks,Boston Celtics,2,34-49,-16,free throw,False,15,True,False
2014-12-13,19.0666666667,New York Knicks,Boston Celtics,2,35-49,-15,free throw,False,15,True,False
2014-12-13,20.65,New York Knicks,Boston Celtics,2,37-51,-17,three point jumper,False,25,False,False
2014-12-13,21.2,New York Knicks,Boston Celtics,2,37-51,-16,two point jumper,False,18,False,False
2014-12-13,21.5833333333,New York Knicks,Boston Celtics,2,39-51,-14,layup,False,0,True,False
2014-12-13,24.95,New York Knicks,Boston Celtics,3,51-54,-6,three point jumper,False,25,False,False
2014-12-13,27.2,New York Knicks,Boston Celtics,3,56-57,-3,two point jumper,False,17,True,False
2014-12-13,28.5,New York Knicks,Boston Celtics,3,56-59,-6,three point jumper,False,24,False,False
2014-12-13,31.7833333333,New York Knicks,Boston Celtics,3,63-62,-2,three point jumper,False,25,False,False
2014-12-13,32.1833333333,New York Knicks,Boston Celtics,3,67-62,3,two point jumper,False,16,True,False
2014-12-13,32.8333333333,New York Knicks,Boston Celtics,3,69-62,5,two point jumper,False,18,True,False
2014-12-13,34.05,New York Knicks,Boston Celtics,3,69-64,3,two point jumper,False,1,False,False
2014-12-13,34.1,New York Knicks,Boston Celtics,3,71-64,5,layup,False,0,True,False
2014-12-13,34.85,New York Knicks,Boston Celtics,3,71-66,3,layup,False,0,False,False
2014-12-13,35.6333333333,New York Knicks,Boston Celtics,3,72-68,3,free throw,False,15,True,False
2014-12-13,35.6333333333,New York Knicks,Boston Celtics,3,73-68,4,free throw,False,15,True,False
2014-12-13,40.2166666667,New York Knicks,Boston Celtics,4,79-78,-1,two point jumper,False,17,False,False
2014-12-13,43.3166666667,New York Knicks,Boston Celtics,4,81-79,0,two point shot,False,13,False,False
2014-12-13,44.5833333333,New York Knicks,Boston Celtics,4,84-83,-1,two point shot,False,17,False,False
2014-12-13,47.5,New York Knicks,Boston Celtics,4,86-88,-4,two point jumper,False,17,True,False
2014-12-05,0.75,New York Knicks,Brooklyn Nets,1,2-0,0,two point jumper,False,18,True,False
2014-12-05,2.88333333333,New York Knicks,Brooklyn Nets,1,6-4,0,dunk,False,0,True,False
2014-12-05,6.85,New York Knicks,Brooklyn Nets,1,21-10,9,two point jumper,False,18,True,False
2014-12-05,8.11666666667,New York Knicks,Brooklyn Nets,1,26-12,12,two point shot,False,15,True,False
2014-12-05,8.11666666667,New York Knicks,Brooklyn Nets,1,27-12,14,free throw,False,15,True,False
2014-12-05,18.3833333333,New York Knicks,Brooklyn Nets,2,42-34,6,two point shot,False,12,False,False
2014-12-05,22.5166666667,New York Knicks,Brooklyn Nets,2,48-41,5,two point jumper,False,15,True,False
2014-12-05,26.25,New York Knicks,Brooklyn Nets,3,53-47,4,two point jumper,False,19,False,False
2014-12-05,26.8833333333,New York Knicks,Brooklyn Nets,3,55-47,6,two point jumper,False,19,False,False
2014-12-05,28.5,New York Knicks,Brooklyn Nets,3,58-50,6,two point jumper,False,19,False,False
2014-12-05,29.95,New York Knicks,Brooklyn Nets,3,61-50,9,two point jumper,False,1,False,False
2014-12-05,38.3166666667,New York Knicks,Brooklyn Nets,4,89-60,26,three point jumper,False,25,True,False
2014-12-05,39.3666666667,New York Knicks,Brooklyn Nets,4,89-61,25,three point jumper,False,26,False,False
2014-12-05,39.6333333333,New York Knicks,Brooklyn Nets,4,91-62,27,two point jumper,False,21,True,False
2014-01-20,12.55,New York Knicks,Brooklyn Nets,2,27-16,-13,two point jumper,True,18,False,True
2014-01-20,13.6166666667,New York Knicks,Brooklyn Nets,2,27-19,-10,layup,True,0,True,True
2014-01-20,13.6166666667,New York Knicks,Brooklyn Nets,2,27-19,-9,free throw,True,15,True,True
2014-01-20,16.95,New York Knicks,Brooklyn Nets,2,39-23,-18,two point jumper,True,6,False,True
2014-01-20,17.4833333333,New York Knicks,Brooklyn Nets,2,39-25,-16,layup,True,0,True,True
2014-01-20,35.65,New York Knicks,Brooklyn Nets,3,71-55,-18,two point jumper,True,16,False,True
2014-01-20,36.2666666667,New York Knicks,Brooklyn Nets,4,71-55,-18,two point jumper,True,5,False,True
2014-10-30,9.23333333333,New York Knicks,Milwaukee Bucks,1,13-17,1,three point jumper,True,26,False,True
2014-10-30,13.3166666667,New York Knicks,Milwaukee Bucks,2,18-24,4,two point jumper,True,16,False,True
2014-10-30,15.2166666667,New York Knicks,Milwaukee Bucks,2,21-30,7,two point jumper,True,12,False,True
2014-10-30,30.1666666667,New York Knicks,Milwaukee Bucks,3,44-63,17,two point jumper,True,6,True,True
2014-10-30,32.2166666667,New York Knicks,Milwaukee Bucks,3,52-65,10,three point jumper,True,25,False,True
2014-10-30,34.0833333333,New York Knicks,Milwaukee Bucks,3,58-69,9,two point jumper,True,6,True,True
2014-10-30,34.4833333333,New York Knicks,Milwaukee Bucks,3,60-71,9,layup,True,0,True,True
2014-10-30,35.9833333333,New York Knicks,Milwaukee Bucks,3,64-74,7,three point jumper,True,25,False,True
2014-10-31,1.58333333333,New York Knicks,Chicago Bulls,1,2-0,-1,three point jumper,False,24,False,False
2014-10-31,2.25,New York Knicks,Chicago Bulls,1,2-2,-2,layup,False,0,False,False
2014-10-31,24.8666666667,New York Knicks,Chicago Bulls,3,40-43,-5,two point jumper,False,19,True,False
2014-10-31,27.5666666667,New York Knicks,Chicago Bulls,3,46-51,-7,two point jumper,False,19,True,False
2014-10-31,28.2833333333,New York Knicks,Chicago Bulls,3,49-53,-7,three point jumper,False,24,True,False
2014-10-31,29.3833333333,New York Knicks,Chicago Bulls,3,51-55,-6,two point jumper,False,19,True,False
2014-10-31,34.4333333333,New York Knicks,Chicago Bulls,3,58-66,-10,two point jumper,False,10,False,False
2014-11-03,1.63333333333,New York Knicks,Minnesota Timberwolves,1,0-2,-1,three point jumper,True,26,False,False
2014-11-03,3.9,New York Knicks,Minnesota Timberwolves,1,6-9,1,two point jumper,True,17,True,False
2014-11-03,4.53333333333,New York Knicks,Minnesota Timberwolves,1,8-9,-1,hook shot,True,1,False,False
2014-11-03,5.66666666667,New York Knicks,Minnesota Timberwolves,1,12-11,-3,two point shot,True,1,False,False
2014-11-03,6.85,New York Knicks,Minnesota Timberwolves,1,14-11,-6,three point jumper,True,24,False,False
2014-11-03,17.7333333333,New York Knicks,Minnesota Timberwolves,2,47-31,-18,two point jumper,True,12,True,False
2014-11-03,19.3166666667,New York Knicks,Minnesota Timberwolves,2,49-36,-16,three point jumper,True,25,True,False
2014-11-03,20.95,New York Knicks,Minnesota Timberwolves,2,54-39,-18,three point jumper,True,25,True,False
2014-11-03,23.4333333333,New York Knicks,Minnesota Timberwolves,2,64-46,-20,dunk,True,0,True,False
2014-11-03,26.3166666667,New York Knicks,Minnesota Timberwolves,3,71-53,-20,two point jumper,True,8,True,False
2014-11-05,2.7,New York Knicks,Charlotte Bobcats,1,9-3,-7,free throw,True,15,True,True
2014-11-05,2.7,New York Knicks,Charlotte Bobcats,1,9-4,-6,free throw,True,15,True,True
2014-11-05,4.81666666667,New York Knicks,Charlotte Bobcats,1,14-9,-7,two point jumper,True,21,True,True
2014-11-05,16.4833333333,New York Knicks,Charlotte Bobcats,2,43-39,-6,two point jumper,True,10,True,True
2014-11-05,23.5666666667,New York Knicks,Charlotte Bobcats,2,64-54,-12,two point jumper,True,11,False,True
2014-11-05,23.9666666667,New York Knicks,Charlotte Bobcats,2,64-54,-12,two point jumper,True,21,False,True
2014-11-05,26.9,New York Knicks,Charlotte Bobcats,3,69-58,-13,two point jumper,True,22,False,True
2014-11-08,2.71666666667,New York Knicks,Charlotte Bobcats,1,5-4,-2,three point jumper,False,25,False,False
2014-11-08,3.2,New York Knicks,Charlotte Bobcats,1,5-4,-2,three point jumper,False,25,False,False
